index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,10,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,15.613093037414552,44,15.590909090909092,24.8666969226619,70,25.771428571428572,40.0,20,40.0,0,0.281,47981,108,0,0.0,1080.0000000000002,False,-0.014621961373652037,0,0.4700000000000001,47471,112,0,0.0,1120.0000000000002,False,-0.024573018419609675,0,0.2,57590,0,10,0.0,156.13093037414552,False,0.01544374047273462,33,1.3940000000000003,54513,0,0,0.0,0.0,False,-0.04011198957581307,0,0.254,75517,0,23,0.5,571.9340292212237,False,0.003972915177020878,67,1.9050000000000002,70370.0,102,0,0.0,1592.5354898162843,False,-0.05743788001922919,3,0.5720000000000001,109025,57,10,1.0,1817.4017245917285,False,-0.0077379853752031534,2,0.274,110328,53,10,1.0,1717.9349369010808,False,0.0035740039213523157,0.3125,572795,0.0,0.0,18,0,0,15,6,5.416666666666667,12,27,8,132.0,3.0,9,1,8,1093,1.2114861619775183,17.919438021897804
11,8,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,16.112350776920604,25,18.6,25.590327437937916,72,27.458333333333332,40.0,20,40.0,0,0.281,47851,121,0,0.0,1210.0000000000002,False,-0.01594199955321785,0,0.4700000000000001,47401,119,0,0.0,1190.0000000000002,False,-0.025283808208606647,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,15,1.5110000000000003,54268,0,0,0.0,0.0,False,-0.04442605342395802,0,0.254,75257,15,28,1.0,958.2144299160707,False,0.0030873901031485984,67,2.508000000000001,69208.0,102,0,0.0,1643.4597792459015,False,-0.07249076341836817,0,0.5690000000000002,107613,106,14,1.0,3272.574708421419,False,-0.013915504380223017,4,0.31200000000000006,110365,56,10,1.0,1833.0583365245234,False,0.004427518194278081,0.375,569853,0.0,0.0,15,0,0,13,6,5.5,10,23,12,90.0,39.0,5,3,12,1305,1.0680948289809749,18.98753285087878
12,12,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,15.893443731949871,5,10.0,25.78360682378418,101,26.22772277227723,40.0,20,40.0,0,0.281,47761,130,0,0.0,1300.0000000000002,False,-0.0168558721390711,0,0.4700000000000001,47291,130,0,0.0,1300.0000000000002,False,-0.02640076359131618,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,1.5460000000000003,54198,0,0,0.0,0.0,False,-0.04565864309485658,0,0.254,75832,10,23,1.0,751.9573942665348,False,0.009337095176791188,86,3.301000000000001,65680.0,102,0,0.0,1621.1312606588867,False,-0.11936524866125268,0,0.5690000000000001,105919,178,14,1.0,5149.482014633584,False,-0.02073506866697837,0,0.30800000000000005,110210,65,10,1.0,2075.9344435459716,False,0.0041245879337941,0.375,564781,0.0,0.0,22,0,0,15,5,5.0,13,28,10,216.0,0.0,12,0,10,1625,1.275170378969051,20.26270322984783
13,10,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,15.893443731949871,0,,25.166509671265974,84,22.964285714285715,40.00000000000001,20,40.0,0,0.281,47681,138,0,0.0,1380.0000000000002,False,-0.017668203326496212,0,0.4700000000000001,47171,142,0,0.0,1420.0000000000002,False,-0.02761926037245385,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,1.5410000000000004,54198,0,0,0.0,0.0,False,-0.04565864309485658,0,0.254,75962,0,23,1.0,578.8297224391174,False,0.00991238574916966,74,3.955000000000001,63210.0,102,0,0.0,1621.1312606588867,False,-0.1520791805579984,0,0.5690000000000001,104705,235,12,1.0,6394.129772747504,False,-0.026075539652374663,0,0.30800000000000005,110295,72,12,1.0,2291.98869633115,False,0.0058668515327560825,0.375,561112,0.0,0.0,16,0,0,14,4,4.0,12,26,14,132.0,18.0,9,1,14,1130,1.371106817969121,21.63381004781695
14,14,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,15.340865297032959,13,10.0,24.99291725605964,6,15.0,40.00000000000001,20,40.0,0,0.281,47561,150,0,0.0,1500.0000000000002,False,-0.018886700107633884,0,0.4700000000000001,47091,150,0,0.0,1500.0000000000002,False,-0.028431591559878962,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,13,1.6710000000000003,53976,0,0,0.0,0.0,False,-0.049567713193992,0,0.254,75912,0,28,0.5,699.80168316967,False,0.010051267387849974,6,3.941000000000001,63016.0,110,0,0.0,1687.4951826736255,False,-0.15420913617555845,0,0.5690000000000001,105055,231,11,1.0,6213.3638861497775,False,-0.023732235081596092,0,0.30800000000000005,110655,62,13,1.0,2069.560869875698,False,0.008112395726528708,0.3125,561156,0.0,0.0,15,0,0,15,3,3.0,12,27,14,168.0,54.0,11,3,14,1000,1.6061371520045213,23.239947199821472
15,14,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,15.173631876092394,5,11.0,25.242052269477842,5,41.0,40.00000000000001,20,40.0,0,0.281,47491,157,0,0.0,1570.0000000000002,False,-0.019597489896630856,0,0.4700000000000001,46961,163,0,0.0,1630.0000000000002,False,-0.02975162973944477,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,1.7080000000000004,53911,0,0,0.0,0.0,False,-0.050712260745540666,0,0.254,76062,0,28,0.5,706.7774635453795,False,0.012084138799421098,0,3.935000000000001,63016.0,110,0,0.0,1669.0995063701632,False,-0.15433095700587943,0,0.5690000000000002,105415,221,12,1.0,6058.493551554603,False,-0.02118180379473696,0,0.30800000000000005,110890,57,12,1.0,1918.796979360237,False,0.00955310891390196,0.3125,561636,0.0,0.0,18,0,0,14,1,1.0,11,25,15,162.0,90.0,9,5,15,1205,1.538587960996665,24.778535160818137
16,15,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,14.87505598216771,9,11.0,24.373402188676824,62,20.322580645161292,40.00000000000001,20,40.0,0,0.281,47421,164,0,0.0,1640.0000000000002,False,-0.02030827968562783,0,0.4700000000000001,46831,176,0,0.0,1760.0000000000002,False,-0.03107166791901058,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,9,1.7930000000000004,53794,0,0,0.0,0.0,False,-0.052772446338328255,0,0.254,76192,0,18,0.0,438.72123939618285,False,0.012030788441493691,52,4.455000000000001,61033.0,119,0,0.0,1770.1316618779576,False,-0.17992575353378043,0,0.5690000000000002,105670,218,13,1.0,5833.401677131547,False,-0.01989601286597496,0,0.30800000000000005,110175,102,11,1.0,2926.087023245036,False,0.007645418054016234,0.25,559006,0.0,0.0,18,0,0,13,5,5.0,18,31,13,219.0,36.0,13,2,13,1130,1.6396862710244022,26.41822143184254
17,13,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,14.231540801223705,21,10.761904761904763,24.340680078122052,1,14.0,40.00000000000001,20,40.0,0,0.281,47341,172,0,0.0,1720.0000000000002,False,-0.021120610873052944,0,0.4700000000000001,46711,188,0,0.0,1880.0000000000002,False,-0.03229016470014825,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,21,1.9940000000000004,53381,0,0,0.0,0.0,False,-0.06004472539662975,0,0.254,76087,0,28,1.0,681.5390421874174,False,0.01224811624827767,1,4.413000000000001,60892.0,130,0,0.0,1850.1003041590816,False,-0.181263656383461,0,0.5690000000000002,106056,209,13,1.0,5607.202136327509,False,-0.017432814324595352,0,0.30800000000000005,110575,92,11,1.0,2679.3425671872287,False,0.010142261407457462,0.375,558933,0.0,0.0,18,0,0,15,4,4.0,12,27,10,164.0,54.0,10,3,10,1000,1.5467911739833653,27.965012605825905
18,10,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,14.103104235548685,5,11.0,24.30701459511238,15,23.666666666666668,40.00000000000001,20,40.0,0,0.281,47191,187,0,0.0,1870.0000000000002,False,-0.022643731849475032,0,0.4700000000000001,46661,193,0,0.0,1930.0000000000005,False,-0.03279787169228895,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.0230000000000006,53316,0,0,0.0,0.0,False,-0.06118927294817841,0,0.254,76092,0,29,0.5,704.9034232582591,False,0.012469063634943307,11,4.522000000000001,60799.0,130,0,0.0,1833.403550621329,False,-0.18260596565287918,0,0.5690000000000002,106401,200,14,1.0,5421.402919022476,False,-0.015157355204743693,0,0.30800000000000005,110675,96,10,1.0,2733.4734011307887,False,0.011289154358796238,0.3125,559025,0.0,0.0,18,0,0,15,3,3.0,10,25,5,144.0,36.0,8,2,5,1060,1.1813168649678119,29.146329470793717
19,5,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,13.896611451503166,6,10.0,24.61021227675818,5,41.0,40.00000000000001,20,40.0,0,0.281,47101,196,0,0.0,1960.0000000000005,False,-0.023557604435328283,0,0.4700000000000001,46551,204,0,0.0,2040.0000000000005,False,-0.033914827074998474,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,6,2.0780000000000007,53232,0,0,0.0,0.0,False,-0.06266838055325667,0,0.254,76237,0,30,0.6,738.3063683027453,False,0.014610719893929761,0,4.511000000000001,60799.0,130,0,0.0,1806.5594886954116,False,-0.18278373383378538,0,0.5690000000000002,106761,190,15,1.0,5275.940332584054,False,-0.012564466732026726,1,0.31800000000000006,110862,91,10,1.0,2639.5293171849944,False,0.012553047256478376,0.325,559433,0.0,0.0,17,0,0,11,2,2.0,9,20,6,72.0,18.0,4,1,6,1165,0.9072341390419751,30.05356360983569
20,6,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,13.723120943567057,5,10.0,24.28764619721253,31,21.70967741935484,40.00000000000001,20,40.0,0,0.281,46991,207,0,0.0,2070.0000000000005,False,-0.024674559818037813,0,0.4700000000000001,46461,213,0,0.0,2130.0000000000005,False,-0.03482869966085173,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.1220000000000003,53162,0,0,0.0,0.0,False,-0.06390097022415524,0,0.254,76187,0,35,0.5,850.0676169024385,False,0.014688605862697093,31,4.8210000000000015,60011.0,130,0,0.0,1784.0057226637175,False,-0.19336976197857228,0,0.5690000000000001,107041,188,15,1.0,5166.077485075956,False,-0.010532996881172893,0,0.31700000000000006,110709,104,10,1.0,2925.915204510103,False,0.012464528727559517,0.3125,558452,0.0,0.0,18,0,0,10,4,4.0,10,20,5,108.0,0.0,6,0,5,1000,0.9301968780346215,30.983760487870313
21,5,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,13.54761855779325,5,10.0,23.601903830400392,20,15.0,40.00000000000001,20,40.0,0,0.281,46891,217,0,0.0,2170.0000000000005,False,-0.025689973802319205,0,0.4700000000000001,46361,223,0,0.0,2230.0000000000005,False,-0.03584411364513312,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.1670000000000003,53092,0,0,0.0,0.0,False,-0.06513355989505379,0,0.254,76242,0,33,0.5,778.8628264032129,False,0.014945517571508426,13,4.920000000000001,59708.0,130,0,0.0,1761.1904125131225,False,-0.19753393631701305,0,0.5690000000000001,107271,184,17,1.0,5022.7503047936725,False,-0.009103851825537827,2,0.3370000000000001,110883,108,10,1.0,2949.0056136832422,False,0.014139260470991453,0.3125,558338,0.0,0.0,19,0,0,12,4,4.0,11,23,9,90.0,0.0,5,0,9,1025,1.0036723150406033,31.987432802910917
22,9,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,13.54761855779325,0,,23.601903830400392,0,,40.00000000000001,20,40.0,0,0.281,46821,224,0,0.0,2240.0000000000005,False,-0.02640076359131618,0,0.4700000000000001,46231,236,0,0.0,2360.0000000000005,False,-0.03716415182469893,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,2.162000000000001,53092,0,0,0.0,0.0,False,-0.06513355989505379,0,0.254,76242,0,33,0.0,778.8628264032129,False,0.014945517571508426,0,4.907000000000001,59708.0,130,0,0.0,1761.1904125131225,False,-0.19753393631701305,0,0.5690000000000001,107711,174,16,1.0,4746.731266489668,False,-0.006378084562420865,0,0.3350000000000001,111243,98,11,1.0,2752.9865753792383,False,0.01650398757741712,0.25,558938,0.0,0.0,16,0,0,12,0,0.0,12,24,13,132.0,0.0,9,0,13,1000,1.4480106530245394,33.435443455935456
23,13,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,13.371055719399621,5,10.0,23.552429550115907,87,23.413793103448278,40.00000000000001,20,40.0,0,0.281,46711,235,0,0.0,2350.0000000000005,False,-0.02751771897402571,0,0.4700000000000001,46141,245,0,0.0,2450.0000000000005,False,-0.038078024410552185,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.2120000000000006,53022,0,0,0.0,0.0,False,-0.06636614956595235,0,0.254,76327,0,29,0.5,683.0204569533613,False,0.015436608194067471,78,5.687000000000002,57203.0,130,0,0.0,1738.2372435219506,False,-0.2308634276550472,0,0.5690000000000002,106487,222,16,1.0,5868.639360125731,False,-0.012362739933181714,0,0.3350000000000001,111230,117,11,1.0,3195.634257363561,False,0.01838431938227637,0.3125,555011,0.0,0.0,16,0,0,14,4,4.0,15,29,16,168.0,36.0,11,2,16,1135,1.9607187820365652,35.39616223797202
24,16,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.93128151808335,18,10.722222222222221,23.14821508551497,90,21.81111111111111,40.00000000000001,20,40.0,0,0.281,46621,244,0,0.0,2440.0000000000005,False,-0.028431591559878962,0,0.4700000000000001,46031,256,0,0.0,2560.0000000000005,False,-0.03919497979326171,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,18,2.387000000000001,52678,0,0,0.0,0.0,False,-0.07242344737722527,0,0.254,76342,0,31,1.0,717.5946676509641,False,0.015864234981728956,82,6.429000000000002,53370.0,138,0,0.0,1784.5168494955024,False,-0.2813231470968339,0,0.5690000000000002,105105,283,18,1.0,7270.944869200736,False,-0.018508069837799422,1,0.34500000000000003,111401,126,10,1.0,3316.6751007748862,False,0.020474023615523293,0.375,549438,0.0,0.0,17,0,0,15,9,8.5,17,32,14,222.0,36.0,14,2,14,1040,1.9995018990011886,37.39566413697321
