index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,10.000000000000002,20,10.0,10.074135979695043,37,9.72972972972973,18.315127416221515,31,17.741935483870968,24.172062920054493,8,20.0,47.0,11,47.0,27,1.9550000000000003,29215.0,98,0,0.0,980.0000000000002,False,-0.13873586546825167,10,1.3170000000000002,30907.0,122,0,0.0,1220.0000000000002,False,-0.08619889823137142,0,0.2,48925,65,60,1.0,1753.7264836534687,False,0.011102694991914264,26,1.9720000000000004,42320,160,0,0.0,1611.861756751207,False,-0.12443547094963747,4,0.6090000000000002,60753,97,0,0.0,1776.5673593734869,False,-0.030645012113748368,4,0.5280000000000001,60419,127,0,0.0,2326.0211818601324,False,-0.03157712547680344,1,0.30000000000000004,94384,0,10,1.0,470.0,False,0.01843799108776613,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,459712,0.0,0.0,13,0,0,15,13,13.0,14,29,24,216.0,147.0,12,9,24,860,1.2145467230002396,50.98315437900601
11,24,0,0,0,10.000000000000002,20,10.0,10.026138023365453,15,9.333333333333334,17.942465364006384,36,16.36111111111111,23.98549124448541,3,20.0,47.0,12,47.0,5,1.9780000000000006,29050.0,108,0,0.0,1080.0000000000002,False,-0.14207016526529428,10,1.4070000000000003,30662.0,132,0,0.0,1320.0000000000002,False,-0.09185271093070455,0,0.2,48975,70,65,1.0,1868.0899102959968,False,0.013278752515440013,31,2.2560000000000007,41341,160,0,0.0,1604.1820837384726,False,-0.14438958396367402,3,0.6350000000000002,60089,133,0,0.0,2386.3478934128493,False,-0.03629227949824775,0,0.5240000000000001,60419,127,0,0.0,2278.693101228811,False,-0.03194926009412792,2,0.31900000000000006,94776,0,3,0.3,141.0,False,0.020886702688739156,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.1625,458101,0.0,0.0,13,0,0,13,8,8.0,16,29,23,219.0,168.0,13,11,23,860,1.2998007999849506,52.28295517899096
12,23,0,0,0,10.000000000000002,20,10.0,9.984685575094794,89,9.887640449438202,17.000527782732423,42,13.19047619047619,22.496130244579668,20,18.0,46.999999999999986,11,47.0,42,2.3930000000000007,28047.0,119,0,0.0,1190.0000000000002,False,-0.16955639315743695,47,1.8670000000000002,29418.0,141,0,0.0,1410.0000000000002,False,-0.1266164105537837,0,0.2,48835,75,75,1.0,2023.8910018370411,False,0.012017977888915206,42,2.645000000000001,39028,234,0,0.0,2336.4164245721818,False,-0.18391618693967945,10,0.7320000000000002,59545,149,0,0.0,2533.078639627131,False,-0.04369335870713061,10,0.6240000000000001,59769,153,0,0.0,2601.0807507580607,False,-0.03963610040290878,8,0.3970000000000001,94427,10,10,1.0,694.9613024457965,False,0.02011151756854129,0,0.2,92789,0,6,0.0,281.9999999999999,False,0.0002583256194433083,0.25,451858,0.0,0.0,8,0,0,13,20,19.25,15,28,21,216.0,168.0,12,11,21,200,1.3349649879965,53.61792016698746
13,21,0,0,0,10.000000000000002,20,10.0,9.955189312138085,47,9.787234042553191,17.448937448600212,10,26.0,22.247570402807266,8,20.0,46.999999999999986,9,47.0,32,2.6710000000000007,27463.0,127,0,0.0,1270.0000000000002,False,-0.18532908089301248,15,1.9700000000000002,29043.0,153,0,0.0,1530.0000000000002,False,-0.1357494926065526,0,0.2,48885,80,80,1.0,2192.330140859064,False,0.014742971686722802,5,2.653000000000001,38623,266,0,0.0,2648.0803570287308,False,-0.18897492277912167,4,0.7620000000000002,59375,154,0,0.0,2687.1363670844325,False,-0.045155398906397,4,0.6540000000000001,59479,158,0,0.0,2756.9321168788333,False,-0.04297112661677284,0,0.38900000000000007,94690,8,11,1.0,694.980563222458,False,0.022942439472275523,0,0.2,92789,0,6,0.0,281.9999999999999,False,0.0002583256194433083,0.25,450347,0.0,0.0,12,0,0,14,8,8.0,12,26,28,198.0,165.0,11,10,28,813,2.237897611979861,55.85581777896732
14,28,0,0,0,10.000000000000002,20,10.0,9.910148830680031,25,9.4,17.040326327265724,20,13.35,21.069751368979293,31,18.322580645161292,46.99999999999999,6,47.0,15,2.7890000000000006,27078.0,140,0,0.0,1400.0000000000002,False,-0.19460713250217454,10,2.0550000000000006,28828.0,160,0,0.0,1600.0000000000002,False,-0.1409683966367063,0,0.2,48650,95,90,1.0,2475.093508368518,False,0.012842285132154279,20,2.848000000000001,38081,266,0,0.0,2636.099588960888,False,-0.2001005015839926,14,0.8980000000000004,58696,167,0,0.0,2845.734496653376,False,-0.05458614171525892,17,0.8200000000000001,58730,165,0,0.0,2811.6538439988444,False,-0.05431943824501611,0,0.38900000000000007,94404,29,15,1.0,1316.0227897003992,False,0.023206374129229507,0,0.2,92789,0,6,0.0,281.99999999999994,False,0.0002583256194433083,0.25,447256,0.0,0.0,10,0,0,17,16,16.0,16,33,20,291.0,168.0,17,11,20,482,1.3571746020461433,57.212992381013464
15,20,0,0,0,10.000000000000002,20,10.0,9.878474421004256,10,9.0,16.47368398771383,26,12.538461538461538,20.844161696314956,13,19.23076923076923,46.99999999999999,9,47.0,5,2.8240000000000003,26883.0,153,0,0.0,1530.0000000000002,False,-0.19837634096839663,5,2.0950000000000006,28693.0,167,0,0.0,1670.0000000000002,False,-0.14386778776456943,0,0.2,48560,95,100,1.0,2585.8234687667873,False,0.012139107387745268,26,3.088000000000001,37430,266,0,0.0,2627.674195987132,False,-0.21340296217655944,5,0.9340000000000002,58571,167,0,0.0,2751.1052259482094,False,-0.05729591739307903,8,0.8830000000000002,58164,191,0,0.0,3146.4736416533415,False,-0.060587563754888024,0,0.38900000000000007,94577,32,16,1.0,1419.0131742820786,False,0.025622743279670134,0,0.2,92789,0,6,0.0,281.99999999999994,False,0.0002583256194433083,0.25,445667,0.0,0.0,10,0,0,14,7,7.0,14,28,18,186.0,147.0,11,9,18,623,1.1231973170069978,58.33618969802046
16,18,0,0,0,10.000000000000002,20,10.0,9.822043740342185,36,9.416666666666666,16.359460369243457,9,14.0,20.576816478667077,13,18.615384615384617,47.0,12,47.0,18,2.999000000000001,26467.0,163,0,0.0,1630.0000000000002,False,-0.20898811249637575,18,2.2700000000000005,28272.0,177,0,0.0,1770.0000000000002,False,-0.15462452884894173,0,0.2,48365,105,110,1.0,2830.8552333527095,False,0.010667498054539683,9,3.152000000000001,37133,282,0,0.0,2769.816334776496,False,-0.21798988595293378,9,1.0190000000000001,58166,176,0,0.0,2879.2650249868484,False,-0.06265713929087242,4,0.9150000000000003,58064,191,0,0.0,3124.6569305255002,False,-0.062331680055625914,0,0.389,94899,35,14,1.0,1378.1885767533477,False,0.028868902852094258,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,444155,0.0,0.0,12,0,0,12,10,10.0,15,27,18,198.0,126.0,11,7,18,764,1.1660119980224408,59.5022016960429
17,18,0,0,0,10.000000000000002,20,10.0,9.781921377782407,20,9.25,17.526584320094436,10,38.0,20.1025798418835,22,18.0,47.0,6,47.0,15,3.131000000000001,26127.0,171,0,0.0,1710.0000000000002,False,-0.21768628587996522,5,2.302000000000001,28092.0,189,0,0.0,1890.0000000000002,False,-0.1581037982023775,0,0.2,48560,115,110,1.0,3052.8452336553646,False,0.01687996379713085,0,3.1430000000000007,37133,282,0,0.0,2758.5018285346387,False,-0.2181047423760568,13,1.1400000000000001,57327,186,0,0.0,3259.944683537565,False,-0.07285780245685193,9,1.0010000000000003,57785,191,0,0.0,3347.577605138037,False,-0.0649663657403834,0,0.389,94785,47,18,1.0,1790.8212525685244,False,0.029862555984374192,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,442598,0.0,0.0,13,0,0,11,9,9.0,16,27,18,198.0,126.0,11,7,18,862,1.2838691839715466,60.78607088001445
18,18,0,0,0,10.000000000000002,20,10.0,9.809143758858138,89,9.887640449438202,17.526584320094436,0,,19.86414128846039,32,19.0625,47.0,10,47.0,31,3.426000000000001,25427.0,179,0,0.0,1790.0000000000002,False,-0.236822267323862,58,2.8770000000000007,26173.0,201,0,0.0,2010.0000000000005,False,-0.21200347926935342,0,0.2,48420,120,120,1.0,3280.2873694743084,False,0.016346435584958918,0,3.1430000000000016,36393,356,0,0.0,3492.055178153497,False,-0.22568211168253474,13,1.2570000000000003,56885,186,0,0.0,3259.944683537565,False,-0.07980858088113248,19,1.1820000000000002,57034,191,0,0.0,3347.577605138037,False,-0.0767763987644438,0,0.389,94645,69,18,1.0,2216.625748903767,False,0.030647244251737142,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,437766,0.0,0.0,11,0,0,12,15,15.0,13,25,20,180.0,144.0,10,8,20,670,1.2661763840005733,62.05224726401502
19,20,0,0,0,10.000000000000002,20,10.0,9.83623862838024,82,9.939024390243903,18.122171484713093,5,38.0,19.867309957633797,3,20.0,46.99999999999999,9,47.0,46,3.855000000000001,24242.0,189,0,0.0,1890.0000000000002,False,-0.26973035662510875,36,3.179000000000001,25445.0,211,0,0.0,2110.0000000000005,False,-0.2316613511162656,0,0.2,48515,120,125,1.0,3445.6200709947652,False,0.019953507978832188,0,3.1430000000000016,35673,428,0,0.0,4209.910132946743,False,-0.23301278923006052,0,1.2440000000000002,56885,186,0,0.0,3370.7238961566354,False,-0.07893753816514677,3,1.1930000000000003,56769,196,0,0.0,3551.9456110037663,False,-0.07933680129734415,0,0.38900000000000007,95008,62,19,1.0,2124.773217373295,False,0.034060088785295324,0,0.2,92789,0,6,0.0,281.99999999999994,False,0.0002583256194433083,0.25,435326,0.0,0.0,13,0,0,15,7,7.0,13,28,22,216.0,144.0,12,8,22,813,1.2885389470029622,63.340786211017985
20,22,0,0,0,10.000000000000002,20,10.0,9.529580174306181,84,8.238095238095237,18.491430030712213,14,22.571428571428573,19.837886497549317,16,19.625,47.0,12,47.0,52,4.3290000000000015,22643.0,198,0,0.0,1980.0000000000005,False,-0.31478689475210203,32,3.4630000000000014,24772.0,222,0,0.0,2220.0000000000005,False,-0.24957958828645985,0,0.2,48565,125,130,1.0,3595.0834257808606,False,0.0224858737770872,9,3.2330000000000014,34968,497,0,0.0,4736.201346630172,False,-0.2419835412990542,12,1.3640000000000003,56169,200,0,0.0,3698.2860061424426,False,-0.08762159139689854,4,1.2300000000000002,56669,196,0,0.0,3624.320286019594,False,-0.08034030283047973,0,0.389,95258,68,17,1.0,2147.976281833354,False,0.036875854529488626,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,431833,0.0,0.0,13,0,0,13,11,11.0,16,29,24,234.0,162.0,13,9,24,954,1.332673844997771,64.67346005601576
21,24,0,0,0,10.000000000000002,20,10.0,9.567960520035893,35,10.0,18.7273491175562,14,21.285714285714285,19.843176208365392,4,20.0,47.0,13,47.0,10,4.377000000000002,22413.0,207,0,0.0,2070.0000000000005,False,-0.32015076833864886,25,3.681000000000001,24272.0,233,0,0.0,2330.0000000000005,False,-0.2624818788054509,0,0.2,48605,130,135,1.0,3772.026998474753,False,0.025094173164904653,9,3.314000000000001,34597,517,0,0.0,4946.635588858557,False,-0.24737960015370467,4,1.3920000000000001,55961,209,0,0.0,3914.015965569246,False,-0.08919628899536687,0,1.2260000000000002,56479,201,0,0.0,3764.1971726287966,False,-0.082228360020217,0,0.38900000000000007,95789,62,14,1.0,1888.2769249186542,False,0.04119366308375491,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,430905,0.0,0.0,13,0,0,14,6,6.0,16,30,22,252.0,180.0,14,10,22,1001,1.3174986150115728,65.99095867102733
22,22,0,0,0,10.000000000000002,20,10.0,9.552300868195152,20,9.25,18.385072097481082,8,12.0,19.848662962018985,4,20.0,47.00000000000001,12,47.0,5,4.417000000000002,22243.0,217,0,0.0,2170.0000000000005,False,-0.32363003769208465,15,3.806000000000001,23922.0,243,0,0.0,2430.0000000000005,False,-0.2711800521890403,0,0.2,48460,135,145,1.0,3955.3960713411025,False,0.024011735573455557,8,3.3850000000000016,34384,522,0,0.0,4986.301053197869,False,-0.2513013800304754,4,1.4280000000000004,55825,212,0,0.0,3897.6352846659893,False,-0.09146378923835519,0,1.2260000000000002,56419,206,0,0.0,3787.324852081103,False,-0.08299005463059363,0,0.38900000000000007,96273,56,12,1.0,1675.5251258730632,False,0.04525824557010888,0,0.2,92789,0,6,0.0,282.00000000000006,False,0.0002583256194433083,0.25,430315,0.0,0.0,13,0,0,13,7,7.0,14,27,22,216.0,180.0,12,10,22,764,1.263436560984701,67.25439523201203
23,22,0,0,0,10.000000000000002,20,10.0,9.523047741846261,30,9.166666666666666,17.885958161103616,12,12.0,19.854325919334837,4,20.0,47.00000000000001,7,47.0,20,4.612000000000002,21778.0,225,0,0.0,2250.0000000000005,False,-0.33595244998550305,10,3.891000000000001,23652.0,255,0,0.0,2550.0000000000005,False,-0.2772687735575529,0,0.2,48275,145,155,1.0,4153.165437538768,False,0.022263378718290257,12,3.497000000000001,34017,532,0,0.0,5066.261398662211,False,-0.25794070248033485,0,1.4240000000000002,55741,219,0,0.0,3917.024837281692,False,-0.09263229409276863,4,1.266,56259,211,0,0.0,3773.937171992863,False,-0.08561143912570482,0,0.38900000000000007,96522,50,15,1.0,1697.716295966742,False,0.04805780195017939,0,0.2,92789,0,6,0.0,282.00000000000006,False,0.0002583256194433083,0.25,429033,0.0,0.0,11,0,0,13,9,9.0,15,28,18,234.0,162.0,13,9,18,529,1.245194585993886,68.49958981800592
24,18,0,0,0,10.000000000000002,20,10.0,9.463727847261449,52,9.057692307692307,17.48264755411055,16,14.0,19.509208111345327,22,18.0,47.00000000000001,8,47.0,35,4.942000000000002,20864.0,231,0,0.0,2310.0000000000005,False,-0.36158306755581326,17,4.051,23211.0,269,0,0.0,2690.0000000000005,False,-0.2880255146419252,0,0.2,48175,145,165,1.0,4256.877384281151,False,0.02128593426333519,16,3.6450000000000014,33374,574,0,0.0,5432.179784328072,False,-0.2672806843535878,11,1.5340000000000003,55220,235,0,0.0,4108.422175215979,False,-0.09932047353973912,11,1.372,55962,211,0,0.0,3688.8386339173258,False,-0.09095110368047389,0,0.389,96502,62,17,1.0,2008.5709029034106,False,0.04951548286926258,0,0.2,92789,0,6,0.0,282.00000000000006,False,0.0002583256194433083,0.25,426097,0.0,0.0,12,0,0,11,12,12.0,17,28,16,216.0,108.0,12,6,16,576,1.164401488029398,69.66399130603531
