index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,28,0,0,0,10.000000000000002,20,10.0,26.07953631257785,28,23.428571428571427,22.833397569710737,51,26.96078431372549,27.04349238577459,5,21.0,54.0,10,54.0,12,0.9680000000000002,21439,113,0,0.0,1130.0000000000002,False,-0.09653048655306919,0,0.4700000000000001,26718,0,12,0.8,312.9544357509342,False,0.10344804836277842,0,0.2,32587,32,24,1.0,1382.546703675549,False,0.014334106066745055,36,1.2800000000000002,26085.0,103,0,0.0,2686.1922401955185,False,-0.1639814642740259,5,1.2580000000000002,43348,55,0,0.0,1255.8368663340905,False,-0.08780687354711678,0,0.2,45951,57,42,1.0,2437.3303416760446,False,-0.02155893773282949,0,0.2,65316,40,15,1.0,1891.7396954309836,False,0.025535037573755612,0,0.2,64363,0,9,0.0,486.0,False,-9.286200705751254e-05,0.475,325807,0.0,0.0,20,0,0,11,5,5.0,24,35,30,167.0,94.0,12,16,30,1835,1.5386523299966939,25.97412846091902
11,30,0,0,0,10.000000000000002,20,10.0,25.939509174855342,22,24.863636363636363,23.306199253547113,19,26.63157894736842,30.415551627725304,29,41.10344827586207,53.99999999999999,12,54.0,12,1.0760000000000003,21264,122,0,0.0,1220.0000000000002,False,-0.10186819954834736,0,0.4700000000000001,26928,1,12,1.0,321.2741100982641,False,0.1122413079469979,0,0.2,32450,44,24,1.0,1700.6871857787658,False,0.015006815194141106,9,1.3340000000000003,25842.0,103,0,0.0,2671.7694450101003,False,-0.17160800041133112,7,1.3230000000000002,42933,64,0,0.0,1491.5967522270153,False,-0.09397003928491546,0,0.2,46723,57,30,1.0,2240.9199062839443,False,-0.007582402598229096,0,0.2,64772,59,13,1.0,2496.5175460357927,False,0.021795622686465253,0,0.2,64363,0,9,0.0,485.99999999999994,False,-9.286200705751254e-05,0.5,325275,0.0,0.0,21,0,0,13,6,6.0,24,37,33,231.0,80.0,18,12,33,2623,1.7477731649996713,27.72190162591869
12,33,0,0,0,10.000000000000002,20,10.0,25.278901639378674,20,19.6,23.585902563420003,30,24.866666666666667,37.38708293227253,37,57.891891891891895,53.99999999999999,9,54.0,4,1.1040000000000003,21120,132,0,0.0,1320.0000000000002,False,-0.10572777663724081,4,0.51,27064,1,10,1.0,262.78901639378677,False,0.11662469752399475,0,0.2,32809,50,15,1.0,1617.7336204202338,False,0.024685040545297326,11,1.4350000000000003,25411.0,107,0,0.0,2704.842475413518,False,-0.18424100104527066,0,1.3160000000000003,42259,86,0,0.0,2028.3876204541202,False,-0.1023835007938962,7,0.27,48464,55,10,1.0,1671.0954703108255,False,0.022621247799278446,0,0.2,63116,86,14,1.0,3971.2891321754373,False,0.007578229525285111,0,0.2,64363,0,9,0.0,485.99999999999994,False,-9.286200705751254e-05,0.5,324606,0.0,0.0,19,0,0,15,6,4.886363636363637,23,38,28,197.0,92.0,17,16,28,2863,2.19052802096121,29.9124296468799
13,28,0,0,0,10.000000000000002,20,10.0,24.762778854444868,12,17.333333333333332,23.37192874756039,6,18.0,36.335450184952585,9,21.0,53.99999999999999,10,54.0,7,1.1700000000000002,20848,142,0,0.0,1420.0000000000002,False,-0.11484294805994662,0,0.506,27159,1,15,1.0,381.441682816673,False,0.12296123348012056,0,0.2,32796,47,25,1.0,1748.1488248479184,False,0.02627634761106917,6,1.4840000000000002,25120.0,112,0,0.0,2773.4312316978253,False,-0.19206548354520506,9,1.4060000000000004,42025,86,0,0.0,2009.9858722901936,False,-0.10742822012186315,0,0.263,48356,51,20,1.0,1918.6773698246316,False,0.02294879970363029,0,0.2,63467,85,14,1.0,3844.5132657209697,False,0.012029601821031511,0,0.2,64363,0,9,0.0,485.99999999999994,False,-9.286200705751254e-05,0.5,324134,0.0,0.0,16,0,0,13,4,4.0,18,31,31,167.0,70.0,12,16,31,935,1.4089276459999382,31.32135729287984
14,31,0,0,0,10.000000000000002,20,10.0,25.30605837872966,12,32.833333333333336,21.325490347517402,23,8.782608695652172,36.335450184952585,0,,53.99999999999998,11,54.0,0,1.1630000000000003,20748,152,0,0.0,1520.0000000000002,False,-0.11689591459659207,0,0.506,27453,1,13,1.0,338.97875892348554,False,0.13416092709758742,0,0.2,32626,47,30,1.0,1829.149454225816,False,0.022329149204855753,18,1.6580000000000001,24341.0,114,0,0.0,2884.890655175181,False,-0.21411103000525514,0,1.3970000000000002,41999,97,0,0.0,2068.5725637091878,False,-0.10735990620310334,0,0.263,48180,53,30,1.0,2220.314493967,False,0.022426460764245284,0,0.2,64061,75,13,1.0,3427.1587638714436,False,0.017993242461705573,0,0.2,64363,0,9,0.0,485.99999999999983,False,-9.286200705751254e-05,0.5,323771,0.0,0.0,19,0,0,12,5,5.0,19,31,20,154.0,69.0,12,19,20,1328,1.6788161540171131,33.00017344689695
15,20,0,0,0,10.000000000000002,20,10.0,25.809995759207894,15,31.200000000000003,22.061688083822506,22,27.0,37.99200715400382,11,57.0,53.99999999999997,9,54.0,5,1.213,20615,158,0,0.0,1580.0000000000002,False,-0.1211250256620817,0,0.506,27723,5,13,1.0,385.5299448697026,False,0.14620262666536038,0,0.2,33142,42,26,1.0,1657.6237120661167,False,0.03544293635799363,8,1.7200000000000002,23658.0,124,0,0.0,3200.4394741417786,False,-0.2301201006745035,0,1.3970000000000002,41425,111,0,0.0,2448.8473773042983,False,-0.11532237365114094,0,0.263,48787,51,29,1.0,2226.914299741059,False,0.03508592067602577,0,0.2,63920,76,14,1.0,3643.39254370429,False,0.017484310528263155,0,0.2,64363,0,9,0.0,485.9999999999998,False,-9.286200705751254e-05,0.5,323633,0.0,0.0,16,0,0,14,4,4.0,21,35,25,135.0,51.0,12,8,25,2297,1.5421553190099075,34.54232876590686
16,25,0,0,0,10.000000000000002,20,10.0,24.137236354034094,30,15.333333333333334,22.801921371736217,15,30.333333333333332,37.99200715400382,0,,53.999999999999986,8,54.0,26,1.468,20157,170,0,0.0,1700.0000000000002,False,-0.1374666392937795,0,0.506,27791,3,19,1.0,488.60749072664777,False,0.15111080867843657,0,0.2,33260,58,26,1.0,1992.8096641991192,False,0.04414791612105453,5,1.7620000000000002,23365.0,128,0,0.0,3089.566253316364,False,-0.24074057770488352,0,1.397,40970,126,0,0.0,2873.0420928387634,False,-0.12036090675144931,0,0.263,48787,41,39,1.0,2416.567055247334,False,0.03705290563221941,0,0.2,64352,66,16,1.0,3371.4724721642524,False,0.022066121402868323,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,323045,0.0,0.0,17,0,0,8,2,2.0,24,32,29,197.0,64.0,12,13,29,1210,2.6916351040126756,37.233963869919535
17,29,0,0,0,10.000000000000002,20,10.0,24.33078795450018,25,25.64,22.93818757022947,9,25.22222222222222,37.08053428252094,7,21.0,53.999999999999986,12,54.0,6,1.5020000000000004,20009,180,0,0.0,1800.0000000000002,False,-0.1414904537056046,0,0.506,28230,3,10,1.0,273.3078795450018,False,0.16471582589909667,0,0.2,33223,60,31,1.0,2170.9310919471245,False,0.045734745975785356,4,1.7970000000000002,22852.0,141,0,0.0,3430.6411015845256,False,-0.2511789639480535,7,1.4670000000000003,40561,135,0,0.0,3096.6553219809784,False,-0.12652559354082255,0,0.263,48787,31,49,1.0,2528.0299945206393,False,0.038208944331148076,0,0.2,64853,63,14,1.0,3092.073659798819,False,0.02765797111835904,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,322878,0.0,0.0,18,0,0,10,3,3.0,26,36,27,190.0,80.0,15,14,27,1602,1.8620160190039314,39.095979888923466
18,27,0,0,0,10.000000000000002,20,10.0,24.325595186081244,12,24.25,23.380212993327874,30,25.5,35.532144186000075,11,19.0,53.999999999999986,14,54.0,3,1.5260000000000002,19847,189,0,0.0,1890.0000000000002,False,-0.14629439540135497,0,0.506,28408,4,11,1.0,307.58154704689366,False,0.17272801369424953,0,0.2,33547,62,26,1.0,2116.072439363562,False,0.05477433003175385,15,1.943,22492.0,141,0,0.0,3429.9089212374556,False,-0.26216305594310146,11,1.5700000000000003,39994,140,0,0.0,3273.229819065902,False,-0.13645553922435744,0,0.263,48227,46,59,1.0,3171.8863046670867,False,0.03327061653080429,0,0.2,65400,64,10,1.0,2814.057227904005,False,0.033972460440042145,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,322278,0.0,0.0,20,0,0,8,4,4.0,20,28,39,127.0,102.0,11,16,39,1859,1.815202339028474,40.91118222795194
19,39,0,0,0,10.000000000000002,20,10.0,24.440087509165853,29,25.103448275862068,21.0675406611585,28,8.142857142857142,35.93124994063331,2,59.0,53.999999999999986,5,54.0,4,1.563,19645,200,0,0.0,2000.0000000000005,False,-0.15233011701909258,14,0.6460000000000001,28655,3,10,1.0,274.4008750916585,False,0.18218848029340304,0,0.2,33234,76,31,1.0,2510.540411192518,False,0.051245739014760365,23,2.1580000000000004,21523.0,146,0,0.0,3568.2527763382145,False,-0.2895901491048187,0,1.5590000000000004,39994,140,0,0.0,2949.45569256219,False,-0.1398135649716631,0,0.263,48117,64,67,1.0,3755.7163483365757,False,0.0370440825192036,0,0.2,65552,56,15,1.0,2822.149996675465,False,0.03638759051472996,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,321083,0.0,0.0,15,0,0,17,4,3.333333333333333,24,41,34,269.0,138.0,22,17,34,1003,1.942643048998434,42.853825276950374
20,34,0,0,0,10.000000000000002,20,10.0,22.507510241920897,25,8.8,22.47371994016271,18,35.44444444444444,34.289309703565756,20,25.6,53.99999999999998,8,54.0,25,1.8090000000000004,18939,208,0,0.0,2080.0000000000005,False,-0.17967563128721,0,0.6320000000000001,28535,5,20,1.0,500.15020483841795,False,0.18189591880185632,0,0.2,33616,91,27,1.0,2654.973870399195,False,0.0650904332845524,4,2.1750000000000003,21423.0,146,0,0.0,3286.096495320451,False,-0.2969383001810465,10,1.6590000000000003,39664,140,0,0.0,3146.3207916227793,False,-0.14461697202158535,0,0.263,47792,72,67,1.0,3915.491585830621,False,0.03195971276971747,0,0.2,65472,66,17,1.0,3181.0944404353395,False,0.03792712220977025,0,0.2,64363,0,9,0.0,485.99999999999983,False,-9.286200705751254e-05,0.5,319804,0.0,0.0,17,0,0,10,8,8.0,24,34,34,213.0,126.0,16,18,34,1547,1.6691872220253572,44.52301249897573
21,34,0,0,0,10.000000000000002,20,10.0,22.66675762395877,30,23.633333333333333,22.476034978166815,16,22.5,38.02973463014861,46,47.23913043478261,53.999999999999986,11,54.0,15,1.9340000000000004,18574,217,0,0.0,2170.0000000000005,False,-0.19281461712174092,0,0.6320000000000001,28979,6,15,1.0,400.00136435938157,False,0.19807023946539487,0,0.2,33666,96,32,1.0,2895.24185120138,False,0.07027618037066238,11,2.2810000000000006,20626.0,161,0,0.0,3649.347977457362,False,-0.3156951356763996,14,1.7890000000000004,39151,140,0,0.0,3146.644896943354,False,-0.1552547771480081,0,0.263,49340,78,45,1.0,3464.4687866536988,False,0.05939211336735567,0,0.2,63893,102,16,1.0,4743.032932275158,False,0.02557599929018719,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,318592,0.0,0.0,21,0,0,12,7,7.0,20,32,33,174.0,143.0,14,20,33,3461,1.981838968989905,46.504851467965636
22,33,0,0,0,10.000000000000002,20,10.0,23.096235939768697,21,27.0,22.476034978166815,0,,38.00740861355976,27,37.888888888888886,53.999999999999986,13,54.0,5,1.9690000000000003,18414,225,0,0.0,2250.0000000000005,False,-0.19774173680969,1,0.6420000000000001,29356,8,10,1.0,310.96235939768695,False,0.21172166617527585,0,0.2,33345,101,42,1.0,3276.713298999645,False,0.06630567695378636,0,2.270000000000001,20380.0,167,0,0.0,3857.071401941372,False,-0.32002756336958404,14,1.9150000000000003,38655,140,0,0.0,3146.644896943354,False,-0.1655433124837338,0,0.263,50081,68,42,1.0,3124.6815402848533,False,0.07123858138817295,0,0.2,63572,119,13,1.0,5224.8816250136115,False,0.02433666830475454,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,318166,0.0,0.0,18,0,0,13,5,4.25,22,35,39,213.0,126.0,16,17,39,2081,2.2237981779617257,48.72864964592736
23,39,0,0,0,10.000000000000002,20,10.0,22.571119511713356,23,18.217391304347824,22.022787273489406,4,3.5,35.373857086269794,26,19.846153846153847,53.99999999999999,7,54.0,6,2.0240000000000005,18230,231,0,0.0,2310.0000000000005,False,-0.204064873742558,7,0.7110000000000001,29428,12,10,1.0,345.71119511713357,False,0.21539131995723942,0,0.2,32926,114,52,1.0,3718.292562556772,False,0.060264151465447044,4,2.3100000000000005,20255.0,167,0,0.0,3769.3769584561305,False,-0.3251740892700541,21,2.1110000000000007,37770,140,0,0.0,3083.190218288517,False,-0.1845590012415886,0,0.263,50167,62,47,1.0,3027.9840940110234,False,0.07201958238099763,0,0.2,63434,135,16,1.0,5639.4707066464225,False,0.025409139994477945,0,0.2,64363,0,9,0.0,485.99999999999994,False,-9.286200705751254e-05,0.5,316573,0.0,0.0,14,0,0,19,9,8.5,20,39,35,281.0,113.0,20,19,35,771,2.190777856973,50.91942750290036
24,35,0,0,0,10.000000000000002,20,10.0,23.323267119454115,32,27.84375,21.6515397331714,3,3.0,34.30973159758068,12,20.0,53.99999999999999,9,54.0,13,2.1480000000000006,17838,241,0,0.0,2410.0000000000005,False,-0.21810716485321288,9,0.794,29885,12,10,1.0,353.2326711945412,False,0.23430984748910988,0,0.2,32826,117,62,1.0,4071.2177164327586,False,0.06259475915070652,3,2.3360000000000007,19371.0,186,0,0.0,4338.127684218465,False,-0.3434508704550953,12,2.2100000000000004,37380,140,0,0.0,3031.2155626439962,False,-0.19318783253496244,0,0.263,50158,55,57,1.0,3146.4893863865254,False,0.07306197376409518,0,0.2,63680,137,17,1.0,5618.433228868553,False,0.029053683749679274,0,0.2,64363,0,9,0.0,485.99999999999994,False,-9.286200705751254e-05,0.5,315501,0.0,0.0,16,0,0,16,9,8.571428571428571,16,32,36,198.0,135.0,15,20,36,850,1.8695757359964773,52.78900323889684
