index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,38,0,0,0,10.0,7,10.0,23.68844346994628,6,26.0,25.10353357894658,43,25.11627906976744,11.157002951377278,47,3.127659574468085,51.00000000000001,20,51.0,0,0.21800000000000003,39872,6,19,1.0,510.0804259289793,False,0.03730328334620221,0,0.2,38905,0,4,0.0,94.75377387978511,False,0.006937671568087371,19,2.2530000000000006,49950,64,0,0.0,1516.0603820765618,False,-0.10217903661470132,24,1.8890000000000002,51554,47,0,0.0,1113.356843087475,False,-0.07734417355930989,0,0.506,70825,0,3,0.1,33.47100885413183,False,0.006203188756864799,47,3.0820000000000007,38596.0,402,0,0.0,10091.620498736524,False,-0.38013194731385186,0,0.2,113656,24,27,1.0,1644.768070833055,False,0.026352971027322546,11,0.9040000000000001,107793,241,0,0.0,2688.837711281924,False,-0.02153131321205171,0.2625,511151,0.0,0.0,11,0,0,20,19,19.0,20,40,31,326.0,138.0,22,16,31,685,6.930570126976818,144.9580311967875
11,31,0,0,0,10.0,13,10.0,23.939687986411368,31,24.677419354838708,25.01501710640645,37,24.35135135135135,11.644333055778885,15,18.666666666666668,51.0,20,51.0,9,0.30800000000000005,40243,9,10,1.0,329.39687986411366,False,0.04455843345910602,0,0.2,38980,0,1,0.0,23.939687986411368,False,0.007961168544959247,28,2.514000000000001,49116,73,0,0.0,1747.59722300803,False,-0.11489582656378444,9,1.9550000000000003,50978,69,0,0.0,1651.8384710623843,False,-0.08277555842824431,2,0.526,71003,0,0,0.0,0.0,False,0.00849371493501882,10,3.1350000000000002,37305.0,439,0,0.0,10981.592509712431,False,-0.39214833811723293,0,0.2,114115,14,28,1.0,1591.0206627809043,False,0.03022718808121334,11,1.0030000000000003,107301,256,0,0.0,2980.9492622793946,False,-0.02463286714835436,0.25,509041,0.0,0.0,13,0,0,20,11,10.4,18,38,30,251.0,114.0,18,13,30,1120,5.09594346099766,150.05397465778515
12,30,0,0,0,10.0,12,10.0,24.283534381957935,22,26.0,24.72144615941078,50,23.06,10.853752740235224,31,5.548387096774194,51.0,20,51.0,12,0.41900000000000004,40443,11,10,1.0,352.83534381957935,False,0.050031477404347754,0,0.2,38980,0,1,0.0,24.283534381957935,False,0.007965612842285709,17,2.656000000000001,48609,84,0,0.0,2039.8168880844664,False,-0.12128563813023903,33,2.2760000000000007,50158,80,0,0.0,1942.6827505566348,False,-0.09471942889785025,5,0.5740000000000001,70902,0,1,0.1,10.853752740235224,False,0.007136238567858975,26,3.3850000000000002,34770.0,488,0,0.0,12064.065725792461,False,-0.4204668295874408,0,0.2,114459,11,30,1.0,1649.3912801425874,False,0.033572971248364204,12,1.1120000000000003,106937,280,0,0.0,3039.0507672658628,False,-0.027635845904724485,0.2625,505258,0.0,0.0,9,0,0,20,18,17.09090909090909,19,39,36,267.0,108.0,19,11,36,528,4.223179225984495,154.27715388376964
13,36,0,0,0,10.0,9,10.0,24.45716523767647,14,25.928571428571427,24.67120994647357,12,23.416666666666668,12.284950046216192,46,18.97826086956522,51.0,20,51.0,3,0.43700000000000006,40628,10,10,1.0,344.5716523767647,False,0.05470700615728418,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,2,2.6590000000000007,48559,85,0,0.0,2078.8590452025,False,-0.12182528864531512,10,2.343000000000001,49718,93,0,0.0,2274.5163671039118,False,-0.09957226254799213,14,0.7090000000000001,70969,0,1,0.1,12.284950046216192,False,0.008098039557177885,31,3.6690000000000014,32712.0,499,0,0.0,12310.933763290312,False,-0.44794450846324607,0,0.2,114041,22,32,1.0,1902.2689010167562,False,0.030958986995655184,12,1.2200000000000002,106631,305,0,0.0,3746.9097640959385,False,-0.027206135234779147,0.2625,502263,0.0,0.0,10,0,0,20,19,18.03076923076923,23,43,28,330.0,165.0,21,15,28,523,3.7956654980080202,158.07281938177766
14,28,0,0,0,10.0,8,10.0,24.328758544734523,1,9.0,24.64804733768446,27,24.40740740740741,12.737281492136395,24,17.166666666666668,51.0,20,51.0,0,0.43400000000000005,40557,8,19,1.0,542.246412349956,False,0.05542661581467728,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,20,2.8570000000000007,48285,86,0,0.0,2092.273234847169,False,-0.12655789554659982,7,2.403000000000001,49633,93,0,0.0,2262.5745446603105,False,-0.10118296583986694,4,0.7350000000000001,71041,0,1,0.1,12.737281492136395,False,0.00912390655132537,19,3.828000000000001,31250.0,525,0,0.0,12940.224852284342,False,-0.464240999557671,0,0.2,114338,18,31,1.0,1810.271066858455,False,0.033209330668458846,9,1.298,106322,323,0,0.0,4114.141921960056,False,-0.028330261514089017,0.2625,500431,0.0,0.0,9,0,0,18,14,13.8,20,38,26,279.0,105.0,18,10,26,650,3.925204808008857,161.99802418978652
15,26,0,0,0,10.0,10,10.0,22.81552969506487,22,15.363636363636363,24.747570678242106,18,26.27777777777778,12.554887139153792,55,11.781818181818181,51.0,20,51.0,3,0.464,40732,8,10,1.0,308.1552969506487,False,0.05692476601373494,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,1,2.8470000000000004,48267,86,0,0.0,1962.135553775579,False,-0.12802868717775126,17,2.5660000000000007,49165,115,0,0.0,2623.7859149324604,False,-0.10627148218866778,4,0.7710000000000001,71113,0,1,0.1,12.554887139153792,False,0.010145265869889576,50,4.309000000000001,27315.0,542,0,0.0,13413.183307607222,False,-0.5167730750116666,0,0.2,114400,31,32,1.0,2021.2015013137675,False,0.03471073571268243,11,1.3990000000000002,105846,355,0,0.0,4456.984934399596,False,-0.031060952068784897,0.2625,495843,0.0,0.0,10,0,0,15,20,19.03076923076923,19,34,29,222.0,111.0,14,12,29,793,3.9838121689972468,165.98183635878377
16,29,0,0,0,10.0,12,10.0,21.81607484868577,15,14.0,24.703328455501232,11,23.636363636363637,12.345909214642532,15,8.733333333333333,51.00000000000001,20,51.0,5,0.5110000000000001,40717,10,10,1.0,318.1607484868577,False,0.056666331667961665,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,6,2.906000000000001,48193,86,0,0.0,1876.1824369869762,False,-0.13009983855072707,5,2.5990000000000006,48925,130,0,0.0,2836.08973032915,False,-0.10864135581075128,0,0.7670000000000001,71113,0,1,0.0,12.345909214642532,False,0.010143781757081435,15,4.409000000000002,26450.0,553,0,0.0,13660.94063589218,False,-0.527299619090319,0,0.2,114779,36,32,1.0,2076.4527317271313,False,0.038356327077197785,10,1.4880000000000002,105653,355,0,0.0,4382.797771198098,False,-0.03312385008293918,0.25,494835,0.0,0.0,12,0,0,21,12,11.454545454545455,16,37,26,263.0,129.0,16,13,26,730,4.177532289992087,170.15936864877585
17,26,0,0,0,10.0,10,10.0,21.44466617302447,14,18.285714285714285,24.73515321933294,11,25.454545454545453,11.577325553228052,29,5.0344827586206895,51.000000000000014,20,51.0,4,0.546,40789,10,10,1.0,314.4466617302447,False,0.058479560822694635,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,6,2.960000000000001,48047,90,0,0.0,1930.0199555722022,False,-0.1322082547887515,5,2.644000000000001,48743,140,0,0.0,3002.2532642234255,False,-0.11039277196636423,0,0.7670000000000001,71113,0,1,0.0,11.577325553228052,False,0.01013832345396794,29,4.684000000000001,24619.0,564,0,0.0,13950.626415703779,False,-0.5512490134528529,0,0.2,115289,26,32,1.0,1933.0104643839297,False,0.04228570484038735,10,1.5780000000000003,105325,384,0,0.0,4445.693012439572,False,-0.03578258271797506,0.25,492930,0.0,0.0,13,0,0,16,10,10.0,21,37,19,226.0,93.0,15,11,19,762,3.263252876990009,173.42262152576586
18,19,0,0,0,10.0,7,10.0,21.44466617302447,0,,24.82821976059545,16,26.1875,10.78737656460985,37,5.486486486486487,51.00000000000001,20,51.0,0,0.542,40719,7,20,1.0,498.8933234604894,False,0.059054044610956626,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,0,2.9540000000000006,48047,90,0,0.0,1930.0199555722022,False,-0.1322082547887515,16,2.7990000000000004,48629,140,0,0.0,3002.2532642234255,False,-0.11241122130151535,0,0.7670000000000001,71099,0,2,0.1,21.5747531292197,False,0.010010473355082839,37,5.025000000000001,21934.0,579,0,0.0,14375.539241384764,False,-0.586367876987538,0,0.2,115695,27,33,1.0,1974.2591672444662,False,0.046110594353743775,11,1.6780000000000004,104948,410,0,0.0,4422.824391490039,False,-0.03926508041362191,0.2625,490076,0.0,0.0,6,0,0,20,15,15.0,11,31,21,138.0,75.0,9,10,21,529,2.911736419016961,176.33435794478282
19,21,0,0,0,10.0,10,10.0,19.08088654920549,26,8.192307692307692,24.68144297453996,44,23.931818181818183,12.279302072805404,32,24.25,51.00000000000001,20,51.0,6,0.6020000000000001,40706,7,10,1.0,260.8088654920549,False,0.0556406895033096,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,4,2.9940000000000007,47847,111,0,0.0,2117.9784069618095,False,-0.1340854263800545,40,3.1830000000000007,47677,145,0,0.0,2766.7285496347963,False,-0.1313521083089751,20,0.9670000000000001,70834,0,0,0.0,0.0,False,0.006093317235991762,10,5.088000000000001,20483.0,623,0,0.0,15376.538973138395,False,-0.5998683405075038,0,0.2,115603,27,35,1.0,2116.541155965746,False,0.04592358348185718,12,1.7870000000000004,104417,432,0,0.0,5304.658495451935,False,-0.04007271673830707,0.25,486572,0.0,0.0,11,0,0,14,17,16.02857142857143,18,32,27,173.0,75.0,11,10,27,609,3.026111254992429,179.36046919977525
20,27,0,0,0,10.0,10,10.0,19.724310419389525,16,25.0,25.062188567895248,63,26.523809523809526,14.182814891905045,40,26.55,51.000000000000014,20,51.0,6,0.656,40874,7,10,1.0,267.24310419389525,False,0.060066734362965286,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,48,3.4700000000000006,46451,127,0,0.0,2504.9874232624697,False,-0.15537644590677532,15,3.293000000000001,47572,145,0,0.0,2860.025010811481,False,-0.13238526699471057,20,1.1470000000000002,70774,0,0,0.0,0.0,False,0.005241105035153753,20,5.278000000000001,17832.0,686,0,0.0,17192.66135757614,False,-0.6246242357959225,0,0.2,116067,22,31,1.0,1893.0219276219113,False,0.04908158548858208,6,1.8350000000000002,103519,467,0,0.0,6623.374554519656,False,-0.042212255110232036,0.25,482094,0.0,0.0,13,0,0,16,15,14.3,21,37,30,278.0,90.0,17,10,30,889,3.315192628011573,182.67566182778683
21,30,0,0,0,10.0,9,10.0,19.950347226218167,19,21.526315789473685,25.07572084795491,17,25.294117647058822,14.182814891905045,0,,51.00000000000001,20,51.0,9,0.7400000000000002,40997,6,10,1.0,259.5034722621817,False,0.063146306900297,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,4,3.4620000000000006,46043,141,0,0.0,2812.9989588967615,False,-0.15987359054784292,13,3.408000000000001,47387,150,0,0.0,2992.552083932725,False,-0.13448757871126682,0,1.1270000000000002,70746,0,2,0.2,28.36562978381009,False,0.00504485213964777,0,5.258000000000001,17430.0,701,0,0.0,17578.08031441639,False,-0.6275969013960913,0,0.2,116628,12,30,1.0,1700.1937787028608,False,0.05324681850609595,9,1.9190000000000003,103352,467,0,0.0,6623.374554519656,False,-0.043709489261515445,0.275,481588,0.0,0.0,10,0,0,13,14,13.285714285714285,24,37,22,303.0,123.0,19,11,22,696,3.74285968701588,186.4185215148027
22,22,0,0,0,10.0,9,10.0,19.950347226218167,0,,24.96751061410882,50,24.4,14.621150860729315,14,23.071428571428573,51.00000000000001,20,51.0,0,0.7310000000000001,40907,5,20,1.0,449.00694452436335,False,0.06326914156401041,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,20,3.658000000000001,45923,141,0,0.0,2812.9989588967615,False,-0.16199827405852832,30,3.6950000000000016,46727,150,0,0.0,2992.552083932725,False,-0.14617333802003646,3,1.1570000000000003,70859,0,1,0.1,14.621150860729315,False,0.006552241679289379,9,5.348000000000002,15920.0,750,0,0.0,18725.632960581617,False,-0.640894588732465,0,0.2,116683,8,34,1.0,1850.9692068858349,False,0.05441580616145851,14,2.0500000000000007,102944,475,0,0.0,6945.046658846425,False,-0.04592543119964123,0.2625,478968,0.0,0.0,8,0,0,17,14,13.6,16,33,25,197.0,87.0,13,9,25,396,3.3984103570110165,189.81693187181372
23,25,0,0,0,10.0,12,10.0,20.85596001998654,24,26.0,24.838199100284683,35,23.8,13.716306040575988,24,4.083333333333333,51.00000000000001,20,51.0,4,0.7710000000000001,41327,7,10,1.0,278.5596001998654,False,0.0719232706054165,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,23,3.868000000000001,45128,153,0,0.0,3190.9618830579407,False,-0.1727282540142536,12,3.785000000000001,46273,162,0,0.0,3378.6655232378193,False,-0.15079352039485627,0,1.1540000000000004,70845,0,2,0.1,27.432612081151976,False,0.006444376195448801,24,5.579000000000002,13880.0,784,0,0.0,19473.148094623193,False,-0.6645611242481131,0,0.2,117125,12,34,1.0,1898.595672486912,False,0.058592042570253015,10,2.1360000000000006,102715,485,0,0.0,6652.408429679354,False,-0.049290344948048015,0.2625,476298,0.0,0.0,11,0,0,17,19,18.333333333333332,19,36,20,258.0,72.0,16,9,20,942,3.1899379619862884,193.0068698338
24,20,0,0,0,10.0,9,10.0,19.83368893931558,15,10.0,24.860203673441102,9,25.555555555555557,12.712070188236488,43,6.837209302325581,51.0,20,51.0,5,0.8170000000000002,41282,6,10,1.0,258.3368893931558,False,0.07049861556965621,0,0.2,39005,0,0,0.0,0.0,False,0.008298004342880777,7,3.915000000000001,44943,168,0,0.0,3332.0597418050174,False,-0.1747546898687564,2,3.793000000000001,46248,162,0,0.0,3213.057608169124,False,-0.15270226448618845,3,1.1840000000000002,70958,0,1,0.1,12.712070188236488,False,0.007944833961992921,38,5.935000000000001,11137.0,792,0,0.0,19689.281309365353,False,-0.701986497341344,0,0.2,117606,30,34,1.0,2115.3621056470947,False,0.0638761424508338,10,2.2260000000000004,102258,500,0,0.0,6356.035094118244,False,-0.054716130258841124,0.2625,473437,0.0,0.0,10,0,0,4,18,16.93333333333333,25,29,21,173.0,57.0,11,9,21,600,2.434093003976159,195.44096283777617
