index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,21.624275122859988,15,31.4,25.467676247848846,49,26.693877551020407,12.97998596608182,38,2.789473684210526,45.0,20,45.0,0,0.893,18744,120,0,0.0,1200.0000000000002,False,-0.09234234234234234,0,0.2,22918,1,10,1.0,226.24275122859987,False,0.08066447896088122,0,0.2,27631,0,11,0.0,280.1444387263373,False,0.004669424041790392,49,1.5720000000000003,21530.0,152,0,0.0,3286.8898186747183,False,-0.16165816839095004,0,0.5330000000000001,37324,23,10,1.0,715.5564133613416,False,-0.004681100750662497,38,2.443000000000001,20908,114,0,0.0,2903.3150922547684,False,-0.40939650951880974,0,0.2,52166,30,22,1.0,1379.3995789824546,False,0.04235425947564935,12,0.8600000000000001,48109,165,0,0.0,2141.6976844035003,False,-0.030136293243635183,0.375,249330,0.0,0.0,17,0,0,16,13,13.0,24,40,24,249.0,84.0,16,8,24,1031,1.5514909476041794,33.90366176329553
11,24,0,0,0,10.000000000000002,20,10.0,23.25948675177204,32,30.0,25.191166080934867,3,14.0,13.007990465654768,8,13.625,45.00000000000001,20,45.0,0,0.893,18614,133,0,0.0,1330.0000000000002,False,-0.09539226726726727,22,0.42000000000000004,23146,0,8,0.8,186.07589401417633,False,0.09042032409004727,0,0.2,27631,0,11,0.0,277.10282689028355,False,0.004614406101046975,3,1.5530000000000004,20516.0,184,0,0.0,4279.745562326056,False,-0.18038228850434024,0,0.5330000000000001,37378,13,17,1.0,548.6209969682843,False,-0.00545945485923714,5,2.4550000000000005,20716,117,0,0.0,2947.366431469379,False,-0.4138861772435962,0,0.2,52427,23,25,1.0,1424.1837807100599,False,0.04794296541679866,13,0.9780000000000002,47804,170,0,0.0,2211.3583791613105,False,-0.03546424253410403,0.35,248232,0.0,0.0,14,0,0,12,11,10.375,23,35,25,195.0,90.0,14,10,25,569,1.5782457422465086,35.48190750554204
12,25,0,0,0,10.000000000000002,20,10.0,23.25948675177204,0,,25.05290996162925,28,24.5,11.93073851784692,34,6.676470588235294,45.0,20,45.0,0,0.893,18484,146,0,0.0,1460.0000000000002,False,-0.09844219219219219,0,0.398,23076,0,15,0.7,348.8923012765806,False,0.09095561893009996,0,0.2,27684,0,10,0.0,250.5290996162925,False,0.006051101577604638,27,1.8200000000000003,19993.0,184,0,0.0,4279.745562326056,False,-0.19930277182682052,0,0.5330000000000001,37348,11,22,1.0,538.0582569705541,False,-0.006391369859603285,29,2.740000000000001,18557,137,0,0.0,3432.2486647432074,False,-0.46450977753317296,0,0.2,52925,22,23,1.0,1297.4762473926323,False,0.05651451691441822,8,1.0450000000000002,47502,195,0,0.0,2326.4940109801496,False,-0.04028462953596914,0.3375,245569,0.0,0.0,19,0,0,12,11,11.0,22,34,26,200.0,91.0,15,10,26,883,1.824815969914198,37.30672347545624
13,26,0,0,0,10.000000000000002,20,10.0,23.840514558641672,17,28.88235294117647,25.209734626065213,25,26.0,10.601365090191337,65,6.923076923076923,45.00000000000001,20,45.0,1,0.903,18370,156,0,0.0,1560.0000000000002,False,-0.1014451951951952,1,0.40800000000000003,23431,0,10,1.0,238.40514558641672,False,0.10502076636604771,0,0.2,27684,0,10,0.0,252.09734626065213,False,0.0060794686755779054,25,2.043,19144.0,201,0,0.0,4791.943426286976,False,-0.22075205436858808,0,0.5330000000000001,37608,1,27,1.0,311.4465920612313,False,-0.0025166196669057896,60,3.311000000000001,12990,162,0,0.0,4083.9770094225646,False,-0.6029480835544709,0,0.2,53266,28,24,1.0,1376.8382225253577,False,0.0640218330689966,11,1.147,46910,244,0,0.0,2586.7330820066863,False,-0.0493932606096998,0.375,239403,0.0,0.0,14,0,0,11,19,18.0625,29,40,31,241.0,88.0,17,9,31,865,1.874011967331171,39.18073544278741
14,31,0,0,0,10.000000000000002,20,10.0,22.013305980860938,41,15.414634146341463,25.064671276999523,11,23.272727272727273,11.116447975220574,30,14.9,45.00000000000001,20,45.0,31,1.212,17452,166,0,0.0,1660.0000000000002,False,-0.14217342342342343,0,0.40700000000000003,23651,0,10,1.0,220.13305980860937,False,0.11491490849776197,0,0.2,27364,0,20,1.0,501.29342553999044,False,-0.0009895552865207171,11,2.128,18709.0,232,0,0.0,5107.086987559737,False,-0.23078852855148443,0,0.533,37916,0,20,0.2,222.32895950441147,False,0.00444186269452976,21,3.461000000000001,11707,172,0,0.0,4311.123459643918,False,-0.6338370868268587,0,0.2,53577,27,26,1.0,1470.1440953309557,False,0.07107501868867783,12,1.256,46280,265,0,0.0,2945.858713433452,False,-0.058276221568258936,0.4,236656,0.0,0.0,18,0,0,15,21,21.0,28,43,27,302.0,108.0,20,11,27,1202,2.085101056843996,41.265836499631405
15,27,0,0,0,10.000000000000002,20,10.0,22.013305980860938,0,,25.06141896807278,7,25.0,9.826150882127033,36,1.75,45.0,20,45.0,0,1.181,17382,173,0,0.0,1730.0000000000002,False,-0.1438156906906907,0,0.40700000000000003,23521,3,20,1.0,470.26611961721875,False,0.1146834205991277,0,0.2,27364,0,20,0.0,501.2283793614556,False,-0.0009907318688688381,7,2.1870000000000003,18660.0,232,0,0.0,5107.086987559737,False,-0.23256119333695582,0,0.5330000000000001,37916,0,20,0.0,196.52301764254065,False,0.004101046219426548,36,3.8000000000000007,9256,179,0,0.0,4485.993995285027,False,-0.6962678095659549,0,0.2,54014,30,26,1.0,1464.784526463811,False,0.07964014086992009,10,1.3440000000000003,46066,288,0,0.0,2829.9314540525857,False,-0.06363954943941211,0.25,234179,0.0,0.0,17,0,0,15,10,10.0,23,38,25,219.0,108.0,16,11,25,650,1.852607460692525,43.11844396032393
16,25,0,0,0,10.000000000000002,20,10.0,22.013305980860938,0,,24.859255001479426,19,23.526315789473685,10.866436864988993,20,23.1,45.0,20,45.0,0,1.1810000000000003,17322,179,0,0.0,1790.0000000000002,False,-0.14522334834834835,0,0.40700000000000003,23381,7,30,1.0,730.3991794258282,False,0.11421732309088367,0,0.2,27364,0,20,0.0,497.1851000295885,False,-0.0010638683881487145,19,2.3700000000000006,18353.0,232,0,0.0,5107.086987559737,False,-0.2436674808704194,0,0.533,38168,0,15,0.0,162.99655297483488,False,0.010314542816435058,15,3.9140000000000006,8314,198,0,0.0,4922.132490292926,False,-0.7153895706398357,0,0.2,54319,27,27,1.0,1508.393795354703,False,0.0860849747116303,11,1.4440000000000002,45495,301,0,0.0,3270.7974963616866,False,-0.07055299463238851,0.25,232716,0.0,0.0,17,0,0,12,12,12.0,20,32,20,202.0,97.0,13,12,20,857,1.5871251467615366,44.705569107085466
17,20,0,0,0,10.000000000000002,20,10.0,22.013305980860938,0,,24.7828994250705,5,22.8,10.622399777872797,29,8.689655172413794,45.0,20,45.0,0,1.181,17192,192,0,0.0,1920.0000000000005,False,-0.14827327327327328,0,0.40700000000000003,23311,4,40,1.0,920.5322392344375,False,0.11539349284990706,0,0.2,27364,0,20,0.0,495.65798850141,False,-0.0010914914170210713,5,2.4010000000000007,18299.0,232,0,0.0,5107.086987559737,False,-0.24562102981767356,0,0.5330000000000001,38282,0,8,0.1,84.97919822298238,False,0.012295348506603184,21,4.109000000000001,7231,202,0,0.0,5006.145683864241,False,-0.7428861607033435,0,0.2,54606,24,30,1.0,1604.9375946689472,False,0.09269678940866288,13,1.5630000000000004,45008,323,0,0.0,3431.0351282529136,False,-0.07857699841984583,0.2625,231293,0.0,0.0,13,0,0,11,11,11.0,20,31,19,181.0,50.0,13,7,19,643,1.4505519084632397,46.156121015548706
18,19,0,0,0,10.000000000000002,20,10.0,21.885362151115057,2,11.0,24.694776313728177,1,14.0,11.218782245301506,19,18.526315789473685,44.99999999999999,20,45.0,0,1.181,17102,201,0,0.0,2010.0000000000005,False,-0.15038475975975976,0,0.40700000000000003,23223,5,48,1.0,1100.4973832535227,False,0.11548651893894343,0,0.2,27364,0,20,0.0,493.8955262745635,False,-0.001123371567278674,1,2.406000000000001,18259.0,234,0,0.0,5121.1747433609235,False,-0.24681327792198599,0,0.5330000000000001,38518,0,4,0.1,44.875128981206025,False,0.017999354565376876,14,4.228000000000001,6679,202,0,0.0,4988.3448153730915,False,-0.7577016717904185,0,0.2,54692,27,32,1.0,1742.9071206231404,False,0.09575320581193446,12,1.6700000000000002,44694,329,0,0.0,3690.9793587041954,False,-0.08220616708700607,0.2625,230531,0.0,0.0,18,0,0,7,10,10.0,28,35,17,177.0,66.0,12,7,17,832,1.2842866647988558,47.44040768034756
19,17,0,0,0,10.000000000000002,20,10.0,21.885362151115057,0,,24.686521088274294,29,24.655172413793103,11.202740007985641,13,10.923076923076923,44.99999999999999,20,45.0,0,1.181,17032,208,0,0.0,2080.0000000000005,False,-0.15202702702702703,0,0.40700000000000003,23093,8,58,1.0,1349.3510047646732,False,0.11522501418836033,0,0.2,27774,0,10,0.0,246.86521088274293,False,0.009240742545451569,19,2.5950000000000006,17841.0,234,0,0.0,5121.1747433609235,False,-0.26193519384702757,1,0.5430000000000001,38143,1,10,1.0,136.7139211681307,False,0.009307085781031394,8,4.294000000000001,6088,220,0,0.0,5431.034639420344,False,-0.7674656668240003,0,0.2,55142,22,30,1.0,1596.460280175684,False,0.10318352410049385,8,1.7380000000000004,44521,337,0,0.0,3775.323382691161,False,-0.08478619367071114,0.375,229634,0.0,0.0,19,0,0,6,10,9.2,28,34,17,132.0,33.0,11,6,17,1150,2.0707669407129288,49.51117462106049
20,17,0,0,0,10.000000000000002,20,10.0,21.885362151115057,0,,24.838351229070234,31,25.451612903225808,10.66496400294255,12,1.0,45.0,20,45.0,0,1.181,16942,217,0,0.0,2170.0000000000005,False,-0.15413851351351351,0,0.40700000000000003,22983,9,68,1.0,1578.2046262758238,False,0.1154327286569966,0,0.2,27774,0,10,0.0,248.38351229070236,False,0.009268206213202807,31,2.8860000000000006,17237.0,234,0,0.0,5121.1747433609235,False,-0.2837860005903891,0,0.542,38143,0,11,0.1,117.31460403236805,False,0.009050880953437264,12,4.4060000000000015,4763,251,0,0.0,6234.426158496629,False,-0.7918536390488836,0,0.2,55547,12,31,1.0,1522.9795680353106,False,0.11044588199135554,11,1.8400000000000003,44304,349,0,0.0,3722.07243702695,False,-0.08959067171820083,0.2625,227693,0.0,0.0,17,0,0,7,11,11.0,24,31,16,127.0,54.0,9,8,16,605,1.129427531734109,50.6406021527946
21,16,0,0,0,10.000000000000002,20,10.0,22.729939911687417,18,30.0,23.25639549866504,25,14.36,12.133332125384513,16,30.9375,45.0,20,45.0,0,1.181,16842,227,0,0.0,2270.0000000000005,False,-0.1564846096096096,0,0.40700000000000003,23423,9,60,1.0,1453.796394701245,False,0.13315963763844893,0,0.2,27774,0,10,0.0,232.5639549866504,False,0.008982055476931006,25,3.105000000000001,16072.0,252,0,0.0,5727.9448577452295,False,-0.3149564999322548,0,0.542,38244,15,12,1.0,494.44591798458976,False,0.016699409889122628,7,4.464000000000001,4511,251,0,0.0,5837.355270164925,False,-0.8037539915189925,0,0.2,55862,11,31,1.0,1528.4666533792297,False,0.11671202427012733,10,1.929,43784,356,0,0.0,4319.466236636887,False,-0.09395493574350312,0.375,226512,0.0,0.0,21,0,0,4,7,7.0,26,30,18,170.0,48.0,10,6,18,1650,1.1770195849239826,51.81762173771858
22,18,0,0,0,10.000000000000002,20,10.0,23.240503726442533,23,26.695652173913043,23.847037027008113,59,25.338983050847457,12.41852929174811,27,14.518518518518519,45.0,20,45.0,2,1.201,16694,239,0,0.0,2390.0000000000005,False,-0.16061373873873874,0,0.40700000000000003,23935,7,49,1.0,1208.7846825956842,False,0.1514354514497862,0,0.2,27774,0,10,0.0,238.47037027008113,False,0.009088893174699353,59,3.6700000000000004,14083.0,275,0,0.0,6391.138524771696,False,-0.3749160964334763,0,0.542,37306,49,17,1.0,1379.6198122831154,False,0.0036136693029809553,22,4.677000000000001,3176,266,0,0.0,6343.311849184158,False,-0.8323342950264909,0,0.2,56101,9,30,1.0,1461.766763625733,False,0.12076759844231422,9,2.0090000000000003,43499,375,0,0.0,4656.948484405541,False,-0.09624764845383825,0.375,222568,0.0,0.0,16,0,0,7,14,14.0,25,32,20,185.0,46.0,13,5,20,1537,1.4218236468732357,53.23944538459182
23,20,0,0,0,10.000000000000002,20,10.0,23.753404305166086,10,32.0,23.81694615789357,2,21.0,12.0479916427892,48,10.479166666666666,45.0,20,45.0,0,1.1990000000000003,16604,248,0,0.0,2480.0000000000005,False,-0.16272522522522523,0,0.40700000000000003,24145,8,49,1.0,1243.916810953138,False,0.16211328854525944,0,0.2,27774,0,10,0.0,238.1694615789357,False,0.009083450213062338,2,3.631000000000001,13741.0,285,0,0.0,6769.720226972335,False,-0.38044062971253284,1,0.552,37589,39,10,1.0,1049.3408165857413,False,0.006726812865972952,30,4.955000000000001,1459,268,0,0.0,6382.941570315477,False,-0.8771634014327441,0,0.2,56546,20,28,1.0,1500.959832855784,False,0.12992979246722205,8,2.0800000000000005,42971,402,0,0.0,4843.292640401258,False,-0.10482278298886513,0.375,220829,0.0,0.0,19,0,0,7,13,12.142857142857142,28,35,23,204.0,81.0,13,7,23,1258,1.497564336284995,54.73700972087681
24,23,0,0,0,10.000000000000002,20,10.0,24.727997823197555,25,30.72,23.105229813728037,21,17.333333333333332,11.436438342378544,35,7.4857142857142875,45.0,20,45.0,0,1.199,16514,257,0,0.0,2570.0000000000005,False,-0.16483671171171171,0,0.40700000000000003,24803,9,34,1.0,930.7519259887168,False,0.18564076402939,0,0.2,27774,0,10,0.0,231.0522981372804,False,0.008954711998720747,21,3.839000000000001,12525.0,310,0,0.0,7665.679325191242,False,-0.4082251768108089,0,0.5510000000000002,37523,43,12,1.0,1130.7621420988482,False,0.006058825406096879,27,5.195000000000001,-172,275,0,0.0,6353.93819877521,False,-0.9206273515045932,0,0.2,57036,15,26,1.0,1341.5465751356783,False,0.13802108715721073,8,2.1520000000000006,42633,432,0,0.0,4940.541363907531,False,-0.11052948879952348,0.375,218636,0.0,0.0,22,0,0,14,13,13.0,22,36,25,210.0,87.0,14,9,25,1652,1.5495134685188532,56.286523189395666
