index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,26,0,0,0,10.000000000000002,20,10.0,6.103571301634382,6,2.0,20.86408876954248,39,22.58974358974359,40.17850425386839,16,31.0,43.0,20,43.0,6,0.7910000000000001,14548,100,0,0.0,1000.0000000000002,False,-0.10979649787032655,0,0.6320000000000001,14781,120,0,0.0,1200.0000000000002,False,-0.0900970184571699,0,0.2,24992,17,45,1.0,1042.6447067571962,False,0.05300765006308955,5,0.9700000000000002,22501,6,0,0.0,36.62142780980629,False,-0.07056375773226702,0,0.2,34078,0,1,0.0,40.17850425386839,False,0.015368032044754162,0,0.227,32813,67,15,1.0,2000.5715113673718,False,0.006887194201765306,9,0.8030000000000002,38773,22,0,0.0,883.9270935851046,False,-0.045307149021507585,11,0.8770000000000002,38892,28,0,0.0,1124.998119108315,False,-0.03947562908866101,0.25,221378,0.0,0.0,10,0,0,15,9,9.0,15,30,21,292.0,123.0,19,7,21,1512,1.259597691707313,16.40372688602656
11,21,0,0,0,10.000000000000002,20,10.0,5.519861326962183,15,2.0,19.793801716691455,21,14.095238095238095,40.17850425386839,0,,43.00000000000001,20,43.0,15,0.9350000000000003,14173,109,0,0.0,1090.0000000000002,False,-0.1293185044959773,0,0.6320000000000001,14671,131,0,0.0,1310.0000000000002,False,-0.09335068622811168,0,0.2,25028,7,54,1.0,1107.5043219900738,False,0.05583194357980264,20,1.1650000000000003,21971,21,0,0.0,115.91708786620585,False,-0.09080199166564439,0,0.2,34078,0,1,0.0,40.17850425386839,False,0.015368032044754162,0,0.227,32517,78,25,1.0,2548.379140248643,False,0.006229217143836558,9,0.8840000000000001,38643,22,0,0.0,883.9270935851046,False,-0.0484720141495629,11,0.9760000000000002,38715,28,0,0.0,1124.998119108315,False,-0.043784714686090166,0.25,219796,0.0,0.0,8,0,0,7,12,12.0,20,27,17,225.0,93.0,15,6,17,236,1.1041647410020232,17.507891627028584
12,17,0,0,0,10.000000000000002,20,10.0,5.3531197415393,8,3.375,19.23070368920745,10,12.5,40.17850425386839,0,,43.0,20,43.0,8,1.0000000000000002,13932,118,0,0.0,1180.0000000000002,False,-0.14091339327969712,0,0.6320000000000001,14561,142,0,0.0,1420.0000000000002,False,-0.09660435399905348,0,0.2,25001,5,64,1.0,1257.5306348169731,False,0.057813583615026955,10,1.2450000000000003,21776,21,0,0.0,112.41551457232529,False,-0.09892245832324224,0,0.2,34078,0,1,0.0,40.17850425386839,False,0.015368032044754162,0,0.227,32392,78,35,1.0,2906.2425366435746,False,0.007835187550526744,9,0.9650000000000003,38519,22,0,0.0,883.9270935851046,False,-0.05149080857940027,11,1.0750000000000002,38538,28,0,0.0,1124.998119108315,False,-0.048093800283519325,0.25,218797,0.0,0.0,7,0,0,6,11,11.0,20,26,15,154.0,75.0,12,5,15,200,0.8958195419982076,18.403711169026792
13,15,0,0,0,10.000000000000002,20,10.0,4.599595593768176,28,2.107142857142857,18.933332049221242,5,12.0,40.17850425386839,0,,43.00000000000001,20,43.0,1,1.0020000000000002,13828,127,0,0.0,1270.0000000000002,False,-0.14440369143398013,27,0.9020000000000001,13894,153,0,0.0,1530.0000000000002,False,-0.1328088026502603,0,0.2,24994,0,70,0.6,1325.333243445487,False,0.05892387724308651,5,1.2850000000000004,21639,48,0,0.0,220.78058850087245,False,-0.10234057145361197,0,0.2,34078,0,1,0.0,40.17850425386839,False,0.015368032044754162,0,0.227,32332,73,45,1.0,3190.165931017228,False,0.010275831264028727,11,1.0660000000000003,38340,22,0,0.0,883.9270935851046,False,-0.05584858440956874,9,1.1540000000000001,38409,28,0,0.0,1124.998119108315,False,-0.05123432029520498,0.2,217514,0.0,0.0,6,0,0,6,11,11.0,16,22,18,127.0,75.0,10,5,18,200,0.7010010378435254,19.104712206870317
14,18,0,0,0,10.000000000000002,20,10.0,4.502793012002747,3,1.0,18.01654304874656,19,12.736842105263158,40.17850425386839,0,,43.00000000000001,20,43.0,3,1.0310000000000004,13678,136,0,0.0,1360.0000000000002,False,-0.15061523899668716,0,0.8750000000000002,13784,164,0,0.0,1640.0000000000002,False,-0.1360624704212021,0,0.2,25108,0,64,0.3,1153.0587551197798,False,0.06007385272028937,10,1.3800000000000003,21444,48,0,0.0,216.13406457613183,False,-0.11048466580180506,0,0.2,34078,0,1,0.0,40.17850425386839,False,0.015368032044754162,0,0.227,32090,82,55,1.0,3687.1742639599793,False,0.010469511404323497,10,1.1550000000000002,38188,22,0,0.0,883.9270935851046,False,-0.05954904209775649,10,1.245,38270,28,0,0.0,1124.998119108315,False,-0.054618291470587194,0.1625,216640,0.0,0.0,9,0,0,5,9,9.0,17,22,20,151.0,102.0,11,7,20,317,0.8512101406231523,19.95592234749347
15,20,0,0,0,10.000000000000002,20,10.0,4.406899884741744,4,2.0,17.613990610104757,9,12.444444444444445,40.17850425386839,0,,43.00000000000001,20,43.0,0,1.0280000000000002,13598,144,0,0.0,1440.0000000000002,False,-0.15298154283009938,4,0.9150000000000003,13588,176,0,0.0,1760.0000000000002,False,-0.1441079034548036,0,0.2,25152,0,64,0.4,1127.2953990467045,False,0.06135819470565659,5,1.4200000000000002,21359,48,0,0.0,211.5311944676037,False,-0.11408784525841746,0,0.2,34078,0,1,0.0,40.17850425386839,False,0.015368032044754162,0,0.227,31978,81,65,1.0,4038.336015919931,False,0.012362813648977674,11,1.2550000000000003,38006,22,0,0.0,883.9270935851046,False,-0.06397985327703393,9,1.325,38141,28,0,0.0,1124.998119108315,False,-0.057758811482272854,0.175,215900,0.0,0.0,8,0,0,10,9,9.0,16,26,21,170.0,105.0,13,7,21,252,1.1698827976360917,21.12580514512956
16,21,0,0,0,10.000000000000002,20,10.0,4.406899884741744,0,,17.44875345501697,19,16.473684210526315,41.70562673354229,5,60.0,43.0,20,43.0,0,1.0280000000000002,13518,152,0,0.0,1520.0000000000002,False,-0.1553478466635116,0,0.911,13468,188,0,0.0,1880.0000000000002,False,-0.1476573592049219,0,0.2,25152,0,64,0.0,1116.720221121086,False,0.06113996081392303,19,1.6050000000000002,20962,48,0,0.0,211.5311944676037,False,-0.13047316863123515,0,0.2,34078,0,1,0.0,41.70562673354229,False,0.015390769262306338,0,0.227,31965,90,70,1.0,4489.781682299487,False,0.018697243795775916,10,1.3440000000000003,37557,27,0,0.0,1126.0519218056418,False,-0.07196353196750362,10,1.4160000000000001,37997,28,0,0.0,1167.757548539184,False,-0.06074401659680609,0.125,214697,0.0,0.0,8,0,0,12,10,10.0,18,30,17,222.0,90.0,16,5,17,500,1.2429546229541302,22.36875976808369
17,17,0,0,0,10.000000000000002,20,10.0,4.234763534481328,5,1.0,18.33939834873004,38,21.105263157894736,43.14821026128485,5,60.0,43.00000000000001,20,43.0,5,1.0780000000000003,13308,163,0,0.0,1630.0000000000002,False,-0.1645172740179839,0,0.911,13378,197,0,0.0,1970.0000000000005,False,-0.15031945101751065,0,0.2,25277,0,59,0.5,1082.0245025750723,False,0.06558307199172624,28,1.8660000000000003,20822,48,0,0.0,203.26864965510373,False,-0.13642187771564854,0,0.2,34078,0,1,0.0,43.14821026128485,False,0.015412247785439804,0,0.227,31463,118,75,1.0,5400.164774746509,False,0.017303388344150187,9,1.4240000000000002,37127,32,0,0.0,1380.7427283611153,False,-0.07933169334451848,11,1.5160000000000002,37816,28,0,0.0,1208.1498873159758,False,-0.06465880456573214,0.1875,213269,0.0,0.0,10,0,0,6,9,9.0,18,24,13,154.0,83.0,11,6,13,630,0.9892233731225133,23.357983141206205
18,13,0,0,0,10.000000000000002,20,10.0,4.0823293714530084,7,2.142857142857143,17.9402446094422,16,14.4375,43.45850049659443,5,47.0,43.00000000000001,20,43.0,6,1.1330000000000002,13090,173,0,0.0,1730.0000000000002,False,-0.17445575011831518,1,0.9210000000000003,13260,207,0,0.0,2070.0000000000005,False,-0.1543421675343114,0,0.2,25363,0,60,0.7,1076.414676566532,False,0.06901677074098261,10,1.9380000000000004,20632,48,0,0.0,195.9518098297444,False,-0.14441471356990093,0,0.2,34078,0,1,0.0,43.45850049659443,False,0.015416867674596392,0,0.227,31467,124,80,1.0,5701.2703712983875,False,0.021905639498814737,8,1.495,37026,32,0,0.0,1390.6720158910218,False,-0.08166968526766216,12,1.6250000000000002,37369,33,0,0.0,1434.1305163876164,False,-0.07279030922694993,0.2125,212285,0.0,0.0,9,0,0,5,12,12.0,19,24,15,151.0,34.0,10,3,15,536,0.6455686567351222,24.003551797941327
19,15,0,0,0,10.000000000000002,20,10.0,3.9138169996751655,5,1.0,17.522576749588737,13,13.0,43.45850049659443,0,,43.00000000000001,20,43.0,0,1.1270000000000002,12980,184,0,0.0,1840.0000000000002,False,-0.17770941788925698,5,0.9700000000000002,13070,216,0,0.0,2160.0000000000005,False,-0.16292001893043068,0,0.2,25358,0,65,0.5,1138.967488723268,False,0.07010127303486047,13,2.0580000000000007,20358,48,0,0.0,187.86321598440793,False,-0.15589039547681693,0,0.2,34078,0,1,0.0,43.45850049659443,False,0.015416867674596392,0,0.227,31298,127,90,1.0,6136.632291891268,False,0.023355254182169955,11,1.5970000000000002,36848,32,0,0.0,1390.6720158910218,False,-0.08600311598146099,9,1.7030000000000003,37242,33,0,0.0,1434.1305163876164,False,-0.07588213900589627,0.1875,211232,0.0,0.0,7,0,0,3,11,11.0,18,21,19,117.0,68.0,8,7,19,200,0.7806642698124051,24.784216067753732
20,19,0,0,0,10.000000000000002,20,10.0,3.8163611469911145,38,3.6052631578947367,17.375326197598234,9,15.11111111111111,45.45086143698435,6,64.0,43.000000000000014,20,43.0,0,1.1270000000000002,12860,196,0,0.0,1960.0000000000005,False,-0.1812588736393753,38,1.3450000000000002,12189,224,0,0.0,2240.0000000000005,False,-0.2126715570279224,0,0.2,25437,0,65,0.5,1129.3962028438852,False,0.07316431142110454,4,2.085000000000001,20162,81,0,0.0,309.12525290628025,False,-0.16147745980217348,0,0.2,34078,0,1,0.0,45.45086143698435,False,0.015446531794368773,0,0.227,31546,126,94,1.0,6461.6720759739055,False,0.035579656899141075,11,1.6960000000000002,36277,38,0,0.0,1727.1327346054052,False,-0.09580858975307475,9,1.7840000000000003,37115,33,0,0.0,1499.8784274204834,False,-0.07817364851226409,0.1875,209664,0.0,0.0,10,0,0,8,10,10.0,17,25,17,162.0,64.0,13,6,17,668,0.9548360267654061,25.73905209451914
21,17,0,0,0,10.000000000000002,20,10.0,3.8333086860189973,71,3.859154929577465,17.375326197598234,0,,45.45086143698435,0,,43.000000000000014,20,43.0,38,1.5070000000000003,11944,208,0,0.0,2080.0000000000005,False,-0.2318977756743966,33,1.637,11548,232,0,0.0,2320.0000000000005,False,-0.24822527212494083,0,0.2,25427,0,70,0.5,1216.2728338318764,False,0.07454440616269506,0,2.081000000000001,19898,147,0,0.0,563.4963768447926,False,-0.16712418224349349,0,0.2,34078,0,1,0.0,45.45086143698435,False,0.015446531794368773,0,0.227,31546,116,104,1.0,6742.427428367768,False,0.039759803292951076,7,1.7550000000000003,36194,38,0,0.0,1727.1327346054052,False,-0.09782923441175623,13,1.9050000000000002,36879,33,0,0.0,1499.8784274204834,False,-0.08391909597550296,0.1875,207514,0.0,0.0,7,0,0,8,9,9.0,18,26,13,163.0,41.0,12,5,13,200,1.5421096924692392,27.281161786988378
22,13,0,0,0,10.000000000000002,20,10.0,3.7481487456790634,5,1.0,17.216397478227968,5,13.0,45.45086143698435,0,,43.000000000000014,20,43.0,0,1.4690000000000003,11834,219,0,0.0,2190.0000000000005,False,-0.2351514434453384,5,1.654,11358,241,0,0.0,2410.0000000000005,False,-0.2568031235210601,0,0.2,25487,0,70,0.5,1205.1478234759577,False,0.07679119698452178,0,2.081000000000001,19898,147,0,0.0,550.9778656148223,False,-0.16738251959191838,0,0.2,34078,0,1,0.0,45.45086143698435,False,0.015446531794368773,0,0.227,31481,111,114,1.0,7092.41832389952,False,0.04303523202756711,10,1.8480000000000008,36074,38,0,0.0,1727.1327346054052,False,-0.10075064837611498,10,1.992,36730,33,0,0.0,1499.8784274204834,False,-0.08754651831458174,0.1875,206940,0.0,0.0,8,0,0,5,6,6.0,17,22,13,122.0,57.0,9,4,13,265,0.8506854306906462,28.131847217679024
23,13,0,0,0,10.000000000000002,20,10.0,3.7239707677498735,5,3.0,17.05282606602183,5,13.0,44.28161019175607,11,38.36363636363637,43.000000000000014,20,43.0,5,1.5190000000000003,11654,228,0,0.0,2280.0000000000005,False,-0.2431377188831046,0,1.6490000000000002,11248,252,0,0.0,2520.0000000000005,False,-0.2600567912920019,0,0.2,25537,0,70,0.5,1193.697824621528,False,0.0786185526563525,0,2.081000000000001,19898,147,0,0.0,547.4237028592314,False,-0.1674558648136689,0,0.2,34078,0,1,0.0,44.28161019175607,False,0.015429122896071646,0,0.227,31838,106,113,1.0,6811.42151466675,False,0.04948218561531111,7,1.9080000000000004,35685,43,0,0.0,1904.109238245511,False,-0.1080666418560046,13,2.1120000000000005,36403,39,0,0.0,1726.9827974784869,False,-0.09274293020889954,0.1875,206341,0.0,0.0,9,0,0,6,6,6.0,17,23,21,138.0,39.0,10,3,21,687,0.9977700700983405,29.129617287777364
24,21,0,0,0,10.000000000000002,20,10.0,3.6295492820173694,5,1.0,17.04203107360572,6,16.833333333333332,44.28161019175607,0,,43.000000000000014,20,43.0,5,1.5640000000000003,11454,238,0,0.0,2380.0000000000005,False,-0.2520113582584004,0,1.6490000000000002,11148,262,0,0.0,2620.0000000000005,False,-0.26301467108376714,0,0.2,25568,0,74,0.5,1261.1102994468233,False,0.0812891638005453,5,2.1310000000000007,19818,147,0,0.0,533.5437444565533,False,-0.17104412595533133,0,0.2,34078,0,1,0.0,44.28161019175607,False,0.015429122896071646,0,0.227,31737,102,123,1.0,7184.925223093781,False,0.05203569208346414,9,1.9910000000000005,35561,43,0,0.0,1904.109238245511,False,-0.11108543628584197,11,2.2090000000000005,36230,39,0,0.0,1726.9827974784869,False,-0.09695463534085007,0.1875,205594,0.0,0.0,7,0,0,8,8,8.0,20,28,25,209.0,86.0,15,6,25,236,1.2547129793092608,30.384330267086625
