index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,11,0,0,0,10.000000000000002,20,10.0,10.498494525649491,3,10.0,21.124676199718525,20,26.15,22.396033343697738,19,20.05263157894737,48.0,20,48.0,0,0.929,33383,109,0,0.0,1090.0000000000002,False,-0.05258160900282036,3,1.1210000000000002,33143,111,0,0.0,1110.0000000000002,False,-0.05900421658149731,0,0.2,58958,0,12,0.0,253.49611439662232,False,0.017299381150108654,14,1.9510000000000003,48828,145,0,0.0,1522.2817062191762,False,-0.1461924784244217,19,0.9300000000000004,75939,141,0,0.0,2978.579344160312,False,-0.04697778728438488,0,0.8390000000000002,76961,78,0,0.0,1647.724743578045,False,-0.042588930127527486,6,0.32300000000000006,95697,3,10,1.0,547.1881000310932,False,0.012508245503144392,0,0.29000000000000004,96341,10,10,1.0,703.9603334369774,False,0.02012955812331587,0.25,519250,0.0,0.0,18,0,0,12,9,9.0,17,29,10,108.0,45.0,6,5,10,1160,1.0774590580258518,31.38164112303639
11,10,0,0,0,10.000000000000002,20,10.0,10.11778296330961,87,9.597701149425289,22.203816577090176,27,28.962962962962962,21.84417567582912,22,18.90909090909091,48.0,20,48.0,45,1.3790000000000002,32324,117,0,0.0,1170.0000000000002,False,-0.08103655301443691,42,1.5380000000000003,32229,123,0,0.0,1230.0000000000002,False,-0.08285163776493257,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,15,2.087,47573,232,0,0.0,2347.3256474878294,False,-0.1606979541366406,12,1.0310000000000004,75555,141,0,0.0,3130.738137369715,False,-0.05076781255849767,10,0.9390000000000001,75869,105,0,0.0,2331.4007405944685,False,-0.05182226142781428,0,0.31700000000000006,96081,0,5,0.3,240.0,False,0.014939072638075646,2,0.31000000000000005,96387,22,10,1.0,960.5718648682407,False,0.021968517512624637,0.1625,515528,0.0,0.0,20,0,0,13,12,12.0,16,29,11,126.0,24.0,7,3,11,1616,1.0912732789875008,32.47291440202389
12,11,0,0,0,10.000000000000002,20,10.0,10.065997505674442,9,9.0,21.874539238160768,15,18.0,21.248913056243158,26,18.384615384615383,48.0,20,48.0,9,1.4240000000000002,32107,127,0,0.0,1270.0000000000002,False,-0.0856999246041719,0,1.4960000000000002,32129,133,0,0.0,1330.0000000000002,False,-0.08424785680377538,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,15,2.2220000000000004,47192,241,0,0.0,2425.9053988675405,False,-0.1665813929160852,21,1.229,74411,156,0,0.0,3412.4281211530797,False,-0.06311509556801594,5,0.9790000000000001,75734,105,0,0.0,2296.8266200068806,False,-0.053696679057130436,0,0.31700000000000006,96221,0,5,0.5,240.0,False,0.01641609959381759,5,0.35800000000000004,96427,33,10,1.0,1181.2141308560242,False,0.02355443440869356,0.1875,513731,0.0,0.0,19,0,0,13,10,9.75,16,29,7,162.0,6.0,9,2,7,872,1.0561866009957157,33.529101003019605
13,7,0,0,0,10.000000000000002,20,10.0,10.062426937390649,10,10.0,21.557241069842746,12,17.0,20.81389327197812,26,18.53846153846154,48.00000000000001,20,48.0,10,1.5150000000000001,31917,134,0,0.0,1340.0000000000002,False,-0.09002820362458462,0,1.4960000000000002,31999,146,0,0.0,1460.0000000000002,False,-0.08606294155427104,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,12,2.3270000000000004,46788,251,0,0.0,2525.6691612850527,False,-0.1726784679641438,19,1.3980000000000004,73674,160,0,0.0,3449.1585711748394,False,-0.07196037558511395,7,1.044,75411,113,0,0.0,2435.9682408922304,False,-0.05681599950217107,4,0.35700000000000004,96171,4,10,1.0,563.2555730879126,False,0.017593794234783588,1,0.36300000000000004,96670,35,10,1.0,1208.4862645192343,False,0.026261994326735497,0.25,512140,0.0,0.0,21,0,0,12,9,9.0,15,27,10,54.0,27.0,3,4,10,920,0.9666930329985917,34.4957940360182
14,10,0,0,0,10.000000000000002,20,10.0,10.049842902203874,42,10.0,21.398190395377387,6,17.0,20.377473790599677,52,19.153846153846153,48.0,20,48.0,21,1.7149999999999999,31535,147,0,0.0,1470.0000000000002,False,-0.09888023233084807,21,1.706,31677,153,0,0.0,1530.0000000000002,False,-0.09407723883722878,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,6,2.3750000000000004,46242,293,0,0.0,2944.603970345735,False,-0.17847276196327708,13,1.5090000000000003,73231,160,0,0.0,3423.710463260382,False,-0.07756963220345629,39,1.4270000000000003,73090,119,0,0.0,2546.384657049909,False,-0.0847043839187033,1,0.36300000000000004,96344,10,10,1.0,683.7747379059967,False,0.02005472774123544,0,0.36200000000000004,96404,61,11,1.0,1771.0259012265803,False,0.026423093850433028,0.25,508033,0.0,0.0,23,0,0,11,15,14.5,16,27,9,108.0,27.0,6,4,9,1064,0.9890699890092947,35.48486402502749
15,9,0,0,0,10.000000000000002,20,10.0,10.017292730326343,6,9.0,19.9621895871949,48,15.333333333333334,20.39895504339274,23,20.565217391304348,48.0,20,48.0,6,1.7540000000000002,31357,157,0,0.0,1570.0000000000002,False,-0.10245455307028567,0,1.6850000000000003,31577,163,0,0.0,1630.0000000000002,False,-0.0954734578760716,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,48,2.8490000000000006,43815,299,0,0.0,2995.1705263675767,False,-0.2198246338983507,18,1.6760000000000002,72409,177,0,0.0,3533.3075569334974,False,-0.08701269273842396,5,1.4380000000000004,72484,150,0,0.0,2994.3284380792347,False,-0.08940655770767895,3,0.392,96524,13,10,1.0,745.1864155641056,False,0.022277714910397713,0,0.36200000000000004,96540,61,14,1.0,1916.3362576469572,False,0.02862444615523008,0.25,504216,0.0,0.0,22,0,0,18,9,8.6,11,29,13,90.0,27.0,5,4,13,920,0.9974834960303269,36.48234752105782
16,13,0,0,0,10.000000000000002,20,10.0,10.016443041564967,9,10.0,19.753674441523103,12,16.583333333333332,20.302526225430224,18,19.333333333333332,48.0,20,48.0,0,1.7480000000000004,31257,167,0,0.0,1670.0000000000002,False,-0.10385077210912848,9,1.7750000000000004,31369,173,0,0.0,1730.0000000000002,False,-0.09988551003881489,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,12,2.921000000000001,43413,308,0,0.0,3085.0644568020098,False,-0.2259722412465392,8,1.7380000000000004,72058,184,0,0.0,3634.676097240251,False,-0.09070911380860212,10,1.5330000000000004,72094,155,0,0.0,3061.819538436081,False,-0.09379149770179043,0,0.389,96924,7,10,1.0,622.1176835780116,False,0.025848592517687508,0,0.3620000000000001,96752,65,14,1.0,1991.6642046529646,False,0.03125844914624136,0.25,503377,0.0,0.0,21,0,0,16,7,7.0,13,29,12,162.0,42.0,9,4,12,1160,1.2149761189939454,37.69732364005176
17,12,0,0,0,10.000000000000002,20,10.0,9.863189729908106,20,8.6,19.753674441523103,0,,20.144197276225853,44,19.499999999999996,48.0,20,48.0,14,1.8880000000000001,30951,178,0,0.0,1780.0000000000002,False,-0.1108597916841194,6,1.8260000000000003,31207,182,0,0.0,1820.0000000000002,False,-0.10315266258970707,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,0,2.9090000000000007,43241,328,0,0.0,3235.1262314098585,False,-0.22764181963317962,20,1.9300000000000004,71283,184,0,0.0,3634.676097240251,False,-0.10024816236543639,24,1.7630000000000003,71092,155,0,0.0,3061.819538436081,False,-0.10612456435204583,1,0.3990000000000001,96997,18,10,1.0,842.5955509720653,False,0.02778179854920117,0,0.3620000000000001,96724,78,15,1.0,2291.247387545616,False,0.03254337388587656,0.25,501005,0.0,0.0,22,0,0,13,11,11.0,18,31,12,162.0,24.0,9,3,12,1112,1.0851761070080101,38.782499747059774
18,12,0,0,0,10.000000000000002,20,10.0,9.8957688368644,52,10.0,19.54970630513286,14,17.0,20.07607482777319,22,19.454545454545453,48.0,20,48.0,19,2.0640000000000005,30561,190,0,0.0,1900.0000000000002,False,-0.12007483734048198,33,2.1500000000000004,30458,190,0,0.0,1900.0000000000002,False,-0.12295104856049817,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,14,3.0490000000000013,42323,380,0,0.0,3760.392158008472,False,-0.23892568734496838,17,2.0800000000000005,70591,188,0,0.0,3675.344785364978,False,-0.10851532534085184,5,1.7890000000000004,70797,165,0,0.0,3225.7015403469222,False,-0.10874699033573187,0,0.39800000000000013,97181,18,12,1.0,937.3693468999174,False,0.03022297487418849,0,0.36200000000000004,97072,80,13,1.0,2230.0859862218554,False,0.03589220861012739,0.25,498493,0.0,0.0,23,0,0,16,12,12.0,17,33,11,162.0,24.0,9,3,11,1160,2.1795043339952826,40.962004081055056
19,11,0,0,0,10.000000000000002,20,10.0,9.712753006982277,21,8.0,19.54970630513286,0,,19.938396830095584,39,19.23076923076923,48.0,20,48.0,0,2.045,30411,205,0,0.0,2050.0000000000005,False,-0.1221691658987462,21,2.3270000000000004,30114,195,0,0.0,1950.0000000000005,False,-0.1318589260283153,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,0,3.035,42155,401,0,0.0,3894.813955799893,False,-0.24066103688188795,21,2.2730000000000006,69731,188,0,0.0,3675.344785364978,False,-0.11910059212650019,18,1.9640000000000004,70128,165,0,0.0,3225.7015403469222,False,-0.11698134321898623,0,0.39800000000000013,97629,12,11,1.0,767.260761961147,False,0.03405212197057096,0,0.36200000000000004,96834,105,14,1.0,2765.5316671600362,False,0.03620579029994221,0.25,496512,0.0,0.0,22,0,0,14,8,8.0,13,27,10,108.0,45.0,6,5,10,1160,1.1126314740395173,42.074635555094574
20,10,0,0,0,10.000000000000002,20,10.0,9.712753006982277,0,,19.394696445865183,6,15.0,19.941128623610595,10,20.0,48.0,20,48.0,0,2.045,30291,217,0,0.0,2170.0000000000005,False,-0.12384462874535757,0,2.306,30034,203,0,0.0,2030.0000000000005,False,-0.13297590125938957,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,6,3.095,42017,401,0,0.0,3894.813955799893,False,-0.2430370699397392,0,2.2520000000000007,69641,194,0,0.0,3762.5711104978454,False,-0.1196715421841477,10,2.0460000000000007,69828,165,0,0.0,3200.1249135677554,False,-0.12083128245696495,2,0.41800000000000004,98136,2,10,1.0,519.8822572472212,False,0.03809612416124507,0,0.36200000000000004,96970,105,17,1.0,2909.8185054791124,False,0.038401743448220234,0.25,496427,0.0,0.0,21,0,0,14,5,4.5,13,27,12,126.0,24.0,7,3,12,1016,1.0807362790219486,43.15537183411652
21,12,0,0,0,10.000000000000002,20,10.0,9.712753006982277,0,,19.394696445865183,0,,19.94567872598917,17,20.0,48.00000000000001,20,48.0,0,2.045,30161,230,0,0.0,2300.0000000000005,False,-0.12565971349585323,0,2.306,29964,210,0,0.0,2100.0000000000005,False,-0.13395325458657953,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,0,3.0890000000000004,42017,401,0,0.0,3894.813955799893,False,-0.2430370699397392,11,2.362000000000001,69290,194,0,0.0,3762.5711104978454,False,-0.12399180804666232,6,2.0960000000000005,69662,165,0,0.0,3200.1249135677554,False,-0.1228744851155901,2,0.43600000000000005,98338,5,10,1.0,579.7283936299459,False,0.04054295718536662,0,0.3620000000000001,97274,99,19,1.0,2886.6221938729277,False,0.04148663920384517,0.25,496216,0.0,0.0,16,0,0,18,6,5.666666666666667,13,31,8,180.0,6.0,10,2,8,1016,1.0984071959974244,44.25377903011395
22,8,0,0,0,10.000000000000002,20,10.0,9.583351649348867,16,8.0,19.394696445865183,0,,19.84687357150276,29,19.17241379310345,48.000000000000014,20,48.0,8,2.125,29959,239,0,0.0,2390.0000000000005,False,-0.13004384127781968,8,2.386,29742,221,0,0.0,2210.0000000000005,False,-0.13861662617631454,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,0,3.089,41889,417,0,0.0,3996.2576377784776,False,-0.24436761675466193,4,2.391000000000001,69190,194,0,0.0,3762.5711104978454,False,-0.1252226530217377,25,2.3400000000000003,68631,165,0,0.0,3200.1249135677554,False,-0.13556449680861737,1,0.44400000000000006,98493,12,10,1.0,718.1624828580332,False,0.04290849017702181,0,0.36200000000000004,97466,101,20,1.0,2964.534230721779,False,0.04392326966672873,0.25,494880,0.0,0.0,21,0,0,7,7,7.0,16,23,13,54.0,30.0,3,5,13,1112,0.951992082002107,45.205771112116054
23,13,0,0,0,10.000000000000002,20,10.0,9.60802997574476,12,10.0,18.701679379213118,24,14.125,19.667281897668236,28,18.357142857142858,48.000000000000014,20,48.0,0,2.1170000000000004,29839,251,0,0.0,2510.0000000000005,False,-0.13171930412443103,12,2.4980000000000007,29518,229,0,0.0,2290.0000000000005,False,-0.1437547122392561,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,24,3.329000000000001,41094,429,0,0.0,4121.844859594502,False,-0.2569744760709839,5,2.4370000000000007,68726,218,0,0.0,4076.9661046684596,False,-0.12899891621226875,23,2.545000000000001,67758,165,0,0.0,3085.7770975701646,False,-0.14701349561468302,0,0.44300000000000006,98513,19,13,1.0,997.6783560556967,False,0.044593967168094606,0,0.36200000000000004,97892,102,17,1.0,2822.06275356216,False,0.04766610093138232,0.25,492850,0.0,0.0,22,0,0,14,6,6.0,18,32,8,162.0,27.0,9,4,8,1160,1.2421901029883884,46.44796121510444
24,8,0,0,0,10.000000000000002,20,10.0,9.60802997574476,0,,18.701679379213118,0,,19.66178994753253,38,19.63157894736842,48.00000000000001,20,48.0,0,2.1170000000000004,29739,261,0,0.0,2610.0000000000005,False,-0.13311552316327385,0,2.4860000000000007,29418,239,0,0.0,2390.0000000000005,False,-0.14515093127809892,0,0.2,59510,0,0,0.0,0.0,False,0.02462121212121212,0,3.3050000000000006,41094,429,0,0.0,4121.844859594502,False,-0.2569744760709839,5,2.4820000000000007,68601,218,0,0.0,4076.9661046684596,False,-0.130537472431113,33,2.852000000000001,66275,165,0,0.0,3085.7770975701646,False,-0.16526692659505104,0,0.44300000000000006,98391,47,10,1.0,1404.104127534029,False,0.045450778749454156,0,0.3620000000000001,98228,92,20,1.0,2768.884675172993,False,0.050930446142179675,0.25,491256,0.0,0.0,22,0,0,4,4,4.0,22,26,16,72.0,42.0,4,4,16,1160,1.005793817981612,47.453755033086054
