index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,18.95612937738753,47,24.06382978723404,12.656188112982939,37,12.81081081081081,33.458101151246005,11,26.818181818181817,36.999999999999986,13,37.0,17,0.5680000000000001,15075,0,9,0.9,170.60516439648777,False,0.11399093116307184,20,1.6150000000000002,10719,115,0,0.0,1150.0000000000002,False,-0.17010801675361892,24,1.637,12628,100,0,0.0,1895.612937738753,False,-0.3349431015103426,0,0.2,19099,105,41,1.0,2509.297297257991,False,-0.002907527133248708,0,0.2,24600,19,44,1.0,1712.6240248015001,False,0.04145612291456658,0,0.2,23979,38,49,1.0,2120.382104704406,False,0.024391075250673074,0,0.2,33812,0,0,0.0,0.0,False,0.0,3,0.5450000000000002,32871,1,10,1.0,403.4581011512459,False,-0.02186415915723339,0.6125,172783,0.0,0.0,14,0,0,16,10,9.083333333333332,12,28,30,204.0,87.0,16,14,30,1187,1.4486330489744432,22.018070409016218
11,30,0,0,0,10.000000000000002,20,10.0,19.16608059326918,12,23.0,12.29419761091232,5,1.0,31.382019177401006,16,23.125,36.99999999999999,11,37.0,3,0.5810000000000001,15164,3,10,1.0,221.6608059326918,False,0.12240652531165735,0,1.5950000000000002,10649,122,0,0.0,1220.0000000000002,False,-0.1726798442207363,5,1.663,12493,100,0,0.0,1916.6080593269178,False,-0.3410422755271906,0,0.2,18823,107,51,1.0,2677.77470163633,False,-0.012301604329683823,0,0.2,24925,9,41,1.0,1397.3105647716523,False,0.04830238851146854,0,0.2,24019,33,56,1.0,2163.101595094563,False,0.02690139498209233,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.552,32864,7,10,1.0,589.674134241807,False,-0.019317488846536585,0.625,172749,0.0,0.0,12,0,0,17,3,1.5833333333333333,10,27,33,186.0,123.0,14,16,33,866,1.4122671699733473,23.430337578989565
12,33,0,0,0,10.000000000000002,20,10.0,18.67619733731231,25,14.6,14.96194791948166,41,24.390243902439025,32.00923630912306,5,41.0,37.0,15,37.0,0,0.5780000000000001,15099,4,15,1.0,320.14296005968464,False,0.12124854728707787,20,1.7950000000000004,10499,131,0,0.0,1310.0000000000002,False,-0.18039532662208832,16,1.818,12072,100,0,0.0,1867.619733731231,False,-0.36286631720640694,0,0.2,19323,122,36,1.0,2817.1262002534413,False,0.015605893309494984,0,0.2,24609,15,46,1.0,1696.8540890118857,False,0.04150174055991264,0,0.2,23540,48,66,1.0,2830.7830965372414,False,0.020962711134828813,0,0.2,33812,0,0,0.0,0.0,False,0.0,5,0.6010000000000001,32978,2,10,1.0,434.0184726182461,False,-0.018247686137787638,0.625,171932,0.0,0.0,16,0,0,17,9,8.666666666666668,13,30,43,232.0,86.0,17,16,43,1648,1.5799349099979736,25.01027248898754
13,43,0,0,0,10.000000000000002,20,10.0,18.190290436423282,10,8.0,14.716010597788424,3,1.0,31.19290767149106,38,29.710526315789473,37.0,9,37.0,0,0.5780000000000001,15019,6,20,1.0,423.80580872846565,False,0.11917869824118106,5,1.8250000000000002,10364,139,0,0.0,1390.0000000000002,False,-0.18737600117569256,3,1.832,11991,100,0,0.0,1819.0290436423284,False,-0.36802456660847677,0,0.2,19243,122,46,1.0,2896.151920741908,False,0.013622493527210703,0,0.2,25530,8,23,1.0,835.1649612266018,False,0.06155473880510994,0,0.2,23745,38,71,1.0,2773.9048473918256,False,0.02818608287427531,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,32182,30,11,1.0,1342.787230144732,False,-0.02835107018004355,0.625,171886,0.0,0.0,13,0,0,14,2,2.0,18,32,42,310.0,140.0,20,23,42,1702,1.5105754699907266,26.520847958978266
14,42,0,0,0,10.000000000000002,20,10.0,18.565367529163115,28,21.214285714285715,16.505577868646398,35,24.34285714285714,30.09565948159559,7,15.0,37.0,12,37.0,0,0.5780000000000001,15423,6,12,1.0,282.7844103499574,False,0.14368375377874787,10,1.9200000000000004,10144,149,0,0.0,1490.0000000000002,False,-0.1998677345874054,5,1.879,11377,118,0,0.0,2190.7133684412474,False,-0.3889993296320666,0,0.2,19975,122,26,1.0,2694.1198631427064,False,0.04453338223540644,0,0.2,25145,9,33,1.0,1141.706963710472,False,0.052074355924200635,0,0.2,23383,52,74,1.0,3085.3688508076866,False,0.01974734792798937,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.6060000000000001,32477,27,10,1.0,1182.5828060030808,False,-0.021995403909809,0.625,171736,0.0,0.0,13,0,0,15,4,3.25,18,33,37,293.0,174.0,19,23,37,1927,1.449490821978543,27.97033878095681
15,37,0,0,0,10.000000000000002,20,10.0,18.50945706704674,38,18.210526315789473,16.69106228090032,37,17.54054054054054,30.09565948159559,0,,37.00000000000001,11,37.0,11,0.6880000000000001,15646,7,10,1.0,255.09457067046742,False,0.1590526332085556,15,2.0600000000000005,9834,158,0,0.0,1580.0000000000002,False,-0.21934014255272247,19,2.0640000000000005,10342,136,0,0.0,2517.2861611183566,False,-0.43170317540003045,0,0.2,20435,132,18,1.0,2743.687453906375,False,0.06828215974884563,0,0.2,24900,6,43,1.0,1394.259731394012,False,0.047217193703596394,0,0.2,22979,72,84,1.0,3729.7918806788525,False,0.016401257633654853,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.6150000000000001,32840,17,10,1.0,881.6262111871251,False,-0.015710011073182328,0.625,170788,0.0,0.0,12,0,0,18,7,6.333333333333333,14,32,44,244.0,127.0,20,17,44,1200,1.407566506008152,29.37790528696496
16,44,0,0,0,10.000000000000002,20,10.0,18.430842451802114,28,17.821428571428573,16.28587259726639,8,6.875,31.34882701356566,10,43.0,37.00000000000001,10,37.0,8,0.7570000000000001,15828,5,10,1.0,234.30842451802113,False,0.17166244487170335,10,2.1450000000000005,9589,170,0,0.0,1700.0000000000002,False,-0.23293408773605703,8,2.1250000000000004,10154,136,0,0.0,2506.5945734450875,False,-0.4411748745053376,0,0.2,19936,150,28,1.0,3220.6308004937764,False,0.05551929653881778,0,0.2,24847,2,53,1.0,1694.0595769135127,False,0.051181515708250025,0,0.2,23407,64,84,1.0,3675.5973153645646,False,0.03280279252474248,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,32780,17,10,1.0,902.9300592306163,False,-0.017169495161028482,0.625,170353,0.0,0.0,11,0,0,11,6,5.444444444444445,22,33,46,281.0,215.0,19,25,46,1000,1.7672283619758673,31.145133648940828
17,46,0,0,0,10.000000000000002,20,10.0,18.430842451802114,0,,16.28587259726639,0,,29.933190188201557,27,25.074074074074073,37.00000000000001,11,37.0,0,0.7490000000000001,15708,7,20,1.0,438.61684903604225,False,0.17035112238357128,0,2.1350000000000002,9509,178,0,0.0,1780.0000000000002,False,-0.2358733191270483,0,2.1170000000000004,10154,136,0,0.0,2506.5945734450875,False,-0.4411748745053376,0,0.2,19936,140,38,1.0,3199.181101948419,False,0.054993903442620284,0,0.2,25042,0,42,0.2,1257.1939879044653,False,0.05022284473887137,0,0.2,23889,54,80,1.0,3274.09233530851,False,0.0443090523934973,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.6240000000000001,32466,34,10,1.0,1387.728466398853,False,-0.019287110102938987,0.525,170516,0.0,0.0,14,0,0,14,1,0.25,21,35,39,287.0,130.0,22,24,39,1136,1.8246362460195087,32.969769894960336
18,39,0,0,0,10.000000000000002,20,10.0,18.021780953000892,10,9.0,15.666697543240746,9,3.6666666666666665,29.853910605629565,10,29.0,37.00000000000001,11,37.0,0,0.7490000000000001,15653,7,25,1.0,520.5445238250223,False,0.1693197341400919,5,2.1850000000000005,9359,188,0,0.0,1880.0000000000002,False,-0.2432213976045264,9,2.2070000000000007,9917,136,0,0.0,2450.962209608121,False,-0.45414779283769846,0,0.2,19846,140,48,1.0,3275.050815495681,False,0.0524433159137727,0,0.2,25084,0,46,0.9,1373.27988785896,False,0.05431575272795811,0,0.2,24104,44,85,1.0,3226.9170933811056,False,0.05214002154770494,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.6330000000000001,32539,34,10,1.0,1385.0329605914053,False,-0.017167973491786923,0.6125,170314,0.0,0.0,12,0,0,19,4,3.5,15,34,34,256.0,181.0,20,19,34,868,1.5484867849736474,34.518256679933984
19,34,0,0,0,10.000000000000002,20,10.0,17.54589177661758,38,14.947368421052632,15.11411495106648,37,12.64864864864865,30.356267798441138,5,41.0,37.00000000000001,9,37.0,0,0.7490000000000001,15583,8,30,1.0,606.3767532985274,False,0.16732958899619832,33,2.5100000000000007,9170,197,0,0.0,1970.0000000000005,False,-0.25380263061209496,32,2.5180000000000007,9083,136,0,0.0,2386.241281619991,False,-0.4965893969132418,0,0.2,19448,168,53,1.0,3748.7579108782766,False,0.04454901070098158,0,0.2,25119,0,46,0.5,1396.3883187282922,False,0.05622035590410939,0,0.2,23806,66,95,1.0,3881.377027622296,False,0.05333586359330469,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6320000000000001,32667,29,11,1.0,1287.331766154793,False,-0.014827106261759261,0.5625,168688,0.0,0.0,12,0,0,16,5,5.0,18,34,29,300.0,112.0,21,13,29,948,1.685629534011241,36.203886213945225
20,29,0,0,0,10.000000000000002,20,10.0,18.593929804674975,26,27.5,15.937803994958516,13,27.46153846153846,28.95826210993362,10,15.0,37.00000000000001,13,37.0,0,0.7490000000000001,16168,11,14,1.0,370.3150172654496,False,0.20164284727994156,0,2.4770000000000003,9100,204,0,0.0,2040.0000000000005,False,-0.2563744580792123,3,2.5160000000000005,8595,149,0,0.0,2770.495540896571,False,-0.5110837324034544,0,0.2,19494,171,53,1.0,4024.2656083322217,False,0.05355081586078043,0,0.2,24912,3,46,1.0,1379.893469041822,False,0.047414259072982544,0,0.2,23806,56,105,1.0,3933.1345452607075,False,0.05439460265230753,0,0.2,33812,0,0,0.0,0.0,False,0.0,2,0.6520000000000001,32908,29,10,1.0,1209.789601188075,False,-0.008846125618300008,0.625,168795,0.0,0.0,13,0,0,12,3,2.25,15,27,27,219.0,82.0,14,15,27,1706,1.2863888370338827,37.49027505097911
21,27,0,0,0,10.000000000000002,20,10.0,18.382841957211454,5,9.0,18.034286740070126,38,27.710526315789473,27.075471720899984,15,14.666666666666666,37.00000000000001,9,37.0,0,0.7490000000000001,16078,10,24,1.0,541.1882069730749,False,0.20130752468855442,5,2.5270000000000006,8940,215,0,0.0,2150.0000000000005,False,-0.26408994048056433,8,2.593000000000001,8386,149,0,0.0,2739.043451624507,False,-0.5220926994654262,0,0.2,20469,166,33,1.0,3646.6832273194154,False,0.09206591944641689,0,0.2,24621,9,41,1.0,1272.4029212175305,False,0.033310209900943626,0,0.2,23264,68,115,1.0,4340.010746228267,False,0.04054352465385322,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6500000000000001,33021,34,11,1.0,1327.5660385105996,False,-0.003762480206574558,0.625,168591,0.0,0.0,17,0,0,10,4,4.0,18,28,30,171.0,70.0,15,12,30,1773,1.408414695004467,38.898689745983575
22,30,0,0,0,10.000000000000002,20,10.0,18.42717981838618,49,18.612244897959183,18.44728726465382,6,31.666666666666668,27.18659889800302,14,28.0,37.00000000000001,8,37.0,10,0.8490000000000002,16580,9,10,1.0,274.2717981838618,False,0.22838826505194595,15,2.6720000000000006,8615,226,0,0.0,2260.0000000000005,False,-0.2839297523697553,1,2.5950000000000006,8373,149,0,0.0,2745.6497929395405,False,-0.5225677315206109,0,0.2,19732,205,38,1.0,4478.568778826012,False,0.07633784301244333,0,0.2,24838,4,37,1.0,1079.693308284727,False,0.03824598675049553,0,0.2,23249,59,125,1.0,4486.714810864953,False,0.04293079431462906,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6500000000000001,32925,38,13,1.0,1514.090758124115,False,-0.0038434467330515937,0.625,168124,0.0,0.0,13,0,0,10,5,4.588235294117647,17,27,36,201.0,125.0,14,16,36,1454,1.303447829966899,40.20213757595047
23,36,0,0,0,10.000000000000002,20,10.0,18.70174981722561,29,20.862068965517242,18.52665604665177,32,18.96875,26.631786735767303,5,15.0,37.00000000000001,0,,8,0.9190000000000003,16822,10,10,1.0,287.0174981722561,False,0.24663889698626862,11,2.7670000000000003,8387,235,0,0.0,2350.0000000000005,False,-0.2973767359835403,17,2.764000000000001,7417,168,0,0.0,3141.8939692939025,False,-0.5596949500491377,0,0.2,20172,205,33,1.0,4445.238362070759,False,0.09707633277986467,0,0.2,24563,4,42,1.0,1192.6416670888339,False,0.029305765803887322,0,0.2,22992,71,135,1.0,4910.683788640861,False,0.04108914185330895,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6500000000000001,32850,33,23,1.0,1729.848962280321,False,-0.0028710374677582335,0.625,167015,0.0,0.0,11,0,0,12,6,5.444444444444445,19,31,34,244.0,148.0,18,18,34,800,2.196357657026965,42.39849523297744
24,34,0,0,0,10.000000000000002,20,10.0,18.75442720532038,13,19.692307692307693,18.541818699815103,39,18.615384615384617,26.071724589663507,5,15.0,37.00000000000001,0,,0,0.911,16958,8,12,1.0,305.05312646384454,False,0.25729491977602476,5,2.806000000000001,8212,247,0,0.0,2470.0000000000005,False,-0.3058270262326402,11,2.8570000000000007,6915,176,0,0.0,3300.779188136387,False,-0.5803953561912412,0,0.2,20836,200,15,1.0,4029.012721561302,False,0.11940951162399703,0,0.2,24638,0,41,0.4,1068.9407081762038,False,0.029843732524162413,0,0.2,22266,100,145,1.0,5634.581935482719,False,0.026195269309878453,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6500000000000001,32775,28,33,1.0,1951.0082885105785,False,-0.001818758303108655,0.55,166412,0.0,0.0,10,0,0,9,2,2.0,20,29,42,253.0,178.0,18,16,42,1195,1.2975637430208735,43.69605897599831
25,42,0,0,0,10.000000000000002,20,10.0,18.515450050901272,5,8.0,17.83712457254883,20,10.6,26.886370725222143,10,34.5,37.00000000000001,0,,0,0.911,16938,4,17,1.0,354.76265086532163,False,0.25765165151242997,0,2.801000000000001,8072,261,0,0.0,2610.0000000000005,False,-0.3109706811668749,20,3.046000000000001,6403,176,0,0.0,3258.7192089586238,False,-0.606507637070528,0,0.2,20796,195,25,1.0,4056.440874239469,False,0.1181218065507144,0,0.2,24766,0,38,0.2,1021.6820875584415,False,0.03411369487293782,0,0.2,22271,108,150,1.0,5959.365062618595,False,0.03304351067010185,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.6500000000000001,32430,28,43,1.0,2343.81838030622,False,-0.006213498457556298,0.525,165488,0.0,0.0,10,0,0,22,5,5.0,13,35,35,311.0,180.0,22,20,35,585,1.4292567480006255,45.12531572399894
