index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,46,0,0,0,10.000000000000002,20,10.0,12.929423469131054,28,11.821428571428571,37.61202071918655,9,43.55555555555556,57.28563727001862,46,63.82608695652174,58.0,20,58.0,23,1.3390000000000002,36869.0,101,0,0.0,1010.0000000000002,False,-0.07494678481263303,5,1.114,37314.0,119,0,0.0,1190.0000000000002,False,-0.06170486609573783,0,0.2,56209,19,62,1.0,2577.604330503056,False,0.020604614467428704,0,0.2,55860,28,69,1.0,2957.2532867595414,False,0.017779197390343324,25,0.45000000000000007,78203,0,9,0.9,515.5707354301676,False,0.0073927632755355355,0,0.2,77885,0,0,0.0,0.0,False,0.0,1,0.7770000000000001,108027,5,10,1.0,866.428186350093,False,-0.0188325333974865,9,0.7940000000000003,106787,37,0,0.0,2119.568578990689,False,-0.02438182510271797,0.4875,557154,0.0,0.0,20,0,0,15,14,13.25,26,41,46,303.0,180.0,21,25,46,1930,8.627282833040226,121.32777997199446
11,46,0,0,0,10.000000000000002,20,10.0,12.783114263178197,23,11.782608695652174,37.37704389196033,7,35.42857142857143,58.16861609771676,14,63.285714285714285,58.0,20,58.0,4,1.3560000000000003,36703.0,112,0,0.0,1120.0000000000002,False,-0.07769417355576456,19,1.2990000000000002,36800.0,128,0,0.0,1280.0000000000002,False,-0.073313202316717,0,0.2,56254,19,67,1.0,2747.1411117617276,False,0.02290804543871456,0,0.2,55792,31,77,1.0,3274.3089218394693,False,0.0193860954775678,5,0.4750000000000001,78586,0,7,0.7,407.1803126840173,False,0.011614433541015661,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.7760000000000002,107786,8,10,1.0,1045.348928781734,False,-0.020203411695184994,10,0.8850000000000002,106496,38,0,0.0,2210.407411713237,False,-0.026603429412742484,0.4625,556302,0.0,0.0,23,0,0,14,11,10.416666666666668,24,38,52,309.0,189.0,18,28,52,1158,8.353101268003229,129.6808812399977
12,52,0,0,0,10.000000000000002,20,10.0,12.5995430857393,33,11.696969696969697,37.37704389196033,0,,59.200938272729594,13,66.0,58.00000000000001,20,58.0,14,1.492,36348.0,120,0,0.0,1200.0000000000002,False,-0.08549081728627296,19,1.4700000000000002,36256.0,140,0,0.0,1400.0000000000002,False,-0.08529280728676798,0,0.2,56079,24,77,1.0,3180.4214137386884,False,0.023647171607812698,0,0.2,55581,39,87,1.0,3743.1849989443813,False,0.01980212825447208,6,0.53,79138,0,0,0.0,0.0,False,0.01608782178853438,0,0.2,77885,0,0,0.0,0.0,False,0.0,1,0.786,107497,11,10,1.0,1231.2103210000255,False,-0.021977120366014635,9,0.9650000000000001,106305,38,0,0.0,2249.6356543637244,False,-0.028153843541985295,0.375,555089,0.0,0.0,16,0,0,15,15,13.711538461538462,28,43,56,303.0,213.0,21,31,56,606,8.361760538013186,138.04264177801087
13,56,0,0,0,10.000000000000002,20,10.0,12.437961205571435,42,11.761904761904763,37.37704389196033,0,,59.200938272729594,0,,58.00000000000002,20,58.0,24,1.718,35664.0,128,0,0.0,1280.0000000000002,False,-0.10143062224642345,18,1.6309999999999998,35746.0,152,0,0.0,1520.0000000000002,False,-0.09643086975892283,0,0.2,55868,32,87,1.0,3649.8175771788347,False,0.024067820235181475,0,0.2,55298,53,97,1.0,4284.785201415438,False,0.01958557609932579,0,0.524,79138,0,0,0.0,0.0,False,0.01608782178853438,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.7850000000000001,108077,1,10,1.0,639.2009382727298,False,-0.019408003572068868,10,1.0560000000000003,106085,38,0,0.0,2249.6356543637244,False,-0.030144037314488056,0.375,553761,0.0,0.0,16,0,0,19,14,14.0,24,43,55,372.0,231.0,24,32,55,780,9.046039304987062,147.08868108299794
14,55,0,0,0,10.000000000000002,20,10.0,12.36087903735836,28,11.821428571428571,37.73667833595102,4,43.0,59.200938272729594,0,,58.000000000000014,20,58.0,18,1.874,35184.0,137,0,0.0,1370.0000000000002,False,-0.11219741596950646,10,1.713,35461.0,163,0,0.0,1630.0000000000002,False,-0.10212365724469086,0,0.2,55700,36,97,1.0,4105.44944393215,False,0.025129572429594734,0,0.2,55307,57,103,1.0,4591.447973732382,False,0.022467010789821835,0,0.524,78966,0,4,0.4,236.80375309091838,False,0.015399651749957667,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.7850000000000001,108657,0,1,0.1,58.000000000000014,False,-0.01678999837165964,10,1.1460000000000004,105854,38,0,0.0,2249.6356543637244,False,-0.03223374077561595,0.3125,553014,0.0,0.0,18,0,0,20,13,13.0,25,45,57,369.0,261.0,23,32,57,952,8.698299401963595,155.78698048496153
15,57,0,0,0,10.000000000000002,20,10.0,12.308520397120347,18,11.722222222222221,37.39005185141913,9,35.22222222222222,56.20783671777616,8,23.0,58.00000000000002,20,58.0,14,1.9960000000000004,34799.0,148,0,0.0,1480.0000000000002,False,-0.12036532844908668,4,1.7430000000000003,35315.0,172,0,0.0,1720.0000000000002,False,-0.10462353348844117,0,0.2,55682,40,102,1.0,4306.126104729566,False,0.02659110446713146,0,0.2,55431,51,109,1.0,4703.2501920578225,False,0.025660313755239198,4,0.5640000000000001,78629,0,9,0.9,505.87053045998545,False,0.012800093281504601,0,0.2,77885,0,0,0.0,0.0,False,0.0,10,0.8850000000000002,108305,0,8,0.8,464.00000000000017,False,-0.018137902335763782,9,1.2260000000000002,105672,38,0,0.0,2135.897795275494,False,-0.034394629212084575,0.4625,551718,0.0,0.0,13,0,0,18,14,13.5,27,45,50,417.0,264.0,24,33,50,575,8.194357987958938,163.98133847292047
16,50,0,0,0,10.000000000000002,20,10.0,12.224906914790724,29,11.655172413793103,37.74761226699893,4,43.0,52.78725752701972,10,23.0,58.00000000000002,20,58.0,14,2.1220000000000008,34419.0,159,0,0.0,1590.0000000000002,False,-0.12840948467897628,15,1.889,34920.0,181,0,0.0,1810.0000000000002,False,-0.11328647096678382,0,0.2,55459,49,112,1.0,4826.753012728625,False,0.027253430363070718,0,0.2,55488,51,115,1.0,4964.4456633592035,False,0.028990234334089544,1,0.5700000000000001,78636,0,4,0.4,211.14903010807888,False,0.01099793946272127,0,0.2,77885,0,0,0.0,0.0,False,0.0,7,0.9450000000000001,108640,0,0,0.0,0.0,False,-0.01720612979681931,5,1.2670000000000001,105363,48,0,0.0,2533.7883612969463,False,-0.035390221086569085,0.3,550810,0.0,0.0,16,0,0,22,15,13.433333333333334,26,48,41,459.0,211.0,27,23,41,720,7.708462145994417,171.6898006189149
17,41,0,0,0,10.000000000000002,20,10.0,12.203007795696845,22,12.0,38.46128321902074,8,43.5,52.78725752701972,0,,58.000000000000014,20,58.0,13,2.238000000000001,34113.0,165,0,0.0,1650.0000000000002,False,-0.13524082966189793,9,1.964,34630.0,195,0,0.0,1950.0000000000005,False,-0.11873174595317064,0,0.2,55527,48,118,1.0,5124.175794037897,False,0.031100127749417814,0,0.2,55504,54,121,1.0,5312.777690469139,False,0.0323657426777175,0,0.5690000000000001,78288,0,12,0.8,633.4470903242366,False,0.009240849267023479,0,0.2,77885,0,0,0.0,0.0,False,0.0,11,1.0480000000000003,108385,0,0,0.0,0.0,False,-0.019512945305856597,9,1.3520000000000003,105174,48,0,0.0,2533.7883612969463,False,-0.03709997846385555,0.35,549506,0.0,0.0,14,0,0,18,15,15.0,21,39,47,345.0,228.0,20,21,47,548,8.214034028002061,179.90383464691695
18,47,0,0,0,10.000000000000002,20,10.0,12.163173296991312,19,11.736842105263158,39.071722148734715,8,43.5,54.123621391054186,10,65.8,58.000000000000014,20,58.0,14,2.3650000000000007,33738.0,175,0,0.0,1750.0000000000002,False,-0.14328498589178754,5,2.0050000000000003,34460.0,205,0,0.0,2050.0000000000005,False,-0.12170189594574526,0,0.2,55655,42,124,1.0,5355.74682491674,False,0.03542739962117918,0,0.2,55501,59,127,1.0,5679.735937411796,False,0.03556930558435659,0,0.5690000000000001,78598,0,10,0.8,541.2362139105419,False,0.012629108390001535,0,0.2,77885,0,0,0.0,0.0,False,0.0,10,1.1370000000000002,108092,0,1,0.1,58.000000000000014,False,-0.021901177832859907,10,1.443,104351,57,0,0.0,3085.0464192900886,False,-0.04205167981721835,0.3625,548280,0.0,0.0,15,0,0,16,16,16.0,26,42,44,345.0,210.0,20,27,44,1206,8.16914715099847,188.07298179791542
19,44,0,0,0,10.000000000000002,20,10.0,12.146352348837665,23,12.0,39.38250443425546,4,44.0,54.123621391054186,0,,58.00000000000001,20,58.0,9,2.4410000000000007,33498.0,184,0,0.0,1840.0000000000002,False,-0.1481114796297213,14,2.1400000000000006,34080.0,216,0,0.0,2160.0000000000005,False,-0.12974605217563487,0,0.2,55615,50,130,1.0,5727.043193895093,False,0.03801270207763187,0,0.2,55441,54,137,1.0,6051.306134330232,False,0.03780203182926163,0,0.5690000000000001,78422,0,14,0.4,757.7306994747586,False,0.011759200741315713,0,0.2,77885,0,0,0.0,0.0,False,0.0,13,1.2570000000000001,107796,0,0,0.0,0.0,False,-0.024841236814966257,6,1.4930000000000003,104247,57,0,0.0,3085.0464192900886,False,-0.04299249869149238,0.3,546984,0.0,0.0,12,0,0,16,17,16.5,27,43,42,334.0,182.0,20,24,42,376,7.29152200196404,195.36450379987946
20,42,0,0,0,10.000000000000002,20,10.0,12.105665729962436,30,11.833333333333334,39.68485706239897,4,44.0,50.96382299635906,30,41.733333333333334,58.00000000000001,20,58.0,18,2.612,33071.0,189,0,0.0,1890.0000000000002,False,-0.1580614821048463,12,2.2460000000000004,33726.0,231,0,0.0,2310.0000000000005,False,-0.13665165090837086,0,0.2,55628,54,136,1.0,6050.8465099042305,False,0.041117263165452875,0,0.2,55249,60,147,1.0,6560.013931970394,False,0.03890883373245282,16,0.7290000000000001,78547,0,4,0.4,203.85529198543625,False,0.009808405289756955,0,0.2,77885,0,0,0.0,0.0,False,0.0,12,1.3640000000000003,107287,0,9,0.9,522.0000000000001,False,-0.02708472797669664,8,1.5670000000000002,103042,78,0,0.0,3975.1781937160067,False,-0.04986711750413412,0.4125,544435,0.0,0.0,14,0,0,9,18,18.0,26,35,48,270.0,167.0,15,27,48,1260,6.632073377026245,201.9965771769057
21,48,0,0,0,10.000000000000002,20,10.0,12.04963861710627,33,11.696969696969697,39.97751429458278,4,44.0,51.90682492969901,9,63.0,58.000000000000014,20,58.0,9,2.6840000000000006,32846.0,196,0,0.0,1960.0000000000005,False,-0.16276421959308945,24,2.474,32997.0,244,0,0.0,2440.0000000000005,False,-0.1530864808672838,0,0.2,55689,54,142,1.0,6327.487515154493,False,0.04465526665561264,0,0.2,54978,73,157,1.0,7156.093363298255,False,0.039388797444825326,5,0.7630000000000001,78683,0,4,0.4,207.62729971879605,False,0.011578784744936711,0,0.2,77885,0,0,0.0,0.0,False,0.0,3,1.3820000000000001,107776,0,0,0.0,0.0,False,-0.02502216352155742,8,1.6390000000000002,102327,87,0,0.0,4515.893768883814,False,-0.05388950005932675,0.3,543181,0.0,0.0,18,0,0,8,13,12.555555555555555,31,39,52,288.0,201.0,16,32,52,898,7.179081053996924,209.17565823090263
22,52,0,0,0,10.000000000000002,20,10.0,11.742884519422379,41,10.121951219512194,37.932895072210826,7,22.428571428571427,53.480996650817254,13,66.0,58.000000000000014,20,58.0,18,2.855000000000001,32428.0,209,0,0.0,2090.0000000000005,False,-0.17150141082124648,23,2.68,32464.0,251,0,0.0,2510.0000000000005,False,-0.16541260333646848,0,0.2,55317,85,151,1.0,6726.012340054737,False,0.04158911851939871,0,0.2,55092,63,161,1.0,6846.997831349552,False,0.03866906146359898,9,0.8480000000000001,78925,0,7,0.7,374.3669765557208,False,0.015756352163803864,0,0.2,77885,0,0,0.0,0.0,False,0.0,10,1.479,106697,3,10,1.0,740.4429899524519,False,-0.03143401155238527,10,1.7310000000000005,102102,87,0,0.0,4652.846708621101,False,-0.05530546439986113,0.4625,540910,0.0,0.0,16,0,0,8,16,15.692307692307693,31,39,52,312.0,200.0,18,34,52,357,7.204174012993462,216.3798322438961
23,52,0,0,0,10.000000000000002,20,10.0,11.531405274764088,49,10.53061224489796,38.024902424446864,1,43.0,53.58992623598599,1,65.0,58.000000000000014,20,58.0,27,3.107000000000001,31700.0,220,0,0.0,2200.0000000000005,False,-0.1881590020296025,22,2.877000000000001,31950.0,260,0,0.0,2600.0000000000005,False,-0.17702093955744766,0,0.2,55204,88,160,1.0,7098.7480520907375,False,0.042891421730751916,0,0.2,54732,89,171,1.0,7528.553384034418,False,0.03832786076676442,0,0.8390000000000002,78947,0,7,0.1,375.1294836519019,False,0.016043714987814685,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,1.4690000000000003,107161,0,5,0.3,290.00000000000006,False,-0.029273941126449675,12,1.8410000000000004,101738,88,0,0.0,4715.913508766767,False,-0.05831306874868029,0.3,539317,0.0,0.0,18,0,0,9,11,11.0,32,41,50,338.0,190.0,20,32,50,772,12.050452113035135,228.43028435693122
24,50,0,0,0,10.000000000000002,20,10.0,11.560325339892133,28,11.821428571428571,35.928218517264035,15,29.0,51.657192334069414,6,21.0,58.00000000000001,20,58.0,9,3.170000000000001,31430.0,232,0,0.0,2320.0000000000005,False,-0.19335676451660808,19,3.045000000000001,31446.0,268,0,0.0,2680.0000000000005,False,-0.1885055195287362,0,0.2,55476,92,155,1.0,6632.4238014460025,False,0.043580806587553464,0,0.2,54564,93,181,1.0,7578.117808234759,False,0.035785698637083634,0,0.8390000000000002,78638,5,11,1.0,747.8702082610837,False,0.014469218772941503,0,0.2,77885,0,0,0.0,0.0,False,0.0,6,1.5290000000000004,107370,0,0,0.0,0.0,False,-0.028694975665357964,9,1.9190000000000003,101420,94,0,0.0,4855.776079402525,False,-0.06055718152646714,0.375,538229,0.0,0.0,17,0,0,9,13,13.0,28,37,45,273.0,183.0,16,34,45,1051,7.294235198001843,235.72451955493307
25,45,0,0,0,10.000000000000002,20,10.0,11.605585558495228,29,12.0,31.83948359400698,15,16.0,49.07946965660086,9,23.0,58.00000000000001,20,58.0,14,3.301000000000001,31040.0,244,0,0.0,2440.0000000000005,False,-0.2015246769961883,15,3.176000000000001,31071.0,276,0,0.0,2760.0000000000005,False,-0.19679718825800702,0,0.2,55248,101,165,1.0,6425.678934419169,False,0.037698838546773555,0,0.2,54684,93,176,1.0,6683.068569485284,False,0.02997203054373935,0,0.8390000000000002,78605,10,12,1.0,907.3484718192801,False,0.015069323180453731,0,0.2,77885,0,0,0.0,0.0,False,0.0,8,1.6030000000000004,107215,0,0,0.0,0.0,False,-0.030097157641439453,12,2.0300000000000002,100906,103,0,0.0,5055.185374629888,False,-0.06430503620963124,0.375,536654,0.0,0.0,13,0,0,12,17,17.0,24,36,54,279.0,201.0,18,27,54,647,7.085223817965016,242.80974337289808
