index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,25,0,0,0,10.000000000000002,20,10.0,29.68990876330864,0,,13.283173317911034,6,15.166666666666666,33.67608652518166,8,34.0,45.0,20,45.0,0,0.24500000000000002,25220,1,32,1.0,960.0770804258765,False,0.08548904123217349,0,0.272,22459,111,0,0.0,1110.0000000000002,False,-0.02796080418989694,0,0.2,30933,0,6,0.0,79.6990399074662,False,0.00859192809774763,6,1.1960000000000002,24199.0,73,0,0.0,2167.363339721531,False,-0.17670123840370036,0,0.2,42394,0,26,0.1,875.5782496547231,False,0.018373930070314536,0,0.36200000000000004,42433,10,27,1.0,1042.0860693590153,False,0.021280654192432323,12,0.7430000000000001,55028,0,8,0.8,360.0,False,-0.01998792913693329,8,0.802,53699,52,0,0.0,1751.1564993094462,False,-0.031231969154423167,0.36250000000000004,296365,0.0,0.0,9,0,0,17,11,11.0,16,33,21,219.0,43.0,18,7,21,472,1.834672374650836,23.53541922569275
11,21,0,0,0,10.000000000000002,20,10.0,29.980602101730323,2,42.0,13.03086579945222,2,1.0,30.61032943752755,28,22.785714285714285,45.00000000000001,20,45.0,0,0.24500000000000002,25224,0,39,0.9,1169.2434819674827,False,0.09007525515221071,0,0.272,22339,123,0,0.0,1230.0000000000002,False,-0.03049501605000845,0,0.2,30933,0,6,0.0,78.18519479671332,False,0.008567279865783895,2,1.2100000000000002,24053.0,75,0,0.0,2248.545157629774,False,-0.18013375301003337,0,0.2,42680,0,10,0.2,306.1032943752755,False,0.018403947958525877,0,0.36200000000000004,42783,0,27,1.0,826.4788948132439,False,0.02703914613772615,3,0.7610000000000001,55357,0,0,0.0,0.0,False,-0.0173429900237867,9,0.8840000000000001,52928,80,0,0.0,2448.826355002204,False,-0.038725935003708155,0.2625,296297,0.0,0.0,14,0,0,18,6,5.2,10,28,21,190.0,65.0,14,7,21,1102,1.3972499277442694,24.93266915343702
12,21,0,0,0,10.000000000000002,20,10.0,32.1115739213076,23,39.17391304347826,12.802363758537856,10,10.8,30.006016669291984,16,26.625,45.0,20,45.0,0,0.24500000000000002,25995,3,26,1.0,864.9009219539977,False,0.11621263984528625,0,0.272,22269,130,0,0.0,1300.0000000000002,False,-0.03197330630174016,0,0.2,30933,0,6,0.0,76.81418255122713,False,0.008544957220216035,10,1.3080000000000003,22898.0,98,0,0.0,3146.9342442881452,False,-0.20311742088169354,0,0.2,42671,0,13,0.3,390.0782167007958,False,0.01918826192611332,0,0.36200000000000004,43110,0,18,0.7,540.1083000472557,False,0.03140954730316053,14,0.8980000000000001,55069,0,0,0.0,0.0,False,-0.022455355557922392,6,0.935,52430,96,0,0.0,2880.5776002520306,False,-0.04373400077881893,0.25,295375,0.0,0.0,15,0,0,11,9,9.0,15,26,28,175.0,102.0,11,10,28,1527,1.3427234645932913,26.27539261803031
13,28,0,0,0,10.000000000000002,20,10.0,33.23740437895836,23,37.608695652173914,13.947073133692863,11,23.09090909090909,31.006062842399018,5,50.0,45.00000000000001,20,45.0,0,0.24500000000000002,26750,4,13,1.0,472.08625692645865,False,0.13980584256053508,0,0.272,22179,139,0,0.0,1390.0000000000002,False,-0.033873965196823785,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,5,1.348,21893.0,121,0,0.0,4021.7259298539616,False,-0.2216007370827125,0,0.2,42417,1,23,1.0,727.0865185088702,False,0.01715550201513204,0,0.36200000000000004,43360,0,13,0.0,403.07881695118726,False,0.03572456331523805,10,0.984,54905,0,0,0.0,0.0,False,-0.025366563709305217,10,1.0290000000000001,52010,101,0,0.0,3131.612347082301,False,-0.04896144116268765,0.25,294681,0.0,0.0,11,0,0,19,9,9.0,17,36,28,322.0,84.0,20,8,28,1549,1.4495148435235023,27.724907461553812
14,28,0,0,0,10.000000000000002,20,10.0,33.75162903518937,16,37.0,13.562171305759358,4,5.0,29.702420191783183,36,26.444444444444443,45.00000000000001,20,45.0,3,0.275,27177,3,10,1.0,367.51629035189364,False,0.15563262988578927,0,0.272,22069,150,0,0.0,1500.0000000000002,False,-0.03619699273525934,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,4,1.3830000000000002,21193.0,137,0,0.0,4623.973177820943,False,-0.23458964509067462,3,0.23,42726,0,5,0.5,148.5121009589159,False,0.017624195784004853,0,0.36200000000000004,43860,0,3,0.0,89.10726057534956,False,0.043880111992383834,10,1.074,54489,0,5,0.5,225.00000000000003,False,-0.030754073916285013,10,1.1190000000000002,51140,132,0,0.0,3920.71946531538,False,-0.057401218932479625,0.25,293821,0.0,0.0,11,0,0,20,11,9.4875,14,34,33,254.0,59.0,19,9,33,972,1.9027590155601501,29.627666477113962
15,33,0,0,0,10.000000000000002,20,10.0,34.31692948279925,14,38.57142857142857,12.385468062395244,9,1.4444444444444444,29.702420191783183,0,,45.0,20,45.0,4,0.31200000000000006,27503,4,10,1.0,383.16929482799253,False,0.16973241457230942,0,0.272,21979,159,0,0.0,1590.0000000000002,False,-0.03809765163034296,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,9,1.469,20350.0,151,0,0.0,5181.8563519026875,False,-0.2529574985850616,0,0.227,42718,0,9,0.4,267.32178172604864,False,0.01884640364400063,0,0.36200000000000004,43855,0,8,0.5,237.61936153426547,False,0.04552675243746004,2,1.0840000000000003,54696,0,0,0.0,0.0,False,-0.02907657897539674,13,1.2390000000000003,50891,132,0,0.0,3920.71946531538,False,-0.06182128496720111,0.2375,293159,0.0,0.0,10,0,0,19,10,9.166666666666668,18,37,29,303.0,34.0,22,11,29,425,1.9255445078015327,31.553210984915495
16,29,0,0,0,10.000000000000002,20,10.0,35.14963307421473,17,40.411764705882355,10.955413823064198,16,3.5,28.022713289365846,19,18.0,45.0,20,45.0,7,0.37800000000000006,27925,3,10,1.0,381.4963307421473,False,0.18752104094319458,0,0.272,21869,170,0,0.0,1700.0000000000002,False,-0.04042067916877851,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,16,1.6200000000000003,19077.0,168,0,0.0,5905.138356468074,False,-0.282634759248623,10,0.32700000000000007,42606,4,10,1.0,324.0487881859152,False,0.0168578519245098,0,0.36200000000000004,43843,0,10,0.2,280.22713289365845,False,0.0457479627772137,12,1.2020000000000002,54473,0,0,0.0,0.0,False,-0.03303511201050875,8,1.306,50435,151,0,0.0,4231.429706694243,False,-0.06715811315817945,0.275,291395,0.0,0.0,9,0,0,15,14,13.78409090909091,18,33,26,257.0,31.0,17,12,26,695,1.487776953727007,33.0409879386425
17,26,0,0,0,10.000000000000002,20,10.0,35.14963307421473,0,,10.136925382407462,9,2.0,27.874802939187465,19,26.94736842105263,45.0,20,45.0,0,0.37100000000000005,27825,3,20,1.0,732.9926614842946,False,0.19072040592761216,0,0.272,21769,180,0,0.0,1800.0000000000002,False,-0.0425325223855381,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,9,1.694,18783.0,168,0,0.0,5905.138356468074,False,-0.2922084998458421,0,0.31700000000000006,42774,0,10,1.0,278.74802939187464,False,0.02031370252968304,0,0.36200000000000004,44169,0,4,0.3,111.49921175674986,False,0.05149313121753662,9,1.2800000000000002,54333,0,0,0.0,0.0,False,-0.0355202897007136,11,1.4080000000000001,49728,170,0,0.0,4738.716499661869,False,-0.07520576827793281,0.2875,290548,0.0,0.0,11,0,0,2,10,10.0,22,24,31,148.0,75.0,10,16,31,712,1.2556841503828764,34.29667208902538
18,31,0,0,0,10.000000000000002,20,10.0,35.53524280559305,9,40.333333333333336,9.258573138157601,11,2.1818181818181817,27.420166224668243,6,18.0,44.99999999999999,20,45.0,0,0.37100000000000005,28128,0,20,0.9,710.704856111861,False,0.2030474923152531,0,0.272,21629,194,0,0.0,1940.0000000000005,False,-0.04548910288900152,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,11,1.7950000000000004,18037.0,177,0,0.0,6289.73797658997,False,-0.3102390508223979,0,0.31700000000000006,42760,0,16,0.6,438.7226595946919,False,0.021882625117034225,2,0.382,44185,0,5,0.5,137.1008311233412,False,0.05217790284033554,9,1.3610000000000002,54194,0,0,0.0,0.0,False,-0.0379877161217027,11,1.5070000000000001,49429,176,0,0.0,4825.949255541611,False,-0.07973915170641524,0.25,289529,0.0,0.0,10,0,0,8,12,11.333333333333334,23,31,27,225.0,75.0,16,15,27,563,1.3726088479161263,35.669280936941504
19,27,0,0,0,10.000000000000002,20,10.0,35.53524280559305,0,,8.991198233280501,3,1.0,27.859628087680175,11,32.54545454545455,44.99999999999999,20,45.0,0,0.37100000000000005,28028,0,30,1.0,1066.0572841677915,False,0.20632829202922354,0,0.272,21529,204,0,0.0,2040.0000000000005,False,-0.047600946105761106,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,3,1.8140000000000005,17944.0,177,0,0.0,6289.73797658997,False,-0.3132674789704978,0,0.31700000000000006,42760,0,16,0.0,445.7540494028828,False,0.02196621471507739,6,0.44000000000000006,44294,0,3,0.3,83.57888426304052,False,0.054133228135037,11,1.4620000000000002,53896,0,6,0.6,269.99999999999994,False,-0.04088117300386978,9,1.586,49035,181,0,0.0,5042.592683870112,False,-0.08481030386737927,0.2375,288653,0.0,0.0,9,0,0,9,10,10.0,20,29,30,163.0,115.0,13,14,30,450,1.4375891834497452,37.10687012039125
20,30,0,0,0,10.000000000000002,20,10.0,36.02878921529901,9,42.0,8.379254135345642,8,2.0,28.778619256726415,5,50.0,45.0,20,45.0,0,0.37100000000000005,28286,2,31,1.0,1136.8924656742693,False,0.21872133100342683,0,0.272,21449,212,0,0.0,2120.0000000000005,False,-0.04929042067916878,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,8,1.891000000000001,17326.0,186,0,0.0,6701.354794045616,False,-0.3266899802330649,0,0.31700000000000006,42744,0,24,0.8,690.686862161434,False,0.02449757319671701,2,0.45400000000000007,44462,0,0,0.0,0.0,False,0.057134026011079676,3,1.4810000000000005,54135,0,0,0.0,0.0,False,-0.03903504100543189,11,1.687,48601,186,0,0.0,5352.823181751113,False,-0.08976086216360359,0.225,288170,0.0,0.0,11,0,0,11,7,5.733333333333333,22,33,31,293.0,99.0,17,13,31,758,1.3610787112265825,38.46794883161783
21,31,0,0,0,10.000000000000002,20,10.0,36.02878921529901,0,,8.071011815698695,5,3.0,29.3151168665647,9,35.77777777777778,45.0,20,45.0,0,0.37100000000000005,28156,5,41,1.0,1527.1803578272593,False,0.22147280701611885,0,0.272,21379,219,0,0.0,2190.0000000000005,False,-0.05076871093090049,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,5,1.9330000000000007,17181.0,186,0,0.0,6701.354794045616,False,-0.3314117230446185,0,0.31700000000000006,42816,0,20,0.0,586.302337331294,False,0.02496852442201776,5,0.5020000000000001,44492,0,5,0.5,146.5755843328235,False,0.059589809366994255,11,1.5880000000000003,53689,0,5,0.5,225.0,False,-0.044955089288884156,9,1.7660000000000002,48395,190,0,0.0,5569.872204647293,False,-0.09149117580282513,0.25,287275,0.0,0.0,9,0,0,14,9,9.0,16,30,26,205.0,105.0,16,15,26,272,1.5096983592957258,39.97764719091356
22,26,0,0,0,10.000000000000002,20,10.0,36.2585751927025,14,38.0,8.054141468941957,6,7.833333333333333,29.093060563109976,5,24.4,45.0,20,45.0,0,0.37100000000000005,28608,3,37,1.0,1371.5672821299925,False,0.2372775655121219,0,0.272,21259,231,0,0.0,2310.0000000000005,False,-0.053302922791011995,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,6,1.9880000000000007,16497.0,200,0,0.0,7251.7150385405,False,-0.3447244286928832,0,0.31700000000000006,42888,0,16,0.0,465.4889690097596,False,0.025244168537171145,0,0.4970000000000001,44495,0,10,0.6,290.93060563109975,False,0.06137723918342214,4,1.6170000000000004,53806,0,4,0.4,180.0,False,-0.043277594347995885,11,1.8670000000000002,48173,191,0,0.0,5556.774567554005,False,-0.09554820740978799,0.25,286893,0.0,0.0,14,0,0,8,6,6.0,23,31,21,209.0,38.0,15,11,21,1079,1.2180090490728617,41.19565623998642
23,21,0,0,0,10.000000000000002,20,10.0,36.54615920289507,9,40.0,7.2491866601108494,13,2.5384615384615383,28.664779743170026,4,18.0,45.0,20,45.0,0,0.37100000000000005,28898,0,38,1.0,1388.7540497100126,False,0.24988921375464632,0,0.272,21129,244,0,0.0,2440.0000000000005,False,-0.05604831897279946,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,13,2.1120000000000005,15712.0,209,0,0.0,7638.147273405069,False,-0.3639951272687963,0,0.31700000000000006,42927,3,22,1.0,652.3727143300731,False,0.028393122926485156,0,0.49700000000000005,44495,0,10,0.0,286.64779743170027,False,0.061326324893978636,6,1.6730000000000003,53914,0,0,0.0,0.0,False,-0.0429580715021124,10,1.9560000000000002,47941,195,0,0.0,5589.632049918155,False,-0.09937487086024284,0.25,286183,0.0,0.0,11,0,0,7,8,7.75,18,25,20,142.0,45.0,10,11,20,767,1.1091065183281898,42.30476275831461
24,20,0,0,0,10.000000000000002,20,10.0,36.6477396043969,2,42.0,6.999737324439366,6,3.6666666666666665,27.726024039400915,9,18.0,45.0,5,45.0,0,0.37100000000000005,28892,0,45,0.9,1649.1482821978605,False,0.2551349105042629,0,0.272,21019,255,0,0.0,2550.0000000000005,False,-0.058371346511235,0,0.2,31167,0,0,0.0,0.0,False,0.014914194535803836,6,2.1590000000000007,15446.0,211,0,0.0,7732.673056527745,False,-0.37111802636803953,0,0.31700000000000006,43077,0,20,0.7,554.5204807880183,False,0.03079626810894246,0,0.49700000000000005,44485,0,12,0.2,332.712288472811,False,0.06163618117968587,0,1.667,53752,0,9,0.9,405.0,False,-0.04223914509887457,5,1.9960000000000002,47884,195,0,0.0,5406.574687683178,False,-0.10201144346501949,0.33749999999999997,285722,0.0,0.0,9,0,0,9,4,4.0,18,27,27,158.0,39.0,12,8,27,446,2.144533470273018,44.44929622858763
