index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,20.91346459930438,32,18.90625,41.65936825307425,15,45.93333333333333,14.521812149950632,7,5.142857142857143,57.0,12,57.0,4,0.384,52493,5,10,1.0,259.1346459930438,False,0.04116511659602954,18,1.0190000000000001,47597,107,0,0.0,1070.0000000000002,False,-0.047683115033041824,0,0.2,65545,32,29,1.0,1877.3525465168932,False,0.009577031771649683,0,0.24500000000000002,65970,46,14,1.0,1545.2505271110408,False,0.013509259465104305,7,2.0160000000000005,87493.0,49,0,0.0,2041.3090444006382,False,-0.13828487195817366,0,1.8650000000000002,92636,42,0,0.0,1749.6934666291183,False,-0.08963524666256593,0,0.2,140255,0,9,0.0,513.0,False,0.001314786177998532,12,0.8330000000000002,134006,377,0,0.0,5474.723180531389,False,-0.025537768282185867,0.375,685995,0.0,0.0,11,0,0,13,14,14.0,20,33,23,218.0,15.0,18,5,23,1209,2.467321884818375,92.61500807665288
11,23,0,0,0,10.000000000000002,20,10.0,20.91346459930438,0,,40.20545849541618,36,36.333333333333336,15.053003171602334,38,18.342105263157894,57.0,9,57.0,0,0.38000000000000006,52413,3,20,1.0,448.2692919860876,False,0.04145333872804881,0,1.0010000000000001,47477,119,0,0.0,1190.0000000000002,False,-0.048870246527640375,0,0.2,66324,22,20,1.0,1264.20539109302,False,0.016750986220012844,3,0.275,66397,36,10,1.0,1154.9393105291194,False,0.0170298946937051,8,2.0890000000000004,86833.0,61,0,0.0,2452.532968220387,False,-0.14270851764919298,30,2.165000000000001,90156,66,0,0.0,2653.560260697468,False,-0.10937927013426336,0,0.2,140255,0,9,0.0,513.0,False,0.001314786177998532,9,0.9110000000000003,133139,415,0,0.0,6246.996316214969,False,-0.028964503209592717,0.375,682994,0.0,0.0,10,0,0,9,9,8.25,20,29,25,218.0,42.0,14,9,25,1184,2.8418560680001974,95.45686414465308
12,25,0,0,0,10.000000000000002,20,10.0,19.216954841563954,50,13.84,41.529248959482665,13,53.61538461538461,13.285166089608966,59,5.915254237288136,57.0,8,57.0,0,0.38000000000000006,52573,3,20,1.0,414.3390968312791,False,0.044283359352927015,40,1.401,46249,129,0,0.0,1290.0000000000002,False,-0.07217759487159195,0,0.2,66860,22,17,1.0,1128.7702388256123,False,0.023862012655654373,0,0.272,65866,66,20,1.0,2098.9039987328742,False,0.016133691697666673,47,2.5510000000000006,82036.0,74,0,0.0,3073.1644230017173,False,-0.18638814802175993,12,2.255000000000001,89796,66,0,0.0,2740.930431325856,False,-0.11245871983816925,0,0.2,140255,0,9,0.0,513.0,False,0.001314786177998532,8,0.9820000000000002,132646,474,0,0.0,6297.16872647465,False,-0.032298956271869884,0.375,676281,0.0,0.0,14,0,0,9,16,16.0,21,30,27,206.0,63.0,14,11,27,1157,3.225631397217512,98.6824955418706
13,27,0,0,0,10.000000000000002,20,10.0,19.5724329044118,18,23.27777777777778,42.58386604711586,12,53.0,13.626675100920863,10,23.0,57.00000000000001,10,57.0,0,0.38000000000000006,52889,2,17,1.0,352.73135937500064,False,0.049926114512435206,5,1.4110000000000003,46021,140,0,0.0,1400.0000000000002,False,-0.07560049068101776,0,0.2,66486,27,26,1.0,1635.636205644131,False,0.022031161872990927,0,0.272,66457,59,19,1.0,1963.8669962554977,False,0.02408293468980532,0,2.504000000000001,81442.0,85,0,0.0,3619.6286140048483,False,-0.1895109493272608,10,2.343000000000001,89484,67,0,0.0,2853.1190251567627,False,-0.11495006218405356,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,10,1.074,132224,484,0,0.0,6595.310748845698,False,-0.03424390620177981,0.375,675258,0.0,0.0,13,0,0,12,6,6.0,24,36,30,245.0,66.0,20,7,30,1242,7.337668565101922,106.02016410697252
14,30,0,0,0,10.000000000000002,20,10.0,18.53713353178422,16,6.5625,40.943432832295365,23,32.56521739130435,12.910585587572847,41,8.439024390243903,57.00000000000001,11,57.0,0,0.38000000000000006,52809,0,27,1.0,500.502605358174,False,0.0498051383538262,16,1.5660000000000005,45531,152,0,0.0,1520.0000000000002,False,-0.08410826639230738,0,0.2,67186,29,13,1.0,1069.8414992415821,False,0.028365006144303165,0,0.272,66401,53,29,1.0,2169.8276293211293,False,0.02479634663053421,30,2.8040000000000003,79366.0,85,0,0.0,3480.191790745106,False,-0.21040035928101647,11,2.443000000000001,88405,90,0,0.0,3684.908954906583,False,-0.12140564966750439,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,11,1.1740000000000002,131634,525,0,0.0,6778.057433475745,False,-0.03779722564625575,0.375,671587,0.0,0.0,9,0,0,13,13,13.0,21,34,31,283.0,77.0,20,10,31,949,3.571599278599024,109.59176338557154
15,31,0,0,0,10.000000000000002,20,10.0,18.28535519063279,30,16.766666666666666,43.08822115126671,21,56.0,13.548237324511936,32,18.875,57.00000000000001,12,57.0,0,0.38000000000000006,53096,2,15,1.0,294.2803278594918,False,0.0534434759987683,8,1.6300000000000003,45347,160,0,0.0,1600.0000000000002,False,-0.08695738197934391,0,0.2,67186,19,23,1.0,1338.4508351011573,False,0.030404467792668224,0,0.272,67074,73,18,1.0,2110.4189096389946,False,0.034565007741780965,11,2.8840000000000003,77794.0,106,0,0.0,4567.351442034271,False,-0.22041243286456966,21,2.642000000000001,87575,90,0,0.0,3877.939903614004,False,-0.12854640908305265,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,12,1.2830000000000004,130754,557,0,0.0,7546.368189753148,False,-0.04133071971269553,0.375,669081,0.0,0.0,10,0,0,11,8,8.0,24,35,29,303.0,63.0,20,11,29,1783,3.386040168814361,112.9778035543859
16,29,0,0,0,10.000000000000002,20,10.0,18.768374599203092,16,24.5,43.08822115126671,0,,13.118412670629551,32,9.5,57.00000000000001,12,57.0,0,0.38000000000000006,53318,5,14,1.0,312.7572443888433,False,0.05801865027490848,5,1.6720000000000002,45192,167,0,0.0,1670.0000000000002,False,-0.08933164496854101,0,0.2,67146,14,33,1.0,1684.6685423806446,False,0.032425770598003494,0,0.272,66722,74,28,1.0,2595.329912576497,False,0.03290153761086438,19,3.063000000000001,76690.0,106,0,0.0,4567.351442034271,False,-0.231160305681408,13,2.751000000000001,87109,90,0,0.0,3877.939903614004,False,-0.13308310177566737,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,12,1.3910000000000002,130169,589,0,0.0,7726.745063000805,False,-0.04485685198500351,0.375,666601,0.0,0.0,8,0,0,8,10,10.0,26,34,31,260.0,48.0,20,9,31,552,2.9462644727900624,115.92406802717596
17,31,0,0,0,10.000000000000002,20,10.0,17.407876758066905,59,13.135593220338983,42.06816181751949,5,15.0,12.616102309214487,28,7.75,57.000000000000014,11,57.0,7,0.45000000000000007,53667,8,10,1.0,254.07876758066908,False,0.06434330623620617,38,2.047,43748,174,0,0.0,1740.0000000000002,False,-0.117209449566697,0,0.2,66686,44,38,1.0,2364.5367264206843,False,0.030602529318487292,0,0.272,66482,83,38,1.0,3043.443919985294,False,0.03265943783871117,28,3.324000000000001,74944.0,106,0,0.0,4459.225152657065,False,-0.2486846260993347,0,2.738000000000001,87034,95,0,0.0,3996.475372664351,False,-0.13323626154780885,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,11,1.4890000000000003,129708,617,0,0.0,7784.135124785338,False,-0.04793754899347467,0.375,662524,0.0,0.0,10,0,0,13,15,14.166666666666666,24,37,20,316.0,30.0,21,10,20,563,2.7321959221735597,118.65626394934952
18,20,0,0,0,10.000000000000002,20,10.0,18.080841998539952,13,29.46153846153846,39.9123962414553,10,13.2,12.77704032756064,15,15.666666666666666,57.000000000000014,11,57.0,3,0.47300000000000003,53825,13,10,1.0,310.80841998539955,False,0.0680306321473765,0,2.009000000000001,43698,179,0,0.0,1790.0000000000002,False,-0.1177040876894464,0,0.2,66790,34,40,1.0,2211.2444776085704,False,0.031017907138691944,0,0.272,66127,86,46,1.0,3390.9226389813794,False,0.029906933920864427,5,3.3460000000000005,74605.0,114,0,0.0,4550.013171525904,False,-0.2515429955240274,10,2.838000000000001,86692,97,0,0.0,3871.5024354211637,False,-0.13717409589642923,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,11,1.5880000000000003,129229,632,0,0.0,8075.089487018324,False,-0.05031430342336722,0.375,661221,0.0,0.0,11,0,0,9,8,8.0,17,26,26,164.0,27.0,11,9,26,652,2.3340069353580475,120.99027088470757
19,26,0,0,0,10.000000000000002,20,10.0,19.19429348956905,24,28.916666666666668,38.992868652486855,25,34.56,11.480482005387536,37,2.5135135135135136,57.00000000000001,10,57.0,12,0.5900000000000001,54087,13,10,1.0,321.94293489569054,False,0.07332459078484914,2,2.029000000000001,43550,189,0,0.0,1890.0000000000002,False,-0.11964306913062403,0,0.2,66738,46,29,1.0,2013.730691442295,False,0.028728612906339084,0,0.272,66349,78,52,1.0,3524.784062115702,False,0.03429444415680158,37,3.711000000000001,71475.0,119,0,0.0,4640.151369645936,False,-0.28157600727406135,0,2.8280000000000007,86080,117,0,0.0,4562.1656323409625,False,-0.13977021733123227,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,10,1.677,128966,669,0,0.0,7680.442461604262,False,-0.053594666523177105,0.375,657500,0.0,0.0,13,0,0,12,10,10.0,19,31,19,231.0,30.0,16,10,19,1384,2.491400917991996,123.48167180269957
20,19,0,0,0,10.000000000000002,20,10.0,19.776364090502533,15,27.933333333333334,37.90988002712421,24,32.0,11.78848519034296,86,12.732558139534884,57.000000000000014,9,57.0,2,0.5980000000000001,54291,16,10,1.0,357.76364090502534,False,0.0777152036020046,3,2.0570000000000004,43438,196,0,0.0,1960.0000000000005,False,-0.12116655454869217,0,0.2,66984,43,28,1.0,1911.8602966510869,False,0.0316907376782461,0,0.272,66452,76,49,1.0,3360.5877922072787,False,0.03461184602225626,40,4.074000000000001,67872.0,130,0,0.0,4928.284403526147,False,-0.3152500807865898,46,3.2880000000000016,82727,130,0,0.0,4928.284403526147,False,-0.17063083196943993,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,9,1.7570000000000003,127701,755,0,0.0,8900.306318708936,False,-0.05826282070197136,0.375,649720,0.0,0.0,14,0,0,9,16,15.666666666666666,18,27,23,195.0,18.0,13,6,23,1256,2.4735169196501374,125.9551887223497
21,23,0,0,0,10.000000000000002,20,10.0,17.060686185554484,40,3.3,33.97947597867986,40,20.275,12.305797489884752,40,16.375,57.000000000000014,10,57.0,0,0.5960000000000001,54181,17,20,1.0,511.21372371108976,False,0.07705684107980577,40,2.4540000000000006,41930,205,0,0.0,2050.0000000000005,False,-0.15011277749198687,2,0.22000000000000003,67275,57,10,1.0,1312.253872363404,False,0.031557057934819915,0,0.272,66772,82,49,1.0,3063.9705901707807,False,0.03721903778241532,18,4.214000000000001,66681.0,135,0,0.0,4587.22925712178,False,-0.3285050854907525,22,3.462000000000001,81279,165,0,0.0,5606.613536482177,False,-0.18142577962731857,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,10,1.8480000000000003,126833,795,0,0.0,9783.109004458378,False,-0.0613028533195381,0.375,645206,0.0,0.0,12,0,0,8,16,15.095238095238095,19,27,23,210.0,27.0,14,9,23,759,2.72425442840904,128.67944315075874
22,23,0,0,0,10.000000000000002,20,10.0,16.866289334241326,19,14.631578947368421,33.688046793521885,19,31.210526315789473,13.403054106905373,59,19.338983050847457,57.000000000000014,8,57.0,0,0.5960000000000001,54298,15,23,1.0,537.9246546875505,False,0.07963599238937469,12,2.5340000000000007,41536,217,0,0.0,2170.0000000000005,False,-0.1567211428119188,0,0.21800000000000003,67076,55,20,1.0,1601.4068492537108,False,0.030730618569038002,0,0.272,67286,83,40,1.0,2747.423886482906,False,0.042620866828260634,6,4.256000000000001,66447.0,135,0,0.0,4547.886317125454,False,-0.33097467670162256,53,3.970000000000001,76725,184,0,0.0,6198.600610008027,False,-0.22287914187382918,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,8,1.9180000000000004,125546,854,0,0.0,11446.208207297188,False,-0.06454848957329239,0.375,639169,0.0,0.0,13,0,0,10,14,14.0,23,33,26,210.0,29.0,17,6,26,990,2.4521711012348533,131.1316142519936
23,26,0,0,0,10.000000000000002,20,10.0,17.176293320506723,27,19.62962962962963,32.439045527660056,34,26.470588235294116,13.837204888369115,17,22.529411764705884,57.000000000000014,11,57.0,0,0.5960000000000001,54718,15,14,1.0,390.46810648709413,False,0.08648716024778498,8,2.602000000000001,41224,227,0,0.0,2270.0000000000005,False,-0.16190495033833247,0,0.21800000000000003,67325,51,13,1.0,1297.6985512054234,False,0.03220581105800361,0,0.272,67407,94,33,1.0,2685.0600745404136,False,0.04398478485824798,0,4.250000000000001,66007.0,147,0,0.0,4768.539692566028,False,-0.334184175643188,17,4.0870000000000015,75645,206,0,0.0,6682.443378697972,False,-0.23103816576112285,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,11,2.0200000000000005,124920,871,0,0.0,12052.2054577695,False,-0.06685026595819227,0.375,637501,0.0,0.0,15,0,0,15,9,9.0,21,36,19,293.0,25.0,21,5,19,1620,2.2596688522025943,133.3912831041962
24,19,0,0,0,10.000000000000002,20,10.0,17.969785144034837,29,23.896551724137932,32.439045527660056,0,,13.766333294135357,18,12.5,57.000000000000014,10,57.0,8,0.6760000000000002,55100,15,10,1.0,329.69785144034836,False,0.09344404506588921,7,2.664000000000001,40948,237,0,0.0,2370.0000000000005,False,-0.16637647896798702,0,0.21800000000000003,66976,56,23,1.0,1752.4060152021323,False,0.03035857147891623,0,0.272,67063,98,43,1.0,3155.917901804796,False,0.04233609631911065,9,4.340000000000001,65547.0,147,0,0.0,4768.539692566028,False,-0.3386624559835373,9,4.160000000000001,75402,206,0,0.0,6682.443378697972,False,-0.2334038660278726,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,10,2.1090000000000004,124482,889,0,0.0,12238.270298486334,False,-0.06930857818350587,0.375,635773,0.0,0.0,9,0,0,9,10,9.727272727272727,21,30,17,229.0,9.0,16,3,17,541,2.0190546242520213,135.4103377284482
