index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,10,0,0,0,10.000000000000002,20,10.0,12.783181373252972,2,8.0,32.761843400000004,5,38.0,25.48258594031594,4,20.0,49.00000000000001,11,49.0,2,0.28300000000000003,27614,102,0,0.0,1020.0000000000002,False,-0.020888455646845844,0,0.254,27484,118,0,0.0,1180.0000000000002,False,-0.022629160284082996,3,0.401,53228,0,2,0.2,65.52368680000001,False,0.011408314534751296,0,0.2,52660,0,0,0.0,0.0,False,0.0,4,0.49200000000000005,74000,15,0,0.0,491.4276510000001,False,-0.015308835205570255,0,0.4790000000000001,73716,20,0,0.0,655.2368680000001,False,-0.017989145437665735,0,0.2,104003,0,6,0.0,294.00000000000006,False,0.0002593087022079656,1,0.30000000000000004,105484,0,4,0.4,196.00000000000003,False,0.014012273945237843,0.07500000000000001,518189,0.0,0.0,12,0,0,11,4,2.85,14,25,11,90.0,30.0,5,5,11,543,1.019491735030897,11.41741343907779
11,11,0,0,0,10.000000000000002,20,10.0,12.783181373252972,0,,33.28565906,5,38.0,25.108685075726203,4,20.0,49.0,12,49.0,0,0.281,27514,112,0,0.0,1120.0000000000002,False,-0.022629160284082996,0,0.254,27384,128,0,0.0,1280.0000000000002,False,-0.02436986492132015,3,0.42800000000000005,53325,0,0,0.0,0.0,False,0.012628180782377516,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,0.4880000000000001,73810,20,0,0.0,665.7131812,False,-0.016672989514588853,4,0.5190000000000001,73616,20,0,0.0,665.7131812,False,-0.019245933811671084,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,8,0.37900000000000006,105463,0,4,0.4,196.0,False,0.013810589399076093,0.05,517775,0.0,0.0,12,0,0,10,7,5.933333333333334,15,25,10,144.0,9.0,8,3,10,298,1.0519958210061304,12.469409260083921
12,10,0,0,0,10.000000000000002,20,10.0,12.497606383650393,2,8.0,33.757093153999996,5,38.0,24.66666206563845,5,20.0,49.0,9,49.0,2,0.30100000000000005,27394,122,0,0.0,1220.0000000000002,False,-0.025066146776215013,0,0.254,27284,138,0,0.0,1380.0000000000002,False,-0.026110569558557305,5,0.4750000000000001,53344,0,2,0.2,67.51418630799999,False,0.01363002455666546,0,0.2,52660,0,0,0.0,0.0,False,0.0,5,0.5380000000000001,73685,20,0,0.0,675.1418630799999,False,-0.01826829003262597,0,0.5150000000000001,73426,25,0,0.0,843.9273288499999,False,-0.020584036280835563,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,5,0.42100000000000004,105504,0,5,0.5,245.0,False,0.014439653102580602,0.0875,517300,0.0,0.0,12,0,0,14,5,4.8,14,28,9,108.0,12.0,6,4,9,347,0.9043085600133054,13.373717820097227
13,9,0,0,0,10.000000000000002,20,10.0,11.970780946729398,4,8.0,33.757093153999996,0,,24.412157546284813,3,20.0,49.00000000000001,7,49.0,2,0.31900000000000006,27294,130,0,0.0,1300.0000000000002,False,-0.027154992340899596,2,0.274,27144,150,0,0.0,1500.0000000000002,False,-0.02889569697813675,0,0.4700000000000001,53312,0,6,0.4,202.542558924,False,0.014304429917622522,0,0.2,52660,0,0,0.0,0.0,False,0.0,3,0.5630000000000002,73610,20,0,0.0,675.1418630799999,False,-0.019262984992838173,0,0.5150000000000001,73426,25,0,0.0,843.9273288499999,False,-0.020584036280835563,0,0.2,104003,0,6,0.0,294.00000000000006,False,0.0002593087022079656,2,0.43600000000000005,105668,0,3,0.3,147.00000000000003,False,0.01554411609346638,0.0875,517117,0.0,0.0,11,0,0,12,5,5.0,15,27,9,108.0,9.0,6,3,9,445,0.9080743720405735,14.2817921921378
14,9,0,0,0,10.000000000000002,20,10.0,11.728170995972617,2,8.0,33.757093153999996,0,,22.99867150102426,16,18.625,49.0,10,49.0,0,0.31700000000000006,27194,140,0,0.0,1400.0000000000002,False,-0.02889569697813675,2,0.29200000000000004,27024,160,0,0.0,1600.0000000000002,False,-0.03133268347026876,0,0.4700000000000001,53296,0,8,0.2,270.05674523199997,False,0.014641632598100984,0,0.2,52660,0,0,0.0,0.0,False,0.0,16,0.7200000000000002,73083,20,0,0.0,675.1418630799999,False,-0.026252374913262575,0,0.5150000000000001,73426,25,0,0.0,843.9273288499999,False,-0.020584036280835563,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,7,0.504,105418,6,10,1.0,627.9920290061456,False,0.015452839569577118,0.15,516104,0.0,0.0,14,0,0,14,6,6.0,10,24,11,90.0,27.0,5,4,11,347,0.8568746849778108,15.138666877115611
15,11,0,0,0,10.000000000000002,20,10.0,11.282490485817437,4,8.0,34.892167126,10,40.0,22.640391882204817,8,20.0,48.99999999999999,6,49.0,2,0.337,27054,152,0,0.0,1520.0000000000002,False,-0.0316808243977162,2,0.31000000000000005,26924,168,0,0.0,1680.0000000000002,False,-0.03342152903495335,2,0.49000000000000005,53602,0,4,0.4,139.568668504,False,0.019213527046183045,0,0.2,52660,0,0,0.0,0.0,False,0.0,4,0.744,72783,25,0,0.0,872.3041781499999,False,-0.028923712346485463,4,0.5550000000000002,73126,30,0,0.0,1046.76501378,False,-0.023217738635411087,0,0.2,104003,0,6,0.0,293.99999999999994,False,0.0002593087022079656,0,0.4970000000000001,105552,4,14,1.0,776.5615675288192,False,0.017453211910571215,0.175,515704,0.0,0.0,14,0,0,14,5,4.4,12,26,12,126.0,27.0,7,4,12,694,0.932868194009643,16.071535071125254
16,12,0,0,0,10.000000000000002,20,10.0,11.07806585535061,2,8.0,35.36077564655045,5,40.0,22.40130322676183,6,20.0,48.99999999999999,12,49.0,2,0.35500000000000004,26934,162,0,0.0,1620.0000000000002,False,-0.03411781088984821,0,0.30800000000000005,26824,178,0,0.0,1780.0000000000002,False,-0.035162233672190506,1,0.4980000000000001,53755,0,2,0.2,70.7215512931009,False,0.02146526349499715,0,0.2,52660,0,0,0.0,0.0,False,0.0,3,0.77,72708,25,0,0.0,884.0193911637613,False,-0.029840720217747037,3,0.5810000000000001,72851,35,0,0.0,1237.627147629266,False,-0.02559928947195441,0,0.2,104003,0,6,0.0,293.99999999999994,False,0.0002593087022079656,0,0.49700000000000005,106020,0,12,1.0,587.9999999999999,False,0.021042420982876023,0.15,515755,0.0,0.0,14,0,0,15,4,3.2,15,30,10,162.0,24.0,9,3,10,788,0.9932976299896836,17.064832701114938
17,10,0,0,0,10.000000000000002,20,10.0,10.70386692258016,4,8.0,35.789936086277514,5,40.0,21.509653601346848,18,18.555555555555557,48.99999999999999,7,49.0,2,0.37300000000000005,26794,174,0,0.0,1740.0000000000002,False,-0.03690293830942765,2,0.328,26724,186,0,0.0,1860.0000000000002,False,-0.03725107923687509,3,0.5270000000000001,53830,0,4,0.4,143.15974434511006,False,0.023577285836926535,0,0.2,52660,0,0,0.0,0.0,False,0.0,13,0.8970000000000002,72357,25,0,0.0,894.7484021569378,False,-0.03442474534378697,5,0.6280000000000001,72526,40,0,0.0,1431.5974434511006,False,-0.028623359128308445,0,0.2,104003,0,6,0.0,293.99999999999994,False,0.0002593087022079656,0,0.4970000000000001,106029,8,15,1.0,907.0772288107746,False,0.022661070218927538,0.175,514923,0.0,0.0,12,0,0,15,5,4.6,12,27,11,126.0,24.0,7,3,11,543,0.9359113000100479,18.000744001124986
18,11,0,0,0,10.000000000000002,20,10.0,10.70386692258016,0,,35.99592582564954,5,38.0,20.959098057243605,13,18.0,48.99999999999999,9,49.0,0,0.371,26714,182,0,0.0,1820.0000000000002,False,-0.03829550201921738,0,0.32600000000000007,26604,198,0,0.0,1980.0000000000005,False,-0.03933992480155967,1,0.534,53989,0,0,0.0,0.0,False,0.025237371819217622,0,0.2,52660,0,0,0.0,0.0,False,0.0,13,1.0140000000000002,72006,25,0,0.0,899.8981456412386,False,-0.03904576826497858,0,0.6230000000000002,72336,45,0,0.0,1619.8166621542293,False,-0.02989511497245213,0,0.2,104003,0,6,0.0,293.99999999999994,False,0.0002593087022079656,0,0.4970000000000001,106236,11,16,1.0,1014.5500786296795,False,0.02516518962491328,0.125,514548,0.0,0.0,13,0,0,15,2,1.2,16,31,10,144.0,9.0,8,3,10,641,0.8754257979453541,18.87616979907034
19,10,0,0,0,10.000000000000002,20,10.0,10.53280480143847,2,8.0,36.33979284366594,10,38.0,20.898841522119948,5,20.0,48.99999999999999,10,49.0,2,0.391,26604,191,0,0.0,1910.0000000000002,False,-0.04055841804762568,0,0.32600000000000007,26494,209,0,0.0,2090.0000000000005,False,-0.04125469990252054,10,0.633,54008,0,2,0.2,72.67958568733188,False,0.02628826040341185,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,1.0010000000000003,71816,30,0,0.0,1090.1937853099782,False,-0.04030375473932383,5,0.6730000000000003,72021,50,0,0.0,1816.989642183297,False,-0.03276532067517708,0,0.2,104003,0,6,0.0,293.99999999999994,False,0.0002593087022079656,0,0.4970000000000001,106626,6,16,1.0,909.3930491327196,False,0.0284057943448264,0.15,514232,0.0,0.0,15,0,0,9,4,4.0,13,22,9,90.0,30.0,5,5,9,690,0.8107482049963437,19.686918004066683
20,9,0,0,0,10.000000000000002,20,10.0,10.36645428633611,2,8.0,36.33979284366594,0,,20.851300189460066,4,20.0,49.0,12,49.0,2,0.40900000000000003,26524,197,0,0.0,1970.0000000000005,False,-0.042299122684862835,0,0.32600000000000007,26354,223,0,0.0,2230.0000000000005,False,-0.043691686394652554,0,0.6230000000000001,53992,0,4,0.2,145.35917137466376,False,0.026674507893796596,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,1.0010000000000001,71816,30,0,0.0,1090.1937853099782,False,-0.04030375473932383,4,0.7080000000000002,71921,50,0,0.0,1816.989642183297,False,-0.03409158062212668,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,0,0.49700000000000005,107134,0,14,1.0,686.0,False,0.032211903229833944,0.15,514404,0.0,0.0,15,0,0,12,2,2.0,16,28,9,108.0,9.0,6,3,9,788,0.8225650590029545,20.509483063069638
21,9,0,0,0,10.000000000000002,20,10.0,10.205505376097472,2,8.0,36.33979284366594,0,,20.793042633132476,5,20.0,49.00000000000001,8,49.0,2,0.42700000000000005,26374,210,0,0.0,2100.0000000000005,False,-0.04525832056816599,0,0.32600000000000007,26284,230,0,0.0,2300.0000000000005,False,-0.04491017964071856,0,0.623,53976,0,6,0.2,218.03875706199563,False,0.027060755384181477,0,0.2,52660,0,0,0.0,0.0,False,0.0,5,1.0510000000000002,71691,30,0,0.0,1090.1937853099782,False,-0.04196157967301083,0,0.7040000000000002,71921,50,0,0.0,1816.989642183297,False,-0.03409158062212668,0,0.2,104003,0,6,0.0,294.00000000000006,False,0.0002593087022079656,0,0.49700000000000005,107426,0,11,0.5,539.0000000000001,False,0.03431038291251693,0.0875,514335,0.0,0.0,16,0,0,13,2,2.0,11,24,11,108.0,9.0,6,3,11,592,0.8220768299652264,21.331559893034864
22,11,0,0,0,10.000000000000002,20,10.0,10.050546308938056,2,8.0,36.4842781664271,5,38.0,20.747568147059194,4,20.0,49.000000000000014,9,49.0,2,0.44500000000000006,26244,221,0,0.0,2210.0000000000005,False,-0.047869377524021726,0,0.32600000000000007,26194,239,0,0.0,2390.0000000000005,False,-0.046476813814232,0,0.623,54150,0,3,0.2,109.45283449928131,False,0.029333961588485443,0,0.2,52660,0,0,0.0,0.0,False,0.0,4,1.086,71401,35,0,0.0,1276.9497358249487,False,-0.04456929883405206,0,0.7040000000000002,71921,50,0,0.0,1824.2139083213551,False,-0.03404367434800172,0,0.2,104003,0,6,0.0,294.0000000000001,False,0.0002593087022079656,0,0.49700000000000005,107787,0,6,0.4,294.0000000000001,False,0.03660094311535396,0.07500000000000001,514360,0.0,0.0,17,0,0,13,2,2.0,14,27,9,144.0,9.0,8,3,9,831,0.9444303789641708,22.275990271999035
23,9,0,0,0,10.000000000000002,20,10.0,9.773624015664783,4,8.0,36.794267155795644,5,40.0,20.316488280724382,16,18.625,49.000000000000014,10,49.0,2,0.463,26124,231,0,0.0,2310.0000000000005,False,-0.05030636401615374,2,0.34600000000000003,26074,249,0,0.0,2490.0000000000005,False,-0.04891380030636402,2,0.643,54256,0,4,0.4,147.17706862318258,False,0.031705061418754045,0,0.2,52660,0,0,0.0,0.0,False,0.0,5,1.1320000000000001,71076,40,0,0.0,1471.7706862318257,False,-0.04758772754488186,11,0.8140000000000003,71624,50,0,0.0,1839.7133577897823,False,-0.03787988489529316,0,0.2,104003,0,6,0.0,294.0000000000001,False,0.0002593087022079656,4,0.5370000000000001,107733,6,10,1.0,611.8989296843464,False,0.037608880505192586,0.175,513550,0.0,0.0,12,0,0,11,8,7.4,15,26,9,108.0,9.0,6,3,9,494,0.9048180090030655,23.1808082810021
24,9,0,0,0,10.000000000000002,20,10.0,9.542210146146411,4,8.0,36.794267155795644,0,,20.25240978630073,18,20.0,49.000000000000014,9,49.0,2,0.4810000000000001,26004,241,0,0.0,2410.0000000000005,False,-0.052743350508285755,2,0.3640000000000001,25954,259,0,0.0,2590.0000000000005,False,-0.05135078679849603,0,0.641,54224,0,8,0.4,294.35413724636516,False,0.03249481710260507,0,0.2,52660,0,0,0.0,0.0,False,0.0,9,1.217,70811,40,0,0.0,1471.7706862318257,False,-0.051102316404298305,9,0.893,71359,50,0,0.0,1839.7133577897823,False,-0.04139447375470961,0,0.2,104003,0,6,0.0,294.0000000000001,False,0.0002593087022079656,0,0.533,107814,14,11,1.0,822.5337370082103,False,0.03939827769564937,0.175,512829,0.0,0.0,13,0,0,11,6,6.0,15,26,10,108.0,9.0,6,3,10,641,0.8902596809784882,24.07106796198059
25,10,0,0,0,10.000000000000002,20,10.0,9.542210146146411,0,,36.90185178168384,5,38.0,20.25240978630073,0,,49.00000000000001,13,49.0,0,0.4790000000000001,25924,249,0,0.0,2490.0000000000005,False,-0.054135914218075475,0,0.3620000000000001,25834,271,0,0.0,2710.0000000000005,False,-0.05343963236318062,0,0.641,54414,0,3,0.0,110.70555534505152,False,0.03435914883540684,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,1.2080000000000002,70811,40,0,0.0,1476.0740712673535,False,-0.051073779368253594,0,0.8840000000000001,71169,55,0,0.0,2029.601847992611,False,-0.042655160159200275,0,0.2,104003,0,6,0.0,294.00000000000006,False,0.0002593087022079656,2,0.5530000000000002,108335,4,10,1.0,571.009639145203,False,0.043194153256942244,0.125,513150,0.0,0.0,16,0,0,8,1,0.6666666666666666,18,26,11,108.0,12.0,6,4,11,880,0.8863857639953494,24.957453725975938
