index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,13.441092069667022,38,5.684210526315789,27.892666141061465,16,32.0,31.0,20,31.0,0,0.2,35828,8,24,1.0,402.5862096720085,False,0.030704116742075873,38,1.5070000000000001,31314.0,105,0,0.0,1050.0000000000002,False,-0.08916924133196018,0,0.2,43347,0,20,0.0,557.8533228212293,False,0.003771723837159274,1,0.21000000000000002,42953,117,10,1.0,1851.534433561656,False,0.009589232358861232,0,0.7940000000000003,59060,27,12,1.0,1125.1019858086597,False,-0.023477610834245072,11,0.7060000000000002,60562,0,0,0.0,0.0,False,-0.008090932914046122,0.5,273064,0.0,0.0,10,0,0,12,9,7.729166666666667,10,22,29,99.0,72.0,8,14,29,448,1.4359247340471484,17.60832649108488
11,29,0,0,0,10.000000000000002,20,10.0,12.920769212630862,23,9.26086956521739,27.951092648407872,1,33.0,30.999999999999996,20,31.0,0,0.2,35717,10,33,1.0,526.3853840168185,False,0.029299481977583475,22,1.6890000000000005,30842.0,113,0,0.0,1130.0000000000002,False,-0.10152763474081702,0,0.2,43347,0,20,0.0,559.0218529681574,False,0.003785166961577456,0,0.20900000000000002,42773,130,19,1.0,2210.770757961762,False,0.009580446803664768,1,0.804,59426,17,10,1.0,785.1685750229337,False,-0.020266897806743504,7,0.7650000000000001,60463,0,1,0.1,30.999999999999996,False,-0.009458529874213837,0.5166666666666667,272568,0.0,0.0,14,0,0,13,8,8.0,13,26,25,155.0,90.0,9,20,25,614,1.3914040179806761,18.999730509065557
12,25,0,0,0,10.000000000000002,20,10.0,12.920769212630862,0,,29.700070991891327,32,34.0,31.0,20,31.0,0,0.2,35577,14,43,1.0,695.5930761431271,False,0.027714742478303047,0,1.6670000000000005,30782.0,119,0,0.0,1190.0000000000002,False,-0.10238585650532098,0,0.2,43347,0,20,0.0,594.0014198378266,False,0.004187582483983933,13,0.3390000000000001,43523,120,10,1.0,1847.4930154346168,False,0.0226576436362181,2,0.8230000000000002,59146,24,10,1.0,1022.8017038053919,False,-0.022906825669832653,7,0.8280000000000001,59919,5,10,1.0,458.5003549594567,False,-0.014867495782892304,0.6666666666666666,272294,0.0,0.0,13,0,0,14,5,4.616666666666667,12,26,28,115.0,75.0,10,15,28,1088,1.5553497250075452,20.555080234073102
13,28,0,0,0,10.000000000000002,20,10.0,12.920769212630862,0,,29.700070991891327,0,,31.0,20,31.0,0,0.2,35477,14,53,1.0,824.8007682694357,False,0.026702150822025254,0,1.6670000000000005,30682.0,129,0,0.0,1290.0000000000002,False,-0.10381622611282755,0,0.2,43347,0,20,0.0,594.0014198378266,False,0.004187582483983933,0,0.32600000000000007,43523,110,20,1.0,2015.2860332272212,False,0.024587985288611027,0,0.8210000000000002,59363,14,13,1.0,818.8009938864786,False,-0.0210233147120145,3,0.851,60208,0,5,0.5,155.0,False,-0.012619562368972746,0.5833333333333334,272600,0.0,0.0,13,0,0,18,2,1.6666666666666665,13,31,29,174.0,93.0,15,13,29,696,1.5794651010073721,22.134545335080475
14,29,0,0,0,10.000000000000002,20,10.0,13.440932927568396,17,18.529411764705884,30.30980689450242,17,33.88235294117647,31.0,20,31.0,0,0.2,35677,14,51,1.0,825.4875793059882,False,0.03243345318837955,5,1.7170000000000005,30492.0,139,0,0.0,1390.0000000000002,False,-0.10782126101384598,0,0.2,43379,0,19,0.0,575.8863309955459,False,0.004715456387137599,0,0.32600000000000007,43752,117,14,1.0,1996.9264490485361,False,0.02964574167144329,0,0.8210000000000002,59641,5,13,1.0,554.5490344725121,False,-0.018634130679437637,5,0.8980000000000001,59781,6,10,1.0,491.8588413670145,False,-0.016854536479895443,0.6666666666666666,272722,0.0,0.0,17,0,0,13,3,3.0,12,25,25,145.0,98.0,10,19,25,1541,2.5618243709905073,24.696369706070982
15,25,0,0,0,10.000000000000002,20,10.0,13.251206511834821,41,12.487804878048781,30.522292526933274,9,33.0,31.0,20,31.0,0,0.2,35887,13,49,1.0,779.3091190799063,False,0.037780482879618695,29,2.0020000000000002,29758.0,150,0,0.0,1500.0000000000002,False,-0.12724568028378533,0,0.2,43676,0,10,0.0,305.22292526933273,False,0.008435218412283558,0,0.32600000000000007,43240,148,24,1.0,2693.713584397952,False,0.02588138585888763,0,0.8210000000000002,59592,4,15,1.0,587.0891701077331,False,-0.01917019482026554,2,0.913,60079,0,6,0.6,186.0,False,-0.014478511530398324,0.6,272232,0.0,0.0,16,0,0,15,5,4.666666666666667,12,27,17,126.0,36.0,13,12,17,1324,1.2957128469715826,25.992082553042565
16,17,0,0,0,10.000000000000002,20,10.0,13.023990945486142,5,4.6,30.522292526933274,0,,31.0,20,31.0,0,0.2,35767,15,59,1.0,918.4154657836824,False,0.03633733072696643,5,2.0230000000000006,29593.0,158,0,0.0,1580.0000000000002,False,-0.13082160430255177,0,0.2,43676,0,10,0.0,305.22292526933273,False,0.008435218412283558,0,0.32600000000000007,43217,143,34,1.0,2900.1886511202497,False,0.02772753958768863,0,0.8210000000000002,59902,0,9,0.4,279.0,False,-0.01661589360587002,4,0.9510000000000001,60232,0,0,0.0,0.0,False,-0.013495807127882599,0.39999999999999997,272387,0.0,0.0,13,0,0,8,5,4.5,13,21,20,51.0,30.0,7,10,20,665,1.174303324020002,27.166385877062567
17,20,0,0,0,10.000000000000002,20,10.0,13.197192353516249,27,14.296296296296296,29.5815994878055,18,24.22222222222222,31.000000000000004,20,31.0,0,0.2,36035,12,56,1.0,859.04277179691,False,0.043154862853257155,14,2.1580000000000004,29205.0,171,0,0.0,1710.0000000000002,False,-0.1400617919670443,0,0.2,43676,0,10,0.0,295.815994878055,False,0.008326998238438776,0,0.32600000000000007,43267,160,26,1.0,2880.672363245543,False,0.028653448567087795,3,0.8510000000000002,59727,8,10,1.0,546.652795902444,False,-0.017290251605882805,8,1.0270000000000001,60154,0,0,0.0,0.0,False,-0.01477332285115304,0.5,272064,0.0,0.0,14,0,0,13,6,5.75,13,26,21,103.0,45.0,10,10,21,1222,1.2488299669930711,28.415215844055638
18,21,0,0,0,10.000000000000002,20,10.0,13.062045866171959,2,1.0,29.90920284376573,17,32.0,31.0,20,31.0,0,0.2,35945,11,66,1.0,972.0950271673493,False,0.042197262661164754,2,2.1640000000000006,29055.0,182,0,0.0,1820.0000000000002,False,-0.14277949422130679,0,0.2,43676,0,10,0.0,299.0920284376573,False,0.008364686719866348,0,0.32600000000000007,43809,152,19,1.0,2553.7058256896867,False,0.037362590604317396,0,0.8480000000000003,60037,0,8,0.8,248.0,False,-0.014658674004192872,10,1.1190000000000002,59498,7,10,1.0,519.3644199063601,False,-0.021264376802391603,0.6333333333333333,272020,0.0,0.0,13,0,0,0,5,5.0,23,23,23,92.0,72.0,7,14,23,1054,1.187498721992597,29.602714566048235
19,23,0,0,0,10.000000000000002,20,10.0,13.123038009047754,17,13.705882352941176,29.90920284376573,0,,31.0,20,31.0,0,0.2,36034,11,67,1.0,989.2435466061995,False,0.044988607772717154,8,2.242000000000001,28820.0,192,0,0.0,1920.0000000000005,False,-0.14807186176908113,0,0.2,43676,0,10,0.0,299.0920284376573,False,0.008364686719866348,0,0.32600000000000007,43576,159,29,1.0,2953.9299259077993,False,0.03660588474883572,1,0.8580000000000003,60279,0,0,0.0,0.0,False,-0.012726022012578617,1,1.119,59802,0,7,0.7,217.0,False,-0.018761464884696016,0.45,272187,0.0,0.0,16,0,0,9,5,4.5,16,25,23,114.0,99.0,10,13,23,916,1.3186428640037775,30.921357430052012
20,23,0,0,0,10.000000000000002,20,10.0,12.909142803633024,5,6.0,30.444375050899954,17,34.0,31.000000000000004,20,31.0,0,0.2,35944,10,77,1.0,1094.003995879743,False,0.043912404106301386,5,2.2840000000000003,28635.0,203,0,0.0,2030.0000000000005,False,-0.15179082274859823,0,0.2,43676,0,10,0.0,304.4437505089995,False,0.008426254550055252,0,0.32600000000000007,44124,154,22,1.0,2657.7842428792846,False,0.045807650854531305,9,0.9470000000000003,59599,7,10,1.0,523.1106253562997,False,-0.019579479286586866,4,1.158,59989,0,0,0.0,0.0,False,-0.01747575995807128,0.5,271967,0.0,0.0,12,0,0,8,7,6.333333333333333,18,26,19,118.0,99.0,10,13,19,933,1.339200196962338,32.26055762701435
21,19,0,0,0,10.000000000000002,20,10.0,13.576727551424584,19,18.842105263157894,30.895625097902947,17,34.0,31.000000000000007,20,31.0,0,0.2,36160,7,76,1.0,1101.8312939082684,False,0.0502035601028188,8,2.3590000000000004,28409.0,216,0,0.0,2160.0000000000005,False,-0.15639661288476941,0,0.2,43676,0,10,0.0,308.95625097902945,False,0.008478167720986456,0,0.32600000000000007,44344,163,15,1.0,2676.440967350751,False,0.05108417660658445,0,0.9380000000000002,59878,0,8,0.7,248.00000000000006,False,-0.01726284067085954,11,1.2640000000000002,59279,7,10,1.0,526.2693756853207,False,-0.02479470178454758,0.6166666666666667,271746,0.0,0.0,13,0,0,6,5,5.0,18,24,23,114.0,94.0,8,11,23,1343,1.3136042500264011,33.57416187704075
22,23,0,0,0,10.000000000000002,20,10.0,13.465320647861706,2,5.0,30.91293702593062,1,33.0,31.000000000000007,20,31.0,0,0.2,36080,5,86,1.0,1208.0175757161066,False,0.04943382503312886,2,2.3710000000000004,28257.0,228,0,0.0,2280.0000000000005,False,-0.15902849296258154,0,0.2,43676,0,10,0.0,309.1293702593062,False,0.00848015933757432,0,0.32600000000000007,44367,155,24,1.0,2829.0351890408992,False,0.05336886462934164,5,0.9880000000000002,60087,0,0,0.0,0.0,False,-0.015870676100628932,0,1.2530000000000001,59463,0,11,0.8,341.00000000000006,False,-0.02329828354297694,0.4666666666666666,271930,0.0,0.0,14,0,0,9,3,2.6666666666666665,18,27,25,135.0,96.0,11,12,25,667,1.366585401003249,34.940747278044
23,25,0,0,0,10.000000000000002,20,10.0,14.30898591099312,10,26.0,30.91293702593062,0,,31.000000000000004,20,31.0,0,0.2,36250,4,86,1.0,1270.5727883454083,False,0.05519185244801192,0,2.369000000000001,28147.0,239,0,0.0,2390.0000000000005,False,-0.16060189953083878,0,0.2,43676,0,10,0.0,309.1293702593062,False,0.00848015933757432,0,0.32600000000000007,44107,155,34,1.0,3268.932675085575,False,0.05244734106904386,9,1.0730000000000004,59998,0,0,0.0,0.0,False,-0.01732835429769392,0,1.2530000000000001,59804,0,0,0.0,0.0,False,-0.020505765199161426,0.3333333333333333,271982,0.0,0.0,13,0,0,11,3,3.0,19,30,23,200.0,104.0,15,10,23,801,1.4648163759848103,36.40556365402881
24,23,0,0,0,10.000000000000002,20,10.0,14.145078715147573,27,13.333333333333334,30.950406495630027,2,33.0,31.000000000000004,20,31.0,0,0.2,36487,4,82,1.0,1199.896454642101,False,0.06096087159060111,13,2.499000000000001,27752.0,249,0,0.0,2490.0000000000005,False,-0.17047144982263418,0,0.2,43676,0,10,0.0,309.5040649563003,False,0.008484469938754563,0,0.32600000000000007,43813,172,42,1.0,3732.8706118218433,False,0.051020093550939206,14,1.2040000000000002,59761,0,1,0.1,31.000000000000004,False,-0.0209561713836478,6,1.3130000000000002,59717,0,1,0.1,31.000000000000004,False,-0.021676821278825996,0.3666666666666667,271206,0.0,0.0,11,0,0,8,13,13.0,20,28,26,159.0,93.0,12,11,26,603,1.376829284010455,37.782392938039266
25,26,0,0,0,10.000000000000002,20,10.0,15.258948930179283,15,26.0,29.99461950437668,32,27.0,31.000000000000004,20,31.0,0,0.2,36797,2,77,1.0,1194.9390676238047,False,0.06975825419990575,0,2.4860000000000007,27632.0,261,0,0.0,2610.0000000000005,False,-0.17218789335164206,0,0.2,43676,0,10,0.0,299.9461950437668,False,0.00837451331098165,0,0.32600000000000007,44287,177,20,1.0,3300.7263507292664,False,0.05695465407401024,7,1.2600000000000002,59214,6,10,1.0,489.9677170262601,False,-0.026156579885463684,11,1.417,59260,6,10,1.0,489.9677170262601,False,-0.0254031731768683,0.6666666666666666,270866,0.0,0.0,12,0,0,14,8,7.166666666666666,16,30,31,193.0,75.0,16,10,31,1454,1.488216649973765,39.27060958801303
26,31,0,0,0,10.000000000000002,20,10.0,15.195279380497416,11,14.363636363636363,30.897089566842013,43,33.395348837209305,31.0,20,31.0,0,0.2,36890,0,79,0.8,1200.427071059296,False,0.07249724040306811,5,2.536000000000001,27392.0,275,0,0.0,2750.0000000000005,False,-0.17705115001716443,0,0.2,43676,0,10,0.0,308.9708956684201,False,0.008478336197924843,23,0.556,44824,178,10,1.0,3013.73062539696,False,0.0660085894045023,2,1.2730000000000004,59096,9,10,1.0,588.0738061015782,False,-0.02728582116334535,0,1.4060000000000001,58488,26,12,1.0,1175.3243287378923,False,-0.03243477849238497,0.6333333333333333,270366,0.0,0.0,19,0,0,11,4,3.1666666666666665,19,30,32,176.0,109.0,15,16,32,1359,1.6382771829958074,40.90888677100884
27,32,0,0,0,10.000000000000002,20,10.0,15.033407900131031,16,13.625000000000002,30.897089566842013,0,,31.0,20,31.0,0,0.2,37001,0,78,1.0,1172.6058162102204,False,0.07527471415794466,5,2.581000000000001,27194.0,285,0,0.0,2850.0000000000005,False,-0.1812850440553839,0,0.2,43676,0,10,0.0,308.9708956684201,False,0.008478336197924843,0,0.533,44606,184,20,1.0,3384.08884496095,False,0.06525342649856136,0,1.2710000000000001,59313,0,12,0.9,372.0,False,-0.02550117924528302,1,1.4160000000000001,58854,16,10,1.0,804.3534330694722,False,-0.029478237740193695,0.65,270644,0.0,0.0,17,0,0,11,3,2.5,21,32,29,177.0,87.0,16,16,29,969,1.6233418339979835,42.53222860500682
28,29,0,0,0,10.000000000000002,20,10.0,14.374822580777918,8,2.875,30.92553973824188,2,33.0,31.000000000000004,20,31.0,0,0.2,36921,0,86,0.8,1236.234741946901,False,0.07389625160125445,8,2.656000000000001,26919.0,297,0,0.0,2970.0000000000005,False,-0.1874356333676622,0,0.2,43676,0,10,0.0,309.2553973824188,False,0.008481609191735599,0,0.533,44649,182,28,1.0,3482.132822372354,False,0.0673707241080985,0,1.2710000000000004,59621,0,2,0.1,62.00000000000001,False,-0.022995283018867923,0,1.4150000000000003,59100,7,11,1.0,557.4787781676932,False,-0.027470856441891983,0.4833333333333334,270886,0.0,0.0,18,0,0,13,3,3.0,15,28,32,126.0,96.0,12,17,32,886,1.4003980869892985,43.93262669199612
29,32,0,0,0,10.000000000000002,20,10.0,13.840358006744149,6,2.0,31.16031606129046,11,34.0,31.0,20,31.0,0,0.2,36811,1,96,1.0,1338.6743686474383,False,0.07221470375110763,6,2.7080000000000006,26709.0,306,0,0.0,3060.0000000000005,False,-0.1921558530724339,0,0.2,43676,0,10,0.0,311.6031606129046,False,0.008508618570393802,0,0.533,45011,178,27,1.0,3304.912258855301,False,0.07366104020587294,6,1.3310000000000002,59631,0,0,0.0,0.0,False,-0.023339229559748428,1,1.4250000000000003,59061,8,10,1.0,559.2825284903237,False,-0.02809484302533475,0.5,270899,0.0,0.0,13,0,0,8,6,4.833333333333334,17,25,32,103.0,112.0,9,23,32,884,1.4470296580111608,45.37965635000728
30,32,0,0,0,10.000000000000002,20,10.0,14.717525655428867,13,23.153846153846153,31.16031606129046,0,,31.000000000000004,20,31.0,0,0.2,36971,5,94,1.0,1433.4474116103136,False,0.07814749129777876,1,2.7120000000000006,26629.0,312,0,0.0,3120.0000000000005,False,-0.1935862226799405,0,0.2,43676,0,10,0.0,311.6031606129046,False,0.008508618570393802,0,0.533,44710,181,37,1.0,3816.803837900372,False,0.07262440566357244,11,1.4350000000000003,59496,0,0,0.0,0.0,False,-0.025550314465408806,0,1.4240000000000002,59340,0,9,0.8,279.00000000000006,False,-0.025820558176100628,0.4666666666666666,270822,0.0,0.0,13,0,0,11,5,5.0,15,26,24,126.0,105.0,12,20,24,779,1.4639294650405645,46.843585815047845
31,24,0,0,0,10.000000000000002,20,10.0,14.211105817155339,28,11.964285714285714,30.09838233074474,17,22.0,31.000000000000004,20,31.0,0,0.2,36861,6,104,1.0,1537.9550049841553,False,0.07649552301442025,28,2.991000000000001,26074.0,321,0,0.0,3210.0000000000005,False,-0.2081759926765076,0,0.2,43676,0,10,0.0,300.98382330744744,False,0.008386450500522762,0,0.533,44749,199,30,1.0,3730.961527536255,False,0.07253418535198862,8,1.5040000000000002,59414,0,0,0.0,0.0,False,-0.026893343815513625,3,1.454,59227,7,10,1.0,520.6886763152132,False,-0.025692080415395585,0.5,270001,0.0,0.0,13,0,0,6,8,8.0,18,24,25,72.0,90.0,9,15,25,853,1.159279116021935,48.00286493106978
32,25,0,0,0,10.000000000000002,20,10.0,14.508607554172244,28,15.964285714285714,30.12020246816898,1,33.0,31.0,20,31.0,0,0.2,36919,11,106,1.0,1647.912400742258,False,0.07972754892925771,20,3.1630000000000003,25779.0,326,0,0.0,3260.0000000000005,False,-0.21589998855704315,0,0.2,43676,0,10,0.0,301.2020246816898,False,0.008388960755161783,0,0.533,44335,217,39,1.0,4323.055735513967,False,0.0698202537333068,7,1.566,59348,0,0,0.0,0.0,False,-0.02797431865828092,3,1.481,59486,0,8,0.8,248.0,False,-0.023683176100628932,0.4666666666666666,269543,0.0,0.0,12,0,0,6,7,7.0,19,25,30,121.0,90.0,10,15,30,751,1.29469638800947,49.29756131907925
