index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,35,0,0,0,10.000000000000002,20,10.0,18.3487669444154,41,20.0,18.514992186700027,32,11.84375,17.636102404599143,43,15.465116279069768,40.0,20,40.0,13,0.33000000000000007,49607,6,10,1.0,243.487669444154,False,0.01753036165334085,0,0.37100000000000005,49441,5,15,1.0,325.231504166231,False,0.014970039124306729,0,0.2,69301,0,2,0.0,37.029984373400055,False,0.004164952372619912,22,1.2390000000000003,63481,140,10,1.0,2753.977294085156,False,-0.06046487647695884,18,1.6940000000000004,111974,58,0,0.0,1073.8695468286016,False,-0.05390187794069766,25,1.7280000000000004,112044,119,0,0.0,2203.2840702173035,False,-0.048564660277758714,3,0.5540000000000002,143422,0,4,0.4,160.0,False,0.0024309484890397753,12,0.7970000000000002,137486,291,0,0.0,5132.1057997383505,False,-0.02166860234524227,0.425,736756,0.0,0.0,7,0,0,17,15,13.3,18,35,30,453.0,57.0,26,9,30,700,2.6542813358828425,46.776517575606704
11,30,0,0,0,10.000000000000002,20,10.0,18.49801788705305,17,20.0,19.591321958070175,54,22.814814814814813,17.268914521342328,45,15.622222222222222,40.0,20,40.0,7,0.38700000000000007,49735,6,10,1.0,244.9801788705305,False,0.02016471782278746,0,0.37100000000000005,49341,5,25,1.0,512.4504471763263,False,0.01483927859690949,0,0.2,69301,0,2,0.0,39.18264391614035,False,0.004180544123856601,44,1.6570000000000005,62441,147,10,1.0,2915.1218489775,False,-0.07436318048892177,24,1.9160000000000006,110364,97,0,0.0,1900.358229932807,False,-0.0639653289581621,21,1.9130000000000007,110885,134,0,0.0,2625.2371423814034,False,-0.05653653626196633,7,0.6210000000000001,143400,0,6,0.6,240.0,False,0.0025566872039901084,9,0.8750000000000002,136773,330,0,0.0,5698.741792042968,False,-0.02467013917863639,0.45,732240,0.0,0.0,5,0,0,10,17,15.37843137254902,19,29,29,275.0,63.0,19,11,29,320,2.3300109738484025,49.106528549455106
12,29,0,0,0,10.000000000000002,20,10.0,18.49801788705305,0,,19.649782485242156,1,31.0,16.840919700799866,75,15.573333333333334,40.0,20,40.0,0,0.38000000000000006,49635,6,20,1.0,429.960357741061,False,0.020011052931546282,0,0.37100000000000005,49241,5,35,1.0,697.4306260468567,False,0.014685613705668465,0,0.2,69332,0,1,0.0,19.649782485242156,False,0.0044881343614935195,0,1.6130000000000004,62441,137,20,1.0,2927.224100231111,False,-0.07427552366850804,27,2.162000000000001,109371,97,0,0.0,1906.0289010684892,False,-0.07229156792715966,48,2.3720000000000008,108272,135,0,0.0,2652.720635507691,False,-0.0783935527135338,3,0.6440000000000001,143548,0,4,0.4,160.0,False,0.003311119493692108,11,0.9760000000000002,135507,401,0,0.0,6753.208800020746,False,-0.029830780837347387,0.425,727347,0.0,0.0,6,0,0,14,13,12.75,16,30,26,318.0,55.0,21,8,26,431,2.243741604499519,51.350270153954625
13,26,0,0,0,10.000000000000002,20,10.0,18.603441338734388,45,19.0,19.19356118864947,11,11.909090909090908,16.851472703017684,19,17.0,40.00000000000001,20,40.0,0,0.38000000000000006,49840,4,15,1.0,319.0516200810158,False,0.023070997913744156,0,0.37100000000000005,49691,7,15,1.0,349.0516200810158,False,0.020329141636120977,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,0,1.6130000000000004,61686,172,20,1.0,3583.6631340353038,False,-0.08045788088107468,7,2.2050000000000005,109193,98,0,0.0,1880.968996487648,False,-0.07389372357915068,12,2.444000000000001,107865,145,0,0.0,2783.066372354173,False,-0.08126795783606694,7,0.7110000000000001,143394,4,10,1.0,467.40589081207077,False,0.0033090444235300783,9,1.0550000000000002,135310,406,0,0.0,6841.69791742518,False,-0.030897851553483697,0.5,726342,0.0,0.0,11,0,0,13,7,6.666666666666666,15,28,22,294.0,39.0,18,8,22,1306,2.0090833622962236,53.35935351625085
14,22,0,0,0,10.000000000000002,20,10.0,18.56203429819369,32,18.3125,17.434955510912992,40,10.05,16.737431392088563,48,16.125,40.00000000000001,20,40.0,0,0.38000000000000006,49741,6,22,1.0,468.3647545602612,False,0.02257289198887152,14,0.5110000000000001,49952,5,10,1.0,235.62034298193691,False,0.02450912938883147,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,20,1.8130000000000004,60886,194,10,1.0,3775.384208958706,False,-0.09065807010546767,21,2.408000000000001,108369,111,0,0.0,1935.2800617113421,False,-0.08059434388496836,27,2.7020000000000013,106563,172,0,0.0,2998.812347877035,False,-0.09130930471541174,0,0.7040000000000002,143544,4,12,1.0,546.9497255683543,False,0.004634693147129499,12,1.1660000000000004,134516,444,0,0.0,7431.4195380873225,False,-0.03438458045850159,0.5,722934,0.0,0.0,10,0,0,9,14,13.317948717948717,14,23,28,219.0,57.0,13,9,28,941,2.0822157179936767,55.441569234244525
15,28,0,0,0,10.000000000000002,20,10.0,18.583040854107768,3,20.0,17.883519816813845,34,20.352941176470587,16.645647802628353,67,16.26865671641791,40.00000000000001,20,40.0,0,0.38000000000000006,49591,11,32,1.0,704.6573073314486,False,0.02192111339142505,0,0.4970000000000001,49962,0,17,1.0,315.91169451983205,False,0.025535190850792203,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,24,2.0330000000000004,60711,187,10,1.0,3653.863837886291,False,-0.09407330051362922,46,2.8470000000000004,105693,128,0,0.0,2289.090536552172,False,-0.10160909117585556,21,2.8850000000000007,105525,189,0,0.0,3379.9852453778167,False,-0.09843515760303977,0,0.7040000000000002,143905,1,10,1.0,416.6456478026284,False,0.00670133439443754,8,1.2340000000000002,133451,504,0,0.0,8389.40649252469,False,-0.03847811974333702,0.5,718201,0.0,0.0,9,0,0,12,13,12.75,16,28,30,279.0,60.0,18,10,30,996,2.1152005745097995,57.556769808754325
16,30,0,0,0,10.000000000000002,20,10.0,18.68940660192434,15,20.0,17.883519816813845,0,,16.45294622879002,67,15.567164179104477,40.00000000000001,20,40.0,0,0.38000000000000006,49521,8,42,1.0,864.9550772808223,False,0.02212877595843048,0,0.4970000000000001,50132,3,12,1.0,254.27287922309208,False,0.02838305040946853,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,0,2.0090000000000003,60411,192,20,1.0,3946.03646390575,False,-0.09630289964142896,28,3.0810000000000004,104604,128,0,0.0,2289.090536552172,False,-0.11076643092241,39,3.2540000000000004,103679,189,0,0.0,3379.9852453778167,False,-0.11395806777029366,0,0.7040000000000002,144225,0,3,0.1,120.00000000000003,False,0.007900582589379269,12,1.346,132218,571,0,0.0,9394.6322966391,False,-0.04358022724953865,0.3875,714153,0.0,0.0,8,0,0,11,12,12.0,17,28,24,327.0,48.0,19,11,24,820,2.135631679557264,59.69240148831159
17,24,0,0,0,10.000000000000002,20,10.0,18.801509637423553,26,19.576923076923077,16.862299924941272,27,9.333333333333334,16.47383489404913,21,16.80952380952381,40.00000000000001,20,40.0,0,0.38000000000000006,49620,9,41,1.0,860.8618951343657,False,0.024112599189048605,3,0.5270000000000001,50294,2,10,1.0,208.01509637423553,False,0.03122457743057614,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,7,2.0790000000000006,59979,208,10,1.0,4079.337003833512,False,-0.10159536878669666,10,3.1530000000000005,104098,155,0,0.0,2613.656488365897,False,-0.11365672804481168,11,3.3250000000000006,103398,189,0,0.0,3186.9746858139006,False,-0.11713248843428027,7,0.774,144184,0,5,0.5,200.00000000000003,False,0.007893597105215363,10,1.4340000000000002,131822,587,0,0.0,9670.14108280684,False,-0.04538419784704981,0.4375,712758,0.0,0.0,7,0,0,12,10,8.602777777777778,14,26,31,243.0,54.0,16,8,31,571,2.060856937430799,61.75325842574239
18,31,0,0,0,10.000000000000002,20,10.0,18.27707063375377,15,11.8,16.436920009934756,31,13.64516129032258,16.48965320978112,10,17.0,40.00000000000001,20,40.0,0,0.38000000000000006,49550,6,51,1.0,992.1306023214422,False,0.0240232710173662,5,0.5740000000000001,50258,5,10,1.0,232.7707063375377,False,0.030741229193991877,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,21,2.2820000000000005,59662,213,10,1.0,4057.3852450889003,False,-0.10634643900590382,6,3.2030000000000007,103744,174,0,0.0,2860.0240817286476,False,-0.11559764851570095,4,3.3540000000000005,103119,201,0,0.0,3303.8209219968858,False,-0.11898730702736733,6,0.8270000000000002,144268,0,4,0.4,160.00000000000003,False,0.008340668091705436,9,1.514,131620,593,0,0.0,9778.364353400204,False,-0.04641726967671113,0.425,711584,0.0,0.0,7,0,0,11,9,8.333333333333332,15,26,31,291.0,87.0,17,14,31,562,2.1965167680755258,63.94977519381791
19,31,0,0,0,10.000000000000002,20,10.0,18.538991608119602,46,19.565217391304348,16.436920009934756,0,,16.549669336472373,51,16.901960784313726,40.00000000000001,20,40.0,0,0.38000000000000006,50370,4,15,1.0,318.08487412179403,False,0.033905762748831565,0,0.5690000000000001,50138,7,20,1.0,440.77983216239204,False,0.030413936734350805,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,0,2.261000000000001,58762,249,20,1.0,4944.947310620476,False,-0.11295524314361106,33,3.5270000000000006,102433,174,0,0.0,2860.0240817286476,False,-0.1266217737753271,18,3.5300000000000007,102631,201,0,0.0,3303.8209219968858,False,-0.12309087157862404,5,0.8710000000000002,144291,0,5,0.5,200.00000000000003,False,0.008641043910753455,11,1.6150000000000002,130679,639,0,0.0,10575.238706005846,False,-0.05020733368957258,0.4375,708667,0.0,0.0,8,0,0,13,11,10.428571428571429,16,29,31,315.0,64.0,20,11,31,1100,3.207217293791473,67.15699248760939
20,31,0,0,0,10.000000000000002,20,10.0,18.626675745619874,13,20.0,15.852895910329538,46,13.173913043478262,16.597199294268542,67,16.82089552238806,40.00000000000001,20,40.0,0,0.38000000000000006,50290,2,25,1.0,485.6668936404968,False,0.033983332927243655,0,0.5690000000000002,50278,9,17,1.0,406.65348767553786,False,0.03292942265177947,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,26,2.5210000000000004,58389,252,10,1.0,4852.451246999503,False,-0.11902848499971383,25,3.7440000000000007,100966,220,0,0.0,3487.637100272498,False,-0.13631891297469542,42,3.932000000000001,100634,201,0,0.0,3186.432077976237,False,-0.1403770903457916,4,0.9060000000000001,144368,0,5,0.5,200.00000000000003,False,0.009178926191374325,11,1.7140000000000004,129477,701,0,0.0,11634.636705282248,False,-0.05490368168097901,0.4375,703765,0.0,0.0,7,0,0,10,15,13.333333333333334,21,31,28,303.0,46.0,21,10,28,620,1.9260696284472942,69.08306211605668
21,28,0,0,0,10.000000000000002,20,10.0,18.643150177855418,9,19.0,15.344563982859134,22,10.0,16.63342070404819,34,17.0,40.00000000000001,20,40.0,0,0.38000000000000006,50170,4,35,1.0,692.5102562249397,False,0.0336441137688752,0,0.5690000000000001,50369,7,18,1.0,405.57670320139755,False,0.03478041315273978,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,12,2.6150000000000007,58138,251,10,1.0,4832.876334470301,False,-0.12280626133915935,15,3.8690000000000007,100341,242,0,0.0,3713.3844838519103,False,-0.1406253542946498,19,4.080000000000001,100049,201,0,0.0,3084.257360554686,False,-0.1457259131669147,6,0.9620000000000002,144306,2,10,1.0,433.2668414080964,False,0.00956056708652255,9,1.7930000000000006,129003,723,0,0.0,12025.963169026842,False,-0.05684799876696834,0.5,701739,0.0,0.0,9,0,0,7,10,9.045454545454545,18,25,33,240.0,82.0,15,13,33,531,1.8558910647407174,70.9389531807974
22,33,0,0,0,10.000000000000002,20,10.0,18.519653174707273,34,17.852941176470587,14.930756120442462,24,11.0,16.664027581184886,31,17.0,40.00000000000001,20,40.0,0,0.38000000000000006,50440,1,28,1.0,528.5502888918036,False,0.03749130676964108,0,0.5690000000000001,50506,10,11,1.0,303.71618492178,False,0.03654153896834364,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,14,2.7430000000000008,57421,275,10,1.0,5242.212184248925,False,-0.13022792194743793,18,4.034000000000001,99696,254,0,0.0,3792.412054592385,False,-0.1457168538164311,13,4.191000000000001,99584,213,0,0.0,3180.2510536542445,False,-0.14923246922892408,1,0.9660000000000002,144630,0,6,0.6,240.00000000000006,False,0.01114883272559621,9,1.8740000000000003,128444,750,0,0.0,12498.020685888665,False,-0.05910410926034672,0.45,700084,0.0,0.0,12,0,0,10,9,7.416666666666667,17,27,27,290.0,76.0,17,16,27,1087,2.010443893261254,72.94939707405865
23,27,0,0,0,10.000000000000002,20,10.0,18.562142462468387,19,19.0,16.095691376909386,19,30.0,16.666999266829695,21,16.714285714285715,40.00000000000001,20,40.0,0,0.38000000000000006,50539,2,27,1.0,521.1778464866464,False,0.03944158052142997,0,0.5690000000000001,50568,9,13,1.0,331.30785201208903,False,0.03809244405807099,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,9,2.819000000000001,57405,284,10,1.0,5432.6053731101165,False,-0.1290806772720614,10,4.1160000000000005,98876,273,0,0.0,4394.123745896262,False,-0.15008230780982218,11,4.288000000000001,99299,213,0,0.0,3428.382263281699,False,-0.15058575750590011,7,1.0350000000000001,144624,0,10,1.0,400.00000000000006,False,0.011665758553725359,7,1.9350000000000003,128183,761,0,0.0,12683.586442057398,False,-0.06027918730158643,0.5,698857,0.0,0.0,9,0,0,5,9,7.973684210526316,20,25,27,280.0,60.0,17,10,27,721,1.7571072513237596,74.70650432538241
24,27,0,0,0,10.000000000000002,20,10.0,18.591710637270452,14,19.0,16.044278151687788,31,15.67741935483871,16.69325480110684,73,16.808219178082194,40.00000000000001,20,40.0,0,0.38000000000000006,50419,4,37,1.0,727.8932935790067,False,0.039101052684348984,1,0.5790000000000002,50738,7,10,1.0,255.91710637270455,False,0.040799610271451056,0,0.2,69363,0,0,0.0,0.0,False,0.0047948777378607026,21,3.020000000000001,56972,288,10,1.0,5514.855445050769,False,-0.13475739189759267,42,4.526000000000002,96783,284,0,0.0,4556.5749950793315,False,-0.16699920537550417,31,4.587000000000001,97717,233,0,0.0,3738.3168093432546,False,-0.16258559544006837,0,1.0280000000000002,144734,0,13,1.0,520.0000000000001,False,0.012853290861589617,13,2.0580000000000003,126910,824,0,0.0,13755.241956112035,False,-0.06542869233094419,0.5,693636,0.0,0.0,7,0,0,6,16,14.162337662337663,18,24,34,250.0,84.0,14,13,34,480,2.2340841433033347,76.94058846868575
