index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.000000000000002,20,10.0,4.865169367734557,31,3.161290322580645,35.379828391976304,10,41.0,39.67979722940453,17,39.23529411764706,48.0,20,48.0,10,0.8220000000000001,19312,115,0,0.0,1150.0000000000002,False,-0.09361469395196208,21,1.0940000000000003,18633,105,0,0.0,1050.0000000000002,False,-0.1268401622533157,0,0.227,31077,10,50,1.0,1817.6431132761606,False,0.053031162358455265,0,0.2,31394,8,43,1.0,1560.2539757968575,False,0.059230518120112846,0,0.2,43471,0,0,0.0,0.0,False,0.0,14,0.394,43171,0,10,1.0,396.7979722940453,False,-0.0023372136332951753,10,0.8940000000000001,54428,37,0,0.0,1468.1524974879676,False,-0.03766374890975409,0,0.5960000000000001,56248,0,10,1.0,480.0,False,-0.014532195879346139,0.5,297734,0.0,0.0,16,0,0,3,10,9.846153846153847,26,29,24,160.0,51.0,12,7,24,1155,1.0343187013641,16.616588815115392
11,24,0,0,0,10.000000000000002,20,10.0,4.14984357894362,38,1.894736842105263,35.79383886047149,5,41.0,41.19545220604874,22,46.54545454545455,48.0,20,48.0,28,1.0920000000000003,18444,127,0,0.0,1270.0000000000002,False,-0.13044072740531426,10,1.1730000000000003,18333,113,0,0.0,1130.0000000000002,False,-0.13869012351305773,0,0.227,31037,22,60,1.0,2238.926890365049,False,0.05864900231053583,0,0.2,31567,14,48,1.0,1776.2020754078424,False,0.06848069259930602,0,0.2,43471,0,0,0.0,0.0,False,0.0,12,0.5,43453,0,5,0.5,205.9772610302437,False,0.001955064997702447,13,1.0140000000000002,53966,40,0,0.0,1647.8180882419497,False,-0.044156434044748394,0,0.5960000000000001,55758,9,13,1.0,994.7590698544386,False,-0.018590402558796626,0.4375,296029,0.0,0.0,13,0,0,13,13,13.0,21,34,28,216.0,51.0,18,6,28,1261,1.3220858853310347,17.938674700446427
12,28,0,0,0,10.000000000000002,20,10.0,4.0626787504699395,22,3.5,35.128518753608766,5,27.0,41.19545220604874,0,,48.0,20,48.0,9,1.1540000000000004,18160,138,0,0.0,1380.0000000000002,False,-0.14087780866870242,13,1.2930000000000004,17950,122,0,0.0,1220.0000000000002,False,-0.15409507315072238,0,0.227,31100,29,65,1.0,2401.171402748198,False,0.06339376794647245,0,0.2,31562,9,58,1.0,2074.018196463538,False,0.07321840652614883,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,43318,0,10,0.5,411.9545220604874,False,0.0012186805233430598,12,1.1210000000000002,53720,40,0,0.0,1647.8180882419497,False,-0.048448054916680146,0,0.5960000000000001,56142,0,14,0.9,672.0,False,-0.014706652012351494,0.425,295423,0.0,0.0,12,0,0,10,10,10.0,25,35,28,288.0,98.0,19,9,28,719,1.2189706666395068,19.157645367085934
13,28,0,0,0,10.000000000000002,20,10.0,4.0138508816467064,15,3.533333333333333,33.5516336186607,25,29.8,40.7627032531326,5,33.0,48.00000000000001,20,48.0,3,1.1750000000000003,18019,147,0,0.0,1470.0000000000002,False,-0.1452531789799918,12,1.4000000000000006,17570,133,0,0.0,1330.0000000000002,False,-0.16890752472539994,0,0.227,31835,21,50,1.0,1761.872549447616,False,0.07706786089625707,0,0.2,31519,12,68,1.0,2329.6772966486883,False,0.07601114891602781,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,42738,15,15,1.0,1114.7150530768995,False,-0.0040404516450403775,9,1.1990000000000003,53404,45,0,0.0,1834.321646390967,False,-0.05233403424232862,0,0.5960000000000001,56670,0,3,0.0,144.00000000000003,False,-0.010101010101010102,0.375,295226,0.0,0.0,15,0,0,14,9,9.0,20,34,29,207.0,70.0,17,11,29,1638,2.171040599234402,21.328685966320336
14,29,0,0,0,10.000000000000002,20,10.0,3.9440434607840906,14,3.2142857142857144,34.01123515776487,5,41.0,40.7627032531326,0,,48.0,20,48.0,6,1.2320000000000002,17762,162,0,0.0,1620.0000000000002,False,-0.15354815186181123,8,1.4680000000000004,17350,138,0,0.0,1380.0000000000002,False,-0.17779499567020646,0,0.227,31804,19,60,1.0,2115.61093522079,False,0.08187013885137095,0,0.2,31710,8,73,1.0,2514.3725142031085,False,0.08533946525437207,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,42533,10,25,1.0,1359.1799329059636,False,-0.005944423490304367,10,1.2900000000000003,53241,45,0,0.0,1834.321646390967,False,-0.055177669210315916,7,0.666,56723,0,0,0.0,0.0,False,-0.010432476753720277,0.375,294594,0.0,0.0,10,0,0,7,9,8.75,23,30,28,214.0,103.0,15,14,28,501,1.1249264469370246,22.45361241325736
15,28,0,0,0,10.000000000000002,20,10.0,3.8578378894704444,18,3.1666666666666665,34.793696350684726,10,40.5,41.73278797721016,10,50.0,48.0,13,48.0,5,1.276,17537,175,0,0.0,1750.0000000000002,False,-0.16084043571396017,13,1.5900000000000005,16985,145,0,0.0,1450.0000000000002,False,-0.19283533111526366,0,0.227,31985,18,65,1.0,2331.031344804975,False,0.09137500156057565,0,0.2,31877,7,78,1.0,2740.913180579702,False,0.09456647210830794,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,42628,10,25,1.0,1391.2566629371013,False,-0.0033901145253490894,13,1.4100000000000001,52963,45,0,0.0,1877.975458974457,False,-0.05964676594115197,0,0.6590000000000001,56223,0,10,1.0,480.0,False,-0.014968336211859529,0.5,293669,0.0,0.0,10,0,0,12,10,10.0,21,33,29,174.0,72.0,16,12,29,1105,1.3460878739133477,23.799700287170708
16,29,0,0,0,10.000000000000002,20,10.0,3.845283891975335,14,3.7142857142857144,35.120582307598035,5,40.0,44.135247388546865,23,53.08695652173913,48.0,10,48.0,14,1.4110000000000003,17095,188,0,0.0,1880.0000000000002,False,-0.17802287954058613,0,1.5770000000000004,16915,152,0,0.0,1520.0000000000002,False,-0.19443051820792123,0,0.227,31973,12,75,1.0,2680.1870797735564,False,0.0967273593378364,0,0.2,32037,7,83,1.0,2941.9253187744644,False,0.1031428036012257,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.4880000000000001,43649,5,12,1.0,705.2258802005525,False,0.012206136047026209,10,1.4970000000000003,52317,53,0,0.0,2339.1681115929837,False,-0.06689373779598243,0,0.6590000000000001,55473,5,20,1.0,1180.6762369427342,False,-0.021940682847972553,0.5,292930,0.0,0.0,14,0,0,10,7,7.0,25,35,29,209.0,109.0,18,11,29,1621,1.4262495609000325,25.22594984807074
17,29,0,0,0,10.000000000000002,20,10.0,4.229070697403838,38,5.68421052631579,33.808451022029374,5,15.0,46.0702245332071,10,65.0,48.0,9,48.0,8,1.4770000000000003,16810,200,0,0.0,2000.0000000000005,False,-0.18827765370767058,30,1.8770000000000004,16163,160,0,0.0,1600.0000000000002,False,-0.22688118134998406,0,0.227,31894,29,80,1.0,2827.319131987061,False,0.09654846307797642,0,0.2,31975,8,93,1.0,3178.0185106279623,False,0.1049879590226826,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,44224,0,12,1.0,552.8426943984853,False,0.023680645653406655,9,1.5770000000000004,51536,63,0,0.0,2902.4241455920474,False,-0.07560558830453026,0,0.6590000000000001,55473,0,25,0.5,1200.0,False,-0.021772125399068403,0.4375,291546,0.0,0.0,10,0,0,13,10,10.0,19,32,23,209.0,63.0,17,12,23,925,1.1149644507095218,26.340914298780262
18,23,0,0,0,10.000000000000002,20,10.0,4.06095840581786,9,1.0,33.808451022029374,0,,47.14472360511006,5,68.0,48.0,11,48.0,5,1.5190000000000003,16605,210,0,0.0,2100.0000000000005,False,-0.19534205368943985,4,1.8870000000000005,15979,170,0,0.0,1700.0000000000002,False,-0.23298846907615878,0,0.227,31889,24,90,1.0,3140.223593722272,False,0.10153454475262999,0,0.2,31971,2,103,1.0,3490.3923720806615,False,0.1099982283470068,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.4880000000000001,44564,0,7,0.0,330.0130652357704,False,0.028938983060382516,11,1.6780000000000004,50985,68,0,0.0,3205.841205147484,False,-0.08257147288823043,0,0.6590000000000001,55473,0,25,0.0,1200.0,False,-0.021772125399068403,0.25,290937,0.0,0.0,9,0,0,14,7,7.0,15,29,27,143.0,50.0,14,9,27,540,0.956115934997797,27.29703023377806
19,27,0,0,0,10.000000000000002,20,10.0,3.8367816979047014,13,1.1538461538461537,34.29433866225601,5,41.0,47.74114623174127,3,66.0,48.0,20,48.0,7,1.5840000000000003,16340,221,0,0.0,2210.0000000000005,False,-0.20491317624538535,6,1.9430000000000005,15758,179,0,0.0,1790.0000000000002,False,-0.24100998131352264,0,0.227,32094,14,95,1.0,3311.6771166849867,False,0.11110579615942377,0,0.2,31956,5,113,1.0,3894.444177324453,False,0.1161554597090444,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,44557,0,9,0.5,429.6703160856714,False,0.029924205977383433,12,1.7870000000000001,50553,71,0,0.0,3389.62138245363,False,-0.08850489888126843,0,0.6590000000000001,55857,0,17,0.0,816.0,False,-0.018422567645365574,0.3125,290586,0.0,0.0,14,0,0,12,9,9.0,19,31,29,220.0,72.0,16,11,29,987,1.0264634052291512,28.32349363900721
20,29,0,0,0,10.000000000000002,20,10.0,3.751045259098472,8,2.125,34.76258615416239,5,41.0,47.74114623174127,0,,48.0,20,48.0,8,1.657,16039,234,0,0.0,2340.0000000000005,False,-0.21566929492730505,0,1.9370000000000005,15688,186,0,0.0,1860.0000000000002,False,-0.2426051684061802,0,0.227,32094,4,105,1.0,3665.075727223445,False,0.11692305723824606,0,0.2,32144,3,118,1.0,4113.238301968458,False,0.12594630949742328,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.48800000000000004,44352,0,14,0.5,668.3760472443778,False,0.027953992860118043,12,1.8950000000000002,50311,71,0,0.0,3389.62138245363,False,-0.09272673729999804,0,0.659,56241,0,9,0.0,432.0,False,-0.015073009891662742,0.3125,290340,0.0,0.0,12,0,0,16,8,8.0,19,35,27,274.0,65.0,20,9,27,789,1.0826158737763762,29.406109512783587
21,27,0,0,0,10.000000000000002,20,10.0,3.6161354384418654,12,2.0,35.60045909580891,10,41.0,46.59223882759004,17,40.8235294117647,48.0,20,48.0,10,1.7490000000000003,15709,245,0,0.0,2450.0000000000005,False,-0.22820290779818606,2,1.9570000000000005,15558,195,0,0.0,1950.0000000000005,False,-0.24647919420263434,0,0.227,32284,0,109,0.9,3880.450041443171,False,0.12672345747231553,0,0.2,32340,0,123,1.0,4378.8564687844955,False,0.1367712998976871,0,0.2,43471,0,0,0.0,0.0,False,0.0,3,0.518,44511,0,10,1.0,465.9223882759004,False,0.029282997725793014,7,1.953,49859,78,0,0.0,3634.194628552023,False,-0.09847878937429543,4,0.6990000000000001,56288,0,10,1.0,480.0,False,-0.013834371347324716,0.4875,290020,0.0,0.0,14,0,0,12,10,8.5,17,29,33,226.0,105.0,15,12,33,1262,1.0116690192371607,30.417778532020748
22,33,0,0,0,10.000000000000002,20,10.0,3.636825747482092,19,3.789473684210526,34.02423179377328,25,29.8,48.222871917890124,8,67.0,48.0,13,48.0,6,1.7990000000000004,15504,256,0,0.0,2560.0000000000005,False,-0.2350394239095757,13,2.0850000000000004,15166,204,0,0.0,2040.0000000000005,False,-0.2622943348069824,0,0.227,32804,0,94,0.5,3198.2777886146887,False,0.1326136261500361,0,0.2,32493,4,128,1.0,4369.648972592909,False,0.141656773211406,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.5150000000000001,44302,15,12,1.0,1089.0379399212807,False,0.03164222055992827,13,2.076,49057,86,0,0.0,4147.166984938551,False,-0.10799561255963303,0,0.6950000000000001,56288,0,10,0.0,480.0,False,-0.013834371347324716,0.3125,289085,0.0,0.0,12,0,0,13,10,10.0,22,35,31,286.0,81.0,20,13,31,1481,1.1957079153507948,31.613486447371542
23,31,0,0,0,10.000000000000002,20,10.0,3.516335553612233,16,2.4375,34.775937588171274,10,41.0,51.29371814447799,18,66.66666666666667,48.0,20,48.0,3,1.8230000000000004,15329,267,0,0.0,2670.0000000000005,False,-0.2405086367986874,13,2.202000000000001,14781,213,0,0.0,2130.0000000000005,False,-0.27779043799279884,0,0.227,32978,0,97,0.8,3373.265946052614,False,0.1412224847086851,0,0.2,32690,2,133,1.0,4632.232370334004,False,0.15246473037586844,0,0.2,43471,0,0,0.0,0.0,False,0.0,6,0.5750000000000001,44846,15,10,1.0,1034.5762452673491,False,0.043529896313258855,12,2.1830000000000007,47631,104,0,0.0,5334.546687025711,False,-0.12251577356443792,0,0.6950000000000001,56672,0,2,0.0,96.0,False,-0.010484813593621883,0.35,288398,0.0,0.0,14,0,0,14,10,9.75,17,31,32,176.0,102.0,14,17,32,1674,1.1899395482614636,32.803425995633006
24,32,0,0,0,10.000000000000002,20,10.0,3.408259973688776,11,2.0,34.775937588171274,0,,49.94595834128022,16,41.75,48.0,20,48.0,3,1.8500000000000003,15169,277,0,0.0,2770.0000000000005,False,-0.24552208194703978,8,2.2690000000000006,14511,223,0,0.0,2230.0000000000005,False,-0.2878173282895037,0,0.227,32972,0,100,0.3,3477.5937588171273,False,0.1427422840957551,0,0.2,32674,0,143,1.0,4972.9590751084925,False,0.15754665144211508,0,0.2,43471,0,0,0.0,0.0,False,0.0,6,0.6290000000000002,45263,5,10,1.0,673.3392713536585,False,0.048967579206294534,13,2.3010000000000006,47123,108,0,0.0,5394.163500858263,False,-0.13085811918094356,5,0.7450000000000001,56269,2,10,1.0,579.8919166825605,False,-0.013294500124888213,0.4125,287452,0.0,0.0,11,0,0,13,13,11.892857142857142,21,34,31,257.0,122.0,18,14,31,476,1.5699173612520099,34.373343356885016
25,31,0,0,0,10.000000000000002,20,10.0,3.463859647796427,20,3.85,34.775937588171274,0,,49.94595834128022,0,,47.99999999999999,20,48.0,16,2.007,14694,288,0,0.0,2880.0000000000005,False,-0.2646643270589308,4,2.3010000000000006,14345,232,0,0.0,2320.0000000000005,False,-0.2933321179526913,0,0.227,32925,0,110,1.0,3825.35313469884,False,0.146919393163767,0,0.2,32644,0,153,1.0,5320.718450990205,False,0.16228343129201975,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.623,45263,0,15,0.5,749.1893751192033,False,0.04984000109405347,11,2.3980000000000006,46916,108,0,0.0,5394.163500858263,False,-0.13446936113415445,0,0.7400000000000002,56701,0,3,0.2,143.99999999999997,False,-0.009560196088693499,0.3375,286959,0.0,0.0,11,0,0,8,10,10.0,25,33,23,233.0,54.0,19,12,23,632,1.198836443014443,35.57217979989946
