index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,9.999999999999996,11,10.0,10.361455966339463,14,5.0,13.021319448615213,66,8.818181818181818,15.065274083428987,40,9.175,38.99999999999999,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,14,1.6090000000000002,47240,124,0,0.0,1239.9999999999995,False,-0.06711108512172777,0,0.2,66250,0,5,0.0,65.10659724307607,False,0.016182766317959438,66,3.668000000000001,50545,134,0,0.0,1388.435099489488,False,-0.21444773560420155,16,2.628000000000001,84758.0,179,0,0.0,2330.816181302123,False,-0.15044238038095034,24,2.411000000000001,87129.0,231,0,0.0,3007.924792630114,False,-0.12365197998482236,0,0.2,127780,51,18,1.0,1470.3289782548782,False,0.023968101294170315,12,0.8240000000000003,117856,370,0,0.0,5574.151410868725,False,-0.03875420729174982,0.125,633126,0.0,0.0,5,0,0,7,20,20.0,22,29,21,234.0,6.0,19,2,21,422,2.682091262016911,123.72719097608933
11,21,0,0,0,9.999999999999996,13,10.0,9.714367668092224,21,6.142857142857143,14.721846476774935,48,24.770833333333332,15.199787615852921,40,16.2,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,21,1.8050000000000002,46711,137,0,0.0,1369.9999999999995,False,-0.07615539052297136,10,0.30000000000000004,66580,0,5,0.5,73.60923238387468,False,0.021307198187743324,33,3.932000000000001,49670,150,0,0.0,1457.1551502138336,False,-0.2273356497293005,14,2.7520000000000007,83720.0,198,0,0.0,2914.925602401437,False,-0.15781782693915586,26,2.6470000000000007,85522.0,260,0,0.0,3827.680083961483,False,-0.13548838685392633,0,0.2,128276,51,14,1.0,1321.189168408499,False,0.027325922731036966,6,0.8720000000000001,117201,400,0,0.0,6079.915046341169,False,-0.04195815752770298,0.1875,629248,0.0,0.0,7,0,0,8,24,24.0,17,25,24,161.0,25.0,15,6,24,886,3.0313511560088955,126.75854213209823
12,24,0,0,0,9.999999999999996,10,10.0,9.809815930434093,4,12.75,14.322331412715396,38,11.18421052631579,15.655119163705432,53,18.264150943396228,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,4,1.8240000000000005,46583,147,0,0.0,1469.9999999999995,False,-0.07767576944818042,0,0.29000000000000004,66580,0,5,0.0,71.61165706357698,False,0.02129188569966091,38,4.279000000000001,48491,154,0,0.0,1510.7116532868504,False,-0.24500044725890466,21,2.948000000000001,82803.0,207,0,0.0,2964.722602432087,False,-0.16663837588649236,32,2.9410000000000003,83833.0,289,0,0.0,4139.153778274749,False,-0.15064834644264455,0,0.2,128499,52,17,1.0,1477.0661965126824,False,0.029723705436799114,13,0.9960000000000002,116110,442,0,0.0,6919.562670357801,False,-0.04730587668274364,0.125,624467,0.0,0.0,4,0,0,4,26,26.0,19,23,27,165.0,46.0,14,10,27,373,3.207949547970202,129.96649168006843
13,27,0,0,0,9.999999999999996,7,10.0,9.839871231656351,9,10.222222222222221,13.983618646669562,26,10.038461538461538,15.673435312959228,67,15.761194029850746,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,9,1.9100000000000004,46420,154,0,0.0,1539.9999999999995,False,-0.08017075024852348,0,0.29000000000000004,66572,0,7,0.2,97.88533052668694,False,0.02137063892656938,26,4.501000000000001,47748,161,0,0.0,1584.2192682966727,False,-0.25582796029024274,46,3.387000000000001,79885.0,223,0,0.0,3118.3469582073126,False,-0.19473028723733024,21,3.1190000000000007,82956.0,299,0,0.0,4181.101975354199,False,-0.15911220214084482,0,0.2,128811,67,16,1.0,1674.1201659682683,False,0.03299465434584627,9,1.0730000000000004,115066,484,0,0.0,7585.942691472266,False,-0.05296938540690053,0.15,619026,0.0,0.0,5,0,0,6,26,26.0,23,29,18,224.0,30.0,19,8,18,499,2.781634461018257,132.7481261410867
14,18,0,0,0,9.999999999999998,10,10.0,9.53499883208226,11,6.454545454545454,14.419594473813792,19,21.210526315789473,15.909736079318453,39,18.025641025641026,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,11,2.0110000000000006,46151,164,0,0.0,1639.9999999999998,False,-0.08443950646161043,0,0.29000000000000004,66701,0,7,0.3,100.93716131669655,False,0.023371741466851823,16,4.635000000000001,47470,169,0,0.0,1611.414802621902,False,-0.25988153063438524,19,3.531000000000001,78927.0,238,0,0.0,3431.8634847676826,False,-0.2026524709322434,20,3.2980000000000005,82209.0,303,0,0.0,4369.137125565579,False,-0.16556848927928108,0,0.2,129219,64,15,1.0,1603.223109076381,False,0.03596302640122217,9,1.1540000000000004,114282,516,0,0.0,8209.423816928322,False,-0.056732198933412796,0.1625,616527,0.0,0.0,6,0,0,6,15,15.0,15,21,20,147.0,25.0,13,5,20,661,2.430158975010272,135.17828511609696
15,20,0,0,0,9.999999999999998,10,10.0,9.082507134084652,9,3.5555555555555554,13.92893275683431,27,8.777777777777779,15.0045265539505,61,9.819672131147538,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,9,2.0900000000000003,45890,174,0,0.0,1739.9999999999998,False,-0.08855232637467594,0,0.29000000000000004,66767,0,12,0.7,167.1471930820117,False,0.024891127854125027,25,4.8690000000000015,46790,171,0,0.0,1553.1087199284755,False,-0.27075360878218774,32,3.8320000000000007,77304.0,260,0,0.0,3621.522516776921,False,-0.21776207735504147,29,3.5680000000000005,80507.0,308,0,0.0,4290.111289104968,False,-0.18278749399783975,0,0.2,129557,70,15,1.0,1635.316858776535,False,0.03878395969458486,10,1.245,113610,561,0,0.0,8417.539396766231,False,-0.06125738246963825,0.2125,611993,0.0,0.0,5,0,0,7,22,22.0,18,25,22,172.0,18.0,16,4,22,568,2.503442449029535,137.6817275651265
16,22,0,0,0,9.999999999999998,8,10.0,9.115558832900412,4,10.0,14.534787897278362,35,19.37142857142857,14.592140940606017,36,10.36111111111111,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,4,2.121000000000001,45771,182,0,0.0,1819.9999999999998,False,-0.09009219733738767,0,0.29000000000000004,67025,0,6,0.0,87.20872738367017,False,0.028233773800601485,29,5.134000000000001,46156,175,0,0.0,1595.2227957575722,False,-0.28015068303189194,4,3.8400000000000007,76791.0,280,0,0.0,4069.7406112379413,False,-0.22061845276679648,32,3.859000000000001,78513.0,323,0,0.0,4694.736490820911,False,-0.2005025930114945,0,0.2,129849,78,16,1.0,1762.1869933672692,False,0.04161595366540222,11,1.3450000000000002,113145,579,0,0.0,8448.849604610883,False,-0.06483762019404943,0.125,608818,0.0,0.0,8,0,0,10,19,19.0,15,25,16,199.0,27.0,16,6,16,689,2.4480799489538185,140.1298075140803
17,16,0,0,0,9.999999999999998,9,10.0,8.773455166344895,8,4.5,14.76180939217502,22,17.681818181818183,14.169179654262846,55,11.363636363636363,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,8,2.1970000000000005,45553,191,0,0.0,1909.9999999999998,False,-0.09346431982535135,0,0.29000000000000004,67217,0,1,0.0,14.76180939217502,False,0.030621995564660054,17,5.275000000000002,45744,183,0,0.0,1605.5422954411158,False,-0.28638798123904885,24,4.0760000000000005,75463.0,294,0,0.0,4339.971961299456,False,-0.23241295661762795,31,4.1370000000000005,76827.0,331,0,0.0,4886.158908809932,False,-0.21622638690905613,0,0.2,130073,88,18,1.0,1948.8878095751306,False,0.0441445011416699,12,1.4540000000000002,112446,614,0,0.0,8699.876307717388,False,-0.06940698005801517,0.125,604891,0.0,0.0,6,0,0,8,21,21.0,13,21,18,135.0,22.0,12,4,18,594,2.194883657968603,142.32469117204892
18,18,0,0,0,9.999999999999998,9,10.0,8.14125042516789,10,2.0,15.214586296301139,36,18.666666666666668,14.207910204891785,21,14.904761904761905,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,10,2.2890000000000006,45273,200,0,0.0,1999.9999999999995,False,-0.09804494863848118,8,0.37000000000000005,67269,0,10,1.0,152.14586296301138,False,0.03247233402550341,27,5.5280000000000005,45214,183,0,0.0,1489.8488278057239,False,-0.2954003033421304,2,4.072000000000001,75189.0,302,0,0.0,4594.8050614829435,False,-0.23386228328595823,19,4.296,75702.0,359,0,0.0,5462.036480372109,False,-0.22450273148650815,0,0.2,130541,78,16,1.0,1732.2169959815592,False,0.047010194634488835,8,1.522,112044,635,0,0.0,9022.022980106283,False,-0.07132660736012215,0.25,602800,0.0,0.0,5,0,0,5,15,14.666666666666668,16,21,15,157.0,24.0,12,6,15,558,2.238031909975689,144.5627230820246
19,15,0,0,0,9.999999999999998,7,10.0,8.14125042516789,0,,15.13771810699974,18,13.944444444444445,14.182039396276284,62,14.03225806451613,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,0,2.2790000000000004,45203,207,0,0.0,2069.9999999999995,False,-0.09872716995107499,0,0.36200000000000004,67353,0,8,0.0,121.10174485599792,False,0.03352217444352789,16,5.661000000000001,44845,183,0,0.0,1489.8488278057239,False,-0.30105746985293114,46,4.530000000000001,72364.0,305,0,0.0,4617.004022634921,False,-0.26168439463196735,16,4.437000000000001,74965.0,374,0,0.0,5661.506572017903,False,-0.23080361397671564,0,0.2,130682,90,18,1.0,1978.3835456648658,False,0.049114326474478866,12,1.634,111171,675,0,0.0,9572.876592486491,False,-0.07608788118397186,0.125,598151,0.0,0.0,5,0,0,6,21,21.0,15,21,19,153.0,28.0,11,4,19,466,2.3835533509845845,146.9462764330092
20,19,0,0,0,9.999999999999998,5,10.0,8.177677417098849,14,8.428571428571429,14.825119582726089,19,10.421052631578947,14.264495100874631,18,16.0,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,14,2.419000000000001,44955,212,0,0.0,2119.9999999999995,False,-0.10307389431417266,0,0.36200000000000004,67441,0,6,0.0,88.95071749635653,False,0.03462485410563391,17,5.815000000000001,44290,197,0,0.0,1611.0024511684733,False,-0.30863750861477246,8,4.564000000000001,72044.0,320,0,0.0,4744.038266472348,False,-0.2642203390063559,10,4.521000000000001,74613.0,378,0,0.0,5603.895202270462,False,-0.23456878552155708,0,0.2,131107,84,17,1.0,1861.2175884734693,False,0.052033821175207204,9,1.7120000000000004,110789,689,0,0.0,9828.23712450262,False,-0.07811422022475786,0.125,596807,0.0,0.0,5,0,0,8,11,11.0,18,26,14,233.0,3.0,18,1,14,567,2.3105465919943526,149.25682302500354
21,14,0,0,0,9.999999999999998,13,10.0,7.740895435241709,10,3.4,14.22661047282407,46,10.869565217391305,14.505075741811376,14,20.642857142857142,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,10,2.505000000000001,44643,225,0,0.0,2249.9999999999995,False,-0.10788842757733466,0,0.36200000000000004,67514,0,8,0.5,113.81288378259256,False,0.035934604410616605,43,6.228000000000002,42853,202,0,0.0,1563.6608779188252,False,-0.3310311613448509,10,4.656000000000001,71702.0,329,0,0.0,4680.554845559119,False,-0.2679156663326752,4,4.551000000000001,74120.0,415,0,0.0,5904.043346221989,False,-0.23795942541343104,0,0.2,131380,74,20,1.0,1853.3756048940418,False,0.05417775743541822,13,1.8330000000000006,110295,703,0,0.0,10197.068246493398,False,-0.08058089092045301,0.1875,594075,0.0,0.0,7,0,0,7,18,18.0,13,20,14,114.0,12.0,10,4,14,485,2.0042026030132547,151.2610256280168
22,14,0,0,0,10.0,9,10.0,7.487456742487278,4,1.25,14.702461467181921,41,17.878048780487806,14.7672644248259,24,18.416666666666668,39.00000000000001,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,4,2.5350000000000006,44479,234,0,0.0,2340.0,False,-0.1102079800401536,0,0.36200000000000004,67813,0,5,0.4,73.51230733590961,False,0.04020967013150929,34,6.525000000000001,41908,202,0,0.0,1512.46626198243,False,-0.34591146103620873,12,4.766000000000001,70751.0,352,0,0.0,5175.266436448036,False,-0.27487286587543863,12,4.667000000000002,73665.0,433,0,0.0,6366.165815289772,False,-0.24017359369140603,0,0.2,131714,68,21,1.0,1823.1739808881612,False,0.05671864509903095,11,1.9300000000000004,109724,723,0,0.0,10676.732179149125,False,-0.08321953285813097,0.175,591622,0.0,0.0,7,0,0,5,19,19.0,14,19,18,110.0,19.0,10,4,18,745,2.02576432202477,153.28678995004157
23,18,0,0,0,9.999999999999998,12,10.0,7.587641197971754,3,10.666666666666666,15.069238574221668,31,18.419354838709676,13.837678494944804,52,8.076923076923077,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,3,2.561000000000001,44331,246,0,0.0,2459.9999999999995,False,-0.11192327934038945,0,0.36200000000000004,67854,0,5,0.1,75.34619287110834,False,0.04085230190619762,30,6.791000000000001,41311,204,0,0.0,1547.8788043862378,False,-0.35479265638166524,31,5.064000000000002,68527.0,382,0,0.0,5756.449135352677,False,-0.29398921714001186,21,4.865000000000001,72643.0,434,0,0.0,6540.049541212204,False,-0.24941887134927077,0,0.2,131829,86,25,1.0,2165.040350565253,False,0.05899687009714709,14,2.0590000000000006,109194,747,0,0.0,10336.745835723768,False,-0.08879685660670814,0.1375,587257,0.0,0.0,6,0,0,7,26,26.0,18,25,18,184.0,16.0,16,2,18,398,1.7641629939898849,155.05095294403145
