index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,25,0,0,0,10.000000000000002,20,10.0,19.58952054115796,43,25.441860465116278,29.51033573672024,27,28.88888888888889,17.43867248100615,14,14.928571428571429,49.0,7,49.0,20,0.4810000000000001,27415,15,10,1.0,345.8952054115796,False,0.07204272956811184,3,1.1840000000000002,22640,96,0,0.0,960.0000000000002,False,-0.10157767933473226,0,0.2,37483,59,41,1.0,2365.7054771338494,False,0.012221595815778481,26,1.5310000000000001,34613,93,0,0.0,1821.8254103276902,False,-0.07003029646944049,11,0.8860000000000001,42941,74,0,0.0,2183.7648445172977,False,-0.10091102762105875,0,0.281,46430,55,48,1.0,2460.1247446079087,False,-0.02684916034090958,0,0.2,69894,6,20,1.0,1084.632034886037,False,0.040264599282868456,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.5,349091,0.0,0.0,12,0,0,14,7,7.0,13,27,23,177.0,49.0,13,12,23,1307,1.7225510479765944,23.52334938000422
11,23,0,0,0,10.000000000000002,20,10.0,19.58952054115796,0,,30.270467025333296,40,33.0,18.056864403714382,8,23.75,49.00000000000001,11,49.0,0,0.4610000000000001,27365,10,20,1.0,491.79041082315916,False,0.07293445268561358,0,1.1810000000000005,22490,111,0,0.0,1110.0000000000002,False,-0.10449211160332633,0,0.2,37963,49,41,1.0,2200.975654555405,False,0.022631163833548153,30,1.8050000000000002,34433,93,0,0.0,1821.8254103276902,False,-0.07474246170936824,5,0.925,42460,79,0,0.0,2391.3668950013302,False,-0.10861289540580578,0,0.281,45553,80,55,1.0,3414.7649042309545,False,-0.035010057128831554,0,0.2,70243,4,19,1.0,1003.2274576148576,False,0.04481780724866968,0,0.2,67675,0,5,0.0,245.00000000000003,False,0.0012922758824398168,0.5,348182,0.0,0.0,13,0,0,14,3,3.0,14,28,35,210.0,30.0,15,8,35,1387,1.696336469030939,25.21968584903516
12,35,0,0,0,10.000000000000002,20,10.0,19.4851037617953,38,19.0,31.600312379632513,47,36.276595744680854,19.470840125830183,15,26.4,49.00000000000001,15,49.0,0,0.4610000000000001,27285,8,30,1.0,664.553112853859,False,0.07318242622316501,38,1.5610000000000002,22218,123,0,0.0,1230.0000000000002,False,-0.11273024014921894,0,0.2,38106,77,34,1.0,2574.763610565744,False,0.031267357922533885,30,2.0750000000000006,34253,93,0,0.0,1812.114649846963,False,-0.07958173447149192,8,1.0000000000000002,41456,91,0,0.0,2875.628426546559,False,-0.1241691840066711,0,0.281,44896,105,58,1.0,4447.341527159564,False,-0.03788319012598715,0,0.2,70582,9,14,1.0,861.2375611324718,False,0.048775938274497624,0,0.2,67675,0,5,0.0,245.00000000000003,False,0.0012922758824398168,0.5,346471,0.0,0.0,16,0,0,16,3,3.0,19,35,33,294.0,41.0,21,14,33,2188,1.8301565030124038,27.049842352047563
13,33,0,0,0,10.000000000000002,20,10.0,19.09423904085317,5,4.0,29.959529217545317,38,21.710526315789473,20.2521333213124,7,29.142857142857142,49.00000000000001,14,49.0,0,0.4610000000000001,27165,10,40,1.0,863.7695616341268,False,0.0723900202384808,5,1.5730000000000004,22043,131,0,0.0,1310.0000000000002,False,-0.11797621823268828,0,0.2,38721,72,19,1.0,1944.0162660747894,False,0.03911118440371199,13,2.1750000000000003,33926,93,0,0.0,1775.764230799345,False,-0.08861797127150774,4,1.0320000000000003,41316,91,0,0.0,2726.317158796624,False,-0.1285521474344398,0,0.281,44239,133,65,1.0,5301.006051818833,False,-0.04258288870016498,0,0.2,71176,4,10,1.0,571.0085332852497,False,0.05540546841888393,0,0.2,67563,0,7,0.2,343.00000000000006,False,0.0003618372470831487,0.525,346149,0.0,0.0,17,0,0,14,5,5.0,18,32,39,250.0,72.0,19,14,39,1689,1.4285653369734064,28.47840768902097
14,39,0,0,0,10.000000000000002,20,10.0,18.666201607964926,50,17.14,29.674775344225996,4,15.0,21.19851279086748,6,33.5,49.000000000000014,12,49.0,0,0.4610000000000001,27825,7,23,1.0,499.32263698319326,False,0.09095598501949152,23,1.798,21366,144,0,0.0,1440.0000000000002,False,-0.14175798554441596,0,0.2,38125,103,29,1.0,2783.1872506029413,False,0.03449288267497771,4,2.202000000000001,33589,102,0,0.0,1903.9525640124225,False,-0.09576229005978665,3,1.058,41220,91,0,0.0,2700.4045563245654,False,-0.13077688048673242,0,0.281,44344,127,72,1.0,5294.98938965916,False,-0.040500363556312736,2,0.22000000000000003,71447,0,10,1.0,490.0000000000001,False,0.05880962930143258,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.5,345479,0.0,0.0,13,0,0,17,6,5.666666666666667,17,34,40,315.0,141.0,22,17,40,1536,3.126872813969385,31.605280502990354
15,40,0,0,0,10.000000000000002,20,10.0,16.481173611579653,31,2.0,29.662609495274207,8,29.375,22.526953268552575,3,56.0,49.000000000000014,9,49.0,0,0.4610000000000001,27735,6,33,1.0,603.8787291821285,False,0.08949014395706319,31,2.0850000000000004,20605,155,0,0.0,1550.0000000000002,False,-0.16919250796611487,0,0.2,38290,93,36,1.0,2600.603087706779,False,0.036422459851131996,5,2.2480000000000007,33427,133,0,0.0,2191.996090340094,False,-0.09623293685253419,0,1.0550000000000002,41055,94,0,0.0,2788.2852925557754,False,-0.1332487463751324,0,0.281,44442,122,79,1.0,5398.467666639107,False,-0.03744290284186726,0,0.21800000000000003,71720,0,4,0.3,196.00000000000006,False,0.06067050657214591,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.4125,344837,0.0,0.0,12,0,0,13,2,2.0,21,34,42,243.0,135.0,20,20,42,974,1.892918385041412,33.498198888031766
16,42,0,0,0,10.000000000000002,20,10.0,17.089007523580854,41,20.24390243902439,29.681073210076132,4,30.5,20.44409427281021,21,13.428571428571429,49.0,9,49.0,0,0.4610000000000001,28341,5,19,1.0,374.6911429480362,False,0.10858574537475789,17,2.2240000000000006,20223,166,0,0.0,1660.0000000000002,False,-0.18189943265718506,0,0.2,37878,112,44,1.0,3219.9360638844055,False,0.03374350197497851,2,2.263000000000001,33063,145,0,0.0,2477.906090919224,False,-0.10201960665306396,14,1.1950000000000003,40227,97,0,0.0,2879.0641013773848,False,-0.14922854414111908,0,0.281,44676,113,82,1.0,5030.377003109041,False,-0.03642289940674794,5,0.268,71577,11,10,1.0,714.8850370009123,False,0.062390230667559464,0,0.2,67563,0,7,0.0,343.0,False,0.0003618372470831487,0.5,343548,0.0,0.0,16,0,0,13,9,8.5,21,34,41,261.0,193.0,22,20,41,1361,1.7377105200430378,35.235909408074804
17,41,0,0,0,10.000000000000002,20,10.0,17.920397051486677,24,25.833333333333332,29.72026355562194,5,31.0,19.25930788678903,7,5.285714285714286,49.0,9,49.0,3,0.4910000000000001,28788,5,10,1.0,229.20397051486677,False,0.12312901162887355,2,2.2270000000000003,20081,176,0,0.0,1760.0000000000002,False,-0.1854744695733271,0,0.2,37692,115,51,1.0,3576.579102257687,False,0.033542489361733145,2,2.281000000000001,32715,156,0,0.0,2795.5819400319215,False,-0.10697162307872043,7,1.2510000000000001,39814,99,0,0.0,2942.3060920065723,False,-0.1570157622051396,0,0.281,44633,106,92,1.0,4922.204262480516,False,-0.03840526531413458,0,0.263,71981,8,11,1.0,693.0744630943123,False,0.06819579429252934,0,0.2,67563,0,7,0.0,343.0,False,0.0003618372470831487,0.5,343267,0.0,0.0,12,0,0,15,7,6.2727272727272725,19,34,49,332.0,117.0,22,19,49,1075,1.7821944520110264,37.01810386008583
18,49,0,0,0,10.000000000000002,20,10.0,16.690876646338662,41,9.878048780487806,29.79559670209807,2,35.5,21.555849777594723,7,48.0,49.000000000000014,10,49.0,0,0.48800000000000004,28958,7,10,1.0,236.90876646338666,False,0.1298847588105888,31,2.535000000000001,19322,184,0,0.0,1840.0000000000002,False,-0.21341416025491566,0,0.2,37470,118,59,1.0,3727.4636496917483,False,0.029705799231547318,0,2.279000000000001,32603,184,0,0.0,3071.121302926314,False,-0.10629700642783428,1,1.2540000000000002,39716,100,0,0.0,2979.559670209807,False,-0.15863645053384573,0,0.281,44952,97,96,1.0,4959.534458752607,False,-0.03151062318782435,0,0.263,72135,5,11,1.0,646.7792488879737,False,0.07012833590967334,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.5,342719,0.0,0.0,16,0,0,15,3,3.0,22,37,39,292.0,93.0,23,26,39,1385,1.6059769439743832,38.62408080406021
19,39,0,0,0,10.000000000000002,20,10.0,16.342513084298172,9,7.0,31.37828191419966,17,44.23529411764706,21.405680964994218,7,19.714285714285715,49.000000000000014,11,49.0,0,0.4880000000000001,28848,8,20,1.0,406.85026168596346,False,0.1289121446663162,9,2.5940000000000007,19088,193,0,0.0,1930.0000000000005,False,-0.22075852957177275,0,0.2,38130,117,54,1.0,3606.5012542296677,False,0.04540041956896333,2,2.299000000000001,32563,184,0,0.0,3007.0224075108636,False,-0.10818316700030274,2,1.2730000000000001,39115,110,0,0.0,3451.6110105619628,False,-0.1660887084169274,0,0.281,44849,94,101,1.0,5111.532277399184,False,-0.03206194714242798,0,0.263,72536,2,10,1.0,532.8113619299886,False,0.07520906337269224,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.5,342692,0.0,0.0,16,0,0,12,5,5.0,17,29,37,228.0,63.0,16,23,37,1593,1.4725639530224726,40.096644757082686
20,37,0,0,0,10.000000000000002,20,10.0,16.783350219056366,20,21.75,30.36823351805776,38,26.657894736842106,24.61654878682321,8,55.625,49.00000000000002,14,49.0,0,0.48800000000000004,29168,9,15,1.0,341.75025328584553,False,0.14008219191120402,5,2.635000000000001,18888,202,0,0.0,2020.0000000000005,False,-0.22678168959353384,0,0.2,38180,112,63,1.0,3792.933936171952,False,0.04914963658959589,37,2.6670000000000007,31568,199,0,0.0,3339.886693592217,False,-0.12987399285855372,0,1.2710000000000001,39060,111,0,0.0,3370.873920504411,False,-0.16803599876973546,0,0.281,44336,121,103,1.0,6210.060780727779,False,-0.03132148258572961,4,0.30300000000000005,72537,0,10,1.0,490.0000000000002,False,0.07490769457982573,0,0.2,67563,0,7,0.0,343.00000000000017,False,0.0003618372470831487,0.5,341300,0.0,0.0,18,0,0,10,6,5.428571428571429,20,30,28,195.0,63.0,16,21,28,1424,1.2852490039658733,41.38189376104856
21,28,0,0,0,10.000000000000002,20,10.0,17.8408925282671,22,28.454545454545453,32.67210206150742,19,52.05263157894737,23.194563429376622,16,16.375,49.000000000000014,8,49.0,7,0.558,29567,5,10,1.0,228.40892528267102,False,0.1533848007554728,0,2.630000000000001,18748,216,0,0.0,2160.0000000000005,False,-0.22950182637755498,0,0.2,39169,102,54,1.0,3584.064549204645,False,0.07230640264410909,0,2.630000000000001,30942,221,0,0.0,3942.837248747029,False,-0.1383696268390922,13,1.4010000000000002,37652,126,0,0.0,4116.684859749935,False,-0.18917116018632021,0,0.281,44340,115,110,1.0,6308.693714304782,False,-0.030232835994846517,0,0.29900000000000004,72667,6,12,1.0,727.16738057626,False,0.07857899409670842,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.5,340648,0.0,0.0,17,0,0,12,6,5.2,13,25,30,166.0,42.0,14,14,30,2062,1.2948981350054964,42.676791896054056
22,30,0,0,0,10.000000000000002,20,10.0,17.62521994509551,13,14.0,31.646641587202648,31,26.322580645161292,24.99230179233866,5,55.0,49.000000000000014,10,49.0,0,0.551,29487,3,20,1.0,382.5043989019102,False,0.1532700784740404,13,2.7600000000000007,18511,228,0,0.0,2280.0000000000005,False,-0.23637988653143702,0,0.2,38987,105,64,1.0,3876.033155815998,False,0.07136355867713809,31,2.940000000000001,30556,221,0,0.0,3895.1736078661074,False,-0.14909848938629147,0,1.3880000000000003,37652,126,0,0.0,3987.476839987534,False,-0.19049028238910126,0,0.281,43799,136,115,1.0,7178.057961978506,False,-0.032403696151316864,0,0.29900000000000004,72882,1,12,1.0,612.9923017923389,False,0.08091118226105704,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.5,339437,0.0,0.0,11,0,0,11,3,3.0,18,29,35,210.0,72.0,16,14,35,965,1.5629317329730839,44.23972362902714
23,35,0,0,0,10.000000000000002,20,10.0,16.778323049297867,34,11.588235294117647,30.345175831787014,14,14.285714285714286,24.30262249734905,3,6.0,49.000000000000014,8,49.0,0,0.5510000000000002,29637,6,20,1.0,395.56646098595735,False,0.15935273297944275,24,2.987000000000001,17876,235,0,0.0,2350.0000000000005,False,-0.2596953446801896,0,0.2,38873,119,74,1.0,4242.163454418685,False,0.07317159420951702,14,3.0490000000000013,29915,231,0,0.0,3875.7926243878073,False,-0.16613271781476202,3,1.4180000000000004,37538,126,0,0.0,3823.492154805164,False,-0.19449216789377066,0,0.281,43599,140,125,1.0,7286.152428618812,False,-0.03538384452660738,0,0.29900000000000004,73256,0,8,0.4,392.0000000000001,False,0.08480283562250775,0,0.2,67563,0,7,0.0,343.0000000000001,False,0.0003618372470831487,0.425,338257,0.0,0.0,10,0,0,15,7,7.0,20,35,29,269.0,72.0,21,14,29,872,1.577960031980183,45.81768366100732
24,29,0,0,0,10.000000000000002,20,10.0,16.394138152470223,68,15.161764705882353,29.988472915104353,4,15.0,25.132915592865636,2,56.0,49.00000000000002,9,49.0,13,0.681,30139,3,10,1.0,193.94138152470222,False,0.17494251537896757,35,3.313000000000001,16772,248,0,0.0,2480.0000000000005,False,-0.3000699463744463,0,0.2,38790,119,84,1.0,4469.934165012723,False,0.07398013252981384,4,3.0750000000000006,28891,289,0,0.0,4737.905926063894,False,-0.18165520136569155,0,1.4150000000000003,37538,126,0,0.0,3778.5475873031482,False,-0.19495102003774217,0,0.281,43651,134,133,1.0,7361.133144475112,False,-0.03355657841270942,1,0.30900000000000005,73583,0,1,0.1,49.00000000000002,False,0.08709939447644366,0,0.2,67507,0,8,0.1,392.00000000000017,False,-0.00010338207059518534,0.4,336871,0.0,0.0,10,0,0,10,9,7.733333333333333,18,28,28,187.0,75.0,14,15,28,1065,1.4645836389972828,47.282267300004605
