index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,10,0,0,0,10.000000000000002,20,10.0,11.904346316270889,17,16.294117647058822,14.309759858727785,30,13.666666666666666,16.79108075772639,45,14.666666666666666,45.99999999999999,12,46.0,2,0.5350000000000001,47826,5,10,1.0,169.0434631627089,False,0.015440670840179666,0,1.3070000000000004,44261,112,0,0.0,1120.0000000000002,False,-0.05004026959433682,0,0.2,80795,21,64,1.0,1165.815903600267,False,0.0011799408454533367,28,2.4780000000000006,73025,142,0,0.0,1690.4171769104662,False,-0.09118613483360109,23,1.7620000000000002,114448,123,0,0.0,1760.1004626235176,False,-0.053252471113477313,22,2.067,112485,153,0,0.0,2189.393258385351,False,-0.06760500242833246,0,0.2,160920,0,11,0.0,505.99999999999994,False,0.000689175596975078,12,0.7790000000000001,154189,365,0,0.0,6128.744476570133,False,-0.023646966768790568,0.25,787949,0.0,0.0,10,0,0,6,20,19.5,17,23,13,84.0,6.0,8,2,13,459,1.5735953240073286,45.84318965411512
11,13,0,0,0,10.000000000000002,20,10.0,11.771147263334884,7,8.571428571428571,16.681063300564325,54,24.72222222222222,17.412619902617088,64,19.65625,46.0,6,46.0,0,0.533,47786,5,13,1.0,203.0249144233535,False,0.01495300023762614,0,1.3070000000000002,44161,122,0,0.0,1220.0000000000002,False,-0.051099995761095335,0,0.2,81909,17,37,1.0,817.308845597573,False,0.012741497783012114,17,2.620000000000001,72674,143,0,0.0,1683.2740586568884,False,-0.09554837443310399,17,1.9090000000000003,113550,140,0,0.0,2335.3488620790054,False,-0.058263149603583295,47,2.515,109289,190,0,0.0,3169.402027107222,False,-0.08981897948894954,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,6,0.8270000000000002,152867,429,0,0.0,7470.013938222731,False,-0.02769115639249879,0.25,783156,0.0,0.0,15,0,0,8,14,14.0,18,26,15,137.0,3.0,12,1,15,1410,1.5734864880214445,47.416676142136566
12,15,0,0,0,10.000000000000002,20,10.0,12.478552496698745,24,17.125,17.52947981526032,49,21.224489795918366,17.363333745817073,14,16.428571428571427,46.00000000000001,11,46.0,3,0.5630000000000001,47993,7,10,1.0,194.78552496698745,False,0.019252951601956052,8,1.3870000000000005,43989,130,0,0.0,1300.0000000000002,False,-0.0538976728413378,0,0.2,82564,11,26,1.0,593.0305526604545,False,0.019420231740486606,28,2.883000000000001,71620,163,0,0.0,2034.0040569618955,False,-0.10635808631085673,3,1.9220000000000002,113266,151,0,0.0,2646.9514521043084,False,-0.059315554520772,11,2.5780000000000007,108204,228,0,0.0,3996.721397879353,False,-0.09533012601945837,0,0.2,160920,0,11,0.0,506.00000000000006,False,0.000689175596975078,11,0.931,152443,443,0,0.0,7691.956849396964,False,-0.029634684626426513,0.25,780999,0.0,0.0,13,0,0,9,19,18.166666666666664,19,28,20,153.0,20.0,13,2,20,936,1.6546498549869284,49.071325997123495
13,20,0,0,0,10.000000000000002,20,10.0,12.713694040319112,19,14.736842105263158,17.541828638604517,2,19.0,17.120475978840094,34,15.323529411764707,46.0,11,46.0,4,0.6000000000000001,48101,4,10,1.0,167.13694040319112,False,0.021248960836793552,5,1.4290000000000003,43823,143,0,0.0,1430.0000000000002,False,-0.05603831969818999,0,0.2,82364,15,34,1.0,787.1275843173403,False,0.018153635394782056,0,2.855000000000001,71578,168,0,0.0,2135.900598773611,False,-0.10624799710407214,9,2.0090000000000003,113026,151,0,0.0,2648.8161244292824,False,-0.0612781015292481,25,2.8170000000000006,107269,230,0,0.0,4034.620586879039,False,-0.10285013919928158,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,11,1.03,151739,477,0,0.0,8166.467041906725,False,-0.0325326053261889,0.25,778820,0.0,0.0,9,0,0,11,13,12.285714285714285,18,29,16,204.0,28.0,15,5,16,238,1.6646005919901654,50.73592658911366
14,16,0,0,0,10.000000000000002,20,10.0,11.54936496613407,55,8.072727272727272,17.022119818467527,18,10.833333333333334,16.91710368610413,45,15.755555555555556,46.0,10,46.0,2,0.6160000000000001,48235,5,10,1.0,165.4936496613407,False,0.024071612581719058,43,1.8540000000000003,42845,152,0,0.0,1520.0000000000002,False,-0.07581280996990378,0,0.2,82506,17,33,1.0,758.0691584337076,False,0.019721888969474813,7,2.9250000000000007,71000,211,0,0.0,2436.9160078542886,False,-0.1115073693569654,29,2.2900000000000005,111867,158,0,0.0,2689.494931317869,False,-0.07062555953159354,16,2.952,106650,241,0,0.0,4102.330876250674,False,-0.10765369258198636,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,10,1.119,150861,522,0,0.0,8830.728124146357,False,-0.03592179370631698,0.25,774884,0.0,0.0,11,0,0,12,23,23.0,17,29,18,172.0,13.0,14,2,18,606,1.4893592710141093,52.22528586012777
15,18,0,0,0,10.000000000000002,20,10.0,12.469847114466745,37,17.37837837837838,17.202678775814192,16,19.5625,16.49081321265374,14,8.214285714285715,46.0,12,46.0,16,0.774,48480,5,10,1.0,174.69847114466745,False,0.029361816700698054,11,1.9210000000000005,42601,162,0,0.0,1620.0000000000002,False,-0.07992454749692679,0,0.2,82716,17,29,1.0,710.8650854445463,False,0.022015114572996226,2,2.938,70410,238,0,0.0,2967.823613243085,False,-0.11550021152750246,6,2.3210000000000006,111511,167,0,0.0,2872.8473555609703,False,-0.07279543834683339,8,3.016000000000001,106268,248,0,0.0,4266.2643364019195,False,-0.11011671659318673,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,12,1.2290000000000003,150511,536,0,0.0,8839.075881982406,False,-0.03806895517880569,0.25,773417,0.0,0.0,9,0,0,10,15,14.09090909090909,22,32,21,184.0,25.0,16,2,21,471,1.6288111390313134,53.85409699915908
16,21,0,0,0,10.000000000000002,20,10.0,12.634396724097561,32,13.71875,16.703788657135444,20,11.65,16.354538134727097,34,15.323529411764707,46.0,8,46.0,22,0.9780000000000002,48438,4,10,1.0,166.34396724097562,False,0.028383111856650555,0,1.9100000000000004,42491,173,0,0.0,1730.0000000000002,False,-0.08109024628036116,0,0.2,82654,21,28,1.0,733.0284136058413,False,0.021388674082858734,9,3.026000000000001,70025,256,0,0.0,3234.4055613689757,False,-0.11859694913160988,7,2.3850000000000007,111314,176,0,0.0,2939.8668036558383,False,-0.07413755775702567,27,3.278000000000001,105063,259,0,0.0,4326.28126219808,False,-0.11976242144974722,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,8,1.2970000000000002,149882,570,0,0.0,9322.086736794445,False,-0.04047482728143682,0.25,770787,0.0,0.0,8,0,0,11,13,12.23076923076923,20,31,15,200.0,36.0,17,4,15,376,1.6517861149623059,55.50588311412139
17,15,0,0,0,10.000000000000002,20,10.0,11.621961702653694,23,2.0,15.938601523536777,44,12.454545454545455,16.284802118546093,8,14.0,45.99999999999999,11,46.0,0,0.9560000000000002,48308,7,20,1.0,302.4392340530739,False,0.027070060977206094,23,2.1400000000000006,42052,180,0,0.0,1800.0000000000002,False,-0.08965283370776991,0,0.2,82741,34,31,1.0,889.2433451198657,False,0.02341996595260866,37,3.387000000000001,68915,256,0,0.0,2975.2221958793457,False,-0.1338474557966133,4,2.4180000000000006,110893,200,0,0.0,3187.7203047073554,False,-0.07657628245820565,4,3.291000000000001,104744,279,0,0.0,4446.86982506676,False,-0.12188618058093517,0,0.2,160920,0,11,0.0,505.99999999999994,False,0.000689175596975078,11,1.3990000000000002,149575,578,0,0.0,9412.615624519642,False,-0.042099888165676426,0.25,768148,0.0,0.0,9,0,0,9,16,16.0,18,27,22,146.0,38.0,11,4,22,333,1.4071774430340156,56.913060557155404
18,22,0,0,0,10.000000000000002,20,10.0,11.641404258787992,9,12.11111111111111,15.313969422327704,33,11.151515151515152,15.965907058261074,14,10.428571428571429,45.99999999999999,9,46.0,0,0.9560000000000002,48314,6,25,1.0,351.03510646969977,False,0.02771221129318069,4,2.1570000000000005,41894,191,0,0.0,1910.0000000000002,False,-0.09183586961129245,0,0.2,82838,29,33,1.0,842.961714441666,False,0.02432864419208223,25,3.6000000000000014,68248,260,0,0.0,3026.765107284878,False,-0.14173639239139735,13,2.5440000000000005,110406,202,0,0.0,3093.421823310196,False,-0.08096120418950786,1,3.2970000000000006,104389,310,0,0.0,4747.330520921588,False,-0.12356716939243283,0,0.2,160920,0,11,0.0,505.99999999999994,False,0.000689175596975078,9,1.4780000000000004,149286,592,0,0.0,9451.816978490555,False,-0.04377253176264245,0.25,766295,0.0,0.0,10,0,0,13,13,13.0,19,32,22,238.0,52.0,18,4,22,432,1.537173075019382,58.450233632174786
19,22,0,0,0,10.000000000000002,20,10.0,10.734423737967669,27,3.888888888888889,15.578312037312836,17,19.11764705882353,15.71239579205462,29,13.689655172413794,45.99999999999999,8,46.0,0,0.9560000000000002,48214,6,35,1.0,435.7048308288684,False,0.026490026184020018,27,2.423000000000001,41404,201,0,0.0,2010.0000000000005,False,-0.10116145987876733,0,0.2,83007,27,34,1.0,819.4920501937635,False,0.026263453471825092,8,3.6550000000000007,68084,279,0,0.0,2994.9042228929798,False,-0.14395004907056314,25,2.781000000000001,109240,211,0,0.0,3287.0238398730085,False,-0.08973844009410582,4,3.336000000000001,104195,318,0,0.0,4953.903227865482,False,-0.12431185310567051,0,0.2,160920,0,11,0.0,505.99999999999994,False,0.000689175596975078,8,1.5490000000000004,148773,621,0,0.0,9757.397786865919,False,-0.04600899719714786,0.25,763837,0.0,0.0,10,0,0,12,13,13.0,21,33,13,217.0,31.0,18,4,13,379,1.4981913500232622,59.94842498219805
20,13,0,0,0,10.000000000000002,20,10.0,10.83449585302858,41,11.341463414634145,15.55658670672817,5,14.6,15.80326646268799,32,16.46875,45.999999999999986,9,46.0,0,0.9560000000000002,48511,9,24,1.0,350.02790047268593,False,0.03187685876470572,20,2.5960000000000005,41054,208,0,0.0,2080.0000000000005,False,-0.10783773472934594,0,0.2,83026,37,41,1.0,1038.6964015379124,False,0.027845626347394993,2,3.6670000000000007,67623,300,0,0.0,3250.348755908574,False,-0.14805031399382043,23,2.986000000000001,108491,211,0,0.0,3282.439795119644,False,-0.09590592375684591,9,3.4220000000000006,103826,323,0,0.0,5024.777506273199,False,-0.12705012721638054,0,0.2,160920,0,11,0.0,505.99999999999983,False,0.000689175596975078,9,1.6310000000000004,148113,653,0,0.0,10319.533000135258,False,-0.04836170853418165,0.25,761564,0.0,0.0,11,0,0,11,14,14.0,17,28,11,150.0,15.0,12,1,11,684,1.352569043985568,61.300994026183616
21,11,0,0,0,10.000000000000002,20,10.0,11.934524157151067,34,19.176470588235293,15.375818499732206,7,10.142857142857142,15.608154067820598,21,13.380952380952381,45.999999999999986,13,46.0,5,1.0060000000000002,48951,10,10,1.0,219.34524157151068,False,0.03981757070038908,5,2.6260000000000012,40914,217,0,0.0,2170.0000000000005,False,-0.1098512144461871,0,0.2,83011,30,51,1.0,1142.2024682008746,False,0.028297793288802428,7,3.7350000000000008,66876,331,0,0.0,3950.3274960170033,False,-0.15293467498328653,7,3.0330000000000004,108302,211,0,0.0,3244.2977034434957,False,-0.09761401426982103,14,3.553000000000001,103373,330,0,0.0,5074.020104911629,False,-0.13056676064149894,0,0.2,160920,0,11,0.0,505.99999999999983,False,0.000689175596975078,13,1.7520000000000004,147566,674,0,0.0,10519.895841711083,False,-0.051135910886146066,0.25,759913,0.0,0.0,8,0,0,5,13,12.357142857142858,21,26,13,120.0,3.0,10,1,13,545,1.2794224499957636,62.58041647617938
22,13,0,0,0,10.000000000000002,20,10.0,12.519623898970945,37,16.18918918918919,15.849510515803853,49,17.6734693877551,14.970754335671682,15,5.0,45.999999999999986,13,46.0,18,1.181,49127,12,10,1.0,245.19623898970949,False,0.0438217565913877,9,2.7110000000000007,40717,225,0,0.0,2250.0000000000005,False,-0.11317875460980882,0,0.2,82970,42,55,1.0,1397.5472821259916,False,0.029364110640277087,43,4.158000000000001,65334,346,0,0.0,4331.789869043947,False,-0.16955912828766548,2,3.046000000000001,107818,232,0,0.0,3677.086439666494,False,-0.09981083429927971,13,3.6690000000000005,102432,358,0,0.0,5674.124764657779,False,-0.13582840879752994,0,0.2,160920,0,11,0.0,505.99999999999983,False,0.000689175596975078,13,1.8690000000000004,147236,689,0,0.0,10314.84973727779,False,-0.05382135532503701,0.25,756554,0.0,0.0,11,0,0,8,16,15.23076923076923,19,27,14,169.0,0.0,13,0,14,398,1.4597486100392416,64.04016508621862
23,14,0,0,0,10.000000000000002,20,10.0,12.566839616590444,1,24.0,15.827438689956352,19,15.578947368421053,15.141842004154174,11,18.636363636363637,45.999999999999986,10,46.0,0,1.1630000000000003,49071,10,19,1.0,338.76995271521844,False,0.04362648841417505,0,2.702000000000001,40597,237,0,0.0,2370.0000000000005,False,-0.11445042600991903,0,0.2,83179,32,54,1.0,1256.8205569885372,False,0.03106973596238117,8,4.195000000000001,65173,347,0,0.0,4360.693346956884,False,-0.1713620891036337,5,3.0940000000000003,107456,250,0,0.0,3956.859672489088,False,-0.10163420074502696,6,3.716000000000001,102275,359,0,0.0,5682.05048969433,False,-0.13708471662071864,0,0.2,160920,0,11,0.0,505.99999999999983,False,0.000689175596975078,10,1.9560000000000006,146872,700,0,0.0,10599.289402907922,False,-0.05519834162338743,0.25,755543,0.0,0.0,8,0,0,6,10,10.0,22,28,19,179.0,17.0,13,1,19,433,1.5516905039548874,65.59185559017351
24,19,0,0,0,10.000000000000002,20,10.0,13.027021339485191,11,22.181818181818183,15.51314539396181,29,13.241379310344827,15.676848889253868,51,17.90196078431373,45.999999999999986,11,46.0,0,1.1630000000000003,49211,10,19,1.0,347.51340545021867,False,0.04668637833760981,1,2.7120000000000006,40486,247,0,0.0,2470.0000000000005,False,-0.11574329193336443,0,0.2,83448,23,48,1.0,1044.2524697183264,False,0.033071605458270835,13,4.317000000000001,64663,357,0,0.0,4650.646618196213,False,-0.17585291566277764,18,3.2690000000000006,106601,272,0,0.0,4219.575547157612,False,-0.10757470119789184,33,4.040000000000001,100952,366,0,0.0,5677.811214190023,False,-0.14796284852362174,0,0.2,160920,0,11,0.0,505.99999999999983,False,0.000689175596975078,11,2.0560000000000005,145760,751,0,0.0,11773.313515829655,False,-0.05845788107738113,0.25,752041,0.0,0.0,10,0,0,13,14,14.0,21,34,15,241.0,3.0,18,1,15,713,1.5255491450079717,67.11740473518148
