index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,24.858789785259702,1,10.0,30.20867902395927,0,,14.908273535905083,49,14.10204081632653,49.99999999999999,20,50.0,0,0.2,52461,2,51,1.0,1287.798279048245,False,0.01911184516156757,0,0.2,52676,6,42,1.0,1104.0691709809075,False,0.021474881219951482,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,0,1.5860000000000005,67346.0,111,0,0.0,2759.325666163827,False,-0.08671429172925399,13,2.472000000000001,83238,78,0,0.0,2356.2769638688233,False,-0.1298561188907332,36,2.2610000000000006,83608,84,0,0.0,2537.529038012579,False,-0.12510808214271868,8,0.7660000000000002,118735,337,0,0.0,5024.088181600013,False,-0.03756910548658516,1,0.21000000000000002,129273,52,10,1.0,1275.2302238670643,False,0.03120031046145044,0.375,662988,0.0,0.0,9,0,0,8,12,11.5,18,26,17,204.0,26.0,15,9,17,710,1.737742361961864,49.94384968606755
11,17,0,0,0,10.000000000000002,20,10.0,25.599809352889206,37,27.43243243243243,30.030357983916428,3,22.0,15.223295263207069,15,21.333333333333332,49.99999999999999,20,50.0,0,0.2,52717,2,47,1.0,1223.1910395857926,False,0.023404700143792815,0,0.2,53235,6,29,1.0,802.3944712337869,False,0.029307744067567823,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,3,1.6160000000000005,66286.0,148,0,0.0,3788.7717842276024,False,-0.09396040063103744,8,2.5390000000000006,83051,81,0,0.0,2432.4589966972308,False,-0.13139104151618713,7,2.2950000000000004,83391,84,0,0.0,2522.5500706489797,False,-0.12742207273873365,8,0.8380000000000001,118289,352,0,0.0,5358.599932648888,False,-0.03978171165006794,2,0.229,129755,42,10,1.0,1139.3784010546967,False,0.03448713446997424,0.375,662375,0.0,0.0,17,0,0,5,8,7.666666666666667,17,22,28,151.0,47.0,10,7,28,1665,1.5439740020083264,51.48782368807588
12,28,0,0,0,10.000000000000002,20,10.0,26.11800623378625,26,28.423076923076923,30.0519856057963,6,30.5,15.236196196367235,40,15.325,49.99999999999999,20,50.0,0,0.2,52963,1,45,1.0,1185.3102805203812,False,0.027762097531332224,0,0.2,53528,7,25,1.0,722.9501558446563,False,0.034168283366065845,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,6,1.6730000000000007,65493.0,174,0,0.0,4544.533084678807,False,-0.09947686353218686,22,2.751000000000001,81928,84,0,0.0,2524.3667908868892,False,-0.1424930072418059,18,2.468000000000001,82701,87,0,0.0,2614.522747704278,False,-0.1340604307228634,12,0.9500000000000002,117563,375,0,0.0,5713.573573637713,False,-0.04413568195889139,0,0.227,130038,49,12,1.0,1346.5736136219944,False,0.037555856539220486,0.375,659865,0.0,0.0,13,0,0,8,14,14.0,25,33,21,257.0,39.0,20,8,21,1339,4.040942574036308,55.528766262112185
13,21,0,0,0,10.000000000000002,20,10.0,26.426865136254182,53,27.169811320754718,29.907187838058352,11,28.363636363636363,15.820096512745598,54,18.888888888888886,50.0,20,50.0,0,0.2,53105,2,46,1.0,1235.6357962676923,False,0.030970041607665658,19,0.39,54189,6,10,1.0,324.26865136254185,False,0.043027774965577324,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,11,1.7770000000000004,63894.0,227,0,0.0,5998.8983859296995,False,-0.11106232218887656,13,2.8590000000000004,81475,84,0,0.0,2512.2037783969017,False,-0.14722512328943804,41,2.8600000000000008,80218,98,0,0.0,2930.9044081297184,False,-0.15802407689544953,7,1.0080000000000002,116549,420,0,0.0,6644.440535353151,False,-0.048490075665370905,1,0.23700000000000002,130530,48,10,1.0,1259.3646326117887,False,0.0411151160208438,0.375,655611,0.0,0.0,10,0,0,7,17,16.363636363636363,20,27,20,191.0,19.0,14,7,20,1596,1.450391511025373,56.97915777313756
14,20,0,0,0,10.000000000000002,20,10.0,26.509449113469408,9,28.0,29.89939643722101,1,29.0,16.13120526299288,87,17.2183908045977,50.0,20,50.0,0,0.2,53257,2,47,1.0,1265.944108333062,False,0.03417782061000077,0,0.37100000000000005,54089,6,20,1.0,590.1889822693881,False,0.04366029843471753,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,1,1.7760000000000005,63634.0,236,0,0.0,6256.22999077878,False,-0.11280760394693239,38,3.226000000000001,79463,84,0,0.0,2511.549300726565,False,-0.16796777114268785,49,3.3090000000000006,77064,99,0,0.0,2960.04024728488,False,-0.1903846854717625,12,1.1210000000000002,114897,482,0,0.0,7775.240936762568,False,-0.057115252672001245,0,0.23600000000000002,130846,63,12,1.0,1616.2659315685514,False,0.04503995051424264,0.375,648901,0.0,0.0,10,0,0,3,21,21.0,19,22,20,124.0,38.0,10,10,20,852,1.5161914189811796,58.49534919211874
15,20,0,0,0,10.000000000000002,20,10.0,26.58292223483055,8,28.0,29.920008718678076,2,31.0,15.676952689791863,19,7.2631578947368425,50.00000000000001,20,50.0,0,0.2,53421,0,47,0.8,1249.3973450370358,False,0.03716629896022798,0,0.37100000000000005,53949,10,30,1.0,897.4876670449165,False,0.043922236725372925,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,2,1.7950000000000004,63398.0,244,0,0.0,6486.233025298655,False,-0.11441553583807088,10,3.2880000000000007,79133,84,0,0.0,2513.2807323689585,False,-0.17136041843255118,9,3.350000000000001,76617,101,0,0.0,3021.9208805864855,False,-0.19467334157654312,13,1.2390000000000003,114492,501,0,0.0,7854.1532975857235,False,-0.06001685466905173,0,0.23600000000000002,131196,53,15,1.0,1580.878492558969,False,0.04767772064041498,0.35,647857,0.0,0.0,9,0,0,5,8,8.0,19,24,21,158.0,27.0,11,9,21,774,1.4376190680195577,59.932968260138296
16,21,0,0,0,10.000000000000002,20,10.0,26.695971961173182,28,27.285714285714285,29.847055079044353,13,29.307692307692307,15.243636063688138,15,5.6,50.00000000000001,20,50.0,0,0.2,53509,0,49,0.9,1308.1026260974859,False,0.039418359842805374,0,0.37100000000000005,54425,11,19,1.0,617.2234672622905,False,0.050367724071295625,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,13,1.9230000000000005,62478.0,272,0,0.0,7261.304373439106,False,-0.12149137969303325,7,3.3480000000000016,78761,88,0,0.0,2626.540846955903,False,-0.17461118577238385,8,3.421000000000001,76036,110,0,0.0,3283.176058694879,False,-0.19931568609327074,14,1.366,114169,502,0,0.0,7652.305303971445,False,-0.06338186496280578,0,0.23600000000000002,131442,57,19,1.0,1818.887255630224,False,0.05057504070340619,0.3625,646471,0.0,0.0,16,0,0,4,9,9.0,21,25,19,194.0,24.0,13,8,19,1264,1.4436819209950045,61.3766501811333
17,19,0,0,0,10.000000000000002,20,10.0,26.695971961173182,0,,29.913442985405645,6,31.0,14.342354917902725,32,5.5,50.000000000000014,20,50.0,0,0.2,53369,4,59,1.0,1615.0623457092177,False,0.039677045670701946,0,0.37100000000000005,54365,7,29,1.0,844.1831868740222,False,0.05139403161521068,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,6,1.9700000000000002,62442.0,272,0,0.0,7261.304373439106,False,-0.12196977865118663,10,3.441000000000001,78361,88,0,0.0,2632.382982715697,False,-0.17870419226752993,22,3.633000000000001,74736,116,0,0.0,3469.959386307055,False,-0.21175315219294613,11,1.4620000000000002,113817,519,0,0.0,7443.682202391514,False,-0.06700396014291356,0,0.23600000000000002,131869,62,20,1.0,1889.226004909969,False,0.05424363392963152,0.375,644610,0.0,0.0,9,0,0,5,9,9.0,17,22,26,151.0,55.0,11,8,26,650,1.5625313879572786,62.93918156909058
18,26,0,0,0,10.000000000000002,20,10.0,26.870439617310154,18,28.38888888888889,29.671536572958175,4,24.0,14.110470682128206,38,12.210526315789474,50.000000000000014,20,50.0,0,0.2,53740,8,51,1.0,1450.392420482818,False,0.045216684454535895,0,0.37100000000000005,54305,3,39,1.0,1077.947145075096,False,0.052485627675402526,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,4,2.0040000000000004,61879.0,290,0,0.0,7792.427489019945,False,-0.12592239645307085,23,3.661000000000002,77006,92,0,0.0,2729.781364712152,False,-0.19216926750411195,15,3.761000000000001,74343,116,0,0.0,3441.898242463148,False,-0.21594873810757648,12,1.5710000000000004,113218,542,0,0.0,7647.875109713487,False,-0.07094826516227379,0,0.23600000000000002,132169,67,22,1.0,2045.40153570259,False,0.05724480685705103,0.375,642311,0.0,0.0,11,0,0,8,12,12.0,22,30,23,254.0,42.0,17,9,23,1111,1.710137338959612,64.64931890805019
19,23,0,0,0,10.000000000000002,20,10.0,27.081665138175737,22,28.59090909090909,29.671536572958175,0,,14.017562960337257,69,13.594202898550725,50.00000000000002,20,50.0,0,0.2,54037,6,48,1.0,1359.9199266324354,False,0.05004816755869839,0,0.37100000000000005,54437,5,40,1.0,1133.2666055270295,False,0.0555495845777795,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,0,2.000000000000001,61250.0,312,0,0.0,8449.47952311083,False,-0.12991535313078345,26,3.898000000000001,75822,92,0,0.0,2729.781364712152,False,-0.20437369160784957,43,4.176,71690,116,0,0.0,3441.898242463148,False,-0.24329530664407634,10,1.6590000000000003,112194,581,0,0.0,8144.204079955946,False,-0.0771066674076999,0,0.23600000000000002,132585,87,22,1.0,2319.527977549342,False,0.06163489433858293,0.375,637666,0.0,0.0,14,0,0,4,16,16.0,23,27,23,209.0,36.0,14,9,23,1329,1.748973251960706,66.3982921600109
20,23,0,0,0,10.000000000000002,20,10.0,27.159810422728935,15,28.0,29.671536572958175,0,,14.066820765038988,15,15.2,50.00000000000003,20,50.0,0,0.2,54357,6,43,1.0,1227.8718481773442,False,0.054922104129587396,0,0.37100000000000005,54337,5,50,1.0,1407.9905211364467,False,0.056266580831876,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,0,2.000000000000001,60830.0,327,0,0.0,8881.258008232362,False,-0.13262775240041746,8,3.9520000000000017,75578,92,0,0.0,2729.781364712152,False,-0.2068887925211198,7,4.203000000000001,71454,116,0,0.0,3441.898242463148,False,-0.24572794523232133,9,1.7390000000000003,111822,595,0,0.0,8369.758355198199,False,-0.07916431832355059,0,0.23600000000000002,133134,78,21,1.0,2147.212019673042,False,0.06530882687598438,0.375,637163,0.0,0.0,11,0,0,6,10,10.0,22,28,19,220.0,36.0,16,7,19,1170,1.5954466229886748,67.99373878299957
21,19,0,0,0,10.000000000000002,20,10.0,27.25859953926457,9,29.0,29.169126427967118,19,26.842105263157894,13.281876403159194,51,8.294117647058824,50.00000000000002,20,50.0,0,0.2,54548,3,44,1.0,1229.378379727641,False,0.05860195340274848,0,0.37100000000000005,54207,8,60,1.0,1715.515972355874,False,0.05672260043712099,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,19,2.190000000000001,60178.0,336,0,0.0,9158.889445192895,False,-0.13944738644541008,25,4.194000000000001,73901,107,0,0.0,3121.0965277924815,False,-0.22215816001921124,26,4.456000000000001,70016,120,0,0.0,3500.295171356054,False,-0.260249576497433,10,1.8300000000000003,111407,614,0,0.0,8155.072111539745,False,-0.08331055678861825,0,0.23600000000000002,133475,100,21,1.0,2378.18764031592,False,0.06893232116334304,0.375,633383,0.0,0.0,10,0,0,4,15,15.0,21,25,20,188.0,40.0,13,6,20,961,1.5407781479880214,69.53451693098759
22,20,0,0,0,10.000000000000002,20,10.0,27.5788443367925,34,29.0,28.96634044116647,14,27.571428571428573,13.241975151415886,35,12.857142857142858,50.00000000000002,20,50.0,0,0.2,55096,2,32,1.0,902.52301877736,False,0.06598210499891916,0,0.37100000000000005,54445,9,58,1.0,1689.572971533965,False,0.06104101951231044,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,14,2.311000000000001,58971.0,370,0,0.0,10204.172404613226,False,-0.14854173097624465,18,4.349000000000001,72899,114,0,0.0,3302.1628102929776,False,-0.23155336956370745,17,4.600000000000001,69255,127,0,0.0,3678.725236028142,False,-0.2671741952912562,10,1.92,110846,638,0,0.0,8448.380146603335,False,-0.08659953902761021,0,0.23600000000000002,133916,101,21,1.0,2387.439490293005,False,0.07246959632597626,0.375,631079,0.0,0.0,11,0,0,6,12,12.0,18,24,17,182.0,48.0,14,6,17,1686,1.514428485010285,71.04894541599788
23,17,0,0,0,10.000000000000002,20,10.0,27.663286623025876,15,28.6,28.96634044116647,0,,13.60975094219241,29,17.862068965517242,50.00000000000002,20,50.0,0,0.2,55006,1,42,1.0,1171.8580381670868,False,0.06683929875997516,0,0.37100000000000005,54764,10,53,1.0,1566.1541910203714,False,0.06597856599647246,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,0,2.2970000000000006,58542.0,385,0,0.0,10650.365349864962,False,-0.15127795411446382,25,4.581000000000001,71887,114,0,0.0,3302.1628102929776,False,-0.24198485367940212,4,4.623000000000001,69095,127,0,0.0,3678.725236028142,False,-0.26882344179176126,11,2.0200000000000005,110245,653,0,0.0,8887.167365251644,False,-0.0896286419858246,0,0.23600000000000002,134252,105,22,1.0,2529.0238489302037,False,0.07569861822880695,0.375,629442,0.0,0.0,11,0,0,2,9,9.0,20,22,21,126.0,31.0,9,8,21,1079,1.2796289759571664,72.32857439195504
24,21,0,0,0,10.000000000000002,20,10.0,27.73650039796007,15,28.533333333333335,28.96634044116647,0,,14.236906302429498,48,18.520833333333332,50.000000000000014,20,50.0,0,0.2,55148,0,44,1.0,1220.4060175102431,False,0.07003018689199803,0,0.37100000000000005,54850,11,56,1.0,1663.244022285764,False,0.06856055597196041,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,0,2.2970000000000006,58114.0,400,0,0.0,11094.600159184029,False,-0.1540138990898192,9,4.646000000000002,71698,114,0,0.0,3302.1628102929776,False,-0.24393302610812373,39,5.009000000000001,66966,127,0,0.0,3678.725236028142,False,-0.290768728039107,10,2.1090000000000004,109186,701,0,0.0,9980.071318003078,False,-0.09369712923478692,0,0.23600000000000002,134752,95,22,1.0,2452.5060987308025,False,0.07936381210799644,0.375,626365,0.0,0.0,11,0,0,4,11,11.0,22,26,21,171.0,20.0,14,7,21,1128,1.5115448320284486,73.84011922398349
