index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,20,0,0,0,10.000000000000002,20,10.0,19.609586086383032,11,10.0,16.296776631138176,17,3.0588235294117645,41.133976324337524,33,47.0,43.0,20,43.0,0,0.20900000000000002,24631,8,20,1.0,472.19172172766065,False,0.06973655084159994,11,0.6700000000000002,21239,102,0,0.0,1020.0000000000002,False,-0.06439817603028478,0,0.23600000000000002,32442,25,55,1.0,1386.5623668721755,False,-0.005513935489177618,17,0.6580000000000001,30456,43,0,0.0,843.2122017144704,False,-0.07327332450381956,0,0.2,46905,0,1,0.0,41.133976324337524,False,0.016122799163339148,23,0.5920000000000001,46528,11,10,1.0,590.6043061858952,False,0.013908363896254895,7,0.6660000000000001,55347,4,10,1.0,594.5359052973502,False,-0.014919044157971295,3,0.4820000000000001,55219,9,10,1.0,800.2057869190378,False,-0.015364545940490448,0.625,312767,0.0,0.0,12,0,0,8,9,8.30952380952381,18,26,22,130.0,45.0,10,10,22,822,1.2756984094157815,22.002139734104276
11,22,0,0,0,10.000000000000002,20,10.0,19.819091814102123,29,20.620689655172413,16.296776631138176,0,,41.133976324337524,0,,43.00000000000001,20,43.0,5,0.259,25070,3,10,1.0,228.19091814102123,False,0.08337328826768095,4,0.6990000000000002,21009,117,0,0.0,1170.0000000000002,False,-0.07106598984771574,0,0.23600000000000002,31982,38,65,1.0,1812.415969959862,False,-0.012929320058227023,0,0.6410000000000001,30318,49,0,0.0,971.135498891004,False,-0.07549543055177223,0,0.2,46905,0,1,0.0,41.133976324337524,False,0.016122799163339148,0,0.5690000000000001,46528,1,20,1.0,838.9763031178887,False,0.01659747843396514,0,0.6590000000000001,55777,0,4,0.4,172.00000000000003,False,-0.011046789526793775,0,0.47900000000000004,55649,0,9,0.9,387.00000000000006,False,-0.011409704887850302,0.5375,313238,0.0,0.0,17,0,0,5,2,1.8333333333333335,23,28,20,160.0,55.0,13,9,20,1516,1.4788150740787387,23.480954808183014
12,20,0,0,0,10.000000000000002,20,10.0,18.068049567850913,23,8.478260869565217,16.155362465924473,3,12.666666666666666,41.58784946384475,5,49.0,43.0,20,43.0,0,0.254,24910,9,20,1.0,451.3609913570183,False,0.08129056593299962,23,0.9250000000000003,20606,121,0,0.0,1210.0000000000002,False,-0.08754194269981933,0,0.23600000000000002,31823,51,74,1.0,2116.9673504388074,False,-0.01313113613195467,2,0.661,30262,49,0,0.0,885.3344288246948,False,-0.07846372296850603,0,0.2,46905,0,1,0.0,41.58784946384475,False,0.016127713231240612,0,0.5690000000000001,46735,0,19,0.4,790.1691398130502,False,0.020551407936305513,7,0.7290000000000001,55856,0,0,0.0,0.0,False,-0.01117071184520332,0,0.47900000000000015,55791,0,5,0.5,215.0,False,-0.010418326340573937,0.3625,312888,0.0,0.0,14,0,0,9,6,5.666666666666666,19,28,18,124.0,24.0,12,8,18,997,1.3532161889597774,24.83417099714279
13,18,0,0,0,10.000000000000002,20,10.0,19.620355796183638,24,28.291666666666668,16.437610721082823,1,36.0,36.60205574409404,18,15.0,43.00000000000001,20,43.0,4,0.29400000000000004,25395,10,10,1.0,296.2035579618364,False,0.09881707730280131,0,0.9020000000000004,20516,130,0,0.0,1300.0000000000002,False,-0.08947775961455734,0,0.23600000000000002,31573,52,83,1.0,2384.5801912514235,False,-0.016618443061745227,0,0.6590000000000001,29869,62,0,0.0,1216.4620593633856,False,-0.08528974369933989,0,0.2,46905,0,1,0.0,36.60205574409404,False,0.016073732224768773,0,0.5690000000000001,46969,0,2,0.1,73.20411148818808,False,0.017855872669368212,13,0.8520000000000001,55479,0,9,0.9,387.00000000000006,False,-0.014419246906367837,2,0.4990000000000001,55855,0,9,0.9,387.00000000000006,False,-0.007762848088940818,0.48750000000000004,312561,0.0,0.0,13,0,0,5,8,6.5,19,24,11,95.0,27.0,9,9,11,878,1.0773002319037914,25.911471229046583
14,11,0,0,0,10.000000000000002,20,10.0,20.332705002516565,8,33.0,19.850840564506015,20,30.65,38.11415247202966,12,49.0,43.00000000000001,20,43.0,0,0.29000000000000004,25589,7,12,1.0,313.9924600301988,False,0.10754522197432238,0,0.9020000000000004,20386,143,0,0.0,1430.0000000000002,False,-0.09227393960251226,0,0.23600000000000002,32186,42,73,1.0,2303.084971314635,False,0.0005565138706838564,0,0.6590000000000001,29605,70,0,0.0,1423.2893501761596,False,-0.09010940679227832,0,0.2,46905,0,1,0.0,38.11415247202966,False,0.01609010364080498,10,0.669,46564,10,10,1.0,579.6499303653568,False,0.014569302639238588,2,0.8590000000000002,55262,2,10,1.0,506.22830494405935,False,-0.01720547820787031,0,0.4970000000000001,56242,0,0,0.0,0.0,False,-0.004337281144334094,0.5,312739,0.0,0.0,16,0,0,2,2,1.8333333333333335,18,20,18,55.0,29.0,5,6,18,1851,0.9127592975273728,26.824230526573956
15,18,0,0,0,10.000000000000002,20,10.0,21.574388397091184,28,27.571428571428573,21.376415120404726,23,26.347826086956523,38.11415247202966,0,,43.00000000000001,20,43.0,16,0.45000000000000007,25965,3,10,1.0,245.74388397091184,False,0.12225208388477403,0,0.9020000000000001,20246,157,0,0.0,1570.0000000000002,False,-0.0952852103587714,0,0.23600000000000002,32346,50,67,1.0,2510.9392329216757,False,0.00847773391941053,7,0.7290000000000001,29061,80,0,0.0,1725.9510717672947,False,-0.10189454857937968,0,0.2,46905,0,1,0.0,38.11415247202966,False,0.01609010364080498,0,0.659,45958,23,20,1.0,1253.9405972099019,False,0.008747543331780438,0,0.8570000000000002,55692,0,2,0.2,86.00000000000001,False,-0.013312797634854037,10,0.5970000000000002,56084,0,0,0.0,0.0,False,-0.00713438490272098,0.4,312257,0.0,0.0,14,0,0,5,7,6.888888888888889,21,26,18,174.0,29.0,12,6,18,1562,1.0645734127610922,27.888803939335048
16,18,0,0,0,10.000000000000002,20,10.0,20.845552767205636,6,3.0,22.76236128297331,26,27.46153846153846,37.49374805974165,10,32.0,43.0,20,43.0,0,0.43400000000000005,25845,5,20,1.0,466.9110553441127,False,0.12184700712690599,6,0.9620000000000002,20058,165,0,0.0,1650.0000000000002,False,-0.10165189710057644,0,0.23600000000000002,33030,46,57,1.0,2256.3500204209377,False,0.025186080320852084,6,0.7820000000000003,28899,80,0,0.0,1667.6442213764508,False,-0.10763161827521155,0,0.2,46869,0,2,0.1,74.9874961194833,False,0.0157097886156589,0,0.659,45600,38,20,1.0,1614.8446899478186,False,0.004902932915569335,13,0.9870000000000001,55222,0,10,1.0,430.0,False,-0.018588347761431832,5,0.6370000000000001,56029,0,0,0.0,0.0,False,-0.008108060261653123,0.5125,311552,0.0,0.0,12,0,0,7,10,9.333333333333334,20,27,17,111.0,32.0,11,7,17,1222,1.112929044291377,29.001732983626425
17,17,0,0,0,10.000000000000002,20,10.0,20.845552767205636,0,,24.984436956143053,19,37.0,37.49374805974165,0,,43.00000000000001,20,43.0,0,0.43400000000000005,25725,7,30,1.0,695.3665830161691,False,0.12159869618463758,0,0.9560000000000002,19978,173,0,0.0,1730.0000000000002,False,-0.10337262324701024,0,0.23600000000000002,33733,36,48,1.0,1949.6928735142694,False,0.04168331692899355,0,0.7760000000000002,28899,80,0,0.0,1667.6442213764508,False,-0.10763161827521155,0,0.2,46869,0,2,0.0,74.9874961194833,False,0.0157097886156589,0,0.6590000000000001,44897,47,30,1.0,2299.0809787309727,False,-0.0029115764196209486,0,0.9740000000000002,55437,0,5,0.0,215.00000000000003,False,-0.016685255014428097,15,0.7820000000000003,55729,0,0,0.0,0.0,False,-0.013419016764919361,0.375,311267,0.0,0.0,11,0,0,4,5,5.0,18,22,24,67.0,45.0,7,10,24,1118,0.9921681582927704,29.993901141919196
18,24,0,0,0,10.000000000000002,20,10.0,20.682286263686336,30,19.933333333333334,24.984436956143053,0,,35.798227745404134,8,17.0,43.00000000000001,20,43.0,0,0.43400000000000005,26230,4,20,1.0,453.6457252737267,False,0.13812367128266634,10,1.056,19641,186,0,0.0,1860.0000000000002,False,-0.11507356104276005,0,0.23600000000000002,33476,45,58,1.0,2379.800225322182,False,0.040424385865754954,0,0.776,28558,91,0,0.0,1882.0880499954567,False,-0.11464797788055676,0,0.2,46869,0,2,0.0,71.59645549080827,False,0.015673073942647553,0,0.659,45033,37,32,1.0,2069.9674552302254,False,-0.002447246105213927,4,1.0140000000000002,55545,0,4,0.4,172.00000000000003,False,-0.015153929222653,11,0.8770000000000002,55481,0,4,0.4,172.00000000000003,False,-0.01628693327668313,0.475,310833,0.0,0.0,13,0,0,6,9,9.0,20,26,27,174.0,54.0,11,13,27,1126,1.396531691774726,31.39043283369392
19,27,0,0,0,10.000000000000002,20,10.0,20.927637977815582,14,23.571428571428573,26.236759955152507,16,34.8125,34.21565845783094,8,17.0,43.00000000000001,20,43.0,0,0.43400000000000005,26470,3,16,1.0,364.8422076450493,False,0.14653794647778223,0,1.0460000000000003,19531,197,0,0.0,1970.0000000000005,False,-0.11743955949410652,0,0.23600000000000002,33701,49,53,1.0,2416.0025385360464,False,0.04772055791794546,1,0.7860000000000003,28531,91,0,0.0,1904.415055981218,False,-0.11512327716946459,0,0.2,46869,0,2,0.0,68.43131691566188,False,0.015638805102917507,0,0.659,44612,43,34,1.0,2291.5130656378096,False,-0.009164883116023722,4,1.0500000000000003,55617,0,4,0.4,172.00000000000003,False,-0.013879299661869102,8,0.9460000000000002,55469,0,4,0.4,172.00000000000003,False,-0.01649937153681378,0.475,310800,0.0,0.0,15,0,0,7,6,5.5,19,26,22,127.0,53.0,11,16,22,1479,1.2650287030264735,32.655461536720395
20,22,0,0,0,10.000000000000002,20,10.0,20.277985251429712,5,1.0,26.236759955152507,0,,34.21565845783094,0,,43.00000000000001,0,,0,0.43400000000000005,26330,7,26,1.0,597.2276165371725,False,0.14551380057939373,5,1.0960000000000003,19371,203,0,0.0,2030.0000000000005,False,-0.12303191947001635,0,0.23600000000000002,33696,44,63,1.0,2545.1472282375153,False,0.049508497077306014,0,0.7850000000000001,28531,91,0,0.0,1845.2966578801038,False,-0.11601043461868445,0,0.2,46869,0,2,0.0,68.43131691566188,False,0.015638805102917507,0,0.659,44612,33,44,1.0,2371.302050664594,False,-0.00830101068984432,0,1.0460000000000003,55617,0,4,0.0,172.00000000000003,False,-0.013879299661869102,0,0.9380000000000002,55469,0,4,0.0,172.00000000000003,False,-0.01649937153681378,0.375,310495,0.0,0.0,8,0,0,18,1,1.0,9,27,29,108.0,42.0,12,10,29,200,1.5960260489955544,34.25148758571595
21,29,0,0,0,10.000000000000002,20,10.0,20.66451824142931,10,26.0,25.87082429770565,5,17.6,38.63472141979919,71,43.95774647887324,43.00000000000001,0,,0,0.43400000000000005,26500,6,26,1.0,597.277474277162,False,0.15282795909569744,0,1.0910000000000004,19261,214,0,0.0,2140.0000000000005,False,-0.12539791792136282,0,0.23600000000000002,33524,44,68,1.0,2668.4548548668736,False,0.046196687398584416,0,0.7850000000000001,28531,91,0,0.0,1880.4711599700672,False,-0.11548259011419809,0,0.2,46869,0,2,0.0,77.26944283959838,False,0.015734495169437555,27,0.9290000000000003,46444,28,10,1.0,1110.73029453375,False,0.017720819108873166,0,1.0460000000000003,53547,35,14,1.0,1954.2152496929716,False,-0.03474945341677751,0,0.9380000000000002,54418,16,14,1.0,1220.1555427167873,False,-0.025827574993212674,0.625,309094,0.0,0.0,13,0,0,23,2,1.9166666666666665,10,33,29,222.0,71.0,17,12,29,2480,1.9843530571088195,36.23584064282477
22,29,0,0,0,10.000000000000002,20,10.0,20.842265911043164,17,22.235294117647058,27.000595006707755,15,35.0,37.469858925604186,30,32.0,43.00000000000001,0,,0,0.43400000000000005,26792,4,22,1.0,498.5298500429496,False,0.1632652897281887,3,1.1210000000000004,19084,226,0,0.0,2260.0000000000005,False,-0.13043104189968166,0,0.23600000000000002,33705,50,63,1.0,2743.150780974747,False,0.052749944190623094,0,0.7850000000000001,28497,92,0,0.0,1917.488463815971,False,-0.11594753048086721,0,0.2,46869,0,2,0.0,74.93971785120837,False,0.015709271322093668,20,1.102,46119,33,10,1.0,1265.7182244773976,False,0.01236134150925057,0,1.0460000000000003,53547,25,24,1.0,1968.7464731401049,False,-0.03462082892399935,0,0.9380000000000002,53458,36,24,1.0,2380.9149213217506,False,-0.032548064852782534,0.625,308071,0.0,0.0,11,0,0,17,2,1.6666666666666665,15,32,22,236.0,51.0,17,12,22,1097,1.6504783956333995,37.88631903845817
23,22,0,0,0,10.000000000000002,20,10.0,19.899386412024693,25,14.8,26.413300430539987,5,13.6,37.469858925604186,0,,43.00000000000001,0,,0,0.43400000000000005,26997,3,22,1.0,467.78650106454324,False,0.17142275017346081,15,1.2680000000000002,18694,237,0,0.0,2370.0000000000005,False,-0.1448421233760647,0,0.23600000000000002,33666,55,72,1.0,2996.2238836602373,False,0.05537717043819193,4,0.8250000000000002,28118,102,0,0.0,2029.7374140265188,False,-0.12563796311374117,0,0.2,46869,0,2,0.0,74.93971785120837,False,0.015709271322093668,0,1.0820000000000003,46051,28,20,1.0,1488.9695905672033,False,0.01330600886259715,0,1.0460000000000003,53547,15,34,1.0,2024.0478838840631,False,-0.03413132327894857,0,0.9380000000000002,53458,26,34,1.0,2436.216332065709,False,-0.032058559207731756,0.625,307400,0.0,0.0,11,0,0,13,3,3.0,11,24,34,123.0,54.0,9,13,34,531,1.3624064130708575,39.248725451529026
24,34,0,0,0,10.000000000000002,20,10.0,20.79331938011758,14,30.0,26.596464613475096,2,36.0,37.469858925604186,0,,43.00000000000001,0,,0,0.43400000000000005,27367,0,16,0.8,332.6931100818813,False,0.18443373290204518,0,1.2530000000000001,18544,252,0,0.0,2520.0000000000005,False,-0.14806848490062807,0,0.23600000000000002,33738,45,80,1.0,3063.416541183299,False,0.05854642307967368,0,0.8210000000000002,27698,116,0,0.0,2412.0250480936393,False,-0.13250660211750598,0,0.2,46833,0,3,0.1,112.40957677681256,False,0.015335414746073231,0,1.0820000000000003,46015,19,30,1.0,1629.4285954241525,False,0.014047212007363955,0,1.0460000000000003,53547,5,44,1.0,2079.349294628021,False,-0.03364181763389792,0,0.9380000000000002,53458,16,44,1.0,2491.517742809667,False,-0.0315690535626811,0.6125,307200,0.0,0.0,10,0,0,19,0,0.0,14,33,32,223.0,86.0,19,15,32,692,1.8720586858689785,41.120784137398005
