index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,28.66627898134363,10,32.0,21.30008705239626,8,16.0,55.195928818959864,1,63.0,49.0,20,49.0,0,0.5150000000000001,66539,0,9,0.9,257.99651083209267,False,0.03006702906918903,0,0.2,63552,117,0,0.0,1170.0000000000002,False,-0.00903865764345972,4,0.393,95371,85,0,0.0,2436.6337134142086,False,-0.018550862605221794,4,0.45600000000000007,96480,44,0,0.0,1261.3162751791197,False,-0.013253486383279356,0,0.2,131333,0,2,0.0,110.39185763791973,False,0.0061507518384114074,0,0.389,131514,0,12,0.8,662.3511458275184,False,0.009650232208245596,13,0.6630000000000001,159260,0,1,0.1,49.0,False,-0.0085677295672254,2,0.5170000000000001,159598,0,0,0.0,0.0,False,-0.006616415931682238,0.225,903647,0.0,0.0,16,0,0,15,9,9.0,13,28,16,129.0,103.0,8,14,16,828,1.7462932029739022,32.9639850249514
11,16,0,0,0,10.000000000000002,20,10.0,28.66627898134363,0,,21.30008705239626,0,,50.90452949468956,10,27.0,49.0,20,49.0,0,0.5150000000000001,66449,0,18,0.9,515.9930216641853,False,0.03066957929038179,0,0.2,63442,128,0,0.0,1280.0000000000002,False,-0.009888445968913199,0,0.389,95371,85,0,0.0,2436.6337134142086,False,-0.018550862605221794,0,0.45200000000000007,96480,44,0,0.0,1261.3162751791197,False,-0.013253486383279356,0,0.2,131396,0,1,0.0,50.90452949468956,False,0.006405423783339201,0,0.389,131721,0,3,0.0,152.71358848406868,False,0.009284043299322652,8,0.7300000000000002,159117,0,1,0.1,49.0,False,-0.009457802453613509,11,0.6250000000000001,159189,0,9,0.9,441.0,False,-0.007789693827375654,0.2375,903165,0.0,0.0,13,0,0,15,8,7.5,15,30,14,144.0,69.0,8,8,14,470,2.1194576965644956,35.083442721515894
12,14,0,0,0,10.000000000000002,20,10.0,28.66627898134363,0,,20.907777617209074,4,16.0,52.5094748742247,10,62.0,49.00000000000001,20,49.0,0,0.5150000000000001,66309,4,28,1.0,842.6558114776217,False,0.03103006559962321,0,0.2,63382,134,0,0.0,1340.0000000000002,False,-0.010351966873706004,4,0.42900000000000005,95291,85,0,0.0,2436.6337134142086,False,-0.019363746820026447,0,0.45200000000000007,96480,44,0,0.0,1261.3162751791197,False,-0.013253486383279356,0,0.2,131396,0,1,0.0,52.5094748742247,False,0.006411568996723365,7,0.4590000000000001,131907,0,4,0.4,210.0378994968988,False,0.010927893324259703,8,0.802,158419,0,10,1.0,490.00000000000006,False,-0.012429898979839538,2,0.6340000000000001,159609,0,0,0.0,0.0,False,-0.00654794878657546,0.3,902793,0.0,0.0,17,0,0,13,8,6.65,12,25,14,129.0,78.0,8,6,14,543,1.8413229333236814,36.924765654839575
13,14,0,0,0,10.000000000000002,20,10.0,28.66627898134363,0,,20.907777617209074,0,,53.50542093887053,6,63.833333333333336,49.000000000000014,20,49.0,0,0.5150000000000001,66219,3,38,1.0,1119.318601291058,False,0.03177681932952508,0,0.2,63272,145,0,0.0,1450.0000000000002,False,-0.011201755199159481,0,0.42500000000000004,95291,85,0,0.0,2436.6337134142086,False,-0.019363746820026447,0,0.45200000000000007,96480,44,0,0.0,1261.3162751791197,False,-0.013253486383279356,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,1,0.4620000000000001,132177,0,0,0.0,0.0,False,0.012191293027529962,1,0.8040000000000003,158517,0,6,0.6,294.0000000000001,False,-0.012429898979839538,9,0.7220000000000002,159451,0,0,0.0,0.0,False,-0.007531385961745539,0.2,902866,0.0,0.0,18,0,0,11,7,6.2,18,29,15,162.0,75.0,9,5,15,753,1.975812179967761,38.900577834807336
14,15,0,0,0,10.000000000000002,20,10.0,29.161990013712295,26,31.384615384615383,20.907777617209074,0,,54.29570230650708,5,64.0,49.00000000000001,20,49.0,0,0.5150000000000001,66895,7,22,1.0,711.5637803016705,False,0.03907144232487916,0,0.2,63212,151,0,0.0,1510.0000000000002,False,-0.011665276103952288,0,0.42500000000000004,94723,103,0,0.0,3003.6849714123664,False,-0.02225430589131559,0,0.45200000000000007,96232,52,0,0.0,1516.4234807130392,False,-0.014477348571289735,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,5,0.5110000000000001,132247,0,0,0.0,0.0,False,0.012727342344067083,3,0.8330000000000002,158779,0,0,0.0,0.0,False,-0.011714106099177772,11,0.8230000000000002,158903,0,5,0.5,245.00000000000003,False,-0.010179819620194073,0.1875,902450,0.0,0.0,17,0,0,18,10,10.0,13,31,12,165.0,90.0,10,5,12,1310,2.053979592397809,40.954557427205145
15,12,0,0,0,10.000000000000002,20,10.0,29.161990013712295,0,,20.534816974535797,4,16.0,54.29570230650708,0,,49.00000000000001,20,49.0,0,0.5150000000000001,66795,7,32,1.0,1003.1836804387934,False,0.039779237975022294,0,0.2,63112,161,0,0.0,1610.0000000000002,False,-0.012437810945273632,4,0.4650000000000001,94643,103,0,0.0,3003.6849714123664,False,-0.023067190106120242,0,0.45200000000000007,96232,52,0,0.0,1516.4234807130392,False,-0.014477348571289735,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,0,0.506,132183,0,4,0.4,217.18280922602833,False,0.013068816515013364,9,0.9200000000000002,158620,0,0,0.0,0.0,False,-0.012703767560266649,6,0.8720000000000001,159074,0,0,0.0,0.0,False,-0.009877941753132372,0.175,902118,0.0,0.0,12,0,0,16,8,8.0,12,28,14,126.0,75.0,7,5,14,445,1.822704341262579,42.777261768467724
16,14,0,0,0,10.000000000000002,20,10.0,29.34799571532983,9,32.0,20.534816974535797,0,,54.29570230650708,0,,49.0,20,49.0,0,0.5150000000000001,66983,7,33,1.0,1038.4838586058845,False,0.04295667515377983,0,0.2,63012,171,0,0.0,1710.0000000000002,False,-0.013210345786594975,0,0.4610000000000001,94643,103,0,0.0,3022.8435586789724,False,-0.022969854398826473,0,0.45200000000000007,95944,61,0,0.0,1790.2277386351197,False,-0.01601266199951674,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,0,0.506,132183,0,4,0.0,217.18280922602833,False,0.013068816515013364,12,1.0310000000000001,158364,0,0,0.0,0.0,False,-0.014297184755478927,8,0.9460000000000002,158943,0,0,0.0,0.0,False,-0.010693323208494905,0.125,901531,0.0,0.0,12,0,0,17,11,11.0,13,30,14,144.0,93.0,8,6,14,488,1.8426108695566654,44.61987263802439
17,14,0,0,0,10.000000000000002,20,10.0,29.666321555651624,22,31.454545454545453,19.879642042712177,8,16.0,53.905188359466,7,50.57142857142857,49.0,20,49.0,0,0.5150000000000001,67575,7,21,1.0,692.9927526686841,False,0.04943444850799327,0,0.2,62912,181,0,0.0,1810.0000000000002,False,-0.01398288062791632,4,0.5010000000000001,94057,119,0,0.0,3530.292265122543,False,-0.02634612475170171,4,0.49200000000000005,95678,67,0,0.0,1987.6435442286588,False,-0.01771252581299263,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,3,0.536,132255,0,8,0.8,431.241506875728,False,0.014439795944693976,12,1.1390000000000002,158060,0,2,0.2,98.0,False,-0.01588437766477241,8,1.0180000000000002,158511,0,5,0.5,245.0,False,-0.012619739700362877,0.3125,900507,0.0,0.0,13,0,0,16,15,14.2,15,31,18,144.0,93.0,8,6,18,892,1.9097472708672285,46.52961990889162
18,18,0,0,0,10.000000000000002,20,10.0,29.858056882492818,22,31.0,19.591380673778787,4,16.0,55.345613498116194,10,64.0,48.99999999999999,20,49.0,1,0.5250000000000001,68112,9,10,1.0,388.58056882492815,False,0.05537978252236429,0,0.2,62832,189,0,0.0,1890.0000000000002,False,-0.014600908500973394,4,0.537,93636,130,0,0.0,3881.547394724066,False,-0.028839366993222232,0,0.4880000000000001,95337,78,0,0.0,2328.9284368344397,False,-0.019443537891406532,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,2,0.553,132731,0,4,0.4,221.38245399246478,False,0.017281396998094875,7,1.1970000000000003,157730,0,5,0.5,244.99999999999997,False,-0.017480907002944086,6,1.0700000000000003,158357,0,5,0.5,244.99999999999997,False,-0.013578279731857762,0.3,900194,0.0,0.0,17,0,0,16,10,8.49090909090909,16,32,15,198.0,111.0,11,7,15,1204,2.1569014340639114,48.68652134295553
19,15,0,0,0,10.000000000000002,20,10.0,29.858056882492818,0,,19.31749893849461,4,16.0,55.981274155495115,5,64.0,48.999999999999986,20,49.0,0,0.524,67982,12,20,1.0,717.1611376498563,False,0.05590959131091319,0,0.2,62762,196,0,0.0,1960.0000000000005,False,-0.015141682889898334,0,0.5330000000000001,93636,130,0,0.0,3881.547394724066,False,-0.028839366993222232,4,0.5280000000000001,95257,78,0,0.0,2328.9284368344397,False,-0.020256422106211185,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,1,0.5610000000000002,132937,0,4,0.4,223.92509662198046,False,0.018868649142788105,8,1.2700000000000002,157843,0,0,0.0,0.0,False,-0.017540037719172667,2,1.0840000000000003,158261,0,5,0.5,244.99999999999994,False,-0.014175811180062368,0.2375,900137,0.0,0.0,15,0,0,16,8,6.533333333333333,12,28,18,165.0,90.0,10,5,18,592,1.9423713106662035,50.62889265362173
20,18,0,0,0,10.000000000000002,20,10.0,29.958458326975695,44,30.272727272727273,19.31749893849461,0,,56.586309812186926,5,64.0,48.99999999999999,20,49.0,24,0.764,68480,14,10,1.0,439.584583269757,False,0.06145966273654826,0,0.2,62682,204,0,0.0,2040.0000000000005,False,-0.01575971076295541,0,0.5330000000000001,93636,130,0,0.0,3894.5995825068403,False,-0.02877305500936423,0,0.5240000000000001,93925,122,0,0.0,3654.931915891035,False,-0.02705414867707648,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,1,0.5700000000000001,133207,0,0,0.0,0.0,False,0.020078875828004748,10,1.362,157337,0,5,0.5,244.99999999999997,False,-0.01992705136903169,5,1.1320000000000001,158438,0,0,0.0,0.0,False,-0.013836587597487878,0.1875,899164,0.0,0.0,14,0,0,18,13,11.814035087719297,15,33,14,198.0,126.0,11,7,14,966,2.085308919660747,52.71420157328248
21,14,0,0,0,10.000000000000002,20,10.0,29.958458326975695,0,,19.058351721359227,4,16.0,56.586309812186926,0,,48.99999999999999,20,49.0,0,0.7400000000000002,68360,16,20,1.0,759.1691665395139,False,0.06207448137062749,0,0.2,62602,212,0,0.0,2120.0000000000005,False,-0.016377738636012485,0,0.5330000000000001,93636,130,0,0.0,3894.5995825068403,False,-0.02877305500936423,4,0.5640000000000001,93845,122,0,0.0,3654.931915891035,False,-0.02786703289188113,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,0,0.5690000000000002,133143,0,4,0.4,226.3452392487477,False,0.0204554322443189,3,1.3820000000000001,157549,0,0,0.0,0.0,False,-0.01936997777929927,12,1.247,158198,0,0,0.0,0.0,False,-0.01533041621799939,0.175,898792,0.0,0.0,13,0,0,15,9,9.0,12,27,12,162.0,75.0,9,5,12,445,1.6973176030442119,54.41151917632669
22,12,0,0,0,10.000000000000002,20,10.0,29.958458326975695,0,,18.605981000287777,8,16.0,56.586309812186926,0,,48.99999999999999,20,49.0,0,0.7400000000000002,68230,19,30,1.0,1088.7537498092709,False,0.06261204652057459,0,0.2,62532,219,0,0.0,2190.0000000000005,False,-0.016918513024937423,4,0.5730000000000002,93556,130,0,0.0,3894.5995825068403,False,-0.029585939224168883,4,0.6000000000000001,93765,122,0,0.0,3654.931915891035,False,-0.028679917106685788,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,0,0.5690000000000002,133015,0,12,0.8,679.0357177462431,False,0.02120854507694698,13,1.5090000000000003,157258,0,0,0.0,0.0,False,-0.021181244981669477,7,1.305,158091,0,0,0.0,0.0,False,-0.015996414811310773,0.225,897906,0.0,0.0,12,0,0,18,13,13.0,11,29,8,144.0,57.0,8,4,8,200,1.582857065834105,55.9943762421608
23,8,0,0,0,10.000000000000002,20,10.0,29.958458326975695,0,,18.408097905585283,4,16.0,54.14303843991858,12,42.0,48.99999999999999,20,49.0,0,0.7400000000000002,68130,19,40,1.0,1388.3383330790277,False,0.06338137212291832,0,0.2,62432,229,0,0.0,2290.0000000000005,False,-0.017691047866258768,0,0.5690000000000002,93556,130,0,0.0,3894.5995825068403,False,-0.029585939224168883,4,0.6360000000000001,93685,122,0,0.0,3654.931915891035,False,-0.02949280132149044,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,0,0.5690000000000001,133455,0,4,0.4,216.5721537596743,False,0.022807260228049374,10,1.5960000000000005,157075,0,0,0.0,0.0,False,-0.022320289304809504,10,1.3980000000000001,157408,2,10,1.0,598.2860768798371,False,-0.01838565029198179,0.3,897200,0.0,0.0,11,0,0,14,10,10.0,13,27,13,108.0,36.0,6,2,13,704,1.5593816610053182,57.553757903166115
24,13,0,0,0,10.000000000000002,20,10.0,29.965607889850745,34,30.0,18.06041753482353,8,16.0,55.33227688196628,10,63.0,48.99999999999999,20,49.0,0,0.7400000000000002,69050,19,16,1.0,669.4497262376119,False,0.07204234824509151,0,0.2,62332,239,0,0.0,2390.0000000000005,False,-0.018463582707580112,4,0.6090000000000002,92966,147,0,0.0,4404.94435980806,False,-0.03298814022350224,4,0.6720000000000002,93095,139,0,0.0,4165.219496689254,False,-0.03289529290916404,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,6,0.629,133647,0,8,0.8,442.65821505573024,False,0.025143233200810612,9,1.6760000000000004,156288,0,10,1.0,489.99999999999994,False,-0.025693852272798003,1,1.3980000000000004,157889,0,2,0.2,97.99999999999999,False,-0.01694873055688686,0.375,896726,0.0,0.0,16,0,0,15,10,8.7,13,28,15,147.0,57.0,9,4,15,1661,1.6835075877606869,59.2372654909268
25,15,0,0,0,10.000000000000002,20,10.0,30.02587514211053,11,31.0,18.06041753482353,0,,55.33227688196628,0,,48.99999999999999,20,49.0,0,0.7400000000000002,69321,16,15,1.0,610.3881271316579,False,0.07577321565411799,0,0.2,62202,252,0,0.0,2520.0000000000005,False,-0.01946787800129786,0,0.6050000000000001,92966,147,0,0.0,4413.803645890248,False,-0.032943130387185715,0,0.6680000000000001,92754,150,0,0.0,4503.881271316579,False,-0.034639631807567024,0,0.2,131459,0,0,0.0,0.0,False,0.006692958609334916,0,0.623,133647,0,8,0.0,442.65821505573024,False,0.025143233200810612,0,1.667,156680,0,2,0.0,97.99999999999999,False,-0.024473892232713602,10,1.497,157793,0,0,0.0,0.0,False,-0.017851252015112565,0.125,896822,0.0,0.0,14,0,0,13,6,5.5,17,30,18,162.0,78.0,9,6,18,933,1.8492000009864569,61.08646549191326
