index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
16,55,0,0,0,10.000000000000002,20,10.0,21.94127565915507,35,23.085714285714285,36.20125944340727,5,41.0,40.00000000000001,10,40.0,25,1.3410000000000002,22907,6,10,1.0,279.4127565915507,False,0.031449444069807285,0,0.5510000000000002,24140,4,30,1.0,698.2382697746522,False,0.09600425773752799,0,0.2,28850,51,103,1.0,4847.734781287857,False,-0.036838084673731786,0,0.2,28880,127,92,1.0,6117.057877506162,False,-0.016368064713486934,0,1.1540000000000004,46472,44,10,1.0,1992.8554155099198,False,-0.051864022615500584,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,201314,0.0,0.0,10,0,0,25,2,1.1666666666666667,12,37,63,453.0,312.0,26,29,63,805,2.5443345960229635,84.1460858869832
17,63,0,0,0,10.000000000000002,20,10.0,21.747359893066616,27,20.0,36.20125944340727,0,,40.00000000000001,9,40.0,17,1.4860000000000002,22929,7,10,1.0,287.4735989306662,False,0.032614428905537604,0,0.5510000000000002,24050,3,40,1.0,899.8943957226646,False,0.09648886492397658,0,0.2,28310,68,113,1.0,5569.5627898335515,False,-0.04235351416948643,0,0.2,28880,117,102,1.0,6236.9695707163355,False,-0.014521564972030587,0,1.1540000000000004,46832,34,11,1.0,1670.842821075847,False,-0.047889315678859054,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,201066,0.0,0.0,9,0,0,29,1,0.6296296296296297,7,36,60,432.0,187.0,24,39,60,560,2.4794221600168385,86.62550804700004
18,60,0,0,0,10.000000000000002,20,10.0,21.88487895588636,30,23.0,36.20125944340727,0,,40.00000000000001,10,40.0,10,1.569,23149,9,10,1.0,308.84878955886364,False,0.04293879317845646,0,0.5510000000000002,24080,1,40,1.0,885.3951582354545,False,0.09750705241307413,0,0.2,27730,78,123,1.0,6159.77547009823,False,-0.05112757206501027,0,0.2,28770,117,112,1.0,6615.0718955003185,False,-0.012086974199255964,0,1.1540000000000004,47232,24,11,1.0,1308.8302266417745,False,-0.04351512806709504,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,201026,0.0,0.0,12,0,0,26,1,0.9090909090909091,9,35,66,417.0,314.0,24,36,66,971,2.413148691004608,89.03865673800465
19,66,0,0,0,10.000000000000002,20,10.0,22.009599454770914,34,22.91176470588235,36.20125944340727,0,,40.00000000000001,11,40.0,24,1.7990000000000004,23219,10,10,1.0,320.09599454770915,False,0.046323308148668724,0,0.5510000000000002,23990,0,50,1.0,1100.4799727385457,False,0.09829215835881103,0,0.2,26951,102,133,1.0,7059.7466503598,False,-0.06126044579057904,0,0.2,28770,107,122,1.0,6771.580793756175,False,-0.009676920330209783,0,1.1540000000000004,47672,14,10,1.0,906.8176322077018,False,-0.038741459780208674,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,200667,0.0,0.0,9,0,0,24,2,1.0909090909090908,9,33,62,368.0,334.0,21,45,62,640,3.255646275996696,92.29430301400134
20,62,0,0,0,10.000000000000002,20,10.0,21.163134163516528,20,10.5,36.54798854766011,5,43.0,40.00000000000001,7,40.0,0,1.7750000000000004,23149,7,20,1.0,493.26268327033057,False,0.04706549148027058,0,0.5510000000000002,24070,3,40,1.0,876.5253665406611,False,0.09686102234471589,0,0.2,27166,92,138,1.0,6990.630762620616,False,-0.05570325280842904,0,0.2,28560,117,132,1.0,7300.421185422569,False,-0.008000905675661037,0,1.1540000000000004,47737,9,13,1.0,848.9318969289411,False,-0.038021253401288875,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,200747,0.0,0.0,12,0,0,24,0,0.0,11,35,57,384.0,327.0,23,39,57,905,2.298390853975434,94.59269386797678
21,57,0,0,0,10.000000000000002,20,10.0,21.21671762224679,41,21.536585365853657,36.78673560783118,5,41.0,40.00000000000001,8,40.0,16,1.9350000000000003,23503,6,10,1.0,272.1671762224679,False,0.05796113444822917,0,0.5510000000000002,24015,4,45,1.0,994.7522930011055,False,0.09704511933854958,0,0.2,26543,118,143,1.0,7764.07587134498,False,-0.06298004509785982,0,0.2,28505,112,142,1.0,7599.988830003668,False,-0.005081785802222526,0,1.1540000000000004,47852,4,15,1.0,747.1469424313249,False,-0.03674076757783556,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,200483,0.0,0.0,11,0,0,23,1,0.6666666666666666,11,34,54,366.0,372.0,22,35,54,1128,2.3696844590012915,96.96237832697807
22,54,0,0,0,10.000000000000002,20,10.0,21.1212704093647,21,19.952380952380953,37.42566860908511,15,41.0,40.00000000000001,8,40.0,1,1.9290000000000003,23698,6,10,1.0,271.212704093647,False,0.06666695095089614,0,0.5510000000000002,24015,4,45,1.0,990.4571684214116,False,0.09694900573803727,0,0.2,27158,108,138,1.0,7445.839472265132,False,-0.04893995269071253,0,0.2,28086,123,152,1.0,8286.617888932795,False,-0.007412721143628072,0,1.1540000000000001,47557,9,17,1.0,1016.8310174817661,False,-0.0399397681266178,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,200579,0.0,0.0,11,0,0,19,1,0.09090909090909091,13,32,46,345.0,278.0,20,34,46,1235,2.29881257499801,99.26119090197608
23,46,0,0,0,10.000000000000002,20,10.0,20.68828367970647,34,17.5,37.78663210873022,10,41.0,40.00000000000001,9,40.0,14,2.0680000000000005,23752,5,10,1.0,256.8828367970647,False,0.06876304235582402,0,0.5510000000000002,24020,5,45,1.0,980.9727655867911,False,0.09696054344760988,0,0.2,26883,122,143,1.0,7927.45900047261,False,-0.049992931929895096,0,0.2,28176,123,157,1.0,8477.16013367454,False,-0.001706804224291083,0,1.1540000000000004,47507,9,18,1.0,1060.079688978572,False,-0.040506544602231395,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,200403,0.0,0.0,13,0,0,17,1,0.5833333333333334,12,29,45,309.0,219.0,18,28,45,1085,2.145174575969577,101.40636547794566
24,45,0,0,0,10.000000000000002,20,10.0,20.26355549153142,33,16.96969696969697,37.78663210873022,0,,40.00000000000001,7,40.0,13,2.184,23790,6,10,1.0,262.63555491531423,False,0.07059245334128438,0,0.5510000000000002,24030,4,45,1.0,951.859997118914,False,0.09675662363764122,0,0.2,26423,135,153,1.0,8516.934703992465,False,-0.05508261927945086,0,0.2,28076,123,167,1.0,8802.784887616312,False,0.00022766996637375435,0,1.1540000000000004,47787,0,20,0.9,800.0000000000001,False,-0.03751123539398782,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8166666666666668,200171,0.0,0.0,10,0,0,15,1,0.5652173913043478,10,25,35,237.0,138.0,14,31,35,580,1.769174448971171,103.17553992691683
25,35,0,0,0,10.000000000000002,20,10.0,20.783017012435245,28,25.607142857142858,37.78663210873022,0,,40.00000000000001,10,40.0,13,2.3010000000000006,23989,8,10,1.0,287.83017012435243,False,0.08006243667481996,0,0.5510000000000002,24000,2,50,1.0,1059.1508506217622,False,0.09781486865873983,0,0.2,25959,141,163,1.0,9089.626432476394,False,-0.060553950839599774,0,0.2,27823,125,177,1.0,9286.111009799653,False,-0.0001214812165128266,0,1.1540000000000004,48187,0,10,0.0,400.00000000000006,False,-0.033516428642764405,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6666666666666666,200023,0.0,0.0,11,0,0,9,2,1.5714285714285714,14,23,35,198.0,192.0,11,24,35,853,1.5426688769948669,104.7182088039117
26,35,0,0,0,10.000000000000002,20,10.0,21.189117114921014,25,25.4,37.95733843524036,5,41.0,40.000000000000014,7,40.0,10,2.388000000000001,24229,8,10,1.0,291.89117114921015,False,0.09089444976613881,0,0.5510000000000002,23955,2,55,1.0,1185.4014413206557,False,0.0986260616120805,0,0.2,25614,146,173,1.0,9660.23064807505,False,-0.06239250618917388,0,0.2,27738,125,182,1.0,9556.87523457887,False,0.0014301699196006636,0,1.1540000000000004,48262,0,8,0.5,320.0000000000001,False,-0.03281733746130031,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.75,199863,0.0,0.0,11,0,0,12,1,1.0,11,23,32,198.0,177.0,11,24,32,1030,1.6233071030001156,106.34151590691181
27,32,0,0,0,10.000000000000002,20,10.0,20.840520467206122,24,17.125,39.15777876128947,21,44.0,40.000000000000014,12,40.0,0,2.3780000000000006,24370,10,11,1.0,329.24572513926734,False,0.0980407654211258,0,0.5510000000000002,24025,0,50,1.0,1042.0260233603062,False,0.09855052862872145,0,0.2,26227,150,162,1.0,9469.638229409811,False,-0.04644844118555875,0,0.2,27638,125,192,1.0,10123.358580568343,False,0.007073584548326758,4,1.1940000000000002,47618,11,10,1.0,830.7355663741844,False,-0.04057989047863586,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199943,0.0,0.0,13,0,0,12,2,1.6666666666666665,11,23,31,198.0,138.0,11,21,31,1815,1.4761788740288466,107.81769478094066
28,31,0,0,0,10.000000000000002,20,10.0,20.472794250560344,33,17.666666666666668,36.46404231999078,48,31.125,40.00000000000001,9,40.0,6,2.4380000000000006,24519,10,10,1.0,304.72794250560344,False,0.10416057873490879,0,0.5510000000000002,24110,0,44,1.0,900.8029470246552,False,0.09919448055461544,0,0.2,26843,162,134,1.0,8202.77433946954,False,-0.04698530428904308,0,0.2,27933,126,192,1.0,9580.668201008833,False,0.007802097336138488,0,1.1900000000000002,46484,49,11,1.0,2226.7380736795485,False,-0.049288544155802,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199954,0.0,0.0,15,0,0,12,2,1.0833333333333333,13,25,36,219.0,204.0,13,18,36,2239,1.7104653849964961,109.52816016593715
29,36,0,0,0,10.000000000000002,20,10.0,20.072506819765238,36,17.22222222222222,36.79078555252602,10,41.0,40.00000000000001,11,40.0,16,2.5920000000000005,24555,10,10,1.0,300.7250681976524,False,0.10568217571154787,0,0.5510000000000002,24110,0,44,1.0,883.1903000696705,False,0.09880035580177383,0,0.2,26528,178,139,1.0,8686.82540571933,False,-0.04923274706314558,0,0.2,28038,126,197,1.0,9776.920613138045,False,0.014057909041238817,0,1.1900000000000002,46514,49,10,1.0,2202.7484920737747,False,-0.04892890749951286,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199810,0.0,0.0,13,0,0,13,1,0.6153846153846154,13,26,31,222.0,276.0,14,22,31,1150,1.6496377650182694,111.17779793095542
30,31,0,0,0,10.000000000000002,20,10.0,20.47427804841951,47,22.72340425531915,37.1027155904621,10,41.0,40.00000000000001,13,40.0,22,2.7960000000000003,24745,9,10,1.0,294.7427804841951,False,0.11405170919450845,0,0.5510000000000002,24140,1,39,1.0,808.4968438883609,False,0.09847155486681791,0,0.2,26353,188,144,1.0,9191.95531812941,False,-0.04684392796228195,0,0.2,27555,143,202,1.0,10422.570310197334,False,0.00912488928545325,3,1.2200000000000002,46480,49,10,1.0,2218.033063932643,False,-0.04945537737009246,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199338,0.0,0.0,15,0,0,14,3,3.0,10,24,24,219.0,129.0,13,18,24,1440,1.4058628359925933,112.58366076694801
31,24,0,0,0,10.000000000000002,20,10.0,21.111993292005288,18,31.0,37.1027155904621,0,,40.00000000000001,5,40.0,8,2.8540000000000005,25011,9,10,1.0,301.11993292005286,False,0.12609917501163742,0,0.5510000000000002,24040,1,49,1.0,1044.487671308259,False,0.0992769350006323,0,0.2,26074,187,154,1.0,9661.760946536153,False,-0.048202018069969925,0,0.2,27276,142,212,1.0,10863.678752642714,False,0.007324896098594306,0,1.217,46680,39,15,1.0,2047.005908028022,False,-0.04716862171149487,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199146,0.0,0.0,9,0,0,11,1,0.8888888888888888,11,22,23,168.0,99.0,11,13,23,679,1.387748967972584,113.9714097349206
32,23,0,0,0,10.000000000000002,20,10.0,20.055483851867873,45,13.777777777777779,37.1027155904621,0,,40.00000000000001,8,40.0,0,2.846000000000001,25211,8,10,1.0,280.55483851867876,False,0.13458993104454614,0,0.5510000000000002,24260,2,24,1.0,501.3316124448289,False,0.09696857349724382,0,0.2,25789,207,164,1.0,10236.330514172434,False,-0.04813165207618673,0,0.2,26941,147,222,1.0,11184.958987307164,False,0.001955019823023826,0,1.217,47000,29,17,1.0,1755.9787521234011,False,-0.043683424027530254,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199266,0.0,0.0,16,0,0,7,0,0.0,14,21,26,147.0,147.0,9,14,26,1140,1.2984777410165407,115.26988747593714
33,26,0,0,0,10.000000000000002,20,10.0,19.727283855357474,10,10.5,37.05522750290227,32,36.875,40.00000000000001,7,40.0,0,2.846000000000001,25176,7,15,1.0,365.9092578303621,False,0.13493352259734964,0,0.5510000000000002,24200,3,29,1.0,602.0912318053668,False,0.09653802434222536,0,0.2,26305,197,162,1.0,9889.221774975591,False,-0.03758512819563298,0,0.2,27500,147,212,1.0,10755.61895735283,False,0.01255957741534993,0,1.217,46100,51,20,1.0,2689.8166026480158,False,-0.052333800033476305,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,199346,0.0,0.0,13,0,0,17,0,0.0,9,26,15,252.0,81.0,14,12,15,1765,1.2353127149981447,116.50520019093528
