index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,33,0,0,0,10.000000000000002,20,10.0,15.393609165088895,4,10.0,35.95860035611046,6,36.5,29.281429836210712,0,,41.00000000000001,20,41.0,2,0.29200000000000004,45505,111,0,0.0,1110.0000000000002,False,-0.014696130232956125,2,0.28300000000000003,45537,109,0,0.0,1090.0000000000002,False,-0.014225511797548506,5,0.4660000000000001,73520,0,2,0.2,71.91720071222092,False,0.005618410012387895,0,0.461,73502,0,4,0.2,143.83440142444184,False,0.005863930558646868,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.42500000000000004,75814,6,30,1.0,1094.1944972229842,False,-0.022202480970465566,5,0.6730000000000002,105157,0,0,0.0,0.0,False,-0.005428871381146495,8,0.7210000000000001,104122,29,0,0.0,849.1614652501106,False,-0.0112021948848961,0.175,601252,0.0,0.0,16,0,0,19,12,11.466666666666667,17,36,31,276.0,139.0,17,16,31,446,2.349093084980268,37.593008116062265
11,31,0,0,0,10.000000000000002,20,10.0,14.935531075136407,3,10.0,36.468291561127074,10,40.0,31.92604551608064,28,39.607142857142854,41.00000000000001,20,41.0,1,0.30000000000000004,45392,121,0,0.0,1210.0000000000002,False,-0.016043810297987036,2,0.30100000000000005,45410,119,0,0.0,1190.0000000000002,False,-0.015872676321475175,3,0.4910000000000001,73614,0,1,0.1,36.468291561127074,False,0.006661209184230769,1,0.4710000000000001,73650,0,2,0.2,72.93658312225415,False,0.007402669923591959,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.42500000000000004,76523,6,12,1.0,601.9222955597302,False,-0.01627554711851129,9,0.758,104258,5,10,1.0,569.6302275804032,False,-0.011237809972569991,11,0.8230000000000002,103596,42,0,0.0,1340.893911675387,False,-0.013851690082968214,0.2875,600538,0.0,0.0,15,0,0,16,15,13.8,18,34,34,237.0,97.0,14,17,34,1309,2.259966639976483,39.85297475603875
12,34,0,0,0,10.000000000000002,20,10.0,14.50994377049349,3,10.0,37.025272340334446,10,41.0,34.07864684045459,28,41.642857142857146,41.0,20,41.0,1,0.30900000000000005,45299,129,0,0.0,1290.0000000000002,False,-0.01717757289237812,2,0.31900000000000006,45263,131,0,0.0,1310.0000000000002,False,-0.01773375831604167,9,0.5780000000000001,73696,0,1,0.1,37.025272340334446,False,0.007786077464900808,0,0.4700000000000001,73630,0,4,0.2,148.10108936133778,False,0.007643045248214693,0,0.2,78095,0,0,0.0,0.0,False,0.0,16,0.5850000000000001,76553,6,10,1.0,562.9381024465525,False,-0.01614099428614793,0,0.7490000000000001,104668,0,5,0.5,205.0,False,-0.009084374497545658,10,0.9120000000000001,102274,70,0,0.0,2385.505278831821,False,-0.021415170201587928,0.225,599478,0.0,0.0,18,0,0,18,13,12.466666666666667,20,38,32,246.0,111.0,17,17,32,960,2.390513774007559,42.24348853004631
13,32,0,0,0,10.000000000000002,20,10.0,14.37036831666464,1,10.0,37.21540953197867,5,40.0,35.98028083325446,16,49.5,41.00000000000001,20,41.0,0,0.30800000000000005,45179,141,0,0.0,1410.0000000000002,False,-0.018461077716217085,1,0.32700000000000007,45170,139,0,0.0,1390.0000000000002,False,-0.018867520910432756,0,0.5690000000000002,73686,0,2,0.1,74.43081906395734,False,0.007905057208722205,1,0.48000000000000004,73798,0,0,0.0,0.0,False,0.008927472827944493,0,0.2,78095,0,0,0.0,0.0,False,0.0,6,0.629,76895,1,10,1.0,397.01821786452325,False,-0.01282400782467166,4,0.7890000000000001,104237,2,10,1.0,481.96056166650897,False,-0.011851015493722175,11,1.0120000000000002,101894,74,0,0.0,2662.5407816608304,False,-0.02369910063434177,0.2625,598954,0.0,0.0,16,0,0,16,12,10.7,19,35,33,255.0,141.0,15,17,33,805,2.260947825969197,44.5044363560155
14,33,0,0,0,10.000000000000002,20,10.0,14.37036831666464,0,,37.763033446943105,15,40.333333333333336,35.98028083325446,0,,41.00000000000001,20,41.0,0,0.30800000000000005,45079,151,0,0.0,1510.0000000000002,False,-0.01953066506941622,0,0.32600000000000007,45070,149,0,0.0,1490.0000000000002,False,-0.01993710826363189,3,0.5990000000000002,73795,0,0,0.0,0.0,False,0.00888645840453893,10,0.5790000000000001,73843,0,0,0.0,0.0,False,0.009542689179027957,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.6230000000000001,76290,6,20,1.0,946.1838173467479,False,-0.017054972678489308,0,0.7850000000000001,104565,0,4,0.2,164.00000000000003,False,-0.010252433061259234,12,1.1210000000000002,101692,74,0,0.0,2662.5407816608304,False,-0.02560960937822956,0.15,598429,0.0,0.0,13,0,0,11,8,7.6,25,36,30,273.0,126.0,16,17,30,528,2.1430753800086677,46.64751173602417
15,30,0,0,0,10.000000000000002,20,10.0,13.961676726707962,3,10.0,38.37977443660203,20,40.75,34.653127009161885,26,28.692307692307693,41.00000000000001,20,41.0,2,0.32800000000000007,44952,161,0,0.0,1610.0000000000002,False,-0.021177829593342887,1,0.336,44957,159,0,0.0,1590.0000000000002,False,-0.0212847883286628,5,0.6460000000000001,73825,0,1,0.1,38.37977443660203,False,0.00955895669175348,15,0.7190000000000001,73853,0,2,0.2,76.75954887320405,False,0.010204112030030788,0,0.2,78095,0,0,0.0,0.0,False,0.0,6,0.6830000000000002,75987,16,10,1.0,960.6076610772514,False,-0.020842514494671505,8,0.8650000000000002,104185,6,10,1.0,617.9187620549714,False,-0.011699885738076043,8,1.189,101276,84,0,0.0,2910.8626687695983,False,-0.02836981269083992,0.2875,597130,0.0,0.0,18,0,0,15,15,15.0,21,36,33,189.0,111.0,13,17,33,1002,2.2122479639947414,48.85975970001891
16,33,0,0,0,10.000000000000002,20,10.0,13.961676726707962,0,,38.59795710802095,10,40.5,32.77915823367628,19,20.105263157894736,41.00000000000001,20,41.0,0,0.32600000000000007,44862,170,0,0.0,1700.0000000000002,False,-0.02214045821122211,0,0.3350000000000001,44847,170,0,0.0,1700.0000000000002,False,-0.02246133441718185,4,0.681,73897,0,0,0.0,0.0,False,0.010280948800328116,3,0.7340000000000002,73962,0,0,0.0,0.0,False,0.011169594640782009,0,0.2,78095,0,0,0.0,0.0,False,0.0,9,0.7670000000000001,75583,16,10,1.0,945.358896065098,False,-0.02611333058412769,0,0.8570000000000002,104288,8,12,1.0,754.2332658694104,False,-0.010081086597736677,12,1.3010000000000002,100915,91,0,0.0,2982.9033992645413,False,-0.03144345840262304,0.25,596449,0.0,0.0,17,0,0,20,10,8.672727272727272,20,40,37,279.0,138.0,17,16,37,626,1.8176264319918118,50.677386132010724
17,37,0,0,0,10.000000000000002,20,10.0,13.829057708218073,1,10.0,38.79312057414371,10,40.5,33.48060242211953,6,49.0,41.00000000000001,20,41.0,1,0.3360000000000001,44739,181,0,0.0,1810.0000000000002,False,-0.023595097011572936,0,0.3350000000000001,44757,179,0,0.0,1790.0000000000002,False,-0.023423963035061075,5,0.7270000000000001,73927,0,1,0.1,38.79312057414371,False,0.010956272613125626,5,0.7810000000000001,74007,0,0,0.0,0.0,False,0.011784810991865473,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.758,75472,16,14,1.0,1089.4183630959728,False,-0.02661234161536616,0,0.8570000000000002,104486,4,10,1.0,543.9224096884782,False,-0.009202965971718456,8,1.3690000000000002,100809,91,0,0.0,3046.7348204128775,False,-0.03214414495080497,0.2625,596292,0.0,0.0,15,0,0,19,7,7.0,24,43,38,300.0,174.0,19,18,38,986,1.9273019899846986,52.60468812199542
18,38,0,0,0,10.000000000000002,20,10.0,13.444683016876565,3,10.0,38.91213720879,5,41.0,35.309823294936244,18,48.0,41.0,20,41.0,1,0.34500000000000003,44656,188,0,0.0,1880.0000000000002,False,-0.024621900870644104,2,0.35500000000000004,44600,192,0,0.0,1920.0000000000005,False,-0.025392003764947484,4,0.7620000000000002,73984,0,2,0.2,77.82427441758,False,0.012002353369454958,0,0.776,73997,0,1,0.1,38.91213720879,False,0.011914089392363098,0,0.2,78095,0,0,0.0,0.0,False,0.0,4,0.7980000000000003,75975,11,10,1.0,781.1317422460525,False,-0.02214526062970714,2,0.877,104880,0,4,0.4,164.0,False,-0.007273174376483718,8,1.4410000000000003,99839,109,0,0.0,3848.770739148051,False,-0.037525556652504705,0.2125,596026,0.0,0.0,15,0,0,22,10,8.68888888888889,20,42,32,315.0,177.0,19,19,32,569,1.966890761977993,54.571578883973416
19,32,0,0,0,10.000000000000002,20,10.0,13.321203589411462,1,10.0,38.97363885666263,5,40.0,36.35538776609848,10,49.8,41.0,20,41.0,0,0.3440000000000001,44526,201,0,0.0,2010.0000000000005,False,-0.02601236442980298,1,0.36300000000000004,44517,199,0,0.0,1990.0000000000005,False,-0.026418807624018655,0,0.7580000000000002,73974,0,3,0.1,116.9209165699879,False,0.012132892997265714,4,0.8160000000000001,74069,0,0,0.0,0.0,False,0.012632442408913801,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.7940000000000003,76273,6,10,1.0,597.3957108009606,False,-0.019505757661816062,8,0.9550000000000001,104730,0,4,0.4,164.0,False,-0.008691868988281582,8,1.5130000000000003,99429,115,0,0.0,4180.869593101325,False,-0.03983283240912636,0.1875,595613,0.0,0.0,15,0,0,17,13,12.133333333333333,21,38,31,207.0,126.0,14,18,31,780,2.0006346569862217,56.57221354095964
20,31,0,0,0,10.000000000000002,20,10.0,13.321203589411462,0,,37.50311819749766,16,30.1875,34.00553003236692,17,16.764705882352942,41.00000000000001,20,41.0,0,0.3440000000000001,44376,216,0,0.0,2160.0000000000005,False,-0.027616745459601685,0,0.36200000000000004,44467,204,0,0.0,2040.0000000000005,False,-0.026953601300618222,2,0.7780000000000002,74115,0,0,0.0,0.0,False,0.013261330234465787,11,0.9220000000000002,73953,0,0,0.0,0.0,False,0.011046551370565316,0,0.2,78095,0,0,0.0,0.0,False,0.0,7,0.8640000000000001,75802,12,10,1.0,790.0927186936412,False,-0.024303139005738963,8,1.0270000000000001,104604,0,10,1.0,410.00000000000006,False,-0.00872024288051754,8,1.5850000000000004,99218,122,0,0.0,4148.674663948765,False,-0.04198071207144183,0.25,594630,0.0,0.0,12,0,0,15,12,11.1,20,35,30,252.0,93.0,14,17,30,469,1.735265195951797,58.307478736911435
21,30,0,0,0,10.000000000000002,20,10.0,13.1939891889231,1,10.0,36.11670728204536,11,25.272727272727273,31.88726677463749,16,15.0,41.00000000000001,20,41.0,0,0.3440000000000001,44236,230,0,0.0,2300.0000000000005,False,-0.029114167754080475,1,0.372,44394,210,0,0.0,2100.0000000000005,False,-0.027873446424369477,11,0.8860000000000001,73999,0,0,0.0,0.0,False,0.0116754391961173,0,0.911,73943,0,1,0.1,36.11670728204536,False,0.01115672094662693,0,0.2,78095,0,0,0.0,0.0,False,0.0,6,0.9170000000000003,75530,13,10,1.0,788.3898624129646,False,-0.02779697892046248,3,1.0490000000000002,104990,0,0,0.0,0.0,False,-0.00700835138228145,7,1.6470000000000005,98886,138,0,0.0,4400.442814899973,False,-0.04393014908163175,0.1375,594073,0.0,0.0,17,0,0,16,9,8.5,19,35,33,207.0,94.0,14,16,33,689,1.662799175013788,59.97027791192522
22,33,0,0,0,10.000000000000002,20,10.0,13.1939891889231,0,,36.087776319528416,6,35.666666666666664,30.902586562530175,8,15.0,41.00000000000001,20,41.0,0,0.3440000000000001,44126,241,0,0.0,2410.0000000000005,False,-0.030290713842599525,0,0.371,44304,219,0,0.0,2190.0000000000005,False,-0.0288360750422487,5,0.925,74039,0,0,0.0,0.0,False,0.012222298174858159,0,0.911,73957,0,0,0.0,0.0,False,0.0111012372684394,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.9110000000000003,75436,9,12,1.0,695.6210256261179,False,-0.02959458975846014,7,1.116,104900,0,0,0.0,0.0,False,-0.00785956814936017,13,1.7700000000000005,98524,146,0,0.0,4511.777638129405,False,-0.046827431698700496,0.125,593381,0.0,0.0,12,0,0,13,12,12.0,24,37,35,288.0,109.0,16,17,35,334,1.7300920630223118,61.700369974947535
23,35,0,0,0,10.000000000000002,20,10.0,12.943445077542766,2,10.0,36.55715862928426,10,40.5,30.36154571325732,5,17.0,41.0,20,41.0,0,0.3440000000000001,44026,251,0,0.0,2510.0000000000005,False,-0.03136030119579866,2,0.39100000000000007,44177,229,0,0.0,2290.0000000000005,False,-0.03048323956617537,5,0.9700000000000002,74074,0,1,0.1,36.55715862928426,False,0.012950694911677446,5,0.9610000000000001,73987,0,1,0.1,36.55715862928426,False,0.011761276632916082,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.9110000000000003,75116,9,17,1.0,845.1607047889328,False,-0.03273474163013684,10,1.2090000000000003,104742,0,0,0.0,0.0,False,-0.009353926473787253,10,1.8570000000000002,98279,151,0,0.0,4584.593402701856,False,-0.04880028845512732,0.15,592496,0.0,0.0,12,0,0,22,15,15.0,16,38,35,273.0,146.0,16,19,35,285,2.517342009989079,64.21771198493661
24,35,0,0,0,10.000000000000002,20,10.0,12.506517903983687,4,10.0,37.226257385104894,15,41.0,28.475891823819957,19,17.0,41.0,20,41.0,2,0.364,43889,262,0,0.0,2620.0000000000005,False,-0.03311442445504524,2,0.4090000000000001,44060,238,0,0.0,2380.0000000000005,False,-0.032023445354782125,4,1.0050000000000001,74131,0,2,0.2,74.45251477020979,False,0.013989011653361185,9,1.046,74059,0,2,0.2,74.45251477020979,False,0.013004665491627643,0,0.2,78095,0,0,0.0,0.0,False,0.0,2,0.9310000000000003,74746,14,10,1.0,805.9265216296681,False,-0.037723756183944704,8,1.2790000000000001,104634,0,0,0.0,0.0,False,-0.010375386594281714,12,1.967,97746,170,0,0.0,4840.901610049393,False,-0.05262930639997073,0.175,591360,0.0,0.0,13,0,0,17,19,17.885714285714286,20,37,31,294.0,141.0,18,17,31,404,1.9586812309571542,66.17639321589377
25,31,0,0,0,10.000000000000002,20,10.0,12.315560400774144,2,10.0,37.37279835392311,5,40.0,26.761671098449256,18,15.222222222222221,41.0,20,41.0,1,0.3720000000000001,43776,272,0,0.0,2720.0000000000005,False,-0.034462104520076156,1,0.41700000000000004,43947,248,0,0.0,2480.0000000000005,False,-0.03337112541981303,0,1.0010000000000003,74121,0,3,0.1,112.11839506176932,False,0.014109770969046115,3,1.0670000000000004,74153,0,1,0.1,37.37279835392311,False,0.014036316893526067,0,0.2,78095,0,0,0.0,0.0,False,0.0,8,1.0090000000000001,74488,9,10,1.0,603.9718961698005,False,-0.04232043090998275,9,1.3610000000000002,104500,0,0,0.0,0.0,False,-0.01164275378082114,11,2.0650000000000004,97290,188,0,0.0,5031.19416650846,False,-0.056042247938123894,0.15,590370,0.0,0.0,15,0,0,13,16,15.266666666666666,22,35,35,234.0,129.0,13,18,35,305,1.728911065030843,67.90530428092461
