index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,28,0,0,0,10.000000000000002,20,10.0,20.878756816514734,18,21.27777777777778,18.72808318604164,35,21.857142857142858,41.75,0,,47.0,20,47.0,5,0.6820000000000002,33412,117,0,0.0,1170.0000000000002,False,-0.03595633063944421,6,0.43100000000000005,36489,2,10,1.0,228.78756816514735,False,0.03795246800177442,15,0.42200000000000004,48071,33,10,1.0,876.2798068054026,False,0.004059774872243457,5,1.0240000000000002,44281.0,46,0,0.0,960.4228135596778,False,-0.0735162087475454,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69107,99,75,1.0,4985.330235418122,False,0.00016294794810677767,12,0.9140000000000001,88090,5,0,0.0,208.75,False,-0.019256110579810064,8,0.766,88104,15,0,0.0,626.25,False,-0.01677907390521095,0.375,479610,0.0,0.0,9,0,0,8,13,11.961538461538462,28,36,26,203.0,53.0,17,11,26,200,2.285098693333566,44.95744372624904
11,26,0,0,0,10.000000000000002,20,10.0,22.357295705013637,34,27.941176470588236,18.551030337977554,16,16.9375,39.733168891468374,16,33.0625,47.0,20,47.0,5,0.7270000000000001,33242,128,0,0.0,1280.0000000000002,False,-0.039217354317311784,19,0.6150000000000001,36863,1,10,1.0,233.57295705013638,False,0.048625733121368815,0,0.40700000000000003,47767,46,10,1.0,1213.9459058104028,False,0.0012620402977500534,6,1.0790000000000002,43720.0,57,0,0.0,1274.3658551857773,False,-0.08187893677492827,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69365,105,69,1.0,4689.446838998961,False,0.0017003327303386276,10,1.0020000000000002,87591,10,0,0.0,397.33168891468375,False,-0.023756579360170137,10,0.8580000000000001,87724,26,0,0.0,1033.0623911781777,False,-0.018742841941272893,0.375,478328,0.0,0.0,13,0,0,9,14,13.09090909090909,26,35,28,200.0,55.0,16,10,28,979,2.2530032135546207,47.21044693980366
12,28,0,0,0,10.000000000000002,20,10.0,22.357295705013637,0,,18.15717471437391,15,14.333333333333334,39.733168891468374,0,,46.99999999999999,20,47.0,0,0.7220000000000002,33162,136,0,0.0,1360.0000000000002,False,-0.040351623422657024,0,0.5960000000000001,36743,3,20,1.0,477.14591410027276,False,0.048676391806327386,0,0.40700000000000003,47957,36,15,1.0,1077.2202660960995,False,0.003779730777390193,10,1.1730000000000003,43405.0,57,0,0.0,1274.3658551857773,False,-0.08839892104417257,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69150,110,79,1.0,5136.209561007132,False,0.0018174104668877917,11,1.1020000000000003,87387,10,0,0.0,397.33168891468375,False,-0.026025111264180098,9,0.9380000000000002,87585,26,0,0.0,1033.0623911781777,False,-0.020288557307240464,0.375,477445,0.0,0.0,9,0,0,5,13,13.0,24,29,28,144.0,81.0,12,16,28,390,2.1020517284050584,49.31249866820872
13,28,0,0,0,10.000000000000002,20,10.0,22.357295705013637,0,,17.47695038820014,7,3.4285714285714284,39.733168891468374,0,,47.0,20,47.0,0,0.7220000000000002,33082,144,0,0.0,1440.0000000000002,False,-0.04148589252800227,0,0.5960000000000001,36623,5,30,1.0,720.7188711504091,False,0.048727050491286165,0,0.40700000000000003,47957,26,25,1.0,1018.2134480353582,False,0.003169058514637428,7,1.233,43200.0,57,0,0.0,1274.3658551857773,False,-0.09264208540987125,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69126,107,89,1.0,5406.2857228781,False,0.0033684816091949224,7,1.1610000000000003,87285,10,0,0.0,397.33168891468375,False,-0.027159377216185082,13,1.0590000000000002,87314,26,0,0.0,1033.0623911781777,False,-0.023302146258155663,0.375,476643,0.0,0.0,9,0,0,10,13,13.0,25,35,28,203.0,70.0,17,11,28,200,2.304907090961933,51.61740575917065
14,28,0,0,0,10.000000000000002,20,10.0,21.916586356574623,7,12.714285714285714,16.478647229907263,15,7.4,44.412177092650076,14,65.14285714285714,47.0,20,47.0,5,0.7720000000000002,32917,154,0,0.0,1540.0000000000002,False,-0.04474691620586984,0,0.5960000000000001,36567,5,38,1.0,882.8302815498357,False,0.04943754829930288,0,0.40700000000000003,47912,21,35,1.0,1037.0009665348211,False,0.0024320676270860727,15,1.3760000000000001,42745.0,59,0,0.0,1293.0785950379027,False,-0.10186617892660457,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69927,112,85,1.0,5620.64354262487,False,0.01605467077320825,7,1.2240000000000002,86271,24,0,0.0,1065.8922502236019,False,-0.03471803343736178,13,1.1760000000000002,87040,26,0,0.0,1154.716604408902,False,-0.025672683070475193,0.375,475435,0.0,0.0,12,0,0,11,15,15.0,26,37,27,188.0,57.0,18,10,27,1156,2.026646886020899,53.64405264519155
15,27,0,0,0,10.000000000000002,20,10.0,23.088015804483405,40,27.125,15.625523404114272,10,4.0,44.412177092650076,0,,46.99999999999999,20,47.0,9,0.8570000000000002,32782,163,0,0.0,1630.0000000000002,False,-0.04729902169289664,0,0.5960000000000001,37389,6,17,1.0,452.4962686762179,False,0.0666453462168753,0,0.40700000000000003,47470,28,45,1.0,1349.6129957106775,False,-0.003481330121181928,10,1.461,41812.0,82,0,0.0,1893.217295967639,False,-0.11496680711229236,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69887,112,95,1.0,5969.215445062556,False,0.017930487267856017,10,1.3170000000000002,86092,24,0,0.0,1065.8922502236019,False,-0.03670855898058621,10,1.2630000000000001,86865,26,0,0.0,1154.716604408902,False,-0.027618727595973936,0.375,474353,0.0,0.0,12,0,0,10,13,13.0,28,38,24,201.0,57.0,18,9,24,1132,1.8690526289865375,55.51310527417809
16,24,0,0,0,10.000000000000002,20,10.0,23.000483909777685,22,22.363636363636363,14.995247204237717,6,1.1666666666666667,44.412177092650076,0,,46.99999999999999,20,47.0,5,0.8980000000000001,32622,173,0,0.0,1730.0000000000002,False,-0.05041826173259606,0,0.5960000000000001,37731,6,10,1.0,290.0048390977769,False,0.07403948446189955,0,0.40700000000000003,46978,40,55,1.0,1744.7579526241818,False,-0.009575497768466302,6,1.5110000000000001,41633.0,82,0,0.0,1886.0396806017702,False,-0.11874609648953939,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69880,108,105,1.0,6282.765292785932,False,0.020022666457967433,9,1.3970000000000002,85944,24,0,0.0,1065.8922502236019,False,-0.038354356636436576,11,1.3630000000000002,86667,26,0,0.0,1154.716604408902,False,-0.029820537973395372,0.375,473511,0.0,0.0,10,0,0,8,12,12.0,27,35,22,177.0,34.0,15,9,22,642,1.7820529947057366,57.295158268883824
17,22,0,0,0,10.000000000000002,20,10.0,21.407575971858066,54,16.574074074074073,14.395095433908372,11,7.636363636363637,44.412177092650076,0,,46.99999999999999,20,47.0,39,1.2830000000000004,31890,181,0,0.0,1810.0000000000002,False,-0.07004111725506877,5,0.6460000000000001,38037,8,10,1.0,294.0757597185807,False,0.08277436211142192,0,0.40700000000000003,46682,69,60,1.0,2340.828468092709,False,-0.00953337126557342,6,1.5650000000000002,40938.0,97,0,0.0,2076.5348692702323,False,-0.1311599893478956,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69796,109,115,1.0,6676.465767950771,False,0.021599051293169108,9,1.4780000000000002,85792,24,0,0.0,1065.8922502236019,False,-0.04004463531001263,11,1.4620000000000002,86459,26,0,0.0,1154.716604408902,False,-0.03213355089513102,0.375,471650,0.0,0.0,11,0,0,6,14,13.285714285714285,24,30,21,178.0,39.0,13,9,21,260,1.8108496619388461,59.10600793082267
18,21,0,0,0,10.000000000000002,20,10.0,21.407575971858066,0,,14.816955928011167,23,17.043478260869566,46.0865220659937,5,69.0,47.0,20,47.0,0,1.2440000000000002,31810,189,0,0.0,1890.0000000000002,False,-0.07117538636041401,0,0.6410000000000001,37917,10,20,1.0,528.1515194371614,False,0.08269036607737361,0,0.40700000000000003,46867,59,65,1.0,2226.1491176603517,False,-0.006891011553201572,18,1.7390000000000003,40482.0,97,0,0.0,2076.5348692702323,False,-0.1405984427662302,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69749,122,120,1.0,7338.051271136606,False,0.025563301608765555,10,1.5690000000000002,85271,29,0,0.0,1336.5091399138173,False,-0.04433362353538574,10,1.5510000000000002,86283,26,0,0.0,1198.249573715836,False,-0.03384866682763691,0.375,470435,0.0,0.0,11,0,0,9,12,12.0,20,29,24,108.0,52.0,11,10,24,730,1.6499661058187485,60.75597403664142
19,24,0,0,0,10.000000000000002,20,10.0,21.690294249218145,24,24.0,15.80148081668099,40,19.0,48.07702613165881,6,70.0,47.0,20,47.0,5,1.2940000000000003,31665,197,0,0.0,1970.0000000000005,False,-0.07415284276194527,0,0.6410000000000001,38328,12,11,1.0,358.5932367413996,False,0.09194092211458112,0,0.40700000000000003,47495,60,45,1.0,2012.484291703733,False,0.0038963042214697004,10,1.8210000000000002,39708.0,110,0,0.0,2385.932367413996,False,-0.15341696471535607,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69409,152,124,1.0,8363.376324461202,False,0.02797519363902603,12,1.679,84619,35,0,0.0,1682.6959146080585,False,-0.04965918691697591,8,1.6210000000000004,86163,26,0,0.0,1250.0026794231292,False,-0.03489534350786681,0.375,469443,0.0,0.0,14,0,0,7,12,12.0,23,30,29,193.0,55.0,14,10,29,1901,3.473410442471504,64.22938447911292
20,29,0,0,0,10.000000000000002,20,10.0,22.82142178910632,17,36.0,16.24680364441411,36,18.13888888888889,48.29461802188431,3,53.0,47.00000000000001,20,47.0,0,1.2890000000000001,31605,203,0,0.0,2030.0000000000005,False,-0.07500354459095421,6,0.7010000000000001,38668,16,10,1.0,388.21421789106324,False,0.10200218655736648,0,0.40700000000000003,47730,50,48,1.0,1920.9176643871933,False,0.007812779835522433,29,2.1010000000000004,38381.0,127,0,0.0,2898.3205672165027,False,-0.17558089368061902,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,68915,178,131,1.0,9218.526009572557,False,0.02704731246558469,10,1.7670000000000003,84442,35,0,0.0,1690.311630765951,False,-0.0515851276006609,10,1.713,85830,29,0,0.0,1400.543922634645,False,-0.03776135977006288,0.375,467627,0.0,0.0,11,0,0,8,13,12.352941176470589,30,38,26,235.0,52.0,18,11,26,594,2.0330317905172706,66.2624162696302
21,26,0,0,0,10.000000000000002,20,10.0,23.029577452250265,24,24.708333333333332,15.816571337013098,10,8.5,43.48479470570697,12,19.0,47.0,20,47.0,5,1.3390000000000002,31450,212,0,0.0,2120.0000000000005,False,-0.07812278463065363,9,0.7850000000000001,38895,17,10,1.0,400.2957745225027,False,0.10861046043559477,0,0.40700000000000003,47269,62,53,1.0,2266.1120829012107,False,0.0018433142518701699,5,2.1220000000000003,38184.0,129,0,0.0,2970.815491340284,False,-0.17890820802537327,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69058,178,129,1.0,8424.88821502453,False,0.023501761573339938,10,1.8570000000000002,84261,35,0,0.0,1521.967814699744,False,-0.05453390668605439,10,1.8030000000000004,85424,41,0,0.0,1782.8765829339857,False,-0.040150364839234495,0.375,466597,0.0,0.0,12,0,0,7,15,14.411764705882353,24,31,23,165.0,83.0,14,12,23,488,1.7435687938705087,68.0059850635007
22,23,0,0,0,10.000000000000002,20,10.0,23.075158410867154,1,32.0,15.373107074209418,5,1.0,45.86003785859812,16,55.625,47.0,20,47.0,0,1.3340000000000003,31350,222,0,0.0,2220.0000000000005,False,-0.07954062101233518,0,0.7760000000000002,38827,17,19,1.0,608.428009806476,False,0.10963317751037115,0,0.40700000000000003,47269,52,63,1.0,2168.4139830402855,False,0.0008322188959522854,5,2.1670000000000007,38007.0,130,0,0.0,2999.77059341273,False,-0.18227215663058877,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69943,173,123,1.0,8300.332180445797,False,0.03499421816816932,8,1.9270000000000005,83243,51,0,0.0,2338.861930788504,False,-0.06131229049002238,12,1.913,85197,41,0,0.0,1880.2615522025228,False,-0.042133189777136114,0.375,465892,0.0,0.0,11,0,0,8,9,9.0,24,32,30,158.0,79.0,14,9,30,1122,1.8017759025096893,69.80776096601039
23,30,0,0,0,10.000000000000002,20,10.0,21.20680247833671,48,14.3125,14.280894809713175,15,3.3333333333333335,46.44574768468799,2,68.0,46.99999999999999,20,47.0,27,1.6040000000000003,30782,232,0,0.0,2320.0000000000005,False,-0.09422940592655607,2,0.796,39144,17,10,1.0,382.06802478336715,False,0.11541284594900561,0,0.40700000000000003,46582,90,73,1.0,2951.1175441593655,False,-0.005287215199228304,15,2.3120000000000003,37512.0,130,0,0.0,2756.884322183772,False,-0.1950315202721444,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,70029,178,131,1.0,8626.392222823071,False,0.03847287410475974,5,1.9690000000000003,83043,53,0,0.0,2461.624627288463,False,-0.06285376516642317,15,2.051,84837,41,0,0.0,1904.2756550722074,False,-0.04600295990552114,0.375,463985,0.0,0.0,11,0,0,13,16,15.4,28,41,27,292.0,55.0,22,8,27,752,2.089393399655819,71.89715436566621
24,27,0,0,0,10.000000000000002,20,10.0,21.992034696636956,12,35.25,14.280894809713175,0,,45.5182204898175,6,35.0,46.99999999999999,20,47.0,0,1.5770000000000002,30682,242,0,0.0,2420.0000000000005,False,-0.09564724230823762,2,0.8140000000000003,39422,17,10,1.0,389.9203469663696,False,0.12340734931187243,0,0.40700000000000003,46555,81,83,1.0,2966.669079633787,False,-0.005685125332376447,0,2.2970000000000006,37116.0,141,0,0.0,3100.876892225811,False,-0.19966803042425624,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,70239,168,135,1.0,8544.150094157176,False,0.040831913827437366,9,2.0540000000000003,82692,59,0,0.0,2685.5750088992327,False,-0.06551178186008921,11,2.146000000000001,84627,41,0,0.0,1866.2470400825175,False,-0.04854965727329957,0.375,463389,0.0,0.0,12,0,0,9,11,10.1,27,36,24,236.0,67.0,17,10,24,446,2.0313418079167604,73.92849617358297
