index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,35,0,0,0,10.000000000000002,20,10.0,11.191218191032874,17,7.764705882352941,43.184656513609106,0,,50.341585272032795,10,70.0,58.0,20,58.0,7,0.5850000000000001,49325,98,0,0.0,980.0000000000002,False,-0.029836212436948603,10,1.0200000000000002,48442,122,0,0.0,1220.0000000000002,False,-0.044695892651956295,0,0.281,78706,0,39,0.7,1684.201604030755,False,0.01675806590251904,0,0.2,79159,0,39,1.0,1684.201604030755,False,0.02254816521614303,0,0.29900000000000004,102150,0,3,0.3,151.02475581609838,False,0.000709840904408543,0,0.2,102153,0,0,0.0,0.0,False,0.0,9,0.812,134071,56,0,0.0,2819.1287752338367,False,-0.01797925219723759,6,0.8180000000000003,135851,0,10,1.0,580.0,False,-0.01319213400888657,0.375,729857,0.0,0.0,9,0,0,12,11,11.0,18,30,30,251.0,144.0,17,18,30,1190,2.5506526629906148,36.31259093590779
11,30,0,0,0,10.000000000000002,20,10.0,10.956932852081323,15,9.333333333333334,43.6715060423525,5,50.0,53.6831767362527,17,69.41176470588235,58.0,20,58.0,5,0.6280000000000001,49135,107,0,0.0,1070.0000000000002,False,-0.03266013593783473,10,1.11,48152,133,0,0.0,1330.0000000000002,False,-0.04927259625684071,0,0.281,78871,0,44,1.0,1921.54626586351,False,0.020383873780075428,0,0.2,79104,0,44,0.5,1921.54626586351,False,0.02336200433211602,14,0.43900000000000006,102158,0,5,0.5,268.4158836812635,False,0.0013627396340845164,0,0.2,102153,0,0,0.0,0.0,False,0.0,10,0.903,133586,60,0,0.0,3220.990604175162,False,-0.020038305737943556,0,0.812,135531,3,10,1.0,741.0495302087581,False,-0.014927952355344078,0.375,728690,0.0,0.0,11,0,0,15,10,9.25,11,26,30,218.0,103.0,14,16,30,1030,2.3400645179790445,38.65265545388684
12,30,0,0,0,10.000000000000002,20,10.0,11.003475443259843,5,12.0,42.34654994533032,10,34.0,54.5669270020115,5,70.0,58.00000000000001,20,58.0,0,0.623,49055,115,0,0.0,1150.0000000000002,False,-0.033439149317389526,5,1.1500000000000001,47962,145,0,0.0,1450.0000000000002,False,-0.051804389740393794,0,0.281,79151,0,39,0.5,1651.5154478678824,False,0.022237019874662173,0,0.2,79104,0,44,0.0,1863.2481975945338,False,0.022989430816586404,0,0.42500000000000004,102168,0,10,1.0,545.6692700201149,False,0.00281768166387734,0,0.2,102153,0,0,0.0,0.0,False,0.0,13,1.0230000000000004,133271,60,0,0.0,3274.0156201206896,False,-0.02212938576800442,0,0.8120000000000003,135587,0,11,0.8,638.0000000000001,False,-0.01489551394959445,0.2875,728451,0.0,0.0,11,0,0,9,5,5.0,16,25,23,175.0,129.0,12,18,23,1296,1.9707190730259754,40.62337452691281
13,23,0,0,0,10.000000000000002,20,10.0,10.91507573854654,1,2.0,43.489743211392536,10,51.0,54.5669270020115,0,,58.00000000000002,20,58.0,1,0.633,48951,123,0,0.0,1230.0000000000002,False,-0.0346855707246772,0,1.1450000000000002,47842,157,0,0.0,1570.0000000000002,False,-0.05297290980972598,0,0.281,79151,0,39,0.0,1696.099985244309,False,0.02252195243455338,0,0.2,79612,0,35,0.1,1522.1410123987387,False,0.027302561527146555,0,0.42500000000000004,101658,0,20,1.0,1091.3385400402299,False,0.0004960135289233723,0,0.2,102153,0,0,0.0,0.0,False,0.0,9,1.1000000000000005,133101,60,0,0.0,3274.0156201206896,False,-0.02336161806553778,0,0.812,136225,0,0,0.0,0.0,False,-0.012583266285399497,0.1375,728693,0.0,0.0,13,0,0,11,4,4.0,14,25,21,156.0,118.0,11,12,21,1348,1.9055793909938075,42.52895391790662
14,21,0,0,0,10.000000000000002,20,10.0,9.78662057028179,12,1.1666666666666667,42.0761179100489,4,18.0,56.46831428046294,15,67.0,58.000000000000014,20,58.0,12,0.752,48521,134,0,0.0,1340.0000000000002,False,-0.04198882115800339,0,1.1450000000000002,47752,166,0,0.0,1660.0000000000002,False,-0.053849299861725125,0,0.281,79209,2,45,1.0,1912.998547092764,False,0.024649453245221435,0,0.2,79612,0,35,0.0,1472.6641268517114,False,0.026986362762195078,0,0.42500000000000004,102591,0,9,0.4,508.2148285241665,False,0.006775204000490228,0,0.2,102153,0,0,0.0,0.0,False,0.0,12,1.2110000000000003,132819,60,0,0.0,3388.0988568277767,False,-0.024992212085923674,8,0.8920000000000001,135084,5,10,1.0,862.3415714023148,False,-0.017728410306527467,0.3,727741,0.0,0.0,8,0,0,9,9,9.0,15,24,20,141.0,42.0,12,9,20,1277,2.021112102025654,44.550066019932274
15,20,0,0,0,10.000000000000002,20,10.0,9.839796533458205,6,10.666666666666666,42.78584573468326,5,52.0,56.46831428046294,0,,58.00000000000002,20,58.0,1,0.7500000000000002,48369,147,0,0.0,1470.0000000000002,False,-0.043683175258535066,5,1.1950000000000003,47612,173,0,0.0,1730.0000000000002,False,-0.055894209983056456,0,0.281,79465,0,43,0.3,1839.79136659138,False,0.027453707111669542,0,0.2,79552,0,40,0.5,1711.4338293873302,False,0.02774540070163305,0,0.42500000000000004,102331,0,14,0.5,790.5563999264812,False,0.005611956574581681,0,0.2,102153,0,0,0.0,0.0,False,0.0,10,1.2990000000000002,132617,60,0,0.0,3388.0988568277767,False,-0.02645639399240449,0,0.8840000000000001,135664,0,5,0.5,290.0000000000001,False,-0.015598611201716427,0.225,727763,0.0,0.0,10,0,0,8,5,5.0,15,23,25,188.0,87.0,11,9,25,1040,2.88139247399522,47.431458493927494
16,25,0,0,0,10.000000000000002,20,10.0,9.382585934610296,31,8.064516129032258,43.46413546416606,5,52.0,56.56133945158891,21,56.95238095238095,58.00000000000002,20,58.0,11,0.8590000000000002,47972,156,0,0.0,1560.0000000000002,False,-0.05053849299861725,20,1.3900000000000001,47072,184,0,0.0,1840.0000000000002,False,-0.06533974721015834,0,0.281,79290,5,53,1.0,2350.5121092738527,False,0.028480847356582184,0,0.2,79737,6,45,1.0,2012.1816114951346,False,0.032032041179334086,7,0.49500000000000005,102862,0,5,0.5,282.8066972579445,False,0.008324800530860278,0,0.2,102153,0,0,0.0,0.0,False,0.0,11,1.3990000000000002,131678,70,0,0.0,3959.2937616112235,False,-0.031192533536248585,4,0.9240000000000002,135389,1,10,1.0,636.5613394515891,False,-0.016335916166700798,0.4375,726153,0.0,0.0,9,0,0,8,15,13.348484848484848,17,25,33,197.0,127.0,12,13,33,810,2.058537168020848,49.48999566194834
17,33,0,0,0,10.000000000000002,20,10.0,9.89889131890742,29,11.827586206896552,40.14497513628242,20,30.0,57.7093657339119,10,69.0,58.000000000000014,20,58.0,0,0.8480000000000003,47852,168,0,0.0,1680.0000000000002,False,-0.05170701306794944,29,1.6600000000000001,46206,192,0,0.0,1920.0000000000005,False,-0.08142637349796483,0,0.281,79169,13,58,1.0,2457.094145050177,False,0.02761541307214096,0,0.2,80115,7,40,1.0,1675.0912446836487,False,0.034709224821271645,5,0.538,102677,10,10,1.0,978.5434087019432,False,0.009919157580795243,0,0.2,102153,0,0,0.0,0.0,False,0.0,12,1.5080000000000002,130708,80,0,0.0,4616.749258712952,False,-0.035840747534763726,0,0.9200000000000002,135853,0,3,0.1,174.00000000000006,False,-0.014649067490087778,0.3875,724733,0.0,0.0,13,0,0,20,10,10.0,14,34,31,323.0,86.0,22,11,31,1614,2.47216937498888,51.96216503693722
18,31,0,0,0,10.000000000000002,20,10.0,9.452021786365048,16,6.0,39.40476643768372,10,34.0,58.21128228170126,5,68.0,58.000000000000014,20,58.0,11,0.9580000000000002,47482,176,0,0.0,1760.0000000000002,False,-0.058133873449276494,5,1.6810000000000003,46011,204,0,0.0,2040.0000000000005,False,-0.08405554365396226,0,0.281,79444,13,58,1.0,2408.3527366084013,False,0.030818875574270405,0,0.2,80084,3,50,1.0,1998.594387243281,False,0.03638044906657508,0,0.533,102677,10,15,1.0,1267.216898602356,False,0.011332104287697601,0,0.2,102153,0,0,0.0,0.0,False,0.0,7,1.566,130255,85,0,0.0,4947.958993944607,False,-0.03792390967757326,10,1.0200000000000002,135839,0,0,0.0,0.0,False,-0.015381158443328187,0.375,723945,0.0,0.0,10,0,0,13,9,8.5,20,33,33,292.0,111.0,19,12,33,996,2.234228649002034,54.196393685939256
19,33,0,0,0,10.000000000000002,20,10.0,9.432445290548367,8,9.125,36.87809017021551,10,18.0,58.8173108722382,5,70.0,58.00000000000001,20,58.0,3,0.9770000000000001,47309,187,0,0.0,1870.0000000000002,False,-0.060431962918963134,5,1.7260000000000002,45846,213,0,0.0,2130.0000000000005,False,-0.08639258379262664,0,0.281,79465,10,63,1.0,2417.6441336290604,False,0.031146670588270725,0,0.2,80170,0,49,0.4,1807.02641834056,False,0.03625539334547955,0,0.533,102847,10,20,1.0,1545.127119146919,False,0.01435653930450857,0,0.2,102153,0,0,0.0,0.0,False,0.0,8,1.6390000000000002,130110,85,0,0.0,4999.471424140247,False,-0.03878823934249437,12,1.1300000000000001,135211,0,5,0.5,290.00000000000006,False,-0.018882147853378852,0.3625,723111,0.0,0.0,10,0,0,13,10,10.0,16,29,33,256.0,115.0,17,16,33,730,2.300446067005396,56.49683975294465
20,33,0,0,0,10.000000000000002,20,10.0,9.727231867886086,20,11.5,36.87809017021551,0,,58.8173108722382,0,,58.00000000000001,20,58.0,5,1.024,47109,200,0,0.0,2000.0000000000005,False,-0.06306113307496056,15,1.8710000000000002,45471,220,0,0.0,2200.0000000000005,False,-0.09301419751884239,0,0.281,79350,10,73,1.0,2789.372901104593,False,0.03205243619454091,0,0.2,80055,0,59,1.0,2175.8073200427148,False,0.03714231961886778,0,0.533,102847,0,30,1.0,1764.5193261671461,False,0.015430380537855726,0,0.2,102153,0,0,0.0,0.0,False,0.0,9,1.7210000000000005,129951,85,0,0.0,4999.471424140247,False,-0.03994073896195204,6,1.178,135403,0,0,0.0,0.0,False,-0.018541471865237278,0.375,722339,0.0,0.0,7,0,0,11,9,8.6,18,29,35,264.0,126.0,16,17,35,374,2.058513274008874,58.555353026953526
21,35,0,0,0,10.000000000000002,20,10.0,9.792538412999475,6,11.166666666666666,36.87809017021551,0,,55.3848473171097,9,22.0,58.000000000000014,20,58.0,1,1.0290000000000001,46980,211,0,0.0,2110.0000000000005,False,-0.06450230782713694,5,1.9060000000000001,45311,229,0,0.0,2290.0000000000005,False,-0.09525386098506242,0,0.281,79350,0,83,1.0,3060.8814841278872,False,0.03378760358991203,0,0.2,79988,0,65,0.6,2397.075861064008,False,0.03770003873527882,0,0.533,103045,0,21,0.0,1163.0817936593037,False,0.014424842117506624,0,0.2,102153,0,0,0.0,0.0,False,0.0,7,1.7820000000000005,129640,94,0,0.0,5206.175647808312,False,-0.041445859163791586,13,1.302,135080,0,0,0.0,0.0,False,-0.020882713230550663,0.2,721547,0.0,0.0,8,0,0,15,8,8.0,18,33,36,279.0,161.0,19,16,36,398,2.1049128139857203,60.660265840939246
22,36,0,0,0,10.000000000000002,20,10.0,9.688548845877282,2,3.5,36.87809017021551,0,,55.3848473171097,0,,58.000000000000014,20,58.0,2,1.048,46853,219,0,0.0,2190.0000000000005,False,-0.06619666192766861,0,1.9010000000000002,45191,241,0,0.0,2410.0000000000005,False,-0.09642238105439462,0,0.281,79347,0,84,0.1,3097.7595742981025,False,0.03398494046485746,0,0.2,79984,0,66,0.1,2433.9539512342235,False,0.037884593934035246,0,0.533,103045,0,21,0.0,1163.0817936593037,False,0.014424842117506624,0,0.2,102153,0,0,0.0,0.0,False,0.0,13,1.9050000000000002,129328,94,0,0.0,5206.175647808312,False,-0.043707367851029286,7,1.359,134967,0,0,0.0,0.0,False,-0.021701785287146367,0.025,720868,0.0,0.0,7,0,0,16,8,8.0,17,33,30,322.0,88.0,21,15,30,200,2.136387289967388,62.796653130906634
23,30,0,0,0,10.000000000000002,20,10.0,9.265766447276809,19,6.842105263157895,38.39958389644038,10,50.0,56.07133193349734,5,68.0,58.000000000000014,20,58.0,9,1.1360000000000003,46533,226,0,0.0,2260.0000000000005,False,-0.07174713225699651,10,2.0010000000000003,44886,254,0,0.0,2540.0000000000005,False,-0.10109646133172337,0,0.281,79472,5,89,1.0,3463.8917990195782,False,0.03792254175786131,0,0.2,80229,0,65,0.4,2495.9729532686247,False,0.041412458001128735,0,0.533,102885,0,26,1.0,1457.8546302709308,False,0.014301364767901793,0,0.2,102153,0,0,0.0,0.0,False,0.0,15,2.0420000000000003,128924,94,0,0.0,5270.70520174875,False,-0.04640186283895899,5,1.4020000000000001,134572,0,5,0.5,290.00000000000006,False,-0.02351389160704837,0.3625,719654,0.0,0.0,9,0,0,8,11,11.0,20,28,30,198.0,108.0,15,15,30,1040,1.9641455829842016,64.76079871389084
24,30,0,0,0,10.000000000000002,20,10.0,8.930415854082371,20,7.0,40.54353273185985,25,47.2,54.28815760421498,12,42.0,58.00000000000001,20,58.0,10,1.227,46148,238,0,0.0,2380.0000000000005,False,-0.07807661596587921,10,2.091,44631,262,0,0.0,2620.0000000000005,False,-0.10528365824683039,0,0.281,79777,5,89,1.0,3653.0264924059384,False,0.04302968219899756,0,0.2,80964,0,60,1.0,2432.611963911591,False,0.050402060175566504,0,0.533,102209,15,24,1.0,1911.0687734790572,False,0.009902150565715424,0,0.2,102153,0,0,0.0,0.0,False,0.0,9,2.1170000000000004,128247,106,0,0.0,5754.544706046788,False,-0.04955550950614009,6,1.457,134763,0,0,0.0,0.0,False,-0.0231804640441864,0.375,718892,0.0,0.0,15,0,0,13,10,9.25,13,26,38,216.0,138.0,15,15,38,2000,1.8931152609875426,66.65391397487838
25,38,0,0,0,10.000000000000002,20,10.0,8.805057413451369,9,7.111111111111111,41.029190490041586,5,50.0,50.70479185396026,19,34.63157894736842,58.00000000000001,20,58.0,4,1.2570000000000001,45958,247,0,0.0,2470.0000000000005,False,-0.08090053946676534,5,2.1310000000000002,44451,273,0,0.0,2730.0000000000005,False,-0.10771807505793912,0,0.281,79777,0,94,0.5,3856.743906063909,False,0.044331607206717416,0,0.2,81150,0,64,0.9,2625.8681913626615,False,0.054014521207118436,0,0.533,102617,10,15,1.0,1170.8637827098196,False,0.010273138247089237,0,0.2,102153,0,0,0.0,0.0,False,0.0,11,2.218000000000001,127338,125,0,0.0,6338.098981745033,False,-0.054029403303306564,9,1.5410000000000001,134588,0,0,0.0,0.0,False,-0.0244489384681178,0.3,718032,0.0,0.0,10,0,0,16,9,9.0,18,34,29,302.0,157.0,21,17,29,1108,2.381899893982336,69.03581386886071
