index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
13,24,0,0,0,10.000000000000002,20,10.0,14.05525532065473,22,7.863636363636363,17.83750289464689,44,27.454545454545453,8.91503402412107,69,8.681159420289855,41.99999999999999,9,42.0,20,1.372,12742,134,0,0.0,1340.0000000000002,False,-0.10592627158189453,0,0.41600000000000004,15779,8,21,1.0,375.1603617337493,False,0.06436772087639989,0,0.2,22945,81,46,1.0,1959.00081412679,False,0.05361784502855485,11,1.8670000000000002,16765,73,0,0.0,1026.0336384077953,False,-0.23908852692104204,0,0.24500000000000002,31267,13,21,1.0,419.10325213695205,False,0.0035565638791160347,42,2.609000000000001,16317.0,152,0,0.0,2711.300439986327,False,-0.4365486937671556,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,9,1.1990000000000003,42026,331,0,0.0,2950.876261984074,False,-0.052049724755022106,0.375,203684,0.0,0.0,12,0,0,9,14,14.0,18,27,30,252.0,38.0,17,7,30,1753,1.2669131578877568,26.640018361620605
14,30,0,0,0,10.000000000000002,20,10.0,13.80202065227345,35,12.657142857142857,20.306131487390473,68,25.999999999999993,8.774863266192593,4,2.0,41.99999999999999,8,42.0,21,1.562,12419,143,0,0.0,1430.0000000000002,False,-0.1244583694420372,0,0.41600000000000004,15940,9,17,1.0,324.63435108864866,False,0.07341625061958026,0,0.2,24374,92,12,1.0,1513.459477857843,False,0.1067393199863004,24,2.0960000000000005,15882,87,0,0.0,1200.77579674779,False,-0.27412745416066,0,0.24500000000000002,30761,26,31,1.0,799.9801799241227,False,-0.0065043809991371755,4,2.6070000000000007,14923.0,197,0,0.0,4000.3079030159233,False,-0.46044463728653084,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,8,1.2700000000000002,41924,335,0,0.0,2939.5791941745188,False,-0.05439551978454443,0.375,202066,0.0,0.0,10,0,0,11,11,11.0,20,31,28,295.0,59.0,21,9,28,2072,1.2569789877161384,27.896997349336743
15,28,0,0,0,10.000000000000002,20,10.0,13.235458861198607,15,6.666666666666667,20.306131487390473,0,,8.669224427963927,37,8.162162162162161,41.99999999999999,10,42.0,15,1.6910000000000003,12149,153,0,0.0,1530.0000000000002,False,-0.13912405839610692,0,0.41600000000000004,15840,9,27,1.0,447.3573892523624,False,0.07084052360683833,0,0.2,24274,97,22,1.0,1730.5744022588551,False,0.10711618448625655,0,2.0720000000000005,15882,87,0,0.0,1151.4849209242789,False,-0.27521282157651206,0,0.24500000000000002,30997,16,25,1.0,541.6287144973458,False,-0.0030985379483923696,21,2.8130000000000006,14055.0,197,0,0.0,4000.3079030159233,False,-0.4881187963810629,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,10,1.362,41473,372,0,0.0,3224.951487202581,False,-0.06111406093699525,0.375,200513,0.0,0.0,8,0,0,6,9,9.0,20,26,26,214.0,109.0,16,12,26,436,1.2180956481024623,29.115092997439206
16,26,0,0,0,10.000000000000002,20,10.0,13.705676316319174,27,16.666666666666668,19.902245753975723,13,13.615384615384615,8.576133448987067,26,7.884615384615385,41.99999999999999,4,42.0,15,1.8260000000000003,11994,164,0,0.0,1640.0000000000002,False,-0.1457902806479568,0,0.41600000000000004,16020,8,25,1.0,422.6419079079794,False,0.08201592920165252,0,0.2,24118,103,31,1.0,2028.6542789541222,False,0.1068096683611688,12,2.1920000000000006,15456,98,0,0.0,1343.156278999279,False,-0.2897530215572449,0,0.24500000000000002,31072,9,27,1.0,410.67581490843236,False,-0.0027949017231239533,18,2.9720000000000004,13237.0,207,0,0.0,4119.7648710729745,False,-0.5122945182357249,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,4,1.3920000000000001,41236,398,0,0.0,3413.3011126968527,False,-0.06422639885926293,0.375,198976,0.0,0.0,9,0,0,8,8,8.0,17,25,24,184.0,58.0,13,13,24,612,0.9351310031488538,30.05022400058806
17,24,0,0,0,10.000000000000002,20,10.0,14.062700602800888,27,16.40740740740741,19.902245753975723,0,,8.276908038697796,47,7.0212765957446805,41.99999999999999,10,42.0,10,1.9110000000000005,11814,172,0,0.0,1720.0000000000002,False,-0.15512299180054662,0,0.41600000000000004,16278,10,18,1.0,353.128610850416,False,0.09689782717320224,0,0.2,23981,107,41,1.0,2320.7010404126995,False,0.10720705157908794,0,2.1800000000000006,15150,111,0,0.0,1560.9597669108985,False,-0.29843308744195846,0,0.24500000000000002,31241,0,23,0.9,190.36888489004932,False,-0.0009187169633341427,34,3.294000000000001,11620.0,207,0,0.0,4119.7648710729745,False,-0.5638487984844098,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,10,1.4880000000000002,40756,445,0,0.0,3683.224077220519,False,-0.07174521598147171,0.3625,196683,0.0,0.0,9,0,0,10,9,9.0,14,24,24,192.0,41.0,14,10,24,747,1.06005450617522,31.11027850676328
18,24,0,0,0,10.000000000000002,20,10.0,13.983544801554991,27,13.444444444444445,19.67510218776231,3,5.0,7.804258688338758,21,2.857142857142857,41.99999999999999,10,42.0,10,2.001000000000001,11614,182,0,0.0,1820.0000000000002,False,-0.16512232517832146,0,0.41600000000000004,16476,10,11,1.0,253.8189928171049,False,0.10678684730408323,0,0.2,23642,123,51,1.0,2723.406222167142,False,0.1011451583689422,3,2.2100000000000004,15069,112,0,0.0,1566.1570177741592,False,-0.30188582776733697,0,0.24500000000000002,31226,0,26,0.3,202.91072589680772,False,-0.0011970233397607687,21,3.4700000000000015,10762.0,207,0,0.0,4072.746152866798,False,-0.5919536720410202,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,10,1.5780000000000003,40547,466,0,0.0,3636.7845487658615,False,-0.07680557257827562,0.2875,195179,0.0,0.0,9,0,0,7,9,9.0,18,25,26,199.0,52.0,15,9,26,498,1.314821595326066,32.425100102089345
19,26,0,0,0,10.000000000000002,20,10.0,14.20348498638088,16,16.8125,18.716805340151204,15,7.4,8.099302614134633,61,9.147540983606557,41.99999999999999,9,42.0,0,1.9910000000000005,11534,190,0,0.0,1900.0000000000002,False,-0.1677888140790614,5,0.4660000000000001,16547,12,10,1.0,262.03484986380886,False,0.11179370874821053,0,0.2,23496,128,52,1.0,2791.3199559446152,False,0.096210859117114,6,2.267000000000001,14913,113,0,0.0,1604.9938034610395,False,-0.30790078382302727,0,0.24500000000000002,31385,5,25,1.0,296.0665920541219,False,0.005357350423308169,50,3.949000000000001,7836.0,207,0,0.0,3874.378705411299,False,-0.6884046117422079,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,9,1.6580000000000004,39873,527,0,0.0,4268.332477648952,False,-0.08461176206527625,0.375,191427,0.0,0.0,8,0,0,13,12,11.153846153846153,14,27,21,226.0,60.0,16,10,21,569,1.211619084700942,33.63671918679029
20,21,0,0,0,10.000000000000002,20,10.0,14.646575513467043,20,18.75,19.386180704233585,11,29.90909090909091,8.050820677584682,22,7.5,41.99999999999999,6,42.0,5,2.0410000000000004,11419,197,0,0.0,1970.0000000000005,False,-0.1731217918805413,5,0.5110000000000001,16687,15,10,1.0,296.4657551346705,False,0.12227404023513992,0,0.2,23783,123,54,1.0,2848.38254618506,False,0.11010663113104015,3,2.291000000000001,14508,128,0,0.0,1874.7616657237816,False,-0.3197965018337125,0,0.24500000000000002,31516,0,22,0.8,177.118054906863,False,0.007637781841333644,11,4.009000000000001,7156.0,215,0,0.0,4168.02885141022,False,-0.705403652934637,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,6,1.7090000000000005,39649,549,0,0.0,4419.90055199399,False,-0.08784157167145351,0.35,190561,0.0,0.0,8,0,0,11,6,5.333333333333333,18,29,15,283.0,6.0,19,2,15,660,1.0650176033377647,34.70173679012805
21,15,0,0,0,10.000000000000002,20,10.0,14.998609606911186,14,19.642857142857142,19.838111731505244,5,34.8,7.618431342805957,45,5.266666666666667,41.99999999999999,13,42.0,4,2.0760000000000005,11337,204,0,0.0,2040.0000000000005,False,-0.17625491633891074,0,0.506,16784,18,10,1.0,329.9860960691119,False,0.12985754603256833,0,0.2,23909,117,59,1.0,2925.2859161674182,False,0.11734896543284935,0,2.2880000000000007,14281,138,0,0.0,2069.8081257537438,False,-0.3254985659542488,0,0.24500000000000002,31576,0,16,0.2,121.89490148489531,False,0.008670411310137073,37,4.368000000000002,5091.0,218,0,0.0,4324.708357468143,False,-0.7687436895031381,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,13,1.8330000000000004,39194,594,0,0.0,4525.348217626739,False,-0.0966076681452741,0.275,188015,0.0,0.0,11,0,0,10,10,10.0,12,22,13,169.0,6.0,13,2,13,721,1.024062005802989,35.72579879593104
22,13,0,0,0,10.000000000000002,20,10.0,14.397134586029232,14,6.714285714285714,20.60994571484176,14,29.071428571428573,7.689316791054482,8,10.0,41.99999999999999,14,42.0,9,2.1620000000000004,11192,210,0,0.0,2100.0000000000005,False,-0.1839210719285381,0,0.506,16679,22,15,1.0,435.9570187904385,False,0.12639014128359574,0,0.2,24222,121,55,1.0,2875.6002992258336,False,0.13003920155075166,0,2.2880000000000007,14281,138,0,0.0,1986.804572872034,False,-0.32732627443361,0,0.24500000000000002,31169,4,26,1.0,282.3620194267836,False,-0.0017477758739552689,8,4.411000000000001,4891.0,218,0,0.0,4492.968165835504,False,-0.7724379377357643,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,14,1.9600000000000006,38863,602,0,0.0,4628.968708214798,False,-0.10269155907371104,0.375,187140,0.0,0.0,8,0,0,8,7,7.0,12,20,16,100.0,19.0,10,3,16,642,0.9043344901874661,36.63013328611851
23,16,0,0,0,10.000000000000002,20,10.0,14.066074027595032,22,11.454545454545455,21.651352563070997,20,29.5,8.429796980119335,16,19.625,41.99999999999999,13,42.0,5,2.2030000000000007,11072,218,0,0.0,2180.0000000000005,False,-0.189254049730018,2,0.526,16746,24,10,1.0,380.6607402759504,False,0.12901342378094618,0,0.2,24670,128,46,1.0,2796.41969343343,False,0.1480252717979793,1,2.2980000000000005,14147,143,0,0.0,2011.4485859460897,False,-0.33268488602752255,0,0.24500000000000002,30881,14,23,1.0,497.0042664257387,False,-0.0075083011888133,3,4.433000000000002,4798.0,218,0,0.0,4719.994858749477,False,-0.7717839174438152,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,13,2.0760000000000005,38338,618,0,0.0,5209.614533713749,False,-0.1078054637860782,0.375,186495,0.0,0.0,13,0,0,9,7,6.4,14,23,16,204.0,9.0,13,3,16,1273,0.9004019629210234,37.53053524903953
24,16,0,0,0,10.000000000000002,20,10.0,14.447106809029101,20,17.8,20.81495453719769,8,4.75,8.604444945574182,14,11.5,41.99999999999999,11,42.0,5,2.2480000000000007,10937,227,0,0.0,2270.0000000000005,False,-0.19525364975668288,5,0.5740000000000001,16885,25,10,1.0,394.47106809029106,False,0.1387397862839242,0,0.2,24604,125,56,1.0,2971.5258052117083,False,0.1489744529266681,8,2.3770000000000007,13688,156,0,0.0,2253.74866220854,False,-0.3475635561234742,0,0.24500000000000002,30969,12,24,1.0,456.28613314015263,False,-0.0053517275125115425,5,4.480000000000001,4658.0,218,0,0.0,4537.660089109097,False,-0.7791541512974798,0,0.2,45843,0,4,0.0,167.99999999999997,False,0.0008062758770974068,11,2.1730000000000005,38007,632,0,0.0,5438.0092056028825,False,-0.11252986265414164,0.375,185591,0.0,0.0,7,0,0,8,9,8.333333333333332,14,22,19,137.0,23.0,11,5,19,362,0.9365082066506147,38.467043455690145
