index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,28,0,0,0,10.000000000000002,20,10.0,18.451334968360698,26,21.846153846153847,22.023006228442792,3,11.0,28.26075615474795,16,21.75,37.00000000000001,20,37.0,2,0.4990000000000001,19439,111,0,0.0,1110.0000000000002,False,-0.04394395830344762,0,0.2,21924,1,11,1.0,212.96468465196767,False,0.053434817688805245,0,0.2,31441,0,16,0.0,352.3680996550847,False,0.007911761606284595,3,0.29300000000000004,29028,106,0,0.0,1955.841506646234,False,-0.043453066615986594,10,0.47100000000000003,37049,0,3,0.3,84.78226846424384,False,-0.012528855379582489,5,0.385,37783,0,0,0.0,0.0,False,0.005883605771790639,9,0.8840000000000001,50285,21,0,0.0,593.475879249707,False,-0.026506708373431925,11,0.796,49801,43,0,0.0,1215.2125146541619,False,-0.02983879102124593,0.1625,276750,0.0,0.0,11,0,0,14,12,11.90909090909091,21,35,26,294.0,120.0,18,10,26,752,1.9770483849570155,40.586853906919714
11,26,0,0,0,10.000000000000002,20,10.0,17.836178542350027,7,8.0,23.20547824265439,8,27.75,27.846765367699703,21,26.333333333333332,37.00000000000001,20,37.0,7,0.5670000000000002,19282,119,0,0.0,1190.0000000000002,False,-0.04953856452924019,0,0.2,21804,3,21,1.0,404.55974938935054,False,0.05227752473077395,0,0.2,31639,0,10,0.0,232.0547824265439,False,0.01230601521289402,2,0.31000000000000005,28939,113,0,0.0,2015.488175285553,False,-0.045339536241423846,8,0.5410000000000001,36896,0,2,0.2,55.693530735399406,False,-0.01698933056366275,10,0.48000000000000004,37620,0,6,0.6,167.08059220619822,False,0.0037681778420504642,10,0.9750000000000001,49739,31,0,0.0,863.2497263986908,False,-0.03441896758599388,10,0.8850000000000002,49556,54,0,0.0,1503.725329855784,False,-0.03177769655059011,0.225,275475,0.0,0.0,10,0,0,12,12,11.727272727272727,23,35,31,261.0,132.0,17,9,31,398,1.8712009359733202,42.458054842893034
12,31,0,0,0,10.000000000000002,20,10.0,17.836178542350027,0,,22.43421625883189,32,21.59375,25.09718616021409,20,13.0,37.00000000000001,20,37.0,0,0.56,19192,128,0,0.0,1280.0000000000002,False,-0.05169033615454502,0,0.2,21694,4,31,1.0,592.9215348128508,False,0.05152110014854036,0,0.2,31639,0,10,0.0,224.3421625883189,False,0.012183081427337821,32,0.6280000000000001,28604,113,0,0.0,2015.488175285553,False,-0.056018869340980736,18,0.7130000000000001,36411,0,2,0.2,50.19437232042818,False,-0.029974517167344242,0,0.4700000000000001,36952,20,16,1.0,850.2393037400632,False,-0.004922004902027826,11,1.0750000000000002,49452,41,0,0.0,1028.9846325687777,False,-0.03834769113561863,9,0.9650000000000001,49313,64,0,0.0,1606.2199142537017,False,-0.035468158410923045,0.275,273257,0.0,0.0,7,0,0,15,15,14.8,23,38,20,336.0,135.0,21,10,20,200,1.9360333390068263,44.39408818189986
13,20,0,0,0,10.000000000000002,20,10.0,19.359562470922285,36,23.88888888888889,21.922970460102118,3,11.666666666666666,25.12436929167905,27,25.22222222222222,37.00000000000001,20,37.0,0,0.56,19062,141,0,0.0,1410.0000000000002,False,-0.05479845072442978,5,0.25,22389,1,10,1.0,203.59562470922285,False,0.07544579029094882,0,0.2,31409,0,20,1.0,438.45940920204237,False,0.008263881685773241,3,0.6260000000000001,27922,139,0,0.0,2690.9791834581974,False,-0.06699322287197235,8,0.7750000000000001,36246,0,2,0.2,50.2487385833581,False,-0.03436653082126415,1,0.48000000000000004,37457,11,10,1.0,492.39636797791377,False,0.003759069910786323,8,1.1440000000000003,49011,56,0,0.0,1406.9646803340268,False,-0.04319786100257868,12,1.076,48788,76,0,0.0,1909.4520661676077,False,-0.04265428447268416,0.4,272284,0.0,0.0,12,0,0,12,15,13.195833333333333,16,28,21,222.0,64.0,14,6,21,875,1.5518424079637043,45.945930589863565
14,21,0,0,0,10.000000000000002,20,10.0,18.027203362172514,19,9.0,21.568843734529462,2,11.5,25.526466932651818,21,27.666666666666668,37.00000000000001,20,37.0,19,0.7500000000000002,18727,149,0,0.0,1490.0000000000002,False,-0.06890450915698369,0,0.24500000000000002,22269,3,20,1.0,390.5440672434503,False,0.07417740322391453,0,0.2,31409,0,20,0.0,431.37687469058926,False,0.008150991021240582,2,0.6430000000000001,27717,158,0,0.0,2848.2981312232573,False,-0.071020782759679,8,0.847,36081,0,2,0.2,51.052933865303636,False,-0.03874856325721075,1,0.48900000000000005,37874,1,10,1.0,276.83351306104765,False,0.011991287911467046,13,1.266,48351,67,0,0.0,1710.2732844876718,False,-0.052981453795418756,7,1.1340000000000003,48598,86,0,0.0,2195.2761562080564,False,-0.043560536613406184,0.275,271026,0.0,0.0,8,0,0,10,13,11.89090909090909,19,29,23,204.0,55.0,13,8,23,200,1.4608052640105598,47.406735853874125
15,23,0,0,0,10.000000000000002,20,10.0,18.027203362172514,0,,21.568843734529462,0,,24.150616451570848,16,13.875,37.00000000000001,20,37.0,0,0.7310000000000001,18657,156,0,0.0,1560.0000000000002,False,-0.07057810930999857,0,0.24500000000000002,22139,6,30,1.0,600.8161008651755,False,0.07298847847906023,0,0.2,31409,0,20,0.0,431.37687469058926,False,0.008150991021240582,0,0.6410000000000001,27717,158,0,0.0,2848.2981312232573,False,-0.071020782759679,7,0.909,35960,0,0,0.0,0.0,False,-0.042649486182844365,0,0.4880000000000001,37979,0,4,0.1,96.60246580628339,False,0.012387552124571129,8,1.3330000000000002,48034,83,0,0.0,2004.5011654803805,False,-0.05625107136896031,12,1.247,48427,86,0,0.0,2076.9530148350927,False,-0.047990213294760393,0.1375,270322,0.0,0.0,10,0,0,9,8,7.777777777777778,20,29,27,186.0,93.0,12,11,27,305,1.5902726959902793,48.997008549864404
16,27,0,0,0,10.000000000000002,20,10.0,18.62677421852787,18,23.055555555555557,20.06641050377154,9,11.222222222222221,24.271504396213718,12,25.5,37.0,20,37.0,0,0.7310000000000001,18567,165,0,0.0,1650.0000000000002,False,-0.0727298809353034,0,0.24500000000000002,22444,7,22,1.0,479.7890328076131,False,0.08467912381790298,0,0.2,31409,0,20,0.0,401.3282100754308,False,0.00767203624717762,9,0.7310000000000001,27134,176,0,0.0,3278.312262460905,False,-0.08275188462397745,7,0.972,35724,0,8,0.8,194.17203516970974,False,-0.04634774459334281,1,0.49800000000000005,38148,0,1,0.1,24.271504396213718,False,0.01592395911288282,10,1.4250000000000003,47692,88,0,0.0,2135.892386866807,False,-0.061568810149667946,10,1.3350000000000002,48201,93,0,0.0,2257.2499088478758,False,-0.05060480466475606,0.2375,269319,0.0,0.0,9,0,0,13,12,11.2,21,34,29,309.0,71.0,18,9,29,615,1.6434747730381787,50.64048332290258
17,29,0,0,0,10.000000000000002,20,10.0,18.62677421852787,0,,22.18181627079582,11,32.90909090909091,23.652931345266605,7,13.0,37.0,20,37.0,0,0.7310000000000001,18507,171,0,0.0,1710.0000000000002,False,-0.07416439535217328,0,0.24500000000000002,22304,11,32,1.0,706.0567749928919,False,0.08339446217646652,0,0.2,31759,0,10,0.0,221.8181627079582,False,0.01596828338021552,1,0.732,27118,176,0,0.0,3278.312262460905,False,-0.0832619423242548,0,0.9650000000000001,35815,0,1,0.0,23.652931345266605,False,-0.046194918649895333,0,0.4970000000000001,37786,1,11,1.0,282.36406106872846,False,0.00972211358645345,10,1.5150000000000001,47462,95,0,0.0,2247.0284778003274,False,-0.0649259177640031,10,1.4250000000000003,48074,93,0,0.0,2199.7226151097943,False,-0.053602623076754743,0.25,268825,0.0,0.0,11,0,0,12,8,8.0,23,35,23,297.0,90.0,19,10,23,641,1.679508744040504,52.31999206694309
18,23,0,0,0,10.000000000000002,20,10.0,18.835132698420686,14,20.857142857142858,22.015183005856986,1,12.0,24.149539244145608,20,27.0,37.0,20,37.0,2,0.7510000000000001,18385,181,0,0.0,1810.0000000000002,False,-0.07760722995266102,0,0.24500000000000002,22480,11,30,1.0,675.0539809526206,False,0.09106904750520307,0,0.2,31759,0,10,0.0,220.15183005856986,False,0.015941723198995294,1,0.7410000000000001,26810,190,0,0.0,3578.6752126999304,False,-0.08829297694061132,9,1.0550000000000002,35627,0,1,0.1,24.149539244145608,False,-0.05119336644422364,0,0.49700000000000005,38196,0,2,0.1,48.299078488291215,False,0.017521685193656964,11,1.6150000000000002,47167,105,0,0.0,2535.7016206352887,False,-0.06782557766089334,9,1.5050000000000001,47546,103,0,0.0,2487.402542146998,False,-0.06099614559415116,0.15,267970,0.0,0.0,11,0,0,11,12,11.9,19,30,25,219.0,90.0,13,10,25,886,1.4991430829977617,53.81913514994085
19,25,0,0,0,10.000000000000002,20,10.0,19.488898740568334,16,25.0,22.015183005856986,0,,24.030607489283742,14,23.0,37.0,20,37.0,0,0.7490000000000001,18285,191,0,0.0,1910.0000000000002,False,-0.07999808731411084,0,0.24500000000000002,22780,11,24,1.0,577.73356977364,False,0.10308739945903604,0,0.2,31759,0,10,0.0,220.15183005856986,False,0.015941723198995294,0,0.7400000000000002,26410,206,0,0.0,4014.7131405570767,False,-0.09409427873765379,8,1.1260000000000001,35472,0,0,0.0,0.0,False,-0.05564133965177573,3,0.527,38299,0,0,0.0,0.0,False,0.019620893456152495,10,1.704,47031,105,0,0.0,2523.213786374793,False,-0.0705631961125619,10,1.5960000000000005,47089,117,0,0.0,2811.581076246198,False,-0.0666719810211302,0.125,267125,0.0,0.0,8,0,0,11,10,9.488888888888889,20,31,29,255.0,75.0,15,10,29,600,1.5906183629995212,55.40975351294037
20,29,0,0,0,10.000000000000002,20,10.0,19.488898740568334,0,,21.336105011028256,4,12.0,24.613278167714284,18,28.555555555555557,37.00000000000001,20,37.0,0,0.7490000000000001,18175,202,0,0.0,2020.0000000000005,False,-0.08262803041170563,0,0.24500000000000002,22690,10,34,1.0,762.6225571793234,False,0.1032042881743252,0,0.2,31759,0,10,0.0,213.36105011028255,False,0.015833482898885542,4,0.78,26341,206,0,0.0,4014.7131405570767,False,-0.09629390257009984,8,1.1980000000000002,35256,0,4,0.4,98.45311267085714,False,-0.06008129076365928,10,0.6240000000000001,38334,0,0,0.0,0.0,False,0.020552686225440604,9,1.7840000000000003,46709,110,0,0.0,2707.460598448571,False,-0.07498738814788036,11,1.6960000000000002,46613,130,0,0.0,3199.726161802857,False,-0.07209794105157089,0.175,265877,0.0,0.0,9,0,0,13,15,15.0,22,35,22,297.0,105.0,19,10,22,200,2.426185547024943,57.83593905996531
21,22,0,0,0,10.000000000000002,20,10.0,17.736933543384644,27,8.925925925925926,21.163513164405867,1,12.0,25.31609589252329,5,43.0,37.000000000000014,20,37.0,16,0.909,17844,210,0,0.0,2100.0000000000005,False,-0.09654282025534357,0,0.24500000000000002,22690,12,33,1.0,705.3188069316933,False,0.10183423724314294,0,0.2,31759,0,10,0.0,211.63513164405867,False,0.015805972961268386,1,0.786,26084,233,0,0.0,4132.705515608623,False,-0.10260598814739678,0,1.1900000000000002,35244,0,5,0.1,126.58047946261645,False,-0.06002635004176273,5,0.6640000000000001,38379,0,0,0.0,0.0,False,0.021750705500239605,12,1.8950000000000002,46529,110,0,0.0,2784.770548177562,False,-0.07770770657463036,8,1.7650000000000003,46298,135,0,0.0,3417.672945490644,False,-0.07606311759761884,0.1375,264827,0.0,0.0,13,0,0,15,14,14.0,16,31,24,240.0,81.0,15,7,24,320,1.57222879701294,59.40816785697825
22,24,0,0,0,10.000000000000002,20,10.0,18.357972698464643,14,24.857142857142858,21.163513164405867,0,,26.622317257251773,10,42.0,37.000000000000014,20,37.0,0,0.893,17744,220,0,0.0,2200.0000000000005,False,-0.09893367761679338,0,0.24500000000000002,22938,12,29,1.0,652.3812082554747,False,0.11242722728100876,0,0.2,31759,0,10,0.0,211.63513164405867,False,0.015805972961268386,0,0.7850000000000001,25736,247,0,0.0,4534.419256520767,False,-0.107296706039071,0,1.1900000000000002,35244,0,5,0.0,133.11158628625887,False,-0.05993941235442383,10,0.7590000000000001,38424,0,0,0.0,0.0,False,0.022948724775038603,10,1.9830000000000003,45974,120,0,0.0,3194.6780708702127,False,-0.08444467685222759,10,1.8570000000000002,46174,135,0,0.0,3594.0128297289893,False,-0.07675270088214754,0.125,263993,0.0,0.0,10,0,0,8,9,9.0,21,29,21,219.0,78.0,13,11,21,548,1.427933925006073,60.836101781984325
23,21,0,0,0,10.000000000000002,20,10.0,19.238102661313935,33,23.09090909090909,18.49491351641834,16,10.375,26.137867609925635,5,15.0,37.00000000000001,20,37.0,0,0.8930000000000002,17684,226,0,0.0,2260.0000000000005,False,-0.10036819203366328,4,0.28500000000000003,23484,16,10,1.0,352.3810266131394,False,0.13136281324088223,0,0.2,31759,0,10,0.0,184.9491351641834,False,0.015380616773951744,16,0.9450000000000001,24645,280,0,0.0,5386.668745167902,False,-0.12849200253167295,0,1.1900000000000002,35153,6,10,1.0,372.34815719776645,False,-0.059177517741364136,0,0.7490000000000001,38424,0,0,0.0,0.0,False,0.022948724775038603,7,2.0430000000000006,45826,125,0,0.0,3267.233451240704,False,-0.08659487816123568,13,1.977,45958,135,0,0.0,3528.612127339961,False,-0.08153917389345482,0.25,262933,0.0,0.0,12,0,0,8,11,10.266666666666666,20,28,18,180.0,93.0,10,11,18,692,1.3530817000428215,62.18918348202715
24,18,0,0,0,10.000000000000002,20,10.0,18.86740989713942,6,9.0,18.385231361478446,1,12.0,26.884254181492615,5,43.0,37.00000000000001,20,37.0,6,0.9530000000000001,17524,236,0,0.0,2360.0000000000005,False,-0.10562807822885287,0,0.281,23384,16,20,1.0,537.3481979427885,False,0.13100339974998298,0,0.2,31759,0,10,0.0,183.85231361478446,False,0.015363134202792329,1,0.9390000000000003,24575,286,0,0.0,5396.079230581874,False,-0.13057350839073806,0,1.1900000000000002,35356,0,12,0.7,322.61105017791135,False,-0.05443518648929878,0,0.7490000000000001,38424,0,0,0.0,0.0,False,0.022948724775038603,6,2.0960000000000005,45547,130,0,0.0,3494.95304359404,False,-0.0897731572625143,14,2.1040000000000005,45719,135,0,0.0,3629.3743145015032,False,-0.08516932278814543,0.2125,262288,0.0,0.0,9,0,0,11,10,10.0,18,29,17,174.0,60.0,13,5,17,415,1.3857244650134817,63.57490794704063
